"Date","CPILEGSL"
1967-01-01,34
1967-02-01,34
1967-03-01,34.1
1967-04-01,34.1
1967-05-01,34.3
1967-06-01,34.3
1967-07-01,34.4
1967-08-01,34.6
1967-09-01,34.7
1967-10-01,34.8
1967-11-01,34.9
1967-12-01,35
1968-01-01,35.2
1968-02-01,35.3
1968-03-01,35.5
1968-04-01,35.6
1968-05-01,35.7
1968-06-01,35.8
1968-07-01,36
1968-08-01,36.1
1968-09-01,36.3
1968-10-01,36.5
1968-11-01,36.6
1968-12-01,36.7
1969-01-01,36.9
1969-02-01,37
1969-03-01,37.3
1969-04-01,37.5
1969-05-01,37.7
1969-06-01,37.9
1969-07-01,38
1969-08-01,38.2
1969-09-01,38.5
1969-10-01,38.6
1969-11-01,38.8
1969-12-01,39.1
1970-01-01,39.3
1970-02-01,39.5
1970-03-01,39.7
1970-04-01,39.9
1970-05-01,40.1
1970-06-01,40.2
1970-07-01,40.3
1970-08-01,40.5
1970-09-01,40.7
1970-10-01,40.9
1970-11-01,41
1970-12-01,41.2
1971-01-01,41.3
1971-02-01,41.4
1971-03-01,41.5
1971-04-01,41.7
1971-05-01,41.9
1971-06-01,42.1
1971-07-01,42.1
1971-08-01,42.2
1971-09-01,42.3
1971-10-01,42.3
1971-11-01,42.5
1971-12-01,42.6
1972-01-01,42.8
1972-02-01,42.9
1972-03-01,43
1972-04-01,43.1
1972-05-01,43.2
1972-06-01,43.3
1972-07-01,43.4
1972-08-01,43.6
1972-09-01,43.7
1972-10-01,43.8
1972-11-01,43.9
1972-12-01,44.1
1973-01-01,44.3
1973-02-01,44.5
1973-03-01,45
1973-04-01,45.3
1973-05-01,45.6
1973-06-01,45.9
1973-07-01,45.9
1973-08-01,46.7
1973-09-01,46.9
1973-10-01,47.2
1973-11-01,47.5
1973-12-01,47.7
1974-01-01,48.1
1974-02-01,48.6
1974-03-01,49
1974-04-01,49.3
1974-05-01,49.7
1974-06-01,50.2
1974-07-01,50.5
1974-08-01,51.2
1974-09-01,51.8
1974-10-01,52.3
1974-11-01,52.8
1974-12-01,53.3
1975-01-01,53.7
1975-02-01,53.9
1975-03-01,54.1
1975-04-01,54.3
1975-05-01,54.5
1975-06-01,54.8
1975-07-01,55.3
1975-08-01,55.5
1975-09-01,55.8
1975-10-01,56.2
1975-11-01,56.6
1975-12-01,56.9
1976-01-01,57.1
1976-02-01,57.2
1976-03-01,57.3
1976-04-01,57.4
1976-05-01,57.7
1976-06-01,57.9
1976-07-01,58.3
1976-08-01,58.7
1976-09-01,59
1976-10-01,59.2
1976-11-01,59.5
1976-12-01,59.7
1977-01-01,59.9
1977-02-01,60.5
1977-03-01,60.8
1977-04-01,61.2
1977-05-01,61.4
1977-06-01,61.8
1977-07-01,62.1
1977-08-01,62.4
1977-09-01,62.7
1977-10-01,62.9
1977-11-01,63.2
1977-12-01,63.6
1978-01-01,64
1978-02-01,64.4
1978-03-01,64.9
1978-04-01,65.4
1978-05-01,66
1978-06-01,66.5
1978-07-01,67
1978-08-01,67.5
1978-09-01,68
1978-10-01,68.5
1978-11-01,68.9
1978-12-01,69.4
1979-01-01,70
1979-02-01,70.7
1979-03-01,71.4
1979-04-01,71.9
1979-05-01,72.5
1979-06-01,72.9
1979-07-01,73.5
1979-08-01,74.1
1979-09-01,74.8
1979-10-01,75.4
1979-11-01,76.1
1979-12-01,77.1
1980-01-01,77.9
1980-02-01,78.6
1980-03-01,79.6
1980-04-01,80.4
1980-05-01,81.1
1980-06-01,81.9
1980-07-01,81.9
1980-08-01,82.6
1980-09-01,83.5
1980-10-01,84.3
1980-11-01,85.2
1980-12-01,86.1
1981-01-01,86.6
1981-02-01,87.1
1981-03-01,87.5
1981-04-01,88.1
1981-05-01,88.7
1981-06-01,89.4
1981-07-01,90.5
1981-08-01,91.4
1981-09-01,92.5
1981-10-01,92.6
1981-11-01,93
1981-12-01,93.4
1982-01-01,93.8
1982-02-01,94.3
1982-03-01,94.4
1982-04-01,95
1982-05-01,95.7
1982-06-01,96.4
1982-07-01,96.9
1982-08-01,97.2
1982-09-01,97.5
1982-10-01,97.6
1982-11-01,97.6
1982-12-01,97.4
1983-01-01,97.7
1983-02-01,98.1
1983-03-01,98.4
1983-04-01,98.8
1983-05-01,99.1
1983-06-01,99.3
1983-07-01,99.7
1983-08-01,100.1
1983-09-01,100.4
1983-10-01,100.8
1983-11-01,101.2
1983-12-01,101.6
1984-01-01,102.4
1984-02-01,102.8
1984-03-01,103.1
1984-04-01,103.5
1984-05-01,103.8
1984-06-01,104.2
1984-07-01,104.6
1984-08-01,105.1
1984-09-01,105.3
1984-10-01,105.7
1984-11-01,105.9
1984-12-01,106.3
1985-01-01,106.5
1985-02-01,107.2
1985-03-01,107.5
1985-04-01,107.7
1985-05-01,108
1985-06-01,108.3
1985-07-01,108.5
1985-08-01,108.8
1985-09-01,109.1
1985-10-01,109.5
1985-11-01,110.1
1985-12-01,110.5
1986-01-01,110.9
1986-02-01,111.1
1986-03-01,111.4
1986-04-01,111.8
1986-05-01,112
1986-06-01,112.3
1986-07-01,112.8
1986-08-01,113.2
1986-09-01,113.6
1986-10-01,114
1986-11-01,114.4
1986-12-01,114.7
1987-01-01,115.1
1987-02-01,115.4
1987-03-01,115.8
1987-04-01,116.3
1987-05-01,116.8
1987-06-01,117.1
1987-07-01,117.3
1987-08-01,117.8
1987-09-01,118.3
1987-10-01,118.7
1987-11-01,119.1
1987-12-01,119.4
1988-01-01,119.8
1988-02-01,120
1988-03-01,120.5
1988-04-01,121.1
1988-05-01,121.5
1988-06-01,122
1988-07-01,122.6
1988-08-01,123
1988-09-01,123.7
1988-10-01,124.1
1988-11-01,124.5
1988-12-01,125
1989-01-01,125.5
1989-02-01,125.9
1989-03-01,126.4
1989-04-01,126.9
1989-05-01,127.5
1989-06-01,127.9
1989-07-01,128.4
1989-08-01,128.7
1989-09-01,129.1
1989-10-01,129.8
1989-11-01,130.3
1989-12-01,130.8
1990-01-01,131.5
1990-02-01,132.2
1990-03-01,132.9
1990-04-01,133.3
1990-05-01,133.6
1990-06-01,134.4
1990-07-01,135.1
1990-08-01,135.8
1990-09-01,136.3
1990-10-01,136.8
1990-11-01,137.2
1990-12-01,137.7
1991-01-01,138.5
1991-02-01,139.1
1991-03-01,139.4
1991-04-01,139.9
1991-05-01,140.3
1991-06-01,140.8
1991-07-01,141.1
1991-08-01,141.5
1991-09-01,141.9
1991-10-01,142.2
1991-11-01,142.7
1991-12-01,143.1
1992-01-01,143.4
1992-02-01,143.7
1992-03-01,144.2
1992-04-01,144.5
1992-05-01,144.9
1992-06-01,145.2
1992-07-01,145.5
1992-08-01,146
1992-09-01,146.3
1992-10-01,146.8
1992-11-01,147.2
1992-12-01,147.4
1993-01-01,147.9
1993-02-01,148.4
1993-03-01,148.6
1993-04-01,149.1
1993-05-01,149.6
1993-06-01,149.8
1993-07-01,150
1993-08-01,150.5
1993-09-01,150.7
1993-10-01,151.1
1993-11-01,151.6
1993-12-01,152
1994-01-01,152.2
1994-02-01,152.4
1994-03-01,152.8
1994-04-01,153.1
1994-05-01,153.5
1994-06-01,153.9
1994-07-01,154.3
1994-08-01,154.8
1994-09-01,155.1
1994-10-01,155.3
1994-11-01,155.7
1994-12-01,156.1
1995-01-01,156.5
1995-02-01,157
1995-03-01,157.3
1995-04-01,157.9
1995-05-01,158.3
1995-06-01,158.5
1995-07-01,158.8
1995-08-01,159.2
1995-09-01,159.6
1995-10-01,160.1
1995-11-01,160.3
1995-12-01,160.5
1996-01-01,161
1996-02-01,161.4
1996-03-01,161.9
1996-04-01,162.1
1996-05-01,162.4
1996-06-01,162.9
1996-07-01,163.3
1996-08-01,163.6
1996-09-01,164.1
1996-10-01,164.5
1996-11-01,165
1996-12-01,165.2
1997-01-01,165.4
1997-02-01,165.8
1997-03-01,166.1
1997-04-01,166.4
1997-05-01,166.7
1997-06-01,166.9
1997-07-01,167.2
1997-08-01,167.4
1997-09-01,167.7
1997-10-01,168.1
1997-11-01,168.4
1997-12-01,168.7
1998-01-01,169.2
1998-02-01,169.4
1998-03-01,169.7
1998-04-01,170
1998-05-01,170.4
1998-06-01,170.6
1998-07-01,171
1998-08-01,171.4
1998-09-01,171.6
1998-10-01,172
1998-11-01,172.3
1998-12-01,172.8
1999-01-01,173.1
1999-02-01,173.2
1999-03-01,173.2
1999-04-01,173.8
1999-05-01,174
1999-06-01,174.1
1999-07-01,174.5
1999-08-01,174.7
1999-09-01,175.2
1999-10-01,175.5
1999-11-01,175.8
1999-12-01,176.1
2000-01-01,176.6
2000-02-01,176.8
2000-03-01,177.3
2000-04-01,177.6
2000-05-01,178.1
2000-06-01,178.4
2000-07-01,178.9
2000-08-01,179.3
2000-09-01,179.7
2000-10-01,179.9
2000-11-01,180.3
2000-12-01,180.7
2001-01-01,181.2
2001-02-01,181.8
2001-03-01,182.2
2001-04-01,182.5
2001-05-01,182.8
2001-06-01,183.4
2001-07-01,183.9
2001-08-01,184.2
2001-09-01,184.5
2001-10-01,184.9
2001-11-01,185.5
2001-12-01,185.7
2002-01-01,186
2002-02-01,186.4
2002-03-01,186.6
2002-04-01,187
2002-05-01,187.2
2002-06-01,187.4
2002-07-01,187.7
2002-08-01,188.2
2002-09-01,188.4
2002-10-01,188.5
2002-11-01,188.9
2002-12-01,189.2
2003-01-01,189.4
2003-02-01,189.6
2003-03-01,189.7
2003-04-01,189.7
2003-05-01,190.1
2003-06-01,190.4
2003-07-01,190.7
2003-08-01,191
2003-09-01,191.1
2003-10-01,191.5
2003-11-01,191.7
2003-12-01,192
2004-01-01,192.3
2004-02-01,192.6
2004-03-01,193.2
2004-04-01,193.6
2004-05-01,194.1
2004-06-01,194.4
2004-07-01,194.7
2004-08-01,194.8
2004-09-01,195.2
2004-10-01,195.8
2004-11-01,196.2
2004-12-01,196.4
2005-01-01,196.8
2005-02-01,197.2
2005-03-01,197.8
2005-04-01,198.1
2005-05-01,198.4
2005-06-01,198.5
2005-07-01,198.8
2005-08-01,199
2005-09-01,199.2
2005-10-01,199.8
2005-11-01,200.4
2005-12-01,200.7
2006-01-01,201.2
2006-02-01,201.5
2006-03-01,202.1
2006-04-01,202.5
2006-05-01,203.1
2006-06-01,203.6
2006-07-01,204
2006-08-01,204.5
2006-09-01,204.9
2006-10-01,205.4
2006-11-01,205.5
2006-12-01,205.8
2007-01-01,206.42
2007-02-01,207.084
2007-03-01,207.432
2007-04-01,207.79
2007-05-01,208.175
2007-06-01,208.585
2007-07-01,209.012
2007-08-01,209.425
2007-09-01,209.947
2007-10-01,210.489
2007-11-01,211.111
2007-12-01,211.598
2008-01-01,212.302
2008-02-01,212.564
2008-03-01,213.034
2008-04-01,213.434
2008-05-01,213.89
2008-06-01,214.506
2008-07-01,215.289
2008-08-01,215.82
2008-09-01,216.283
2008-10-01,216.486
2008-11-01,216.683
2008-12-01,216.665
2009-01-01,217.044
2009-02-01,217.375
2009-03-01,217.694
2009-04-01,218.022
2009-05-01,218.133
2009-06-01,218.308
2009-07-01,218.367
2009-08-01,218.562
2009-09-01,218.901
2009-10-01,219.419
2009-11-01,219.578
2009-12-01,219.809
2010-01-01,219.691
2010-02-01,219.784
2010-03-01,219.894
2010-04-01,219.959
2010-05-01,220.097
2010-06-01,220.286
2010-07-01,220.421
2010-08-01,220.582
2010-09-01,220.864
2010-10-01,221.011
2010-11-01,221.345
2010-12-01,221.55
2011-01-01,222.128
2011-02-01,222.632
2011-03-01,223.094
2011-04-01,223.455
2011-05-01,223.965
2011-06-01,224.494
2011-07-01,225.08
2011-08-01,225.799
2011-09-01,226.175
2011-10-01,226.536
2011-11-01,226.901
2011-12-01,227.396
2012-01-01,227.893
2012-02-01,228.015
2012-03-01,228.458
2012-04-01,228.888
2012-05-01,229.183
2012-06-01,229.592
2012-07-01,229.909
2012-08-01,230.192
2012-09-01,230.575
2012-10-01,230.951
2012-11-01,231.272
2012-12-01,231.671
2013-01-01,232.147
2013-02-01,232.43
2013-03-01,232.654
2013-04-01,232.755
2013-05-01,232.862
2013-06-01,233.241
2013-07-01,233.719
2013-08-01,234.144
2013-09-01,234.461
2013-10-01,234.683
2013-11-01,235.082
2013-12-01,235.456
2014-01-01,235.675
2014-02-01,236.003
2014-03-01,236.532
2014-04-01,237.03
2014-05-01,237.593
2014-06-01,237.889
2014-07-01,238.282
2014-08-01,238.543
2014-09-01,238.969
2014-10-01,239.37
2014-11-01,239.676
2014-12-01,239.909
2015-01-01,240.095
2015-02-01,240.446
2015-03-01,240.876
2015-04-01,241.365
2015-05-01,241.691
2015-06-01,242.114
2015-07-01,242.571
2015-08-01,242.873
2015-09-01,243.409
2015-10-01,243.83
2015-11-01,244.196
2015-12-01,244.407
2016-01-01,244.777
2016-02-01,245.286
2016-03-01,245.542
2016-04-01,246.115
2016-05-01,246.557
2016-06-01,246.873
2016-07-01,247.115
2016-08-01,247.632
2016-09-01,247.992
2016-10-01,248.253
2016-11-01,248.531
2016-12-01,248.901
2017-01-01,249.416
2017-02-01,249.966
2017-03-01,249.995
2017-04-01,250.287
2017-05-01,250.516
2017-06-01,250.754
2017-07-01,251.018
2017-08-01,251.527
2017-09-01,251.816
2017-10-01,252.455
2017-11-01,252.723
2017-12-01,253.249
2018-01-01,254.078
2018-02-01,254.494
2018-03-01,254.985
2018-04-01,255.363
2018-05-01,255.802
2018-06-01,256.063
2018-07-01,256.38
2018-08-01,256.595
2018-09-01,257.053
2018-10-01,257.502
2018-11-01,258.05
2018-12-01,258.726
2019-01-01,259.349
2019-02-01,259.786
2019-03-01,260.248
2019-04-01,260.572
2019-05-01,260.919
2019-06-01,261.404
2019-07-01,261.809
2019-08-01,262.402
2019-09-01,262.871
2019-10-01,263.395
2019-11-01,263.946
2019-12-01,264.397
2020-01-01,265.1
2020-02-01,265.77
2020-03-01,265.712
2020-04-01,265.142
2020-05-01,265.23
2020-06-01,265.76
2020-07-01,266.796
2020-08-01,267.794
2020-09-01,268.215
2020-10-01,268.556
2020-11-01,269.135
2020-12-01,269.619
2021-01-01,269.781
2021-02-01,270.124
2021-03-01,270.843
2021-04-01,272.739
2021-05-01,274.633
2021-06-01,276.652
2021-07-01,277.635
2021-08-01,278.263
2021-09-01,279.221
2021-10-01,281.17
2021-11-01,282.992
2021-12-01,284.829
2022-01-01,286.537
2022-02-01,288.105
2022-03-01,289.258
2022-04-01,290.764
2022-05-01,292.805
2022-06-01,294.745
2022-07-01,295.992
2022-08-01,297.818
2022-09-01,299.616
2022-10-01,300.769
2022-11-01,301.811
2022-12-01,303.038
2023-01-01,304.327
2023-02-01,305.674
2023-03-01,306.686
2023-04-01,307.77
2023-05-01,309.007
2023-06-01,309.47
2023-07-01,309.999
2023-08-01,310.847
2023-09-01,311.811
2023-10-01,312.549
2023-11-01,313.412
