"Date","SUUR0000SAD"
2007-10-01,83.963
2007-11-01,83.804
2007-12-01,83.597
2008-01-01,83.621
2008-02-01,83.595
2008-03-01,83.555
2008-04-01,83.244
2008-05-01,83.081
2008-06-01,82.891
2008-07-01,82.845
2008-08-01,82.448
2008-09-01,81.863
2008-10-01,81.485
2008-11-01,80.905
2008-12-01,80.52
2009-01-01,80.526
2009-02-01,80.491
2009-03-01,80.406
2009-04-01,80.449
2009-05-01,80.612
2009-06-01,80.642
2009-07-01,80.459
2009-08-01,80.01
2009-09-01,80.246
2009-10-01,81.079
2009-11-01,81.227
2009-12-01,81.325
2010-01-01,81.43
2010-02-01,81.435
2010-03-01,81.417
2010-04-01,81.299
2010-05-01,81.196
2010-06-01,81.093
2010-07-01,81.116
2010-08-01,81.089
2010-09-01,80.742
2010-10-01,80.489
2010-11-01,80.15
2010-12-01,79.98
2011-01-01,80.124
2011-02-01,80.382
2011-03-01,80.596
2011-04-01,80.923
2011-05-01,81.257
2011-06-01,81.508
2011-07-01,81.551
2011-08-01,81.507
2011-09-01,81.141
2011-10-01,80.972
2011-11-01,80.673
2011-12-01,80.484
2012-01-01,80.621
2012-02-01,80.81
2012-03-01,80.939
2012-04-01,81.143
2012-05-01,81.241
2012-06-01,81.34
2012-07-01,81.249
2012-08-01,80.843
2012-09-01,80.356
2012-10-01,80.021
2012-11-01,79.787
2012-12-01,79.664
2013-01-01,79.784
2013-02-01,80.015
2013-03-01,80.158
2013-04-01,80.293
2013-05-01,80.326
2013-06-01,80.234
2013-07-01,80.122
2013-08-01,80.056
2013-09-01,79.776
2013-10-01,79.534
2013-11-01,79.296
2013-12-01,79.121
2014-01-01,79.093
2014-02-01,79.135
2014-03-01,79.219
2014-04-01,79.431
2014-05-01,79.344
2014-06-01,79.183
2014-07-01,79.152
2014-08-01,79.033
2014-09-01,78.654
2014-10-01,78.318
2014-11-01,77.555
2014-12-01,76.976
2015-01-01,76.945
2015-02-01,77.329
2015-03-01,77.812
2015-04-01,78.319
2015-05-01,78.444
2015-06-01,78.384
2015-07-01,78.14
2015-08-01,77.873
2015-09-01,77.557
2015-10-01,77.076
2015-11-01,76.515
2015-12-01,76.153
2016-01-01,76.388
2016-02-01,76.627
2016-03-01,76.853
2016-04-01,76.946
2016-05-01,76.692
2016-06-01,76.297
2016-07-01,75.97
2016-08-01,75.639
2016-09-01,75.237
2016-10-01,75.105
2016-11-01,74.552
2016-12-01,74.402
2017-01-01,74.961
2017-02-01,75.112
2017-03-01,75.143
2017-04-01,75.163
2017-05-01,75.065
2017-06-01,74.847
2017-07-01,74.445
2017-08-01,74.116
2017-09-01,73.683
2017-10-01,73.418
2017-11-01,73.238
2017-12-01,73.256
2018-01-01,73.551
2018-02-01,73.656
2018-03-01,73.923
2018-04-01,73.783
2018-05-01,73.496
2018-06-01,73.555
2018-07-01,73.732
2018-08-01,73.556
2018-09-01,72.715
2018-10-01,72.928
2018-11-01,73.006
2018-12-01,72.92
2019-01-01,73.309
2019-02-01,73.374
2019-03-01,73.45
2019-04-01,73.236
2019-05-01,72.953
2019-06-01,73.18
2019-07-01,73.293
2019-08-01,73.216
2019-09-01,72.239
2019-10-01,72.1
2019-11-01,71.81
2019-12-01,71.532
2020-01-01,71.657
2020-02-01,71.937
2020-03-01,71.917
2020-04-01,71.709
2020-05-01,71.709
2020-06-01,71.656
2020-07-01,72.599
2020-08-01,73.676
2020-09-01,73.878
2020-10-01,73.977
2020-11-01,73.66
2020-12-01,73.617
2021-01-01,73.495
2021-02-01,73.627
2021-03-01,73.987
2021-04-01,76.07
2021-05-01,77.771
2021-06-01,79.985
2021-07-01,80.503
2021-08-01,80.685
2021-09-01,80.465
2021-10-01,81.455
2021-11-01,82.207
2021-12-01,83.188
2022-01-01,84.11
2022-02-01,84.587
2022-03-01,84.105
2022-04-01,84.244
2022-05-01,84.529
2022-06-01,85.002
2022-07-01,85.232
2022-08-01,85.498
2022-09-01,84.962
2022-10-01,84.546
2022-11-01,83.829
2022-12-01,83.229
2023-01-01,83.294
2023-02-01,83.321
2023-03-01,83.572
2023-04-01,84.37
2023-05-01,84.79
2023-06-01,85.009
2023-07-01,84.752
2023-08-01,84.427
2023-09-01,83.28
2023-10-01,82.861
2023-11-01,82.371
