"Date","CUUR0300SA0LE"
2003-04-01,183.7
2003-05-01,183.6
2003-06-01,183.6
2003-07-01,183.5
2003-08-01,183.7
2003-09-01,184
2003-10-01,184.7
2003-11-01,184.5
2003-12-01,184.5
2004-01-01,184.5
2004-02-01,185.3
2004-03-01,186.1
2004-04-01,186.7
2004-05-01,187
2004-06-01,187.2
2004-07-01,187.2
2004-08-01,187.3
2004-09-01,187.5
2004-10-01,188.3
2004-11-01,188.4
2004-12-01,188.5
2005-01-01,188.9
2005-02-01,189.7
2005-03-01,190.4
2005-04-01,190.8
2005-05-01,191.1
2005-06-01,191.2
2005-07-01,191.1
2005-08-01,191.1
2005-09-01,191.4
2005-10-01,192
2005-11-01,192.4
2005-12-01,192.7
2006-01-01,193.2
2006-02-01,193.9
2006-03-01,194.8
2006-04-01,195.1
2006-05-01,195.5
2006-06-01,195.9
2006-07-01,196.2
2006-08-01,196.4
2006-09-01,196.9
2006-10-01,197.6
2006-11-01,197.4
2006-12-01,197.5
2007-01-01,198.199
2007-02-01,199.209
2007-03-01,199.961
2007-04-01,200.492
2007-05-01,200.741
2007-06-01,201.114
2007-07-01,201.29
2007-08-01,201.551
2007-09-01,202.189
2007-10-01,202.973
2007-11-01,203.276
2007-12-01,203.509
2008-01-01,204.367
2008-02-01,204.986
2008-03-01,205.581
2008-04-01,206.086
2008-05-01,206.328
2008-06-01,206.981
2008-07-01,207.501
2008-08-01,208.001
2008-09-01,208.518
2008-10-01,208.869
2008-11-01,208.746
2008-12-01,208.344
2009-01-01,208.994
2009-02-01,209.6
2009-03-01,210.539
2009-04-01,210.915
2009-05-01,210.848
2009-06-01,211.153
2009-07-01,211.002
2009-08-01,210.981
2009-09-01,211.368
2009-10-01,212.038
2009-11-01,211.92
2009-12-01,211.782
2010-01-01,212.026
2010-02-01,212.433
2010-03-01,212.988
2010-04-01,212.985
2010-05-01,212.799
2010-06-01,212.889
2010-07-01,212.677
2010-08-01,212.963
2010-09-01,213.713
2010-10-01,213.944
2010-11-01,213.952
2010-12-01,213.71
2011-01-01,214.271
2011-02-01,215.229
2011-03-01,216.108
2011-04-01,216.661
2011-05-01,217.086
2011-06-01,217.21
2011-07-01,217.528
2011-08-01,218.39
2011-09-01,218.746
2011-10-01,219.413
2011-11-01,219.732
2011-12-01,219.742
2012-01-01,220.221
2012-02-01,220.81
2012-03-01,221.623
2012-04-01,222.159
2012-05-01,222.259
2012-06-01,222.61
2012-07-01,222.541
2012-08-01,222.605
2012-09-01,223.211
2012-10-01,223.806
2012-11-01,223.903
2012-12-01,223.901
2013-01-01,224.511
2013-02-01,225.302
2013-03-01,225.867
2013-04-01,226.021
2013-05-01,226.105
2013-06-01,226.367
2013-07-01,226.547
2013-08-01,227.007
2013-09-01,227.422
2013-10-01,227.964
2013-11-01,227.825
2013-12-01,227.926
2014-01-01,228.313
2014-02-01,229.105
2014-03-01,230.048
2014-04-01,230.648
2014-05-01,231.035
2014-06-01,231.113
2014-07-01,230.998
2014-08-01,231.359
2014-09-01,231.897
2014-10-01,232.537
2014-11-01,232.656
2014-12-01,232.305
2015-01-01,232.499
2015-02-01,233.304
2015-03-01,234.275
2015-04-01,234.887
2015-05-01,234.996
2015-06-01,235.265
2015-07-01,235.197
2015-08-01,235.572
2015-09-01,236.264
2015-10-01,236.99
2015-11-01,236.962
2015-12-01,236.573
2016-01-01,237.084
2016-02-01,237.975
2016-03-01,238.695
2016-04-01,239.219
2016-05-01,239.475
2016-06-01,239.631
2016-07-01,239.491
2016-08-01,239.992
2016-09-01,240.219
2016-10-01,240.703
2016-11-01,240.795
2016-12-01,240.722
2017-01-01,241.521
2017-02-01,242.363
2017-03-01,242.495
2017-04-01,242.583
2017-05-01,242.845
2017-06-01,243.192
2017-07-01,242.926
2017-08-01,243.533
2017-09-01,244.023
2017-10-01,244.616
2017-11-01,244.51
2017-12-01,244.387
2018-01-01,245.37
2018-02-01,246.506
2018-03-01,247.268
2018-04-01,247.597
2018-05-01,247.769
2018-06-01,247.985
2018-07-01,248.24
2018-08-01,248.001
2018-09-01,248.221
2018-10-01,248.76
2018-11-01,249.187
2018-12-01,249.057
2019-01-01,249.946
2019-02-01,251.036
2019-03-01,251.68
2019-04-01,252.14
2019-05-01,251.957
2019-06-01,252.362
2019-07-01,252.7
2019-08-01,253.101
2019-09-01,253.15
2019-10-01,253.87
2019-11-01,254.082
2019-12-01,253.918
2020-01-01,254.643
2020-02-01,255.665
2020-03-01,256.103
2020-04-01,255.461
2020-05-01,255.154
2020-06-01,255.764
2020-07-01,256.779
2020-08-01,258.003
2020-09-01,258.361
2020-10-01,258.969
2020-11-01,258.926
2020-12-01,259.037
2021-01-01,259.88
2021-02-01,260.649
2021-03-01,261.438
2021-04-01,263.378
2021-05-01,265.181
2021-06-01,267.389
2021-07-01,268.496
2021-08-01,269.161
2021-09-01,269.969
2021-10-01,272.056
2021-11-01,273.069
2021-12-01,274.471
2022-01-01,276.75
2022-02-01,279.073
2022-03-01,280.614
2022-04-01,282.174
2022-05-01,284.307
2022-06-01,286.659
2022-07-01,288.263
2022-08-01,289.989
2022-09-01,291.577
2022-10-01,292.84
2022-11-01,293.47
2022-12-01,294.063
2023-01-01,295.731
2023-02-01,297.728
2023-03-01,299.241
2023-04-01,300.717
2023-05-01,301.899
2023-06-01,302.538
2023-07-01,302.826
2023-08-01,303.789
2023-09-01,304.697
2023-10-01,305.458
2023-11-01,305.861
