"Date","CWSR0000SAF"
1976-03-01,61.3
1976-04-01,61.3
1976-05-01,61.5
1976-06-01,61.7
1976-07-01,61.9
1976-08-01,62.2
1976-09-01,62.4
1976-10-01,62.7
1976-11-01,62.7
1976-12-01,62.8
1977-01-01,63.1
1977-02-01,64.2
1977-03-01,64.5
1977-04-01,65.2
1977-05-01,65.5
1977-06-01,65.9
1977-07-01,66.1
1977-08-01,66.3
1977-09-01,66.6
1977-10-01,66.7
1977-11-01,67.3
1977-12-01,67.5
1978-01-01,68
1978-02-01,68.7
1978-03-01,69.5
1978-04-01,70.5
1978-05-01,71.7
1978-06-01,72.6
1978-07-01,73
1978-08-01,73.3
1978-09-01,73.6
1978-10-01,74.2
1978-11-01,74.7
1978-12-01,75.1
1979-01-01,76.4
1979-02-01,77.7
1979-03-01,78.5
1979-04-01,79.1
1979-05-01,79.6
1979-06-01,79.9
1979-07-01,80.4
1979-08-01,80.4
1979-09-01,80.9
1979-10-01,81.5
1979-11-01,82
1979-12-01,82.8
1980-01-01,83.3
1980-02-01,83.5
1980-03-01,84.1
1980-04-01,84.8
1980-05-01,85.4
1980-06-01,85.9
1980-07-01,86.8
1980-08-01,88.1
1980-09-01,89.2
1980-10-01,90
1980-11-01,91
1980-12-01,91.6
1981-01-01,91.7
1981-02-01,92.2
1981-03-01,92.6
1981-04-01,92.7
1981-05-01,92.8
1981-06-01,93.2
1981-07-01,93.9
1981-08-01,94.5
1981-09-01,94.8
1981-10-01,94.9
1981-11-01,95.1
1981-12-01,95.2
1982-01-01,95.6
1982-02-01,96.3
1982-03-01,96.2
1982-04-01,96.4
1982-05-01,97.1
1982-06-01,98
1982-07-01,98.2
1982-08-01,97.9
1982-09-01,98.1
1982-10-01,98.2
1982-11-01,98.2
1982-12-01,98.2
1983-01-01,98.1
1983-02-01,98.3
1983-03-01,98.8
1983-04-01,99.3
1983-05-01,99.5
1983-06-01,99.6
1983-07-01,99.6
1983-08-01,99.7
1983-09-01,100
1983-10-01,100.3
1983-11-01,100.3
1983-12-01,100.6
1984-01-01,101.8
1984-02-01,102.6
1984-03-01,102.7
1984-04-01,102.8
1984-05-01,102.6
1984-06-01,103
1984-07-01,103.2
1984-08-01,103.7
1984-09-01,103.6
1984-10-01,103.8
1984-11-01,103.9
1984-12-01,104.3
1985-01-01,104.5
1985-02-01,105
1985-03-01,105.3
1985-04-01,105.2
1985-05-01,105.1
1985-06-01,105.4
1985-07-01,105.3
1985-08-01,105.4
1985-09-01,105.6
1985-10-01,105.8
1985-11-01,106.5
1985-12-01,107.1
1986-01-01,107.4
1986-02-01,107.3
1986-03-01,107.5
1986-04-01,107.7
1986-05-01,108.1
1986-06-01,108.2
1986-07-01,109
1986-08-01,109.9
1986-09-01,110.1
1986-10-01,110.4
1986-11-01,110.9
1986-12-01,111.2
1987-01-01,111.7
1987-02-01,112
1987-03-01,112.2
1987-04-01,112.4
1987-05-01,113
1987-06-01,113.6
1987-07-01,113.5
1987-08-01,113.7
1987-09-01,114.1
1987-10-01,114.4
1987-11-01,114.5
1987-12-01,114.9
1988-01-01,115.3
1988-02-01,115.4
1988-03-01,115.7
1988-04-01,116.2
1988-05-01,116.7
1988-06-01,117.3
1988-07-01,118.5
1988-08-01,119.1
1988-09-01,119.7
1988-10-01,120
1988-11-01,120.2
1988-12-01,120.7
1989-01-01,121.3
1989-02-01,122.1
1989-03-01,122.8
1989-04-01,123.4
1989-05-01,124.2
1989-06-01,124.6
1989-07-01,125.1
1989-08-01,125.5
1989-09-01,125.8
1989-10-01,126.3
1989-11-01,126.9
1989-12-01,127.4
1990-01-01,129.1
1990-02-01,130.2
1990-03-01,130.5
1990-04-01,130.3
1990-05-01,130.5
1990-06-01,131.5
1990-07-01,132.2
1990-08-01,132.7
1990-09-01,133
1990-10-01,133.5
1990-11-01,133.9
1990-12-01,134
1991-01-01,134.9
1991-02-01,135.4
1991-03-01,135.7
1991-04-01,136.4
1991-05-01,136.8
1991-06-01,137.5
1991-07-01,136.9
1991-08-01,136.6
1991-09-01,136.7
1991-10-01,136.6
1991-11-01,137
1991-12-01,137.3
1992-01-01,136.9
1992-02-01,137.5
1992-03-01,138
1992-04-01,137.9
1992-05-01,137.7
1992-06-01,138
1992-07-01,137.9
1992-08-01,138.7
1992-09-01,139.3
1992-10-01,139.3
1992-11-01,139.2
1992-12-01,139.4
1993-01-01,139.6
1993-02-01,139.9
1993-03-01,139.9
1993-04-01,140.4
1993-05-01,141.3
1993-06-01,141
1993-07-01,141
1993-08-01,141.5
1993-09-01,141.7
1993-10-01,142.3
1993-11-01,142.6
1993-12-01,143
1994-01-01,143.2
1994-02-01,143
1994-03-01,143
1994-04-01,143.2
1994-05-01,143.6
1994-06-01,144
1994-07-01,144.7
1994-08-01,145.2
1994-09-01,145.4
1994-10-01,145.3
1994-11-01,145.6
1994-12-01,146.6
1995-01-01,146.6
1995-02-01,147.1
1995-03-01,147
1995-04-01,148
1995-05-01,148.1
1995-06-01,148.1
1995-07-01,148.3
1995-08-01,148.6
1995-09-01,149
1995-10-01,149.4
1995-11-01,149.5
1995-12-01,149.8
1996-01-01,150.3
1996-02-01,150.7
1996-03-01,151.4
1996-04-01,152.1
1996-05-01,151.9
1996-06-01,152.8
1996-07-01,153.3
1996-08-01,153.8
1996-09-01,154.5
1996-10-01,155.3
1996-11-01,155.9
1996-12-01,156.1
1997-01-01,155.9
1997-02-01,156.4
1997-03-01,156.5
1997-04-01,156.5
1997-05-01,156.6
1997-06-01,156.8
1997-07-01,157.1
1997-08-01,157.6
1997-09-01,157.8
1997-10-01,158.1
1997-11-01,158.4
1997-12-01,158.5
1998-01-01,159.3
1998-02-01,159.1
1998-03-01,159.4
1998-04-01,159.5
1998-05-01,160
1998-06-01,159.9
1998-07-01,160.3
1998-08-01,160.7
1998-09-01,160.8
1998-10-01,161.6
1998-11-01,161.9
1998-12-01,162.1
1999-01-01,162.7
1999-02-01,163
1999-03-01,162.9
1999-04-01,163.1
1999-05-01,163.4
1999-06-01,163.3
1999-07-01,163.5
1999-08-01,163.9
1999-09-01,164.4
1999-10-01,164.7
1999-11-01,165
1999-12-01,165.3
2000-01-01,165.3
2000-02-01,166
2000-03-01,166.4
2000-04-01,166.6
2000-05-01,167.2
2000-06-01,167.3
2000-07-01,168.2
2000-08-01,168.6
2000-09-01,168.8
2000-10-01,168.9
2000-11-01,169
2000-12-01,169.8
2001-01-01,170.2
2001-02-01,171.1
2001-03-01,171.6
2001-04-01,172
2001-05-01,172.3
2001-06-01,172.9
2001-07-01,173.5
2001-08-01,173.9
2001-09-01,174.1
2001-10-01,174.7
2001-11-01,174.8
2001-12-01,174.6
2002-01-01,175.2
2002-02-01,175.6
2002-03-01,176
2002-04-01,176.2
2002-05-01,175.8
2002-06-01,175.8
2002-07-01,176
2002-08-01,176
2002-09-01,176.3
2002-10-01,176.2
2002-11-01,176.8
2002-12-01,177
2003-01-01,177
2003-02-01,178
2003-03-01,178.3
2003-04-01,178.4
2003-05-01,178.7
2003-06-01,179.6
2003-07-01,179.7
2003-08-01,180.4
2003-09-01,180.9
2003-10-01,181.6
2003-11-01,182.7
2003-12-01,183.5
2004-01-01,183.4
2004-02-01,183.8
2004-03-01,184.2
2004-04-01,184.5
2004-05-01,186.1
2004-06-01,186.4
2004-07-01,186.8
2004-08-01,187
2004-09-01,186.9
2004-10-01,187.8
2004-11-01,188.4
2004-12-01,188.4
2005-01-01,188.6
2005-02-01,188.6
2005-03-01,189
2005-04-01,190.2
2005-05-01,190.4
2005-06-01,190.3
2005-07-01,190.7
2005-08-01,190.8
2005-09-01,191.2
2005-10-01,191.7
2005-11-01,192.3
2005-12-01,192.6
2006-01-01,193.4
2006-02-01,193.5
2006-03-01,193.7
2006-04-01,193.5
2006-05-01,193.8
2006-06-01,194.3
2006-07-01,194.7
2006-08-01,195.3
2006-09-01,196
2006-10-01,196.5
2006-11-01,196.7
2006-12-01,196.7
2007-01-01,197.892
2007-02-01,199.284
2007-03-01,200.016
2007-04-01,200.573
2007-05-01,201.447
2007-06-01,202.272
2007-07-01,202.92
2007-08-01,203.703
2007-09-01,204.63
2007-10-01,205.284
2007-11-01,206.017
2007-12-01,206.375
2008-01-01,207.593
2008-02-01,208.417
2008-03-01,208.831
2008-04-01,210.552
2008-05-01,211.415
2008-06-01,212.771
2008-07-01,214.776
2008-08-01,215.924
2008-09-01,217.172
2008-10-01,218.069
2008-11-01,218.526
2008-12-01,218.583
2009-01-01,218.699
2009-02-01,218.392
2009-03-01,218.009
2009-04-01,217.651
2009-05-01,217.326
2009-06-01,217.316
2009-07-01,216.911
2009-08-01,216.96
2009-09-01,216.786
2009-10-01,217.041
2009-11-01,217.182
2009-12-01,217.486
2010-01-01,217.966
2010-02-01,218.083
2010-03-01,218.439
2010-04-01,218.71
2010-05-01,218.854
2010-06-01,218.797
2010-07-01,218.867
2010-08-01,219.127
2010-09-01,219.838
2010-10-01,220.092
2010-11-01,220.571
2010-12-01,220.818
2011-01-01,221.962
2011-02-01,223.006
2011-03-01,224.681
2011-04-01,225.603
2011-05-01,226.493
2011-06-01,226.964
2011-07-01,227.819
2011-08-01,228.981
2011-09-01,230.044
2011-10-01,230.303
2011-11-01,230.484
2011-12-01,230.931
2012-01-01,231.623
2012-02-01,231.645
2012-03-01,232.014
2012-04-01,232.433
2012-05-01,232.618
2012-06-01,233.111
2012-07-01,233.217
2012-08-01,233.579
2012-09-01,233.685
2012-10-01,234.101
2012-11-01,234.498
2012-12-01,234.945
2013-01-01,235.264
2013-02-01,235.269
2013-03-01,235.466
2013-04-01,235.824
2013-05-01,235.691
2013-06-01,236.321
2013-07-01,236.477
2013-08-01,236.777
2013-09-01,236.817
2013-10-01,237.042
2013-11-01,237.241
2013-12-01,237.49
2014-01-01,237.755
2014-02-01,238.573
2014-03-01,239.671
2014-04-01,240.482
2014-05-01,241.594
2014-06-01,241.768
2014-07-01,242.314
2014-08-01,243.023
2014-09-01,243.711
2014-10-01,244.098
2014-11-01,244.682
2014-12-01,245.403
2015-01-01,245.354
2015-02-01,245.562
2015-03-01,245.257
2015-04-01,245.155
2015-05-01,245.401
2015-06-01,245.988
2015-07-01,246.163
2015-08-01,246.697
2015-09-01,247.433
2015-10-01,247.739
2015-11-01,247.485
2015-12-01,247.113
2016-01-01,247.269
2016-02-01,247.555
2016-03-01,246.998
2016-04-01,247.261
2016-05-01,246.832
2016-06-01,246.625
2016-07-01,246.563
2016-08-01,246.619
2016-09-01,246.648
2016-10-01,246.755
2016-11-01,246.618
2016-12-01,246.626
2017-01-01,246.938
2017-02-01,247.556
2017-03-01,248.08
2017-04-01,248.301
2017-05-01,248.773
2017-06-01,248.623
2017-07-01,249.041
2017-08-01,249.363
2017-09-01,249.679
2017-10-01,249.876
2017-11-01,250.061
2017-12-01,250.543
2018-01-01,251.198
2018-02-01,251.072
2018-03-01,251.196
2018-04-01,251.629
2018-05-01,251.549
2018-06-01,251.864
2018-07-01,252.254
2018-08-01,252.599
2018-09-01,253.044
2018-10-01,252.906
2018-11-01,253.704
2018-12-01,254.652
2019-01-01,255.283
2019-02-01,256.012
2019-03-01,256.376
2019-04-01,255.99
2019-05-01,256.421
2019-06-01,256.462
2019-07-01,256.658
2019-08-01,256.81
2019-09-01,257.324
2019-10-01,257.922
2019-11-01,258.338
2019-12-01,258.985
2020-01-01,259.724
2020-02-01,260.466
2020-03-01,261.201
2020-04-01,264.988
2020-05-01,266.934
2020-06-01,268.081
2020-07-01,267.121
2020-08-01,267.363
2020-09-01,267.481
2020-10-01,268.126
2020-11-01,268.25
2020-12-01,269.333
2021-01-01,269.749
2021-02-01,270.146
2021-03-01,270.448
2021-04-01,271.211
2021-05-01,272.395
2021-06-01,274.352
2021-07-01,276.202
2021-08-01,277.271
2021-09-01,279.792
2021-10-01,282.247
2021-11-01,284.397
2021-12-01,286.07
2022-01-01,288.259
2022-02-01,291.046
2022-03-01,293.709
2022-04-01,295.89
2022-05-01,299.054
2022-06-01,301.871
2022-07-01,304.928
2022-08-01,307.452
2022-09-01,309.779
2022-10-01,311.832
2022-11-01,313.646
2022-12-01,315.066
2023-01-01,316.53
2023-02-01,317.693
2023-03-01,317.73
2023-04-01,318.03
2023-05-01,318.748
2023-06-01,319.196
2023-07-01,319.927
2023-08-01,320.739
2023-09-01,321.596
2023-10-01,322.597
2023-11-01,323.184
