"Date","CUURA210SAF"
2015-07-01,250.988
2015-08-01,NA
2015-09-01,251.224
2015-10-01,NA
2015-11-01,249.862
2015-12-01,NA
2016-01-01,251.969
2016-02-01,NA
2016-03-01,250.691
2016-04-01,NA
2016-05-01,249.436
2016-06-01,NA
2016-07-01,249.918
2016-08-01,NA
2016-09-01,249.587
2016-10-01,NA
2016-11-01,246.653
2016-12-01,NA
2017-01-01,249.229
2017-02-01,NA
2017-03-01,250.214
2017-04-01,NA
2017-05-01,250.232
2017-06-01,NA
2017-07-01,250.098
2017-08-01,NA
2017-09-01,250.121
2017-10-01,NA
2017-11-01,252.024
