"Date","CUUR0000SETA"
2015-09-01,100.702
2015-10-01,100.134
2015-11-01,99.778
2015-12-01,99.686
2016-01-01,100.009
2016-02-01,100.656
2016-03-01,101.18
2016-04-01,101.41
2016-05-01,101.239
2016-06-01,100.919
2016-07-01,100.85
2016-08-01,100.352
2016-09-01,99.537
2016-10-01,99.112
2016-11-01,98.59
2016-12-01,98.656
2017-01-01,99.15
2017-02-01,99.482
2017-03-01,99.582
2017-04-01,99.901
2017-05-01,99.851
2017-06-01,99.492
2017-07-01,99.12
2017-08-01,98.772
2017-09-01,97.831
2017-10-01,97.476
2017-11-01,97.553
2017-12-01,98.327
2018-01-01,98.644
2018-02-01,99.01
2018-03-01,99.552
2018-04-01,99.117
2018-05-01,98.996
2018-06-01,99.447
2018-07-01,100.071
2018-08-01,99.985
2018-09-01,98.261
2018-10-01,98.425
2018-11-01,98.9
2018-12-01,99.147
2019-01-01,99.548
2019-02-01,99.491
2019-03-01,99.975
2019-04-01,99.984
2019-05-01,99.416
2019-06-01,99.874
2019-07-01,100.371
2019-08-01,100.407
2019-09-01,98.751
2019-10-01,98.684
2019-11-01,98.441
2019-12-01,98.495
2020-01-01,98.491
2020-02-01,99.028
2020-03-01,99.527
2020-04-01,98.987
2020-05-01,98.717
2020-06-01,98.565
2020-07-01,100.161
2020-08-01,102.07
2020-09-01,102.575
2020-10-01,103.35
2020-11-01,103.442
2020-12-01,103.242
2021-01-01,102.492
2021-02-01,102.704
2021-03-01,103.909
2021-04-01,108.477
2021-05-01,112.405
2021-06-01,118.941
2021-07-01,120.058
2021-08-01,119.475
2021-09-01,117.947
2021-10-01,120.192
2021-11-01,122.436
2021-12-01,124.853
2022-01-01,126.211
2022-02-01,126.822
2022-03-01,126.417
2022-04-01,127.338
2022-05-01,127.847
2022-06-01,130.45
2022-07-01,131.074
2022-08-01,131.226
2022-09-01,129.572
2022-10-01,128.523
2022-11-01,126.795
2022-12-01,125.674
2023-01-01,125.343
2023-02-01,125.178
2023-03-01,126.28
2023-04-01,128.294
2023-05-01,129.619
2023-06-01,130.41
2023-07-01,130.469
2023-08-01,129.864
2023-09-01,127.194
2023-10-01,126.347
2023-11-01,126.89
