"Date","SUUR0000SAG"
2007-06-01,123.784
2007-07-01,123.822
2007-08-01,123.938
2007-09-01,124.515
2007-10-01,124.874
2007-11-01,125.077
2007-12-01,125.479
2008-01-01,125.91
2008-02-01,126.31
2008-03-01,126.903
2008-04-01,127.331
2008-05-01,127.715
2008-06-01,128.009
2008-07-01,128.384
2008-08-01,128.564
2008-09-01,128.93
2008-10-01,129.242
2008-11-01,128.518
2008-12-01,128.66
2009-01-01,128.992
2009-02-01,129.329
2009-03-01,132.614
2009-04-01,135.614
2009-05-01,135.405
2009-06-01,135.58
2009-07-01,136.306
2009-08-01,136.308
2009-09-01,136.864
2009-10-01,137.265
2009-11-01,137.719
2009-12-01,137.908
2010-01-01,137.975
2010-02-01,138.129
2010-03-01,138.477
2010-04-01,138.543
2010-05-01,138.867
2010-06-01,139.257
2010-07-01,139.906
2010-08-01,140.081
2010-09-01,140.02
2010-10-01,139.806
2010-11-01,140.114
2010-12-01,140.477
2011-01-01,140.607
2011-02-01,140.793
2011-03-01,141.079
2011-04-01,145.364
2011-05-01,145.056
2011-06-01,145.395
2011-07-01,145.529
2011-08-01,145.625
2011-09-01,146.254
2011-10-01,146.502
2011-11-01,146.998
2011-12-01,146.952
2012-01-01,147.202
2012-02-01,147.21
2012-03-01,147.763
2012-04-01,147.979
2012-05-01,147.991
2012-06-01,148.377
2012-07-01,148.787
2012-08-01,149.035
2012-09-01,149.001
2012-10-01,149.089
2012-11-01,149.215
2012-12-01,149.211
2013-01-01,149.532
2013-02-01,149.734
2013-03-01,150.171
2013-04-01,150.583
2013-05-01,150.456
2013-06-01,150.613
2013-07-01,150.895
2013-08-01,151.102
2013-09-01,151.236
2013-10-01,151.278
2013-11-01,151.415
2013-12-01,151.765
2014-01-01,152.165
2014-02-01,152.486
2014-03-01,152.807
2014-04-01,152.791
2014-05-01,152.781
2014-06-01,153.074
2014-07-01,153.227
2014-08-01,153.391
2014-09-01,153.508
2014-10-01,153.977
2014-11-01,153.661
2014-12-01,153.826
2015-01-01,154.32
2015-02-01,153.457
2015-03-01,153.818
2015-04-01,153.89
2015-05-01,154.057
2015-06-01,154.738
2015-07-01,154.819
2015-08-01,154.863
2015-09-01,155.129
2015-10-01,155.727
2015-11-01,155.893
2015-12-01,155.729
2016-01-01,155.98
2016-02-01,156.198
2016-03-01,156.903
2016-04-01,157.179
2016-05-01,157.664
2016-06-01,157.97
2016-07-01,158.361
2016-08-01,158.551
2016-09-01,158.984
2016-10-01,159.061
2016-11-01,159.282
2016-12-01,159.574
2017-01-01,159.867
2017-02-01,159.974
2017-03-01,160.08
2017-04-01,160.853
2017-05-01,160.609
2017-06-01,161.065
2017-07-01,161.191
2017-08-01,160.894
2017-09-01,161.209
2017-10-01,161.871
2017-11-01,161.93
2017-12-01,161.682
2018-01-01,162.341
2018-02-01,162.576
2018-03-01,163.054
2018-04-01,164.689
2018-05-01,164.647
2018-06-01,164.702
2018-07-01,164.846
2018-08-01,164.771
2018-09-01,164.914
2018-10-01,165.315
2018-11-01,165.784
2018-12-01,165.464
2019-01-01,165.852
2019-02-01,166.522
2019-03-01,166.298
2019-04-01,166.421
2019-05-01,166.942
2019-06-01,166.788
2019-07-01,167.584
2019-08-01,167.949
2019-09-01,167.995
2019-10-01,168.682
2019-11-01,169.174
2019-12-01,168.631
2020-01-01,169.854
2020-02-01,170.618
2020-03-01,171.17
2020-04-01,170.981
2020-05-01,170.702
2020-06-01,171.433
2020-07-01,172.005
2020-08-01,171.664
2020-09-01,171.824
2020-10-01,171.996
2020-11-01,172.325
2020-12-01,172.337
2021-01-01,173.163
2021-02-01,173.871
2021-03-01,174.967
2021-04-01,175.268
2021-05-01,174.871
2021-06-01,175.078
2021-07-01,176.407
2021-08-01,177.127
2021-09-01,177.307
2021-10-01,178.56
2021-11-01,178.815
2021-12-01,179.663
2022-01-01,181.037
2022-02-01,182.712
2022-03-01,183.757
2022-04-01,184.675
2022-05-01,185.312
2022-06-01,186.105
2022-07-01,186.829
2022-08-01,188.173
2022-09-01,188.694
2022-10-01,189.455
2022-11-01,190.628
2022-12-01,190.339
2023-01-01,191.548
2023-02-01,193.261
2023-03-01,194.223
2023-04-01,195.961
2023-05-01,196.981
2023-06-01,197.302
2023-07-01,197.553
2023-08-01,198.352
2023-09-01,199.483
2023-10-01,200.74
2023-11-01,201.124
