"Date","SUUR0000SAF"
2012-09-01,135.42
2012-10-01,135.702
2012-11-01,135.664
2012-12-01,135.887
2013-01-01,136.475
2013-02-01,136.513
2013-03-01,136.573
2013-04-01,136.785
2013-05-01,136.647
2013-06-01,136.673
2013-07-01,136.751
2013-08-01,136.985
2013-09-01,137.043
2013-10-01,137.192
2013-11-01,136.943
2013-12-01,137.047
2014-01-01,137.586
2014-02-01,137.943
2014-03-01,138.419
2014-04-01,138.846
2014-05-01,139.371
2014-06-01,139.223
2014-07-01,139.581
2014-08-01,139.964
2014-09-01,140.4
2014-10-01,140.673
2014-11-01,140.731
2014-12-01,141.039
2015-01-01,141.363
2015-02-01,141.414
2015-03-01,141.175
2015-04-01,141.279
2015-05-01,141.324
2015-06-01,141.317
2015-07-01,141.396
2015-08-01,141.821
2015-09-01,142.491
2015-10-01,142.765
2015-11-01,142.334
2015-12-01,142.06
2016-01-01,142.5
2016-02-01,142.615
2016-03-01,142.19
2016-04-01,142.404
2016-05-01,142.112
2016-06-01,141.804
2016-07-01,141.846
2016-08-01,141.989
2016-09-01,142.135
2016-10-01,142.242
2016-11-01,141.817
2016-12-01,141.763
2017-01-01,142.321
2017-02-01,142.667
2017-03-01,142.859
2017-04-01,143.199
2017-05-01,143.335
2017-06-01,143.015
2017-07-01,143.301
2017-08-01,143.441
2017-09-01,143.817
2017-10-01,143.979
2017-11-01,143.711
2017-12-01,143.883
2018-01-01,144.462
2018-02-01,144.47
2018-03-01,144.526
2018-04-01,144.963
2018-05-01,144.847
2018-06-01,144.893
2018-07-01,145.163
2018-08-01,145.251
2018-09-01,145.487
2018-10-01,145.495
2018-11-01,145.537
2018-12-01,145.854
2019-01-01,146.555
2019-02-01,146.976
2019-03-01,147.237
2019-04-01,147.227
2019-05-01,147.407
2019-06-01,147.328
2019-07-01,147.391
2019-08-01,147.471
2019-09-01,147.772
2019-10-01,148.092
2019-11-01,147.972
2019-12-01,148.078
2020-01-01,148.829
2020-02-01,149.284
2020-03-01,149.773
2020-04-01,152.709
2020-05-01,153.974
2020-06-01,154.785
2020-07-01,154.107
2020-08-01,154.197
2020-09-01,154.026
2020-10-01,154.407
2020-11-01,153.831
2020-12-01,154.343
2021-01-01,154.855
2021-02-01,155.115
2021-03-01,155.411
2021-04-01,156.119
2021-05-01,156.677
2021-06-01,157.732
2021-07-01,158.772
2021-08-01,159.328
2021-09-01,160.724
2021-10-01,162.211
2021-11-01,162.764
2021-12-01,163.539
2022-01-01,165.025
2022-02-01,166.859
2022-03-01,168.564
2022-04-01,170.186
2022-05-01,171.969
2022-06-01,173.485
2022-07-01,175.315
2022-08-01,176.745
2022-09-01,178.117
2022-10-01,179.343
2022-11-01,179.677
2022-12-01,180.274
2023-01-01,181.527
2023-02-01,182.334
2023-03-01,182.53
2023-04-01,182.974
2023-05-01,183.419
2023-06-01,183.607
2023-07-01,184.109
2023-08-01,184.425
2023-09-01,184.814
2023-10-01,185.389
2023-11-01,185.07
