"Date","CUUR0000SETG"
1967-01-01,27
1967-02-01,27
1967-03-01,27.1
1967-04-01,27.1
1967-05-01,27.2
1967-06-01,27.5
1967-07-01,27.6
1967-08-01,27.6
1967-09-01,27.6
1967-10-01,27.6
1967-11-01,27.9
1967-12-01,28
1968-01-01,28.1
1968-02-01,28.3
1968-03-01,28.5
1968-04-01,28.5
1968-05-01,28.5
1968-06-01,28.7
1968-07-01,28.7
1968-08-01,28.8
1968-09-01,28.8
1968-10-01,28.8
1968-11-01,28.9
1968-12-01,30
1969-01-01,30.1
1969-02-01,30.2
1969-03-01,30.6
1969-04-01,30.7
1969-05-01,30.7
1969-06-01,31
1969-07-01,31
1969-08-01,31.1
1969-09-01,31.2
1969-10-01,31.2
1969-11-01,31.4
1969-12-01,31.8
1970-01-01,34.3
1970-02-01,34.3
1970-03-01,34.4
1970-04-01,34.4
1970-05-01,34.6
1970-06-01,34.8
1970-07-01,35.5
1970-08-01,35.5
1970-09-01,36
1970-10-01,36
1970-11-01,36.3
1970-12-01,36.6
1971-01-01,36.7
1971-02-01,36.9
1971-03-01,37.3
1971-04-01,37.4
1971-05-01,37.4
1971-06-01,38.1
1971-07-01,38.1
1971-08-01,38.2
1971-09-01,38.2
1971-10-01,38.2
1971-11-01,38.2
1971-12-01,38.3
1972-01-01,39.3
1972-02-01,39.4
1972-03-01,39
1972-04-01,39.1
1972-05-01,39.1
1972-06-01,39.2
1972-07-01,39.3
1972-08-01,39.3
1972-09-01,39.5
1972-10-01,39.5
1972-11-01,39.5
1972-12-01,39.6
1973-01-01,39.6
1973-02-01,39.6
1973-03-01,39.6
1973-04-01,39.5
1973-05-01,39.5
1973-06-01,39.7
1973-07-01,39.7
1973-08-01,39.7
1973-09-01,39.9
1973-10-01,39.8
1973-11-01,39.7
1973-12-01,40.2
1974-01-01,40
1974-02-01,40.1
1974-03-01,40.2
1974-04-01,40.1
1974-05-01,40.1
1974-06-01,40.8
1974-07-01,40.8
1974-08-01,40.8
1974-09-01,40.8
1974-10-01,40.8
1974-11-01,41
1974-12-01,41.7
1975-01-01,41.7
1975-02-01,41.8
1975-03-01,41.8
1975-04-01,41.8
1975-05-01,41.8
1975-06-01,42.3
1975-07-01,42.5
1975-08-01,42.5
1975-09-01,46.5
1975-10-01,46.3
1975-11-01,46.3
1975-12-01,46.7
1976-01-01,46.7
1976-02-01,46.7
1976-03-01,47.3
1976-04-01,47.3
1976-05-01,47.3
1976-06-01,47.6
1976-07-01,47.8
1976-08-01,47.9
1976-09-01,48.5
1976-10-01,48.7
1976-11-01,48.7
1976-12-01,48.8
1977-01-01,49
1977-02-01,49.1
1977-03-01,49.5
1977-04-01,49.5
1977-05-01,49.8
1977-06-01,50.2
1977-07-01,50.3
1977-08-01,50.3
1977-09-01,50.5
1977-10-01,50.6
1977-11-01,50.7
1977-12-01,50.9
1978-01-01,51.2
1978-02-01,51.2
1978-03-01,51.3
1978-04-01,51.4
1978-05-01,51.4
1978-06-01,51.3
1978-07-01,51.5
1978-08-01,51.5
1978-09-01,51.6
1978-10-01,51.9
1978-11-01,52
1978-12-01,51.9
1979-01-01,52.1
1979-02-01,52.3
1979-03-01,52.5
1979-04-01,52.8
1979-05-01,53
1979-06-01,53.2
1979-07-01,54.1
1979-08-01,55.1
1979-09-01,56.3
1979-10-01,57.4
1979-11-01,59.4
1979-12-01,61.2
1980-01-01,62.2
1980-02-01,62.9
1980-03-01,63.7
1980-04-01,64.7
1980-05-01,65.7
1980-06-01,66.4
1980-07-01,68.7
1980-08-01,71.7
1980-09-01,74.3
1980-10-01,75
1980-11-01,76
1980-12-01,76.8
1981-01-01,78.6
1981-02-01,79
1981-03-01,80.6
1981-04-01,81.5
1981-05-01,81.7
1981-06-01,83.4
1981-07-01,88.6
1981-08-01,89.6
1981-09-01,90.3
1981-10-01,90.7
1981-11-01,91.4
1981-12-01,91.6
1982-01-01,91.9
1982-02-01,92.4
1982-03-01,92.3
1982-04-01,93.1
1982-05-01,93.8
1982-06-01,94.8
1982-07-01,95.2
1982-08-01,95.5
1982-09-01,96.9
1982-10-01,97.7
1982-11-01,97.6
1982-12-01,97.5
1983-01-01,98.1
1983-02-01,97.4
1983-03-01,97.2
1983-04-01,99
1983-05-01,98.5
1983-06-01,99.1
1983-07-01,99.6
1983-08-01,100.1
1983-09-01,100.6
1983-10-01,101
1983-11-01,101.6
1983-12-01,101.2
1984-01-01,103.7
1984-02-01,103.5
1984-03-01,103.5
1984-04-01,103.7
1984-05-01,104.4
1984-06-01,105.7
1984-07-01,106.8
1984-08-01,107.2
1984-09-01,106.8
1984-10-01,107.3
1984-11-01,107.5
1984-12-01,107.7
1985-01-01,108.2
1985-02-01,108.2
1985-03-01,109
1985-04-01,109.2
1985-05-01,109.3
1985-06-01,109.5
1985-07-01,110.4
1985-08-01,110.7
1985-09-01,111.9
1985-10-01,112.9
1985-11-01,113.2
1985-12-01,113.2
1986-01-01,115.1
1986-02-01,115.8
1986-03-01,115.5
1986-04-01,115.8
1986-05-01,116.2
1986-06-01,116.7
1986-07-01,117.4
1986-08-01,117.4
1986-09-01,117.5
1986-10-01,117.6
1986-11-01,118.4
1986-12-01,120
1987-01-01,120.4
1987-02-01,120.6
1987-03-01,121.1
1987-04-01,120.9
1987-05-01,120.6
1987-06-01,120.2
1987-07-01,120.2
1987-08-01,121.5
1987-09-01,122.1
1987-10-01,121.2
1987-11-01,122
1987-12-01,122.1
1988-01-01,121.8
1988-02-01,120.8
1988-03-01,121.4
1988-04-01,122.4
1988-05-01,122.4
1988-06-01,123.2
1988-07-01,123.7
1988-08-01,123.7
1988-09-01,124
1988-10-01,124.2
1988-11-01,125.3
1988-12-01,126.5
1989-01-01,127.5
1989-02-01,128.1
1989-03-01,128.2
1989-04-01,128.4
1989-05-01,128.9
1989-06-01,129.6
1989-07-01,129.7
1989-08-01,130.1
1989-09-01,130.1
1989-10-01,130.6
1989-11-01,131.3
1989-12-01,131.7
1990-01-01,134.2
1990-02-01,136.7
1990-03-01,139.1
1990-04-01,140.3
1990-05-01,140.9
1990-06-01,141.5
1990-07-01,141.6
1990-08-01,141.9
1990-09-01,144
1990-10-01,146.6
1990-11-01,150.3
1990-12-01,154.4
1991-01-01,155.4
1991-02-01,156.2
1991-03-01,153.3
1991-04-01,147.1
1991-05-01,146
1991-06-01,146.6
1991-07-01,146.7
1991-08-01,147.6
1991-09-01,146.6
1991-10-01,144.9
1991-11-01,147
1991-12-01,149.8
1992-01-01,151.5
1992-02-01,150.7
1992-03-01,153.5
1992-04-01,154.7
1992-05-01,151.6
1992-06-01,145.3
1992-07-01,148.3
1992-08-01,146.7
1992-09-01,145.6
1992-10-01,152.9
1992-11-01,157.4
1992-12-01,158.2
1993-01-01,161.6
1993-02-01,164.1
1993-03-01,163.5
1993-04-01,162.8
1993-05-01,165.5
1993-06-01,164.5
1993-07-01,167.7
1993-08-01,168.1
1993-09-01,168.4
1993-10-01,168.2
1993-11-01,173
1993-12-01,176.5
1994-01-01,175.3
1994-02-01,175.9
1994-03-01,178.5
1994-04-01,176.5
1994-05-01,169.9
1994-06-01,169.9
1994-07-01,171.4
1994-08-01,173.2
1994-09-01,171.7
1994-10-01,168.4
1994-11-01,167.2
1994-12-01,165.6
1995-01-01,168.4
1995-02-01,169.9
1995-03-01,174.5
1995-04-01,176.7
1995-05-01,176.7
1995-06-01,182.5
1995-07-01,181.8
1995-08-01,177.1
1995-09-01,176.1
1995-10-01,178.7
1995-11-01,177.5
1995-12-01,170.7
1996-01-01,171.6
1996-02-01,177.4
1996-03-01,178.9
1996-04-01,179.3
1996-05-01,180.2
1996-06-01,182.2
1996-07-01,182.7
1996-08-01,181.4
1996-09-01,184.6
1996-10-01,187.2
1996-11-01,187.3
1996-12-01,189.9
1997-01-01,185.8
1997-02-01,182.4
1997-03-01,188.1
1997-04-01,189.8
1997-05-01,188.1
1997-06-01,186.6
1997-07-01,189.4
1997-08-01,183.4
1997-09-01,186
1997-10-01,190.9
1997-11-01,185.9
1997-12-01,184.3
1998-01-01,187.1
1998-02-01,191.2
1998-03-01,193.7
1998-04-01,193.4
1998-05-01,190.4
1998-06-01,188.2
1998-07-01,192
1998-08-01,192.2
1998-09-01,190.2
1998-10-01,189.9
1998-11-01,187.4
1998-12-01,188.4
1999-01-01,190.4
1999-02-01,193.1
1999-03-01,198.8
1999-04-01,201.4
1999-05-01,198.4
1999-06-01,192.6
1999-07-01,200.8
1999-08-01,197.1
1999-09-01,194.7
1999-10-01,201.5
1999-11-01,202.2
1999-12-01,201.2
2000-01-01,199.5
2000-02-01,204.2
2000-03-01,209.8
2000-04-01,209.2
2000-05-01,210.4
2000-06-01,212.6
2000-07-01,213.7
2000-08-01,215.7
2000-09-01,213
2000-10-01,208
2000-11-01,209.1
2000-12-01,209.5
2001-01-01,210.2
2001-02-01,212.1
2001-03-01,210
2001-04-01,208.3
2001-05-01,209.3
2001-06-01,216.3
2001-07-01,216.1
2001-08-01,213.7
2001-09-01,212.7
2001-10-01,209.1
2001-11-01,205.1
2001-12-01,204.8
2002-01-01,205.8
2002-02-01,207.3
2002-03-01,207.9
2002-04-01,209.7
2002-05-01,211.9
2002-06-01,211.3
2002-07-01,209.7
2002-08-01,209.4
2002-09-01,206.5
2002-10-01,203.4
2002-11-01,202.3
2002-12-01,203
2003-01-01,202.2
2003-02-01,203.6
2003-03-01,206.1
2003-04-01,207.2
2003-05-01,211.6
2003-06-01,214.4
2003-07-01,216.7
2003-08-01,213.8
2003-09-01,211.2
2003-10-01,211.3
2003-11-01,207.9
2003-12-01,205.6
2004-01-01,206.3
2004-02-01,208.1
2004-03-01,209.9
2004-04-01,211.5
2004-05-01,210.7
2004-06-01,212.3
2004-07-01,214.4
2004-08-01,209.7
2004-09-01,205.3
2004-10-01,206.5
2004-11-01,208.6
2004-12-01,205.4
2005-01-01,204.4
2005-02-01,205.9
2005-03-01,210.1
2005-04-01,215
2005-05-01,218
2005-06-01,222.4
2005-07-01,226.1
2005-08-01,223.3
2005-09-01,220.7
2005-10-01,222.7
2005-11-01,220.8
2005-12-01,217.6
2006-01-01,219.9
2006-02-01,221.3
2006-03-01,222.6
2006-04-01,225.3
2006-05-01,229.2
2006-06-01,234.3
2006-07-01,237.4
2006-08-01,234.3
2006-09-01,229.5
2006-10-01,226.9
2006-11-01,220.4
2006-12-01,217.8
2007-01-01,221.403
2007-02-01,224.061
2007-03-01,225.893
2007-04-01,227.567
2007-05-01,228.251
2007-06-01,233.389
2007-07-01,235.767
2007-08-01,233.112
2007-09-01,230.694
2007-10-01,232.725
2007-11-01,233.758
2007-12-01,233.408
2008-01-01,234.334
2008-02-01,235.724
2008-03-01,242.929
2008-04-01,244.164
2008-05-01,251.6
2008-06-01,264.681
2008-07-01,270.002
2008-08-01,268.487
2008-09-01,261.318
2008-10-01,252.323
2008-11-01,243.385
2008-12-01,237.638
2009-01-01,234.394
2009-02-01,231.529
2009-03-01,230.735
2009-04-01,229.827
2009-05-01,228.878
2009-06-01,232.54
2009-07-01,238.932
2009-08-01,238.997
2009-09-01,239.855
2009-10-01,241.06
2009-11-01,244.226
2009-12-01,245.203
2010-01-01,241.058
2010-02-01,241.967
2010-03-01,244.766
2010-04-01,249.135
2010-05-01,253.275
2010-06-01,257.825
2010-07-01,257.337
2010-08-01,254.717
2010-09-01,252.525
2010-10-01,251.435
2010-11-01,254.995
2010-12-01,257.172
2011-01-01,259.634
2011-02-01,265.327
2011-03-01,270.366
2011-04-01,272.187
2011-05-01,271.417
2011-06-01,272.297
2011-07-01,272.868
2011-08-01,272.949
2011-09-01,271.199
2011-10-01,269.158
2011-11-01,268.478
2011-12-01,266.958
2012-01-01,263.968
2012-02-01,265.83
2012-03-01,269.566
2012-04-01,275.272
2012-05-01,277.929
2012-06-01,276.784
2012-07-01,273.033
2012-08-01,268.755
2012-09-01,268.791
2012-10-01,270.681
2012-11-01,272.244
2012-12-01,273.364
2013-01-01,273.577
2013-02-01,274.684
2013-03-01,280.356
2013-04-01,282.364
2013-05-01,286.896
2013-06-01,286.832
2013-07-01,281.394
2013-08-01,273.893
2013-09-01,273.182
2013-10-01,277.556
2013-11-01,282.318
2013-12-01,273.161
2014-01-01,266.949
2014-02-01,269.873
2014-03-01,273.384
2014-04-01,282.623
2014-05-01,295.848
2014-06-01,296.981
2014-07-01,281.288
2014-08-01,269.167
2014-09-01,267.142
2014-10-01,272.47
2014-11-01,275.645
2014-12-01,265.356
2015-01-01,262.179
2015-02-01,264.757
2015-03-01,264.248
2015-04-01,269.266
2015-05-01,283.64
2015-06-01,287.358
2015-07-01,272.505
2015-08-01,261.386
2015-09-01,259.43
2015-10-01,266.338
2015-11-01,270.809
2015-12-01,262.787
2016-01-01,261.893
2016-02-01,264.528
2016-03-01,265.017
2016-04-01,272.167
2016-05-01,280.676
2016-06-01,280.801
2016-07-01,266.626
2016-08-01,258.167
2016-09-01,257.462
2016-10-01,259.062
2016-11-01,261.563
2016-12-01,256.802
2017-01-01,258.551
2017-02-01,264.47
2017-03-01,266.591
2017-04-01,273.206
2017-05-01,276.569
2017-06-01,274.514
2017-07-01,263.345
2017-08-01,253.737
2017-09-01,254.65
2017-10-01,259.699
2017-11-01,259.341
2017-12-01,252.719
2018-01-01,253.228
2018-02-01,259.261
2018-03-01,261.019
2018-04-01,264.99
2018-05-01,268.864
2018-06-01,266.978
2018-07-01,259.36
2018-08-01,253.387
2018-09-01,254.266
2018-10-01,258.42
2018-11-01,256.986
2018-12-01,248.489
2019-01-01,248.142
2019-02-01,254.643
2019-03-01,256.023
2019-04-01,261.903
2019-05-01,271.37
2019-06-01,269.935
2019-07-01,261.165
2019-08-01,257.167
2019-09-01,258.612
2019-10-01,261.927
2019-11-01,261.77
2019-12-01,250.902
2020-01-01,252.59
2020-02-01,258.708
2020-03-01,237.553
2020-04-01,219.993
2020-05-01,217.731
2020-06-01,219.68
2020-07-01,219.055
2020-08-01,212.132
2020-09-01,215.875
2020-10-01,224.953
2020-11-01,230.478
2020-12-01,220.685
2021-01-01,217.5
2021-02-01,216.869
2021-03-01,218.036
2021-04-01,235.401
2021-05-01,252.454
2021-06-01,257.579
2021-07-01,249.703
2021-08-01,229.893
2021-09-01,219.394
2021-10-01,222.577
2021-11-01,229.161
2021-12-01,225.937
2022-01-01,226.308
2022-02-01,234.857
2022-03-01,250.489
2022-04-01,286.601
2022-05-01,318.823
2022-06-01,318.712
2022-07-01,297.077
2022-08-01,278.352
2022-09-01,278.88
2022-10-01,285.095
2022-11-01,283.705
2022-12-01,268.746
2023-01-01,265.099
2023-02-01,277.142
2023-03-01,281.448
2023-04-01,287.398
2023-05-01,290.442
2023-06-01,276.382
2023-07-01,257.946
2023-08-01,252.113
2023-09-01,252.991
2023-10-01,259.852
2023-11-01,260.699
