"Date","CUURA103SEHF"
1948-06-01,26.1
1948-07-01,26.2
1948-08-01,26.2
1948-09-01,26.3
1948-10-01,27.8
1948-11-01,27.8
1948-12-01,27.3
1949-01-01,27.4
1949-02-01,27.3
1949-03-01,27.3
1949-04-01,27.7
1949-05-01,27.7
1949-06-01,27.7
1949-07-01,27.6
1949-08-01,27.5
1949-09-01,27.5
1949-10-01,27.3
1949-11-01,27.3
1949-12-01,27.3
1950-01-01,27.5
1950-02-01,27.5
1950-03-01,27.5
1950-04-01,27.5
1950-05-01,27.3
1950-06-01,27.3
1950-07-01,27.3
1950-08-01,27.3
1950-09-01,27.3
1950-10-01,27.3
1950-11-01,27.3
1950-12-01,27.4
1951-01-01,27.3
1951-02-01,27.4
1951-03-01,27.4
1951-04-01,27.4
1951-05-01,27.4
1951-06-01,27.3
1951-07-01,27.4
1951-08-01,27.5
1951-09-01,27.6
1951-10-01,27.6
1951-11-01,27.6
1951-12-01,27.6
1952-01-01,27.6
1952-02-01,27.6
1952-03-01,27.6
1952-04-01,27.7
1952-05-01,27.7
1952-06-01,27.7
1952-07-01,27.7
1952-08-01,27.7
1952-09-01,27.8
1952-10-01,27.8
1952-11-01,27.7
1952-12-01,27.7
1953-01-01,27.7
1953-02-01,27.7
1953-03-01,27.6
1953-04-01,27.6
1953-05-01,27.6
1953-06-01,27.6
1953-07-01,27.6
1953-08-01,27.6
1953-09-01,27.7
1953-10-01,27.7
1953-11-01,28.5
1953-12-01,28.5
1954-01-01,28.5
1954-02-01,28.5
1954-03-01,28.5
1954-04-01,28.6
1954-05-01,28.5
1954-06-01,28.5
1954-07-01,28.5
1954-08-01,28.5
1954-09-01,28.4
1954-10-01,28.4
1954-11-01,28.4
1954-12-01,29.3
1955-01-01,29.3
1955-02-01,29.3
1955-03-01,29.3
1955-04-01,29.3
1955-05-01,29.3
1955-06-01,29.3
1955-07-01,29.3
1955-08-01,29.3
1955-09-01,29.3
1955-10-01,29.4
1955-11-01,28
1955-12-01,28.1
1956-01-01,28.1
1956-02-01,28.1
1956-03-01,28.1
1956-04-01,28.1
1956-05-01,28.1
1956-06-01,28.9
1956-07-01,28.9
1956-08-01,29
1956-09-01,29
1956-10-01,29
1956-11-01,29
1956-12-01,29
1957-01-01,29.1
1957-02-01,29.1
1957-03-01,29.1
1957-04-01,29.1
1957-05-01,29.1
1957-06-01,29.1
1957-07-01,29.1
1957-08-01,29.2
1957-09-01,29.2
1957-10-01,29.2
1957-11-01,29.2
1957-12-01,29.4
1958-01-01,29.4
1958-02-01,29.4
1958-03-01,29.4
1958-04-01,29.3
1958-05-01,29.3
1958-06-01,30.1
1958-07-01,30.1
1958-08-01,30
1958-09-01,30
1958-10-01,30
1958-11-01,30
1958-12-01,29.9
1959-01-01,29.9
1959-02-01,29.9
1959-03-01,29.9
1959-04-01,29.9
1959-05-01,29.9
1959-06-01,29.9
1959-07-01,29.7
1959-08-01,29.7
1959-09-01,30.6
1959-10-01,30.6
1959-11-01,30.6
1959-12-01,30.8
1960-01-01,30.8
1960-02-01,30.8
1960-03-01,30.8
1960-04-01,30.9
1960-05-01,30.9
1960-06-01,30.8
1960-07-01,30.9
1960-08-01,30.9
1960-09-01,30.9
1960-10-01,31
1960-11-01,31.1
1960-12-01,31
1961-01-01,31.1
1961-02-01,31.1
1961-03-01,31.1
1961-04-01,31.1
1961-05-01,31.1
1961-06-01,31.1
1961-07-01,31.1
1961-08-01,31.1
1961-09-01,31.1
1961-10-01,31.1
1961-11-01,31.1
1961-12-01,31.1
1962-01-01,31.1
1962-02-01,30.9
1962-03-01,30.9
1962-04-01,30.9
1962-05-01,30.9
1962-06-01,30.9
1962-07-01,30.8
1962-08-01,30.8
1962-09-01,30.8
1962-10-01,30.8
1962-11-01,30.8
1962-12-01,30.8
1963-01-01,30.5
1963-02-01,30.6
1963-03-01,30.6
1963-04-01,30.8
1963-05-01,30.9
1963-06-01,30.9
1963-07-01,30.9
1963-08-01,30.9
1963-09-01,30.8
1963-10-01,30.9
1963-11-01,30.9
1963-12-01,30.9
1964-01-01,30.9
1964-02-01,30.7
1964-03-01,30.7
1964-04-01,30.6
1964-05-01,30.7
1964-06-01,30.7
1964-07-01,30.7
1964-08-01,30.6
1964-09-01,30.7
1964-10-01,30.5
1964-11-01,30.4
1964-12-01,30.5
1965-01-01,30.6
1965-02-01,30.6
1965-03-01,30.6
1965-04-01,30.6
1965-05-01,30.6
1965-06-01,30.6
1965-07-01,30.6
1965-08-01,30.6
1965-09-01,30.6
1965-10-01,30.6
1965-11-01,30.6
1965-12-01,30.6
1966-01-01,30.4
1966-02-01,30.5
1966-03-01,30.5
1966-04-01,30.5
1966-05-01,30.5
1966-06-01,30.4
1966-07-01,30.4
1966-08-01,30.4
1966-09-01,30.2
1966-10-01,30.2
1966-11-01,30.2
1966-12-01,30.2
1967-01-01,30.1
1967-02-01,30.2
1967-03-01,30.2
1967-04-01,30.2
1967-05-01,30.2
1967-06-01,30.2
1967-07-01,30.2
1967-08-01,30.2
1967-09-01,30.2
1967-10-01,30.1
1967-11-01,30.2
1967-12-01,30.2
1968-01-01,30.2
1968-02-01,30.2
1968-03-01,30.2
1968-04-01,30.2
1968-05-01,30.3
1968-06-01,30.3
1968-07-01,30.3
1968-08-01,30.2
1968-09-01,30.2
1968-10-01,30.3
1968-11-01,30.2
1968-12-01,30.2
1969-01-01,30.2
1969-02-01,30.2
1969-03-01,30.2
1969-04-01,30.2
1969-05-01,30.2
1969-06-01,30.7
1969-07-01,30.8
1969-08-01,30.8
1969-09-01,30.8
1969-10-01,30.8
1969-11-01,30.8
1969-12-01,30.8
1970-01-01,30.9
1970-02-01,31.6
1970-03-01,31.6
1970-04-01,31.6
1970-05-01,31.6
1970-06-01,31.6
1970-07-01,31.6
1970-08-01,31.7
1970-09-01,31.8
1970-10-01,31.9
1970-11-01,32.9
1970-12-01,33.2
1971-01-01,33.9
1971-02-01,33.9
1971-03-01,34
1971-04-01,34.3
1971-05-01,34.5
1971-06-01,34.8
1971-07-01,35.7
1971-08-01,35.6
1971-09-01,35.6
1971-10-01,35.5
1971-11-01,35.5
1971-12-01,36.1
1972-01-01,36.2
1972-02-01,36.3
1972-03-01,36.4
1972-04-01,36.2
1972-05-01,36.2
1972-06-01,36.2
1972-07-01,36.3
1972-08-01,36.6
1972-09-01,36.7
1972-10-01,36.6
1972-11-01,36.4
1972-12-01,36.9
1973-01-01,36.3
1973-02-01,36.7
1973-03-01,36.8
1973-04-01,37.4
1973-05-01,38
1973-06-01,38
1973-07-01,38
1973-08-01,38.4
1973-09-01,38.8
1973-10-01,38.8
1973-11-01,40
1973-12-01,40.6
1974-01-01,41.7
1974-02-01,42.4
1974-03-01,43.8
1974-04-01,45.1
1974-05-01,47.5
1974-06-01,45.6
1974-07-01,46.9
1974-08-01,47
1974-09-01,48.7
1974-10-01,47.6
1974-11-01,48.5
1974-12-01,48.5
1975-01-01,48.9
1975-02-01,48.9
1975-03-01,50.3
1975-04-01,51
1975-05-01,50.5
1975-06-01,50.6
1975-07-01,50.5
1975-08-01,50.3
1975-09-01,50.6
1975-10-01,50.1
1975-11-01,52.9
1975-12-01,54
1976-01-01,53.6
1976-02-01,53.4
1976-03-01,54.2
1976-04-01,54.3
1976-05-01,54.5
1976-06-01,55.5
1976-07-01,53.7
1976-08-01,52.9
1976-09-01,52
1976-10-01,52
1976-11-01,54.5
1976-12-01,56.4
1977-01-01,57
1977-02-01,57.9
1977-03-01,58.2
1977-04-01,55
1977-05-01,55.4
1977-06-01,55.5
1977-07-01,56.3
1977-08-01,56
1977-09-01,55.8
1977-10-01,56.4
1977-11-01,58.3
1977-12-01,57.8
1978-01-01,58.5
1978-02-01,58.1
1978-03-01,57.2
1978-04-01,54.4
1978-05-01,52.5
1978-06-01,51.5
1978-07-01,56.3
1978-08-01,55.4
1978-09-01,55.1
1978-10-01,55.8
1978-11-01,55.3
1978-12-01,57.7
1979-01-01,55.8
1979-02-01,55.9
1979-03-01,56.2
1979-04-01,58.4
1979-05-01,60.3
1979-06-01,59.5
1979-07-01,64.6
1979-08-01,63.4
1979-09-01,66.3
1979-10-01,66.9
1979-11-01,69.2
1979-12-01,69.5
1980-01-01,69.7
1980-02-01,71.8
1980-03-01,76.2
1980-04-01,75.7
1980-05-01,71.6
1980-06-01,72.2
1980-07-01,74.8
1980-08-01,73.7
1980-09-01,74.4
1980-10-01,77.6
1980-11-01,78.5
1980-12-01,85
1981-01-01,88.3
1981-02-01,90
1981-03-01,88.9
1981-04-01,88.2
1981-05-01,87.3
1981-06-01,88
1981-07-01,83.3
1981-08-01,85.7
1981-09-01,94.1
1981-10-01,93.4
1981-11-01,94.2
1981-12-01,92.6
1982-01-01,90.5
1982-02-01,93.6
1982-03-01,96.2
1982-04-01,95.9
1982-05-01,92.7
1982-06-01,94.4
1982-07-01,97.5
1982-08-01,96.3
1982-09-01,96.4
1982-10-01,96.3
1982-11-01,95.4
1982-12-01,97.3
1983-01-01,99.5
1983-02-01,97.6
1983-03-01,96.3
1983-04-01,95.6
1983-05-01,96.2
1983-06-01,96.6
1983-07-01,99
1983-08-01,99.4
1983-09-01,97.5
1983-10-01,98.1
1983-11-01,101.9
1983-12-01,100.9
1984-01-01,102.5
1984-02-01,103.9
1984-03-01,105.5
1984-04-01,104.6
1984-05-01,104
1984-06-01,102.3
1984-07-01,112.5
1984-08-01,110
1984-09-01,112
1984-10-01,111
1984-11-01,105.4
1984-12-01,105.2
1985-01-01,103.9
1985-02-01,102.4
1985-03-01,101.8
1985-04-01,99.7
1985-05-01,97.9
1985-06-01,95.4
1985-07-01,98.1
1985-08-01,97.8
1985-09-01,97.7
1985-10-01,101
1985-11-01,99.6
1985-12-01,99.9
1986-01-01,99.2
1986-02-01,100.1
1986-03-01,98.3
1986-04-01,96.2
1986-05-01,97.7
1986-06-01,96.5
1986-07-01,100.9
1986-08-01,99.3
1986-09-01,99.1
1986-10-01,97.6
1986-11-01,96.7
1986-12-01,93.8
1987-01-01,93
1987-02-01,94.4
1987-03-01,98.1
1987-04-01,96.1
1987-05-01,97.4
1987-06-01,97.7
1987-07-01,98.9
1987-08-01,100.5
1987-09-01,96
1987-10-01,96.4
1987-11-01,98.9
1987-12-01,96.5
1988-01-01,95.9
1988-02-01,96.6
1988-03-01,97
1988-04-01,97.5
1988-05-01,93
1988-06-01,92.4
1988-07-01,94.2
1988-08-01,94.4
1988-09-01,96.7
1988-10-01,97.7
1988-11-01,102.9
1988-12-01,101.5
1989-01-01,101.5
1989-02-01,104.3
1989-03-01,104.5
1989-04-01,108
1989-05-01,99.3
1989-06-01,100.6
1989-07-01,104.8
1989-08-01,102.9
1989-09-01,102.5
1989-10-01,100.6
1989-11-01,110.8
1989-12-01,110.8
1990-01-01,112.1
1990-02-01,116.9
1990-03-01,115.9
1990-04-01,116.3
1990-05-01,98.3
1990-06-01,98.2
1990-07-01,100.5
1990-08-01,101.1
1990-09-01,102.4
1990-10-01,102.2
1990-11-01,122.4
1990-12-01,122.9
1991-01-01,122.3
1991-02-01,121.5
1991-03-01,119.3
1991-04-01,120.2
1991-05-01,102.7
1991-06-01,103.5
1991-07-01,103.8
1991-08-01,105.1
1991-09-01,106.6
1991-10-01,106.2
1991-11-01,124
1991-12-01,124.9
1992-01-01,123.6
1992-02-01,122.7
1992-03-01,122.6
1992-04-01,122.9
1992-05-01,104.3
1992-06-01,105.1
1992-07-01,106.8
1992-08-01,105.9
1992-09-01,106.1
1992-10-01,106.7
1992-11-01,129.5
1992-12-01,129.4
1993-01-01,128.1
1993-02-01,128.9
1993-03-01,129.4
1993-04-01,128
1993-05-01,110.5
1993-06-01,111.7
1993-07-01,111.6
1993-08-01,112
1993-09-01,111.6
1993-10-01,111
1993-11-01,135.5
1993-12-01,134.7
1994-01-01,133.7
1994-02-01,132.5
1994-03-01,132.6
1994-04-01,132.6
1994-05-01,115.4
1994-06-01,115.8
1994-07-01,115.8
1994-08-01,115.9
1994-09-01,115.9
1994-10-01,115.3
1994-11-01,135.8
1994-12-01,135.6
1995-01-01,135.1
1995-02-01,134.9
1995-03-01,135.2
1995-04-01,135.8
1995-05-01,109.7
1995-06-01,110.2
1995-07-01,110.2
1995-08-01,110.5
1995-09-01,110.5
1995-10-01,109.6
1995-11-01,136.1
1995-12-01,136.1
1996-01-01,134.7
1996-02-01,135.7
1996-03-01,135.8
1996-04-01,136.3
1996-05-01,109.9
1996-06-01,110.4
1996-07-01,110.8
1996-08-01,111.2
1996-09-01,111.1
1996-10-01,111
1996-11-01,138.6
1996-12-01,139.4
1997-01-01,141.5
1997-02-01,142.9
1997-03-01,143
1997-04-01,143.7
1997-05-01,117.9
1997-06-01,118.6
1997-07-01,118.2
1997-08-01,117.9
1997-09-01,118
1997-10-01,117.3
1997-11-01,138.6
1997-12-01,138.6
1998-01-01,138.9
1998-02-01,137.2
1998-03-01,132.5
1998-04-01,130.1
1998-05-01,118
1998-06-01,118.5
1998-07-01,118.9
1998-08-01,119
1998-09-01,117.4
1998-10-01,117.1
1998-11-01,129.8
1998-12-01,129.4
1999-01-01,131
1999-02-01,131
1999-03-01,131
1999-04-01,131.2
1999-05-01,114.3
1999-06-01,114.9
1999-07-01,114.9
1999-08-01,115
1999-09-01,114.1
1999-10-01,113.3
1999-11-01,128.1
1999-12-01,128.1
2000-01-01,129.4
2000-02-01,129.3
2000-03-01,131.1
2000-04-01,130.2
2000-05-01,117.4
2000-06-01,117.9
2000-07-01,126.5
2000-08-01,126.7
2000-09-01,127.8
2000-10-01,127.4
2000-11-01,142
2000-12-01,142.6
2001-01-01,152.7
2001-02-01,169.8
2001-03-01,169.4
2001-04-01,169.4
2001-05-01,153.2
2001-06-01,157.3
2001-07-01,163.9
2001-08-01,163.9
2001-09-01,159.5
2001-10-01,155.8
2001-11-01,156
2001-12-01,156
2002-01-01,143.3
2002-02-01,142.8
2002-03-01,140.6
2002-04-01,136
2002-05-01,126.2
2002-06-01,132.9
2002-07-01,128.7
2002-08-01,128.7
2002-09-01,128.7
2002-10-01,124.5
2002-11-01,137.8
2002-12-01,139.5
2003-01-01,146.6
2003-02-01,146.7
2003-03-01,154.5
2003-04-01,158.4
2003-05-01,147.4
2003-06-01,151.9
2003-07-01,151.6
2003-08-01,151.2
2003-09-01,150.6
2003-10-01,146.1
2003-11-01,154.8
2003-12-01,154.8
2004-01-01,160.6
2004-02-01,161.1
2004-03-01,161.2
2004-04-01,161.2
2004-05-01,145.9
2004-06-01,152.4
2004-07-01,156.3
2004-08-01,157.6
2004-09-01,157.6
2004-10-01,156.4
2004-11-01,168.9
2004-12-01,171.5
2005-01-01,173.1
2005-02-01,172.3
2005-03-01,177.8
2005-04-01,181.8
2005-05-01,163.1
2005-06-01,167.8
2005-07-01,171.4
2005-08-01,171.7
2005-09-01,183.3
2005-10-01,197.8
2005-11-01,215.3
2005-12-01,215.1
2006-01-01,234
2006-02-01,227.8
2006-03-01,222.7
2006-04-01,222.6
2006-05-01,205.4
2006-06-01,210.3
2006-07-01,204.4
2006-08-01,204.4
2006-09-01,206.2
2006-10-01,193.6
2006-11-01,229.9
2006-12-01,229.9
2007-01-01,231.131
2007-02-01,226.024
2007-03-01,223.203
2007-04-01,223.158
2007-05-01,196.821
2007-06-01,200.937
2007-07-01,197.5
2007-08-01,196.462
2007-09-01,194.297
2007-10-01,191.319
2007-11-01,214.373
2007-12-01,214.563
2008-01-01,218.083
2008-02-01,217.96
2008-03-01,218.941
2008-04-01,218.895
2008-05-01,218.615
2008-06-01,228.197
2008-07-01,249.282
2008-08-01,247.362
2008-09-01,214.354
2008-10-01,214.975
2008-11-01,234.074
2008-12-01,234.121
2009-01-01,236.575
2009-02-01,230.905
2009-03-01,229.603
2009-04-01,229.597
2009-05-01,181.628
2009-06-01,183.02
2009-07-01,170.657
2009-08-01,169.884
2009-09-01,168.836
2009-10-01,167.372
2009-11-01,195.54
2009-12-01,195.597
2010-01-01,197.106
2010-02-01,202.341
2010-03-01,203.768
2010-04-01,198.925
2010-05-01,174.94
2010-06-01,176.379
2010-07-01,176.056
2010-08-01,176.045
2010-09-01,175.25
2010-10-01,173.754
2010-11-01,199.836
2010-12-01,199.865
2011-01-01,199.73
2011-02-01,199.638
2011-03-01,198.952
2011-04-01,198.877
2011-05-01,177.315
2011-06-01,178.826
2011-07-01,177.014
2011-08-01,177.122
2011-09-01,177.166
2011-10-01,175.643
2011-11-01,193.557
2011-12-01,193.302
2012-01-01,194.774
2012-02-01,188.919
2012-03-01,189.47
2012-04-01,189.599
2012-05-01,157.812
2012-06-01,164.067
2012-07-01,161.166
2012-08-01,161.159
2012-09-01,168.07
2012-10-01,166.901
2012-11-01,186.575
2012-12-01,186.63
2013-01-01,189.887
2013-02-01,188.717
2013-03-01,188.069
2013-04-01,191.644
2013-05-01,182.953
2013-06-01,184.318
2013-07-01,184.777
2013-08-01,184.557
2013-09-01,183.038
2013-10-01,181.664
2013-11-01,205.134
2013-12-01,205.175
2014-01-01,210.125
2014-02-01,212.155
2014-03-01,221.184
2014-04-01,222.769
2014-05-01,194.002
2014-06-01,195.449
2014-07-01,195.396
2014-08-01,194.183
2014-09-01,190.95
2014-10-01,187.922
2014-11-01,240.049
2014-12-01,240.057
2015-01-01,255.333
2015-02-01,250.975
2015-03-01,246.727
2015-04-01,246.41
2015-05-01,203.852
2015-06-01,205.299
2015-07-01,188.961
2015-08-01,186.104
2015-09-01,185.573
2015-10-01,183.148
2015-11-01,220.257
2015-12-01,218.315
2016-01-01,225.682
2016-02-01,225.656
2016-03-01,224.559
2016-04-01,224.602
2016-05-01,213.753
2016-06-01,214.457
2016-07-01,213.415
2016-08-01,213.951
2016-09-01,219.996
2016-10-01,222.594
2016-11-01,236.966
2016-12-01,235.479
2017-01-01,240.729
2017-02-01,242.657
2017-03-01,244.524
2017-04-01,243.129
2017-05-01,235.321
2017-06-01,236.436
2017-07-01,234.878
2017-08-01,233.409
2017-09-01,233.521
2017-10-01,230.88
2017-11-01,258.782
2017-12-01,258.838
2018-01-01,273.073
2018-02-01,279.963
2018-03-01,286.583
2018-04-01,284.78
2018-05-01,242.149
2018-06-01,242.192
2018-07-01,236.999
2018-08-01,239.274
2018-09-01,239.32
2018-10-01,239.356
2018-11-01,270.334
2018-12-01,272.87
2019-01-01,278.714
2019-02-01,276.552
2019-03-01,277.637
2019-04-01,277.64
2019-05-01,251.696
2019-06-01,250.211
2019-07-01,238.298
2019-08-01,238.023
2019-09-01,237.064
2019-10-01,237.064
2019-11-01,268.78
2019-12-01,268.78
2020-01-01,273.616
2020-02-01,271.991
2020-03-01,273.424
2020-04-01,273.278
2020-05-01,241.641
2020-06-01,241.514
2020-07-01,232.863
2020-08-01,229.423
2020-09-01,229.664
2020-10-01,227.967
2020-11-01,268.291
2020-12-01,269.954
2021-01-01,279.653
2021-02-01,278.748
2021-03-01,281.648
2021-04-01,285.055
2021-05-01,257.078
2021-06-01,258.005
2021-07-01,255.028
2021-08-01,258.971
2021-09-01,259.035
2021-10-01,266.018
2021-11-01,306.939
2021-12-01,310.025
2022-01-01,325.196
2022-02-01,327.18
2022-03-01,334.893
2022-04-01,335.526
2022-05-01,312.895
2022-06-01,324.136
2022-07-01,332.054
2022-08-01,333.876
2022-09-01,352.832
2022-10-01,358.913
2022-11-01,431.045
2022-12-01,427.505
2023-01-01,454.111
2023-02-01,444.57
2023-03-01,434.939
2023-04-01,395.562
2023-05-01,358.839
2023-06-01,349.743
2023-07-01,321.825
2023-08-01,310.669
2023-09-01,308.467
2023-10-01,311.095
2023-11-01,360.407
