"Date","CUUR0000SEHP04"
2016-05-01,224.956
2016-06-01,225.431
2016-07-01,225.592
2016-08-01,225.818
2016-09-01,225.912
2016-10-01,229.143
2016-11-01,230.704
2016-12-01,233.676
2017-01-01,233.279
2017-02-01,233.894
2017-03-01,236.522
2017-04-01,237.093
2017-05-01,239.669
2017-06-01,241.242
2017-07-01,241.755
2017-08-01,241.062
2017-09-01,241.426
2017-10-01,241.137
2017-11-01,241.137
2017-12-01,243.743
2018-01-01,243.743
2018-02-01,255.99
2018-03-01,255.99
2018-04-01,256.069
2018-05-01,256.137
2018-06-01,256.267
2018-07-01,258.458
2018-08-01,252.093
2018-09-01,252.618
2018-10-01,251.014
2018-11-01,250.96
2018-12-01,254.597
2019-01-01,257.577
2019-02-01,256.638
2019-03-01,256.536
2019-04-01,272.979
2019-05-01,272.648
2019-06-01,278.908
2019-07-01,NA
2019-08-01,274.062
2019-09-01,NA
2019-10-01,269.956
2019-11-01,270.743
2019-12-01,270.42
2020-01-01,271.638
2020-02-01,270.914
2020-03-01,271.169
2020-04-01,271.813
2020-05-01,268.205
2020-06-01,268.257
2020-07-01,268.305
2020-08-01,268.646
2020-09-01,269.794
2020-10-01,NA
2020-11-01,269.549
2020-12-01,NA
2021-01-01,272.086
2021-02-01,274.327
2021-03-01,275.549
2021-04-01,282.25
2021-05-01,282.589
2021-06-01,NA
2021-07-01,NA
2021-08-01,NA
2021-09-01,NA
2021-10-01,NA
2021-11-01,NA
2021-12-01,NA
2022-01-01,NA
2022-02-01,NA
2022-03-01,NA
2022-04-01,NA
2022-05-01,NA
2022-06-01,NA
2022-07-01,NA
2022-08-01,NA
2022-09-01,NA
2022-10-01,310.581
2022-11-01,NA
2022-12-01,NA
2023-01-01,319.469
2023-02-01,NA
2023-03-01,324.894
2023-04-01,NA
2023-05-01,343.642
2023-06-01,NA
2023-07-01,374.579
2023-08-01,364.272
2023-09-01,370.645
