"Date","CUUR0000SS61031"
2017-01-01,151.819
2017-02-01,152.094
2017-03-01,151.394
2017-04-01,151.053
2017-05-01,151.39
2017-06-01,150.434
2017-07-01,150.343
2017-08-01,151.374
2017-09-01,150.377
2017-10-01,149.996
2017-11-01,148.498
2017-12-01,149.028
2018-01-01,149.855
2018-02-01,150.156
2018-03-01,150.254
2018-04-01,150.766
2018-05-01,150.791
2018-06-01,150.988
2018-07-01,150.832
2018-08-01,150.306
2018-09-01,150.7
2018-10-01,150.916
2018-11-01,150.883
2018-12-01,151.002
2019-01-01,151.723
2019-02-01,152.726
2019-03-01,153.469
2019-04-01,154.079
2019-05-01,154.985
2019-06-01,155.156
2019-07-01,156.355
2019-08-01,156.185
2019-09-01,155.656
2019-10-01,156.534
2019-11-01,156.5
2019-12-01,156.207
2020-01-01,155.686
2020-02-01,156.738
2020-03-01,156.25
2020-04-01,155.792
2020-05-01,155.297
2020-06-01,154.131
2020-07-01,154.041
2020-08-01,155.271
2020-09-01,154.382
2020-10-01,153.825
2020-11-01,155.057
2020-12-01,155.04
2021-01-01,154.958
2021-02-01,155.237
2021-03-01,155.473
2021-04-01,155.767
2021-05-01,155.278
2021-06-01,155.513
2021-07-01,156.406
2021-08-01,156.024
2021-09-01,156.843
2021-10-01,157.035
2021-11-01,157.431
2021-12-01,158.73
2022-01-01,159.179
2022-02-01,160.926
2022-03-01,164.706
2022-04-01,166.72
2022-05-01,169.335
2022-06-01,171.516
2022-07-01,173.512
2022-08-01,176.467
2022-09-01,178.728
2022-10-01,180.587
2022-11-01,182.118
2022-12-01,182.82
2023-01-01,183.17
2023-02-01,185.33
2023-03-01,188.38
2023-04-01,191.055
2023-05-01,192.666
2023-06-01,192.219
2023-07-01,191.917
2023-08-01,191.735
2023-09-01,192.229
2023-10-01,192.364
2023-11-01,192.388
