"Date","CUURX200SA0E"
2015-10-01,189.956
2015-11-01,181.5
2015-12-01,170.263
2016-01-01,168.246
2016-02-01,159.223
2016-03-01,170.916
2016-04-01,175.173
2016-05-01,183.306
2016-06-01,197.102
2016-07-01,188.948
2016-08-01,188.804
2016-09-01,188.772
2016-10-01,184.321
2016-11-01,178.974
2016-12-01,183.917
2017-01-01,191.25
2017-02-01,187.03
2017-03-01,188.377
2017-04-01,191.67
2017-05-01,190.538
2017-06-01,194.843
2017-07-01,192.992
2017-08-01,197.031
2017-09-01,201.002
2017-10-01,193.37
2017-11-01,199.906
2017-12-01,193.766
2018-01-01,199.15
2018-02-01,198.138
2018-03-01,197.484
2018-04-01,201.861
2018-05-01,212.043
2018-06-01,214.417
2018-07-01,213.034
2018-08-01,213.572
2018-09-01,213.775
2018-10-01,209.148
2018-11-01,195.428
2018-12-01,184.926
2019-01-01,180.577
2019-02-01,187.185
2019-03-01,196.861
2019-04-01,205.426
2019-05-01,207.802
2019-06-01,206.374
2019-07-01,207.715
2019-08-01,203.436
2019-09-01,199.733
2019-10-01,197.161
2019-11-01,194.361
2019-12-01,196.145
2020-01-01,195.094
2020-02-01,190.363
2020-03-01,176.748
2020-04-01,154.377
2020-05-01,165.641
2020-06-01,178.757
2020-07-01,181.529
2020-08-01,181.133
2020-09-01,182.889
2020-10-01,178.961
2020-11-01,176.137
2020-12-01,180.809
2021-01-01,189.82
2021-02-01,198.836
2021-03-01,208.571
2021-04-01,212.659
2021-05-01,218.457
2021-06-01,226.467
2021-07-01,229.837
2021-08-01,229.259
2021-09-01,231.593
2021-10-01,237.855
2021-11-01,240.325
2021-12-01,234.212
2022-01-01,234.796
2022-02-01,245.1
2022-03-01,267.615
2022-04-01,267.439
2022-05-01,288.524
2022-06-01,321.869
2022-07-01,301.792
2022-08-01,277.359
2022-09-01,273.574
2022-10-01,273.599
2022-11-01,266.068
2022-12-01,248.405
2023-01-01,257.22
2023-02-01,253.402
2023-03-01,250.523
2023-04-01,254.655
2023-05-01,250.916
2023-06-01,256.502
2023-07-01,253.541
2023-08-01,262.878
2023-09-01,259.72
2023-10-01,247.873
2023-11-01,242.706
