"Date","CUURA316SAG"
1986-07-01,NA
1986-08-01,120.7
1986-09-01,NA
1986-10-01,122.6
1986-11-01,NA
1986-12-01,126.3
1987-01-01,NA
1987-02-01,128.2
1987-03-01,NA
1987-04-01,128.6
1987-05-01,NA
1987-06-01,127.4
1987-07-01,NA
1987-08-01,127.3
1987-09-01,NA
1987-10-01,130.7
1987-11-01,NA
1987-12-01,131.9
1988-01-01,NA
1988-02-01,131.8
1988-03-01,NA
1988-04-01,133.2
1988-05-01,NA
1988-06-01,134.5
1988-07-01,NA
1988-08-01,135.1
1988-09-01,NA
1988-10-01,138.6
1988-11-01,NA
1988-12-01,139.8
1989-01-01,NA
1989-02-01,143.2
1989-03-01,NA
1989-04-01,144.9
1989-05-01,NA
1989-06-01,144.8
1989-07-01,NA
1989-08-01,146
1989-09-01,NA
1989-10-01,150.5
1989-11-01,NA
1989-12-01,149.9
1990-01-01,NA
1990-02-01,153.8
1990-03-01,NA
1990-04-01,153.9
1990-05-01,NA
1990-06-01,155.1
1990-07-01,NA
1990-08-01,158.2
1990-09-01,NA
1990-10-01,159.2
1990-11-01,NA
1990-12-01,160.3
1991-01-01,NA
1991-02-01,160.9
1991-03-01,NA
1991-04-01,162.1
1991-05-01,NA
1991-06-01,164.4
1991-07-01,NA
1991-08-01,164.7
1991-09-01,NA
1991-10-01,164.4
1991-11-01,NA
1991-12-01,167.9
1992-01-01,NA
1992-02-01,170.2
1992-03-01,NA
1992-04-01,169.5
1992-05-01,NA
1992-06-01,169.4
1992-07-01,NA
1992-08-01,168.8
1992-09-01,NA
1992-10-01,173.5
1992-11-01,NA
1992-12-01,172.9
1993-01-01,NA
1993-02-01,178.4
1993-03-01,NA
1993-04-01,179.9
1993-05-01,NA
1993-06-01,184.9
1993-07-01,NA
1993-08-01,184.7
1993-09-01,NA
1993-10-01,177.6
1993-11-01,NA
1993-12-01,178.8
1994-01-01,NA
1994-02-01,179.3
1994-03-01,NA
1994-04-01,179.8
1994-05-01,NA
1994-06-01,182.8
1994-07-01,NA
1994-08-01,182.8
1994-09-01,NA
1994-10-01,180.1
1994-11-01,NA
1994-12-01,181.9
1995-01-01,NA
1995-02-01,182.2
1995-03-01,NA
1995-04-01,183.5
1995-05-01,NA
1995-06-01,184.5
1995-07-01,NA
1995-08-01,186.9
1995-09-01,NA
1995-10-01,189.1
1995-11-01,NA
1995-12-01,189.8
1996-01-01,NA
1996-02-01,192.2
1996-03-01,NA
1996-04-01,192.6
1996-05-01,NA
1996-06-01,193.5
1996-07-01,NA
1996-08-01,199.2
1996-09-01,NA
1996-10-01,200
1996-11-01,NA
1996-12-01,198.6
1997-01-01,NA
1997-02-01,202.8
1997-03-01,NA
1997-04-01,203.4
1997-05-01,NA
1997-06-01,203.2
1997-07-01,NA
1997-08-01,205.3
1997-09-01,NA
1997-10-01,208.6
1997-11-01,NA
1997-12-01,214.6
1998-01-01,217.4
1998-02-01,NA
1998-03-01,216.2
1998-04-01,NA
1998-05-01,218.9
1998-06-01,NA
1998-07-01,219.8
1998-08-01,NA
1998-09-01,223.2
1998-10-01,NA
1998-11-01,224
1998-12-01,NA
1999-01-01,237.1
1999-02-01,NA
1999-03-01,230.2
1999-04-01,NA
1999-05-01,237.3
1999-06-01,NA
1999-07-01,243.9
1999-08-01,NA
1999-09-01,246.7
1999-10-01,NA
1999-11-01,251.5
1999-12-01,NA
2000-01-01,252.3
2000-02-01,NA
2000-03-01,251.8
2000-04-01,NA
2000-05-01,252.2
2000-06-01,NA
2000-07-01,257.1
2000-08-01,NA
2000-09-01,260.9
2000-10-01,NA
2000-11-01,261.3
2000-12-01,NA
2001-01-01,257.5
2001-02-01,NA
2001-03-01,261
2001-04-01,NA
2001-05-01,255.3
2001-06-01,NA
2001-07-01,270.8
2001-08-01,NA
2001-09-01,274.4
2001-10-01,NA
2001-11-01,277
2001-12-01,NA
2002-01-01,273.7
2002-02-01,NA
2002-03-01,277.2
2002-04-01,NA
2002-05-01,278.7
2002-06-01,NA
2002-07-01,277.7
2002-08-01,NA
2002-09-01,269.7
2002-10-01,NA
2002-11-01,269.3
2002-12-01,NA
2003-01-01,269.7
2003-02-01,NA
2003-03-01,267.3
2003-04-01,NA
2003-05-01,273
2003-06-01,NA
2003-07-01,270.8
2003-08-01,NA
2003-09-01,273.3
2003-10-01,NA
2003-11-01,278
2003-12-01,NA
2004-01-01,277.6
2004-02-01,NA
2004-03-01,279.6
2004-04-01,NA
2004-05-01,282
2004-06-01,NA
2004-07-01,283.6
2004-08-01,NA
2004-09-01,285.6
2004-10-01,NA
2004-11-01,284.5
2004-12-01,NA
2005-01-01,288.4
2005-02-01,NA
2005-03-01,290.1
2005-04-01,NA
2005-05-01,289.6
2005-06-01,NA
2005-07-01,290.6
2005-08-01,NA
2005-09-01,292.1
2005-10-01,NA
2005-11-01,291.7
2005-12-01,NA
2006-01-01,293.5
2006-02-01,NA
2006-03-01,294.8
2006-04-01,NA
2006-05-01,294.4
2006-06-01,NA
2006-07-01,298.1
2006-08-01,NA
2006-09-01,298.4
2006-10-01,NA
2006-11-01,298.2
2006-12-01,NA
2007-01-01,314.03
2007-02-01,NA
2007-03-01,316.971
2007-04-01,NA
2007-05-01,316.916
2007-06-01,NA
2007-07-01,317.858
2007-08-01,NA
2007-09-01,319.236
2007-10-01,NA
2007-11-01,322.613
2007-12-01,NA
2008-01-01,321.146
2008-02-01,NA
2008-03-01,322.156
2008-04-01,NA
2008-05-01,324.344
2008-06-01,NA
2008-07-01,326.446
2008-08-01,NA
2008-09-01,326.318
2008-10-01,NA
2008-11-01,330.673
2008-12-01,NA
2009-01-01,330.802
2009-02-01,NA
2009-03-01,342.109
2009-04-01,NA
2009-05-01,344.289
2009-06-01,NA
2009-07-01,350.92
2009-08-01,NA
2009-09-01,354.064
2009-10-01,NA
2009-11-01,350.519
2009-12-01,NA
2010-01-01,349.5
2010-02-01,NA
2010-03-01,349.861
2010-04-01,NA
2010-05-01,345.061
2010-06-01,NA
2010-07-01,358.922
2010-08-01,NA
2010-09-01,353.949
2010-10-01,NA
2010-11-01,356.766
2010-12-01,NA
2011-01-01,357.102
2011-02-01,NA
2011-03-01,357.764
2011-04-01,NA
2011-05-01,353.583
2011-06-01,NA
2011-07-01,354.567
2011-08-01,NA
2011-09-01,350.64
2011-10-01,NA
2011-11-01,359.459
2011-12-01,NA
2012-01-01,356.795
2012-02-01,NA
2012-03-01,367.022
2012-04-01,NA
2012-05-01,362.4
2012-06-01,NA
2012-07-01,366.982
2012-08-01,NA
2012-09-01,370.271
2012-10-01,NA
2012-11-01,371.4
2012-12-01,NA
2013-01-01,371.68
2013-02-01,NA
2013-03-01,372.363
2013-04-01,NA
2013-05-01,373.737
2013-06-01,NA
2013-07-01,371.983
2013-08-01,NA
2013-09-01,373.117
2013-10-01,NA
2013-11-01,375.645
2013-12-01,NA
2014-01-01,376.898
2014-02-01,NA
2014-03-01,373.894
2014-04-01,NA
2014-05-01,376.818
2014-06-01,NA
2014-07-01,375.761
2014-08-01,NA
2014-09-01,377.702
2014-10-01,NA
2014-11-01,377.385
2014-12-01,NA
2015-01-01,380.701
2015-02-01,NA
2015-03-01,380.736
2015-04-01,NA
2015-05-01,385.644
2015-06-01,NA
2015-07-01,385.228
2015-08-01,NA
2015-09-01,385.603
2015-10-01,NA
2015-11-01,387.069
2015-12-01,NA
2016-01-01,384.99
2016-02-01,NA
2016-03-01,387.268
2016-04-01,NA
2016-05-01,387.19
2016-06-01,NA
2016-07-01,391.784
2016-08-01,NA
2016-09-01,393.462
2016-10-01,NA
2016-11-01,392.076
2016-12-01,NA
2017-01-01,387.682
2017-02-01,NA
2017-03-01,391.596
2017-04-01,NA
2017-05-01,391.616
2017-06-01,NA
2017-07-01,393.424
2017-08-01,NA
2017-09-01,389.735
2017-10-01,NA
2017-11-01,394.361
2017-12-01,NA
2018-01-01,396.871
2018-02-01,NA
2018-03-01,393.744
2018-04-01,NA
2018-05-01,398.343
2018-06-01,NA
2018-07-01,403.401
2018-08-01,NA
2018-09-01,408.71
2018-10-01,NA
2018-11-01,406.857
2018-12-01,NA
2019-01-01,405.655
2019-02-01,NA
2019-03-01,411.146
2019-04-01,NA
2019-05-01,414.747
2019-06-01,NA
2019-07-01,417.921
2019-08-01,NA
2019-09-01,422.514
2019-10-01,NA
2019-11-01,425.207
2019-12-01,NA
2020-01-01,428.813
2020-02-01,NA
2020-03-01,425.99
2020-04-01,NA
2020-05-01,414.663
2020-06-01,NA
2020-07-01,425.268
2020-08-01,NA
2020-09-01,441.001
2020-10-01,NA
2020-11-01,439.33
2020-12-01,NA
2021-01-01,433.057
2021-02-01,NA
2021-03-01,447.32
2021-04-01,NA
2021-05-01,445.023
2021-06-01,NA
2021-07-01,463.615
2021-08-01,NA
2021-09-01,466.952
2021-10-01,NA
2021-11-01,480.558
2021-12-01,NA
2022-01-01,489.226
2022-02-01,NA
2022-03-01,476.29
2022-04-01,NA
2022-05-01,478.676
2022-06-01,NA
2022-07-01,NA
2022-08-01,NA
2022-09-01,483.67
2022-10-01,NA
2022-11-01,484.898
2022-12-01,NA
2023-01-01,494.955
2023-02-01,NA
2023-03-01,502.043
2023-04-01,NA
2023-05-01,501.912
2023-06-01,NA
2023-07-01,502.323
2023-08-01,NA
2023-09-01,510.804
2023-10-01,NA
2023-11-01,517.124
