"Date","CPGRLE01USM657N"
1977-03-01,0.67226890756302
1977-04-01,0.667779632721197
1977-05-01,0.497512437810942
1977-06-01,0.660066006600678
1977-07-01,0.327868852459014
1977-08-01,0.490196078431358
1977-09-01,0.650406504065058
1977-10-01,0.323101777059772
1977-11-01,0.483091787439599
1977-12-01,0.480769230769238
1978-01-01,0.478468899521538
1978-02-01,0.317460317460315
1978-03-01,0.791139240506334
1978-04-01,0.784929356357933
1978-05-01,0.778816199376931
1978-06-01,0.92735703245751
1978-07-01,0.612557427258801
1978-08-01,0.608828006088276
1978-09-01,1.05900151285931
1978-10-01,0.748502994011981
1978-11-01,0.742942050520064
1978-12-01,0.294985250737461
1979-01-01,0.588235294117643
1979-02-01,0.877192982456134
1979-03-01,0.869565217391298
1979-04-01,0.862068965517235
1979-05-01,0.854700854700868
1979-06-01,0.847457627118638
1979-07-01,0.840336134453776
1979-08-01,0.972222222222225
1979-09-01,0.962861072902341
1979-10-01,0.953678474114444
1979-11-01,1.21457489878543
1979-12-01,0.933333333333336
1980-01-01,1.1889035667107
1980-02-01,0.913838120104441
1980-03-01,1.29366106080206
1980-04-01,1.2771392081737
1980-05-01,1.13493064312736
1980-06-01,1.12219451371571
1980-07-01,-0.246609124537606
1980-08-01,0.494437577255851
1980-09-01,1.1070110701107
1980-10-01,1.21654501216546
1980-11-01,1.08173076923077
1980-12-01,0.951248513674207
1981-01-01,0.471142520612482
1981-02-01,0.468933177022271
1981-03-01,0.466744457409565
1981-04-01,0.813008130081303
1981-05-01,1.1520737327189
1981-06-01,1.0250569476082
1981-07-01,1.35287485907553
1981-08-01,0.889877641824258
1981-09-01,1.32304299889747
1981-10-01,0.435255712731226
1981-11-01,0.433369447453951
1981-12-01,0.323624595469261
1982-01-01,0.215053763440859
1982-02-01,0.321888412017172
1982-03-01,0.213903743315506
1982-04-01,0.853788687299873
1982-05-01,0.952380952380953
1982-06-01,0.943396226415095
1982-07-01,0.415368639667716
1982-08-01,0.413650465356771
1982-09-01,0.205973223480946
1982-10-01,0.411099691675228
1982-11-01,-0.102354145342879
1982-12-01,-0.409836065573781
1983-01-01,0.411522633744867
1983-02-01,0.307377049180319
1983-03-01,0.20429009193054
1983-04-01,0.509683995922531
1983-05-01,0.202839756592291
1983-06-01,0.303643724696361
1983-07-01,0.504540867810296
1983-08-01,0.401606425702808
1983-09-01,0.699999999999988
1983-10-01,0.595829195630582
1983-11-01,0.493583415597252
1983-12-01,0.098231827111977
1984-01-01,0.392541707556425
1984-02-01,0.293255131964827
1984-03-01,0.389863547758282
1984-04-01,0.485436893203874
1984-05-01,0.386473429951688
1984-06-01,0.288739172281057
1984-07-01,0.383877159309018
1984-08-01,0.478011472275325
1984-09-01,0.666032350142723
1984-10-01,0.472589792060482
1984-11-01,0.188146754468497
1984-12-01,0.187793427230046
1985-01-01,0.187441424554825
1985-02-01,0.467726847521051
1985-03-01,0.465549348230903
1985-04-01,0.278035217794271
1985-05-01,0.369685767097964
1985-06-01,0.1841620626151
1985-07-01,0.183823529411763
1985-08-01,0.36697247706423
1985-09-01,0.548446069469832
1985-10-01,0.636363636363626
1985-11-01,0.451671183378516
1985-12-01,0.089928057553938
1986-01-01,0.269541778975758
1986-02-01,0.268817204301067
1986-03-01,0.357462019660409
1986-04-01,0.356188780053426
1986-05-01,0.17746228926353
1986-06-01,0.177147918511956
1986-07-01,0.35366931918657
1986-08-01,0.26431718061672
1986-09-01,0.615114235500892
1986-10-01,0.524017467248916
1986-11-01,0.260642919200676
1986-12-01,0.0866551126516633
1987-01-01,0.259740259740252
1987-02-01,0.259067357512957
1987-03-01,0.602928509905244
1987-04-01,0.513698630136994
1987-05-01,0.170357751277682
1987-06-01,0.0850340136054473
1987-07-01,0.254885301614266
1987-08-01,0.508474576271183
1987-09-01,0.674536256323784
1987-10-01,0.586264656616428
1987-11-01,0.333055786844294
1987-12-01,-0.0829875518672361
1988-01-01,0.332225913621271
1988-02-01,0.248344370860931
1988-03-01,0.660611065235338
1988-04-01,0.410172272354391
1988-05-01,0.245098039215701
1988-06-01,0.244498777506083
1988-07-01,0.243902439024405
1988-08-01,0.405515004055153
1988-09-01,0.726978998384491
1988-10-01,0.64153969526864
1988-11-01,0.239043824701188
1988-12-01,0.158982511923698
1989-01-01,0.317460317460315
1989-02-01,0.395569620253146
1989-03-01,0.551615445232479
1989-04-01,0.313479623824449
1989-05-01,0.234374999999993
1989-06-01,0.155884645362441
1989-07-01,0.389105058365761
1989-08-01,0.232558139534877
1989-09-01,0.541376643464822
1989-10-01,0.692307692307693
1989-11-01,0.305576776165009
1989-12-01,0.152322924600141
1990-01-01,0.380228136882152
1990-02-01,0.606060606060602
1990-03-01,0.828313253012058
1990-04-01,0.224047796863304
1990-05-01,0.149031296572289
1990-06-01,0.297619047619046
1990-07-01,0.519287833827885
1990-08-01,0.664206642066441
1990-09-01,0.586510263929595
1990-10-01,0.437317784256586
1990-11-01,0.290275761973854
1990-12-01,0.0723589001447416
1991-01-01,0.795372378886468
1991-02-01,0.645624103299876
1991-03-01,0.42765502494653
1991-04-01,0.141944641589769
1991-05-01,0.141743444365707
1991-06-01,0.141542816702042
1991-07-01,0.353356890459366
1991-08-01,0.492957746478865
1991-09-01,0.490539593552919
1991-10-01,0.348675034867506
1991-11-01,0.347463516330788
1991-12-01,0
1992-01-01,0.346260387811637
1992-02-01,0.483091787439605
1992-03-01,0.549450549450564
1992-04-01,0.136612021857913
1992-05-01,0.0682128240108998
1992-06-01,0.136332651670083
1992-07-01,0.27229407760381
1992-08-01,0.271554650373386
1992-09-01,0.270819228165198
1992-10-01,0.607697501688049
1992-11-01,0.201342281879207
1992-12-01,-0.0669792364367086
1993-01-01,0.4691689008043
1993-02-01,0.600400266844563
1993-03-01,0.397877984084869
1993-04-01,0.198150594451778
1993-05-01,0
1993-06-01,0.0659195781147218
1993-07-01,0.131752305665339
1993-08-01,0.394736842105252
1993-09-01,0.196592398427273
1993-10-01,0.392413342053636
1993-11-01,0.260586319218239
1993-12-01,0
1994-01-01,0.259909031838855
1994-02-01,0.453661697990919
1994-03-01,0.516129032258061
1994-04-01,0.0641848523748434
1994-05-01,0.0641436818473419
1994-06-01,0.128205128205119
1994-07-01,0.128040973111403
1994-08-01,0.383631713554993
1994-09-01,0.318471337579603
1994-10-01,0.31746031746032
1994-11-01,0.126582278481003
1994-12-01,-0.189633375474061
1995-01-01,0.506649778340701
1995-02-01,0.567107750472607
1995-03-01,0.501253132832077
1995-04-01,0.187032418952613
1995-05-01,0.0622277535780996
1995-06-01,0.0621890547263719
1995-07-01,0.124300807955242
1995-08-01,0.310366232153944
1995-09-01,0.309405940594061
1995-10-01,0.431832202344241
1995-11-01,0.122850122850114
1995-12-01,-0.184049079754596
1996-01-01,0.430239704978481
1996-02-01,0.489596083231331
1996-03-01,0.426309378806343
1996-04-01,0.0606428138265652
1996-05-01,0.060606060606048
1996-06-01,0.0605693519079382
1996-07-01,0.18159806295399
1996-08-01,0.181268882175238
1996-09-01,0.36188178528348
1996-10-01,0.360576923076912
1996-11-01,0.119760479041907
1996-12-01,-0.119617224880374
1997-01-01,0.299401197604792
1997-02-01,0.477611940298504
1997-03-01,0.415923945335703
1997-04-01,0.236686390532559
