"Date","CUUR0400SAA"
1979-05-01,NA
1979-06-01,84.9
1979-07-01,NA
1979-08-01,84.6
1979-09-01,NA
1979-10-01,86.7
1979-11-01,NA
1979-12-01,87.7
1980-01-01,NA
1980-02-01,89.2
1980-03-01,NA
1980-04-01,91.7
1980-05-01,NA
1980-06-01,91.9
1980-07-01,NA
1980-08-01,93.1
1980-09-01,NA
1980-10-01,94.7
1980-11-01,NA
1980-12-01,95.3
1981-01-01,NA
1981-02-01,94.4
1981-03-01,NA
1981-04-01,97.1
1981-05-01,NA
1981-06-01,96.7
1981-07-01,NA
1981-08-01,97.5
1981-09-01,NA
1981-10-01,98.6
1981-11-01,NA
1981-12-01,98.6
1982-01-01,NA
1982-02-01,98.3
1982-03-01,NA
1982-04-01,98.6
1982-05-01,NA
1982-06-01,98.5
1982-07-01,NA
1982-08-01,98.2
1982-09-01,NA
1982-10-01,99
1982-11-01,NA
1982-12-01,98.4
1983-01-01,NA
1983-02-01,98.4
1983-03-01,NA
1983-04-01,99.1
1983-05-01,NA
1983-06-01,100.1
1983-07-01,NA
1983-08-01,100.3
1983-09-01,NA
1983-10-01,100.8
1983-11-01,NA
1983-12-01,100.5
1984-01-01,NA
1984-02-01,100.2
1984-03-01,NA
1984-04-01,100.9
1984-05-01,NA
1984-06-01,99.6
1984-07-01,NA
1984-08-01,102.5
1984-09-01,NA
1984-10-01,104.5
1984-11-01,NA
1984-12-01,103.3
1985-01-01,NA
1985-02-01,103.5
1985-03-01,NA
1985-04-01,104.4
1985-05-01,NA
1985-06-01,104.2
1985-07-01,NA
1985-08-01,105.3
1985-09-01,NA
1985-10-01,106.8
1985-11-01,NA
1985-12-01,106.1
1986-01-01,NA
1986-02-01,102.6
1986-03-01,NA
1986-04-01,105.1
1986-05-01,NA
1986-06-01,104
1986-07-01,NA
1986-08-01,106.2
1986-09-01,NA
1986-10-01,108.3
1986-11-01,NA
1986-12-01,106.5
1987-01-01,106.2
1987-02-01,106.4
1987-03-01,109.8
1987-04-01,109.9
1987-05-01,109.1
1987-06-01,108.8
1987-07-01,106.4
1987-08-01,108.3
1987-09-01,111.4
1987-10-01,112.9
1987-11-01,113.4
1987-12-01,112
1988-01-01,111.4
1988-02-01,111.2
1988-03-01,113.9
1988-04-01,114.6
1988-05-01,114.2
1988-06-01,112.3
1988-07-01,110.4
1988-08-01,108.5
1988-09-01,112.2
1988-10-01,113.4
1988-11-01,114.2
1988-12-01,113.4
1989-01-01,111.6
1989-02-01,112.2
1989-03-01,116.8
1989-04-01,117.1
1989-05-01,116.4
1989-06-01,114
1989-07-01,110.8
1989-08-01,111.1
1989-09-01,115
1989-10-01,115.9
1989-11-01,115.1
1989-12-01,113.7
1990-01-01,111.4
1990-02-01,116.8
1990-03-01,121.4
1990-04-01,121.8
1990-05-01,120.2
1990-06-01,118.4
1990-07-01,116
1990-08-01,116.3
1990-09-01,120.4
1990-10-01,122.3
1990-11-01,120.9
1990-12-01,120.2
1991-01-01,120.7
1991-02-01,122.2
1991-03-01,123.3
1991-04-01,125.2
1991-05-01,123.4
1991-06-01,120.3
1991-07-01,121.1
1991-08-01,124
1991-09-01,126.5
1991-10-01,126.8
1991-11-01,126.8
1991-12-01,123.5
1992-01-01,123.7
1992-02-01,126.1
1992-03-01,128.4
1992-04-01,128.2
1992-05-01,129.2
1992-06-01,126.1
1992-07-01,123.6
1992-08-01,124
1992-09-01,125.1
1992-10-01,127.1
1992-11-01,126.5
1992-12-01,123.6
1993-01-01,123
1993-02-01,126.7
1993-03-01,127.7
1993-04-01,128.4
1993-05-01,127.6
1993-06-01,124.6
1993-07-01,121.6
1993-08-01,122.7
1993-09-01,125.8
1993-10-01,125.2
1993-11-01,126
1993-12-01,123.1
1994-01-01,122.2
1994-02-01,123.7
1994-03-01,127.8
1994-04-01,128.8
1994-05-01,128.5
1994-06-01,124.8
1994-07-01,122
1994-08-01,123
1994-09-01,127
1994-10-01,126.5
1994-11-01,125.7
1994-12-01,122.1
1995-01-01,122.7
1995-02-01,124.1
1995-03-01,126.9
1995-04-01,126.7
1995-05-01,125.7
1995-06-01,124.2
1995-07-01,122.3
1995-08-01,121.7
1995-09-01,122.8
1995-10-01,124
1995-11-01,122.9
1995-12-01,119.7
1996-01-01,123.4
1996-02-01,124.7
1996-03-01,130
1996-04-01,128.9
1996-05-01,126.5
1996-06-01,124.7
1996-07-01,123.1
1996-08-01,122.2
1996-09-01,124.5
1996-10-01,126.5
1996-11-01,125
1996-12-01,119.3
1997-01-01,121
1997-02-01,122.8
1997-03-01,125.7
1997-04-01,126.8
1997-05-01,125.4
1997-06-01,123.9
1997-07-01,122.4
1997-08-01,120.8
1997-09-01,122.3
1997-10-01,123.3
1997-11-01,122.7
1997-12-01,119.9
1998-01-01,119.9
1998-02-01,123.1
1998-03-01,125.2
1998-04-01,126.1
1998-05-01,124.2
1998-06-01,122.1
1998-07-01,119.2
1998-08-01,121.3
1998-09-01,122.5
1998-10-01,125.7
1998-11-01,124.9
1998-12-01,120.6
1999-01-01,118.6
1999-02-01,122.1
1999-03-01,124.7
1999-04-01,126
1999-05-01,124.7
1999-06-01,121.2
1999-07-01,116.4
1999-08-01,118.2
1999-09-01,120.9
1999-10-01,123.3
1999-11-01,123
1999-12-01,120.1
2000-01-01,117.9
2000-02-01,120.3
2000-03-01,122.8
2000-04-01,122.7
2000-05-01,123.5
2000-06-01,120.3
2000-07-01,117
2000-08-01,117.2
2000-09-01,120.6
2000-10-01,123.1
2000-11-01,122.1
2000-12-01,118.1
2001-01-01,116.6
2001-02-01,120
2001-03-01,124.3
2001-04-01,122.7
2001-05-01,119.7
2001-06-01,115.6
2001-07-01,112.8
2001-08-01,113.4
2001-09-01,116.7
2001-10-01,119.4
2001-11-01,117.2
2001-12-01,113.1
2002-01-01,112.4
2002-02-01,114.3
2002-03-01,119
2002-04-01,119.8
2002-05-01,118
2002-06-01,112.9
2002-07-01,109.6
2002-08-01,111
2002-09-01,113.2
2002-10-01,115.7
2002-11-01,115.7
2002-12-01,111.2
2003-01-01,109.2
2003-02-01,114.8
2003-03-01,117.1
2003-04-01,116
2003-05-01,115.7
2003-06-01,112.2
2003-07-01,109
2003-08-01,109.1
2003-09-01,110.2
2003-10-01,112.7
2003-11-01,112.2
2003-12-01,107.8
2004-01-01,106.7
2004-02-01,111.9
2004-03-01,115.6
2004-04-01,115.8
2004-05-01,115.9
2004-06-01,113.8
2004-07-01,109.8
2004-08-01,109.1
2004-09-01,111.5
2004-10-01,111.9
2004-11-01,110.9
2004-12-01,107.2
2005-01-01,106.7
2005-02-01,109.4
2005-03-01,111.9
2005-04-01,113.5
2005-05-01,113.6
2005-06-01,109.1
2005-07-01,104.8
2005-08-01,107.2
2005-09-01,110.5
2005-10-01,112.1
2005-11-01,111.6
2005-12-01,107.1
2006-01-01,106
2006-02-01,107.5
2006-03-01,112.5
2006-04-01,114.5
2006-05-01,113.9
2006-06-01,110.9
2006-07-01,107.4
2006-08-01,110.2
2006-09-01,116.7
2006-10-01,117.7
2006-11-01,114.9
2006-12-01,112.5
2007-01-01,110.759
2007-02-01,111.936
2007-03-01,115.158
2007-04-01,115.096
2007-05-01,113.064
2007-06-01,108.845
2007-07-01,107.16
2007-08-01,109.619
2007-09-01,112.668
2007-10-01,115.633
2007-11-01,114.733
2007-12-01,111.964
2008-01-01,109.948
2008-02-01,113.149
2008-03-01,116.17
2008-04-01,116.106
2008-05-01,114.62
2008-06-01,111.423
2008-07-01,108.467
2008-08-01,108.777
2008-09-01,111.784
2008-10-01,114.017
2008-11-01,113.093
2008-12-01,110.517
2009-01-01,109.8
2009-02-01,114.456
2009-03-01,116.709
2009-04-01,116.643
2009-05-01,115.747
2009-06-01,112.448
2009-07-01,110.485
2009-08-01,110.631
2009-09-01,113.107
2009-10-01,115.196
2009-11-01,114.46
2009-12-01,112.031
2010-01-01,110.171
2010-02-01,111.813
2010-03-01,114.251
2010-04-01,115.334
2010-05-01,114.917
2010-06-01,113.567
2010-07-01,110.419
2010-08-01,109.52
2010-09-01,112.94
2010-10-01,113.931
2010-11-01,113.009
2010-12-01,111.302
2011-01-01,110.724
2011-02-01,111.805
2011-03-01,115.335
2011-04-01,116.318
2011-05-01,115.489
2011-06-01,114.552
2011-07-01,112.063
2011-08-01,112.869
2011-09-01,117.14
2011-10-01,118.991
2011-11-01,118.372
2011-12-01,115.534
2012-01-01,115.737
2012-02-01,116.575
2012-03-01,119.935
2012-04-01,121.428
2012-05-01,120.922
2012-06-01,119.036
2012-07-01,116.488
2012-08-01,116.577
2012-09-01,121.577
2012-10-01,124.434
2012-11-01,122.837
2012-12-01,117.782
2013-01-01,119.393
2013-02-01,119.349
2013-03-01,121.587
2013-04-01,122.408
2013-05-01,121.298
2013-06-01,119.678
2013-07-01,117.636
2013-08-01,117.427
2013-09-01,120.72
2013-10-01,122.539
2013-11-01,120.13
2013-12-01,118.2
2014-01-01,116.701
2014-02-01,117.176
2014-03-01,121.101
2014-04-01,123.012
2014-05-01,122.019
2014-06-01,122.001
2014-07-01,118.482
2014-08-01,119.706
2014-09-01,123.108
2014-10-01,123.77
2014-11-01,120.544
2014-12-01,116.587
2015-01-01,116.559
2015-02-01,118.718
2015-03-01,121.096
2015-04-01,121.179
2015-05-01,120.486
2015-06-01,117.569
2015-07-01,116.12
2015-08-01,117.732
2015-09-01,120.484
2015-10-01,121.277
2015-11-01,118.848
2015-12-01,115.729
2016-01-01,116.407
2016-02-01,119.697
2016-03-01,120.739
2016-04-01,121.463
2016-05-01,121.088
2016-06-01,118.627
2016-07-01,116.579
2016-08-01,119.204
2016-09-01,121.771
2016-10-01,122.54
2016-11-01,120.424
2016-12-01,115.54
2017-01-01,116.279
2017-02-01,120.784
2017-03-01,121.617
2017-04-01,120.457
2017-05-01,118.822
2017-06-01,117.509
2017-07-01,116.565
2017-08-01,117.12
2017-09-01,120.642
2017-10-01,122.676
2017-11-01,118.553
2017-12-01,114.047
2018-01-01,116.516
2018-02-01,120.338
2018-03-01,120.474
2018-04-01,120.914
2018-05-01,118.82
2018-06-01,115.992
2018-07-01,116.023
2018-08-01,116.614
2018-09-01,120.996
2018-10-01,121.809
2018-11-01,117.2
2018-12-01,113.373
2019-01-01,114.914
2019-02-01,116.537
2019-03-01,117.775
2019-04-01,118.039
2019-05-01,116.675
2019-06-01,116.627
2019-07-01,114.572
2019-08-01,115.22
2019-09-01,120.198
2019-10-01,119.233
2019-11-01,114.668
2019-12-01,113.21
2020-01-01,115.274
2020-02-01,117.068
2020-03-01,116.235
2020-04-01,112.484
2020-05-01,109.115
2020-06-01,109.226
2020-07-01,109.244
2020-08-01,111.588
2020-09-01,114.364
2020-10-01,114.301
2020-11-01,112.429
2020-12-01,109.417
2021-01-01,111.966
2021-02-01,113.304
2021-03-01,114.734
2021-04-01,116.236
2021-05-01,115.403
2021-06-01,115.707
2021-07-01,115.154
2021-08-01,117.294
2021-09-01,119.128
2021-10-01,120.233
2021-11-01,118.244
2021-12-01,116.739
2022-01-01,118.771
2022-02-01,123.871
2022-03-01,124.64
2022-04-01,122.895
2022-05-01,122.382
2022-06-01,122.336
2022-07-01,121.815
2022-08-01,123.502
2022-09-01,125.596
2022-10-01,125.343
2022-11-01,123.579
2022-12-01,121.768
2023-01-01,123.886
2023-02-01,127.478
2023-03-01,127.365
2023-04-01,127.835
2023-05-01,128.297
2023-06-01,127.492
2023-07-01,125.295
2023-08-01,126.129
2023-09-01,126.985
2023-10-01,127.133
2023-11-01,123.079
