"Date","CPIRECSL"
2012-10-01,114.955
2012-11-01,115.159
2012-12-01,114.974
2013-01-01,115.076
2013-02-01,115.277
2013-03-01,115.194
2013-04-01,115.063
2013-05-01,115.271
2013-06-01,115.121
2013-07-01,115.116
2013-08-01,115.268
2013-09-01,115.305
2013-10-01,115.418
2013-11-01,115.736
2013-12-01,115.389
2014-01-01,115.525
2014-02-01,115.537
2014-03-01,115.506
2014-04-01,115.708
2014-05-01,115.721
2014-06-01,115.731
2014-07-01,115.593
2014-08-01,115.27
2014-09-01,115.415
2014-10-01,115.664
2014-11-01,115.443
2014-12-01,115.426
2015-01-01,115.532
2015-02-01,115.467
2015-03-01,115.551
2015-04-01,115.665
2015-05-01,115.931
2015-06-01,116.114
2015-07-01,116.129
2015-08-01,116.066
2015-09-01,116.165
2015-10-01,116.393
2015-11-01,116.15
2015-12-01,116.163
2016-01-01,116.237
2016-02-01,116.48
2016-03-01,116.743
2016-04-01,117.211
2016-05-01,117.275
2016-06-01,117.398
2016-07-01,117.295
2016-08-01,117.192
2016-09-01,117.093
2016-10-01,116.919
2016-11-01,116.981
2016-12-01,116.955
2017-01-01,117.512
2017-02-01,118.182
2017-03-01,118.234
2017-04-01,118.386
2017-05-01,118.391
2017-06-01,118.404
2017-07-01,118.847
2017-08-01,118.929
2017-09-01,118.947
2017-10-01,118.85
2017-11-01,118.621
2017-12-01,118.669
2018-01-01,118.773
2018-02-01,118.916
2018-03-01,119.01
2018-04-01,118.771
2018-05-01,118.699
2018-06-01,119.044
2018-07-01,119.269
2018-08-01,119.006
2018-09-01,119.235
2018-10-01,118.987
2018-11-01,119.352
2018-12-01,120.013
2019-01-01,120.385
2019-02-01,120.134
2019-03-01,120.476
2019-04-01,120.634
2019-05-01,120.098
2019-06-01,120.062
2019-07-01,120.133
2019-08-01,120.494
2019-09-01,120.425
2019-10-01,121.121
2019-11-01,121.583
2019-12-01,121.837
2020-01-01,122.072
2020-02-01,121.897
2020-03-01,122.037
2020-04-01,121.777
2020-05-01,122.625
2020-06-01,121.959
2020-07-01,121.331
2020-08-01,122.098
2020-09-01,122.222
2020-10-01,122.697
2020-11-01,123.223
2020-12-01,122.972
2021-01-01,122.233
2021-02-01,122.851
2021-03-01,123.335
2021-04-01,124.381
2021-05-01,124.603
2021-06-01,124.844
2021-07-01,125.616
2021-08-01,126.261
2021-09-01,126.456
2021-10-01,127.42
2021-11-01,127.171
2021-12-01,126.987
2022-01-01,128.047
2022-02-01,128.925
2022-03-01,129.195
2022-04-01,129.715
2022-05-01,130.176
2022-06-01,130.627
2022-07-01,131.109
2022-08-01,131.452
2022-09-01,131.585
2022-10-01,132.611
2022-11-01,133.216
2022-12-01,133.509
2023-01-01,134.151
2023-02-01,135.322
2023-03-01,135.466
2023-04-01,136.21
2023-05-01,136.111
2023-06-01,136.264
2023-07-01,136.43
2023-08-01,136.125
2023-09-01,136.684
2023-10-01,136.833
2023-11-01,136.532
