"Date","CUSR0000SASL5"
1992-08-01,148.8
1992-09-01,149.1
1992-10-01,149.9
1992-11-01,150.4
1992-12-01,150.7
1993-01-01,151.1
1993-02-01,151.6
1993-03-01,151.9
1993-04-01,152.5
1993-05-01,153
1993-06-01,153.6
1993-07-01,153.8
1993-08-01,154.3
1993-09-01,154.7
1993-10-01,155
1993-11-01,155.5
1993-12-01,156.2
1994-01-01,156.3
1994-02-01,156.9
1994-03-01,157.3
1994-04-01,157.5
1994-05-01,157.8
1994-06-01,158.1
1994-07-01,158.4
1994-08-01,159
1994-09-01,159.3
1994-10-01,159.6
1994-11-01,160.1
1994-12-01,160.3
1995-01-01,161
1995-02-01,161.5
1995-03-01,162
1995-04-01,162.5
1995-05-01,162.9
1995-06-01,163.4
1995-07-01,163.8
1995-08-01,164.1
1995-09-01,164.4
1995-10-01,165
1995-11-01,165.3
1995-12-01,165.6
1996-01-01,166.1
1996-02-01,166.7
1996-03-01,167
1996-04-01,167.4
1996-05-01,168
1996-06-01,168.4
1996-07-01,169
1996-08-01,169.4
1996-09-01,169.9
1996-10-01,170.3
1996-11-01,170.7
1996-12-01,171.3
1997-01-01,171.8
1997-02-01,172.2
1997-03-01,172.5
1997-04-01,172.9
1997-05-01,173.1
1997-06-01,173.6
1997-07-01,174.1
1997-08-01,174.3
1997-09-01,174.8
1997-10-01,175.4
1997-11-01,175.7
1997-12-01,176.1
1998-01-01,176.4
1998-02-01,176.7
1998-03-01,177
1998-04-01,177.5
1998-05-01,177.9
1998-06-01,178.2
1998-07-01,178.4
1998-08-01,178.9
1998-09-01,179.3
1998-10-01,179.7
1998-11-01,180
1998-12-01,180.5
1999-01-01,180.6
1999-02-01,181
1999-03-01,181.3
1999-04-01,181.9
1999-05-01,182.1
1999-06-01,182.4
1999-07-01,182.8
1999-08-01,183.2
1999-09-01,183.7
1999-10-01,184.1
1999-11-01,184.7
1999-12-01,185.1
2000-01-01,185.7
2000-02-01,186.1
2000-03-01,186.7
2000-04-01,187.2
2000-05-01,187.7
2000-06-01,188.5
2000-07-01,189.2
2000-08-01,189.8
2000-09-01,190.4
2000-10-01,191.2
2000-11-01,191.5
2000-12-01,192.4
2001-01-01,194
2001-02-01,194.4
2001-03-01,194.9
2001-04-01,195.3
2001-05-01,195.9
2001-06-01,196.7
2001-07-01,197.1
2001-08-01,197.6
2001-09-01,197.8
2001-10-01,197.9
2001-11-01,198.7
2001-12-01,199.3
2002-01-01,199.7
2002-02-01,200.3
2002-03-01,200.6
2002-04-01,201.2
2002-05-01,201.8
2002-06-01,202.1
2002-07-01,202.5
2002-08-01,203.4
2002-09-01,203.8
2002-10-01,204.3
2002-11-01,204.9
2002-12-01,205.4
2003-01-01,206
2003-02-01,206.5
2003-03-01,207.2
2003-04-01,207.5
2003-05-01,208.3
2003-06-01,208.5
2003-07-01,209
2003-08-01,209.5
2003-09-01,210
2003-10-01,210.7
2003-11-01,210.5
2003-12-01,211
2004-01-01,211.6
2004-02-01,211.9
2004-03-01,212.5
2004-04-01,213.2
2004-05-01,213.7
2004-06-01,214.4
2004-07-01,214.9
2004-08-01,215.3
2004-09-01,215.7
2004-10-01,216.1
2004-11-01,216.7
2004-12-01,217.2
2005-01-01,217.6
2005-02-01,218.3
2005-03-01,219.1
2005-04-01,219.8
2005-05-01,220
2005-06-01,220.3
2005-07-01,221
2005-08-01,221.6
2005-09-01,222.3
2005-10-01,224.2
2005-11-01,225
2005-12-01,225.4
2006-01-01,226.5
2006-02-01,226.9
2006-03-01,227.3
2006-04-01,228
2006-05-01,228.6
2006-06-01,229.2
2006-07-01,229.9
2006-08-01,230.7
2006-09-01,231.3
2006-10-01,231.5
2006-11-01,232.1
2006-12-01,232.9
2007-01-01,233.451
2007-02-01,234.327
2007-03-01,234.883
2007-04-01,235.578
2007-05-01,236.134
2007-06-01,236.834
2007-07-01,237.259
2007-08-01,237.504
2007-09-01,238.041
2007-10-01,238.748
2007-11-01,239.33
2007-12-01,240.011
2008-01-01,240.823
2008-02-01,241.427
2008-03-01,242.467
2008-04-01,243.2
2008-05-01,244.229
2008-06-01,245.422
2008-07-01,246.865
2008-08-01,247.126
2008-09-01,246.955
2008-10-01,247.08
2008-11-01,247.018
2008-12-01,247.122
2009-01-01,247.693
2009-02-01,247.904
2009-03-01,247.867
2009-04-01,247.798
2009-05-01,247.648
2009-06-01,247.77
2009-07-01,247.843
2009-08-01,248.188
2009-09-01,248.416
2009-10-01,248.77
2009-11-01,248.748
2009-12-01,248.739
2010-01-01,248.663
2010-02-01,248.659
2010-03-01,248.788
2010-04-01,249.06
2010-05-01,249.296
2010-06-01,249.351
2010-07-01,249.607
2010-08-01,249.769
2010-09-01,249.924
2010-10-01,250.137
2010-11-01,250.629
2010-12-01,251.026
2011-01-01,251.273
2011-02-01,251.768
2011-03-01,252.073
2011-04-01,252.394
2011-05-01,252.799
2011-06-01,253.148
2011-07-01,253.645
2011-08-01,254.246
2011-09-01,254.745
2011-10-01,255.142
2011-11-01,255.5
2011-12-01,256.008
2012-01-01,256.327
2012-02-01,256.539
2012-03-01,256.899
2012-04-01,257.375
2012-05-01,257.614
2012-06-01,258.093
2012-07-01,258.28
2012-08-01,258.935
2012-09-01,259.536
2012-10-01,260.179
2012-11-01,260.747
2012-12-01,261.33
2013-01-01,261.823
2013-02-01,262.403
2013-03-01,262.81
2013-04-01,263.177
2013-05-01,263.842
2013-06-01,264.162
2013-07-01,264.728
2013-08-01,265.258
2013-09-01,265.809
2013-10-01,266.275
2013-11-01,266.919
2013-12-01,267.391
2014-01-01,268.125
2014-02-01,268.636
2014-03-01,269.889
2014-04-01,270.161
2014-05-01,271.1
2014-06-01,271.519
2014-07-01,272.051
2014-08-01,272.319
2014-09-01,272.691
2014-10-01,273.221
2014-11-01,273.614
2014-12-01,274.152
2015-01-01,274.723
2015-02-01,275.14
2015-03-01,275.556
2015-04-01,276.174
2015-05-01,276.418
2015-06-01,277.327
2015-07-01,277.929
2015-08-01,278.498
2015-09-01,279.149
2015-10-01,279.744
2015-11-01,280.4
2015-12-01,280.81
2016-01-01,281.33
2016-02-01,281.877
2016-03-01,282.598
2016-04-01,283.407
2016-05-01,284.14
2016-06-01,284.977
2016-07-01,285.643
2016-08-01,286.319
2016-09-01,287.012
2016-10-01,287.595
2016-11-01,288.343
2016-12-01,289.016
2017-01-01,289.775
2017-02-01,290.642
2017-03-01,290.577
2017-04-01,291.273
2017-05-01,291.881
2017-06-01,292.52
2017-07-01,293.045
2017-08-01,293.888
2017-09-01,294.588
2017-10-01,295.352
2017-11-01,295.966
2017-12-01,296.695
2018-01-01,297.46
2018-02-01,298.52
2018-03-01,299.225
2018-04-01,299.722
2018-05-01,300.57
2018-06-01,300.977
2018-07-01,301.549
2018-08-01,302.358
2018-09-01,302.886
2018-10-01,303.54
2018-11-01,304.037
2018-12-01,305.06
2019-01-01,305.543
2019-02-01,306.217
2019-03-01,307.078
2019-04-01,307.858
2019-05-01,308.092
2019-06-01,308.674
2019-07-01,309.254
2019-08-01,309.899
2019-09-01,310.605
2019-10-01,311.292
2019-11-01,312.037
2019-12-01,312.571
2020-01-01,313.568
2020-02-01,314.403
2020-03-01,314.134
2020-04-01,312.731
2020-05-01,312.228
2020-06-01,312.712
2020-07-01,314.329
2020-08-01,314.912
2020-09-01,315.249
2020-10-01,315.825
2020-11-01,316.873
2020-12-01,317.278
2021-01-01,317.204
2021-02-01,318.032
2021-03-01,319.259
2021-04-01,321.115
2021-05-01,322.41
2021-06-01,323.729
2021-07-01,324.93
2021-08-01,325.308
2021-09-01,326.301
2021-10-01,328.148
2021-11-01,329.531
2021-12-01,330.616
2022-01-01,332.532
2022-02-01,334.319
2022-03-01,336.55
2022-04-01,339.161
2022-05-01,341.632
2022-06-01,344.448
2022-07-01,345.697
2022-08-01,347.958
2022-09-01,350.694
2022-10-01,352.64
2022-11-01,354.519
2022-12-01,356.929
2023-01-01,359.868
2023-02-01,362.05
2023-03-01,363.635
2023-04-01,364.997
2023-05-01,365.916
2023-06-01,367.017
2023-07-01,368.526
2023-08-01,370.025
2023-09-01,372.223
2023-10-01,373.538
2023-11-01,375.45
