"Date","CUUR0000SEEB"
1985-10-01,126
1985-11-01,126.2
1985-12-01,126.2
1986-01-01,126.3
1986-02-01,126.3
1986-03-01,126.3
1986-04-01,126.4
1986-05-01,126.4
1986-06-01,126.4
1986-07-01,126.5
1986-08-01,126.8
1986-09-01,135.5
1986-10-01,136.2
1986-11-01,136.1
1986-12-01,136.1
1987-01-01,136.5
1987-02-01,136.5
1987-03-01,136.6
1987-04-01,136.8
1987-05-01,136.9
1987-06-01,137.1
1987-07-01,137.3
1987-08-01,138.1
1987-09-01,145.1
1987-10-01,146
1987-11-01,146.1
1987-12-01,146.5
1988-01-01,146.7
1988-02-01,147.4
1988-03-01,147.4
1988-04-01,147.5
1988-05-01,147.6
1988-06-01,147.9
1988-07-01,148.1
1988-08-01,150.5
1988-09-01,156.8
1988-10-01,157.4
1988-11-01,157.6
1988-12-01,157.6
1989-01-01,158.4
1989-02-01,158.6
1989-03-01,158.7
1989-04-01,158.8
1989-05-01,158.8
1989-06-01,158.8
1989-07-01,159.3
1989-08-01,162
1989-09-01,169.1
1989-10-01,169.9
1989-11-01,170
1989-12-01,170
1990-01-01,170.8
1990-02-01,171
1990-03-01,170.9
1990-04-01,171.1
1990-05-01,171.5
1990-06-01,171.7
1990-07-01,172.8
1990-08-01,176.5
1990-09-01,182.3
1990-10-01,183.2
1990-11-01,183.3
1990-12-01,183.5
1991-01-01,184.8
1991-02-01,185.3
1991-03-01,185.4
1991-04-01,185.9
1991-05-01,186
1991-06-01,186.4
1991-07-01,187.5
1991-08-01,190.7
1991-09-01,200.7
1991-10-01,201.2
1991-11-01,201.3
1991-12-01,201.4
1992-01-01,202
1992-02-01,202.2
1992-03-01,202.6
1992-04-01,203.3
1992-05-01,203.4
1992-06-01,204.1
1992-07-01,204.8
1992-08-01,208.7
1992-09-01,216.4
1992-10-01,217.7
1992-11-01,217.9
1992-12-01,218.5
1993-01-01,219.6
1993-02-01,219.9
1993-03-01,220
1993-04-01,220.3
1993-05-01,220.5
1993-06-01,221.1
1993-07-01,222.1
1993-08-01,225.7
1993-09-01,232.9
1993-10-01,233.6
1993-11-01,233.9
1993-12-01,234
1994-01-01,234.6
1994-02-01,234.8
1994-03-01,234.9
1994-04-01,235
1994-05-01,235.4
1994-06-01,235.9
1994-07-01,236.8
1994-08-01,240.4
1994-09-01,247
1994-10-01,247.5
1994-11-01,247.8
1994-12-01,247.8
1995-01-01,248.3
1995-02-01,249.3
1995-03-01,249.3
1995-04-01,249.1
1995-05-01,249.2
1995-06-01,249.4
1995-07-01,250.4
1995-08-01,255.3
1995-09-01,261.1
1995-10-01,261.4
1995-11-01,261.6
1995-12-01,261.6
1996-01-01,262.1
1996-02-01,262.5
1996-03-01,262.6
1996-04-01,263
1996-05-01,263
1996-06-01,263.2
1996-07-01,264.1
1996-08-01,268.5
1996-09-01,273.7
1996-10-01,274.2
1996-11-01,274.3
1996-12-01,274.3
1997-01-01,275.1
1997-02-01,275.3
1997-03-01,275.3
1997-04-01,275.4
1997-05-01,275.9
1997-06-01,276.1
1997-07-01,277
1997-08-01,281.9
1997-09-01,287.5
1997-10-01,288.2
1997-11-01,288.3
1997-12-01,288.5
1998-01-01,289.2
1998-02-01,289.2
1998-03-01,289.5
1998-04-01,290
1998-05-01,290.5
1998-06-01,290.4
1998-07-01,291.1
1998-08-01,295.8
1998-09-01,300.9
1998-10-01,301.2
1998-11-01,301.4
1998-12-01,301.7
1999-01-01,302.4
1999-02-01,303.3
1999-03-01,303.5
1999-04-01,303.8
1999-05-01,304.1
1999-06-01,304.4
1999-07-01,305.4
1999-08-01,309.9
1999-09-01,315.3
1999-10-01,315.9
1999-11-01,316.3
1999-12-01,316.3
2000-01-01,317.3
2000-02-01,318
2000-03-01,318.3
2000-04-01,318.7
2000-05-01,319.2
2000-06-01,320.9
2000-07-01,321.7
2000-08-01,325.4
2000-09-01,330.8
2000-10-01,332.1
2000-11-01,332.5
2000-12-01,332.7
2001-01-01,333.3
2001-02-01,333.7
2001-03-01,334
2001-04-01,334.1
2001-05-01,335
2001-06-01,336.2
2001-07-01,337.2
2001-08-01,343.9
2001-09-01,350
2001-10-01,351.5
2001-11-01,352
2001-12-01,352.2
2002-01-01,353.2
2002-02-01,353.9
2002-03-01,354.1
2002-04-01,354.1
2002-05-01,354.6
2002-06-01,356.8
2002-07-01,358.3
2002-08-01,365.6
2002-09-01,372.8
2002-10-01,373.8
2002-11-01,374.1
2002-12-01,374
2003-01-01,375.5
2003-02-01,376.3
2003-03-01,376.5
2003-04-01,377.1
2003-05-01,377.7
2003-06-01,379.4
2003-07-01,381.2
2003-08-01,392.1
2003-09-01,400
2003-10-01,401.1
2003-11-01,401.2
2003-12-01,401.7
2004-01-01,403.6
2004-02-01,404.2
2004-03-01,404.7
2004-04-01,404.9
2004-05-01,405.6
2004-06-01,407.6
2004-07-01,409.4
2004-08-01,418.3
2004-09-01,427.4
2004-10-01,428.2
2004-11-01,428.7
2004-12-01,428.9
2005-01-01,429.7
2005-02-01,430.6
2005-03-01,430.9
2005-04-01,431.4
2005-05-01,432.7
2005-06-01,434.4
2005-07-01,436.6
2005-08-01,444.8
2005-09-01,454.1
2005-10-01,454.7
2005-11-01,455.1
2005-12-01,455.3
2006-01-01,457.2
2006-02-01,457.2
2006-03-01,457.2
2006-04-01,457.7
2006-05-01,458.6
2006-06-01,460.2
2006-07-01,462.9
2006-08-01,473.4
2006-09-01,481.7
2006-10-01,482.9
2006-11-01,483.7
2006-12-01,484
2007-01-01,483.705
2007-02-01,484.459
2007-03-01,484.532
2007-04-01,484.601
2007-05-01,485.337
2007-06-01,485.868
2007-07-01,488.382
2007-08-01,498.071
2007-09-01,505.924
2007-10-01,508.449
2007-11-01,509.605
2007-12-01,510.016
2008-01-01,511.301
2008-02-01,511.253
2008-03-01,511.013
2008-04-01,511.887
2008-05-01,512.579
2008-06-01,513.743
2008-07-01,516.264
2008-08-01,527.23
2008-09-01,536.082
2008-10-01,537.606
2008-11-01,537.906
2008-12-01,538.309
2009-01-01,538.765
2009-02-01,538.878
2009-03-01,538.813
2009-04-01,539.149
2009-05-01,540.498
2009-06-01,541.119
2009-07-01,543.81
2009-08-01,555.402
2009-09-01,562.635
2009-10-01,563.352
2009-11-01,562.623
2009-12-01,562.61
2010-01-01,562.841
2010-02-01,563.544
2010-03-01,564.613
2010-04-01,565.709
2010-05-01,565.983
2010-06-01,566.91
2010-07-01,569.75
2010-08-01,579.833
2010-09-01,585.271
2010-10-01,584.286
2010-11-01,584.509
2010-12-01,584.84
2011-01-01,586.386
2011-02-01,586.782
2011-03-01,586.914
2011-04-01,587.151
2011-05-01,588.138
2011-06-01,588.556
2011-07-01,592.539
2011-08-01,604.798
2011-09-01,610.562
2011-10-01,611.458
2011-11-01,611.581
2011-12-01,611.633
2012-01-01,612.104
2012-02-01,611.974
2012-03-01,612.093
2012-04-01,612.068
2012-05-01,612.949
2012-06-01,613.172
2012-07-01,617.651
2012-08-01,626.343
2012-09-01,632.696
2012-10-01,633.646
2012-11-01,633.527
2012-12-01,633.523
2013-01-01,636.016
2013-02-01,635.842
2013-03-01,635.979
2013-04-01,636.037
2013-05-01,636.42
2013-06-01,636.731
2013-07-01,640.089
2013-08-01,649.124
2013-09-01,653.449
2013-10-01,654.327
2013-11-01,655.03
2013-12-01,655.13
2014-01-01,654.979
2014-02-01,656.165
2014-03-01,657.002
2014-04-01,657.289
2014-05-01,658.195
2014-06-01,659.511
2014-07-01,661.866
2014-08-01,669.544
2014-09-01,674.504
2014-10-01,675.867
2014-11-01,676.411
2014-12-01,676.032
2015-01-01,678.031
2015-02-01,678.068
2015-03-01,679.779
2015-04-01,681.469
2015-05-01,682.138
2015-06-01,683.826
2015-07-01,686.658
2015-08-01,693.278
2015-09-01,699.928
2015-10-01,700.786
2015-11-01,701.154
2015-12-01,700.65
2016-01-01,700.486
2016-02-01,701.138
2016-03-01,701.248
2016-04-01,701.807
2016-05-01,702.463
2016-06-01,703.458
2016-07-01,704.999
2016-08-01,710.81
2016-09-01,716.158
2016-10-01,718.181
2016-11-01,717.843
2016-12-01,718.785
2017-01-01,718.304
2017-02-01,718.677
2017-03-01,717.84
2017-04-01,718.043
2017-05-01,718.271
2017-06-01,720.371
2017-07-01,721.224
2017-08-01,726.41
2017-09-01,732.783
2017-10-01,734.535
2017-11-01,734.828
2017-12-01,734.576
2018-01-01,733.683
2018-02-01,733.753
2018-03-01,731.62
2018-04-01,731.689
2018-05-01,732.259
2018-06-01,734.538
2018-07-01,736.755
2018-08-01,746.517
2018-09-01,751.782
2018-10-01,753.806
2018-11-01,754.358
2018-12-01,754.38
2019-01-01,754.578
2019-02-01,755.755
2019-03-01,756.751
2019-04-01,756.908
2019-05-01,757.945
2019-06-01,759.028
2019-07-01,759.965
2019-08-01,765.726
2019-09-01,770.457
2019-10-01,772.258
2019-11-01,772.102
2019-12-01,771.519
2020-01-01,772.63
2020-02-01,773.944
2020-03-01,774.185
2020-04-01,774.413
2020-05-01,774.743
2020-06-01,775.642
2020-07-01,777.492
2020-08-01,780.064
2020-09-01,781.984
2020-10-01,782.652
2020-11-01,782.403
2020-12-01,782.444
2021-01-01,781.914
2021-02-01,782.437
2021-03-01,780.209
2021-04-01,780.614
2021-05-01,782.548
2021-06-01,784.38
2021-07-01,786.143
2021-08-01,791.123
2021-09-01,797.726
2021-10-01,799.166
2021-11-01,799.443
2021-12-01,798.837
2022-01-01,798.643
2022-02-01,799.639
2022-03-01,799.517
2022-04-01,800.327
2022-05-01,801.837
2022-06-01,805.41
2022-07-01,806.644
2022-08-01,815.196
2022-09-01,822.056
2022-10-01,822.882
2022-11-01,823.859
2022-12-01,824.931
2023-01-01,826.089
2023-02-01,826.508
2023-03-01,828.853
2023-04-01,830.083
2023-05-01,830.6
2023-06-01,832.736
2023-07-01,834.93
2023-08-01,840.815
2023-09-01,847.649
2023-10-01,847.031
2023-11-01,846.33
