"Date","CUURA422SS47014"
2010-06-01,235.08
2010-07-01,240.068
2010-08-01,240.861
2010-09-01,230.773
2010-10-01,236.419
2010-11-01,241.776
2010-12-01,246.483
2011-01-01,255.03
2011-02-01,265.049
2011-03-01,298.775
2011-04-01,318.885
2011-05-01,315.916
2011-06-01,295.697
2011-07-01,288.884
2011-08-01,285.58
2011-09-01,296.427
2011-10-01,291.615
2011-11-01,286.465
2011-12-01,271.19
2012-01-01,280.666
2012-02-01,303.568
2012-03-01,329.356
2012-04-01,319.151
2012-05-01,326.905
2012-06-01,302.136
2012-07-01,286.691
2012-08-01,312.074
2012-09-01,317.103
2012-10-01,337.897
2012-11-01,288.678
2012-12-01,268.38
2013-01-01,274.667
2013-02-01,307.491
2013-03-01,310.772
2013-04-01,301.423
2013-05-01,307.232
2013-06-01,304.444
2013-07-01,302.396
2013-08-01,292.171
2013-09-01,300.738
2013-10-01,284.484
2013-11-01,272.957
2013-12-01,270.868
2014-01-01,273.887
2014-02-01,279.9
2014-03-01,297.889
2014-04-01,313.96
2014-05-01,316.369
2014-06-01,313.41
2014-07-01,309.233
2014-08-01,297.943
2014-09-01,287.26
2014-10-01,267.856
2014-11-01,241.44
2014-12-01,214.886
2015-01-01,191.735
2015-02-01,208.371
2015-03-01,250.533
2015-04-01,240.149
2015-05-01,270.203
2015-06-01,252.847
2015-07-01,257.6
2015-08-01,247.597
2015-09-01,223.409
2015-10-01,208.232
2015-11-01,201.774
2015-12-01,195.793
2016-01-01,194.186
2016-02-01,177.202
2016-03-01,190.246
2016-04-01,201.654
2016-05-01,208.087
2016-06-01,212.376
2016-07-01,208.809
2016-08-01,196.782
2016-09-01,203.602
2016-10-01,206.21
2016-11-01,199.95
2016-12-01,199.059
2017-01-01,207.34
2017-02-01,211.554
2017-03-01,222.801
2017-04-01,223.399
2017-05-01,228.989
2017-06-01,226.372
2017-07-01,217.9
2017-08-01,220.161
2017-09-01,232.616
2017-10-01,226.693
2017-11-01,235.549
2017-12-01,231.61
2018-01-01,239.122
2018-02-01,248.183
2018-03-01,253.839
2018-04-01,264.259
2018-05-01,275.63
2018-06-01,276.486
2018-07-01,275.073
2018-08-01,272.77
2018-09-01,273.697
2018-10-01,284.133
2018-11-01,277.336
2018-12-01,263.942
2019-01-01,254.311
2019-02-01,250.511
2019-03-01,258.884
2019-04-01,289.818
2019-05-01,297.438
2019-06-01,279.819
2019-07-01,271.245
2019-08-01,262.722
2019-09-01,267.087
2019-10-01,299.983
2019-11-01,286.115
2019-12-01,260.154
2020-01-01,253.3
2020-02-01,249.274
2020-03-01,233.79
2020-04-01,207.452
2020-05-01,205.583
2020-06-01,218.538
2020-07-01,227.494
2020-08-01,235.174
2020-09-01,237.492
2020-10-01,235.004
2020-11-01,234.535
2020-12-01,235.524
2021-01-01,244.642
2021-02-01,251.951
2021-03-01,276.602
2021-04-01,287.968
2021-05-01,300.861
2021-06-01,309.465
2021-07-01,314.904
2021-08-01,322.036
2021-09-01,321.149
2021-10-01,329.538
2021-11-01,343.075
2021-12-01,341.411
2022-01-01,339.35
2022-02-01,342.591
2022-03-01,408.3
2022-04-01,413.186
2022-05-01,435.103
2022-06-01,464.37
2022-07-01,427.949
2022-08-01,389.898
2022-09-01,400.233
2022-10-01,435.633
2022-11-01,381.744
2022-12-01,323.162
2023-01-01,321.234
2023-02-01,338.236
2023-03-01,352.119
2023-04-01,352.724
2023-05-01,347.337
2023-06-01,347.795
2023-07-01,349.515
2023-08-01,368.82
2023-09-01,396.493
2023-10-01,399.529
2023-11-01,363.701
