"Date","CUUR0000SACE"
1965-08-01,22.7
1965-09-01,22.8
1965-10-01,22.7
1965-11-01,22.8
1965-12-01,22.9
1966-01-01,22.8
1966-02-01,22.9
1966-03-01,23
1966-04-01,22.8
1966-05-01,23
1966-06-01,23.1
1966-07-01,23.2
1966-08-01,23.2
1966-09-01,23.4
1966-10-01,23.3
1966-11-01,23.5
1966-12-01,23.6
1967-01-01,23.5
1967-02-01,23.7
1967-03-01,23.7
1967-04-01,24.1
1967-05-01,24
1967-06-01,23.9
1967-07-01,23.9
1967-08-01,24
1967-09-01,24.2
1967-10-01,24
1967-11-01,24.2
1967-12-01,24
1968-01-01,24.3
1968-02-01,24.3
1968-03-01,24.4
1968-04-01,24.2
1968-05-01,24.2
1968-06-01,24.4
1968-07-01,24.4
1968-08-01,24.6
1968-09-01,24.5
1968-10-01,24.6
1968-11-01,24.7
1968-12-01,24.5
1969-01-01,24.7
1969-02-01,24.7
1969-03-01,25.2
1969-04-01,25.3
1969-05-01,25.2
1969-06-01,25.4
1969-07-01,25.3
1969-08-01,25.4
1969-09-01,25.3
1969-10-01,25.4
1969-11-01,25.1
1969-12-01,25.2
1970-01-01,25.2
1970-02-01,25.3
1970-03-01,25.1
1970-04-01,25.7
1970-05-01,25.6
1970-06-01,25.5
1970-07-01,25.7
1970-08-01,25.4
1970-09-01,25.6
1970-10-01,25.9
1970-11-01,25.9
1970-12-01,26.2
1971-01-01,26.3
1971-02-01,26
1971-03-01,26
1971-04-01,25.6
1971-05-01,25.7
1971-06-01,25.8
1971-07-01,25.7
1971-08-01,26.4
1971-09-01,26.6
1971-10-01,26.6
1971-11-01,26.3
1971-12-01,26.4
1972-01-01,26.3
1972-02-01,26.1
1972-03-01,26.2
1972-04-01,26
1972-05-01,26.2
1972-06-01,26
1972-07-01,26.3
1972-08-01,26.6
1972-09-01,27
1972-10-01,26.9
1972-11-01,26.9
1972-12-01,27
1973-01-01,27.1
1973-02-01,27.5
1973-03-01,27.7
1973-04-01,28
1973-05-01,28.4
1973-06-01,29
1973-07-01,29.1
1973-08-01,29.1
1973-09-01,29
1973-10-01,30.1
1973-11-01,31.5
1973-12-01,33.3
1974-01-01,35.7
1974-02-01,37.5
1974-03-01,39.5
1974-04-01,40.3
1974-05-01,41.2
1974-06-01,41.6
1974-07-01,42
1974-08-01,41.9
1974-09-01,41.8
1974-10-01,41.1
1974-11-01,40.9
1974-12-01,40.9
1975-01-01,41.1
1975-02-01,41.2
1975-03-01,41.2
1975-04-01,41.6
1975-05-01,42.2
1975-06-01,43.1
1975-07-01,44.6
1975-08-01,44.9
1975-09-01,45.1
1975-10-01,45.2
1975-11-01,45
1975-12-01,45
1976-01-01,44.9
1976-02-01,44.6
1976-03-01,44.1
1976-04-01,44
1976-05-01,44.4
1976-06-01,45.3
1976-07-01,45.7
1976-08-01,46
1976-09-01,46.1
1976-10-01,46.2
1976-11-01,46.4
1976-12-01,46.6
1977-01-01,46.9
1977-02-01,47.6
1977-03-01,48
1977-04-01,48.4
1977-05-01,48.8
1977-06-01,49.1
1977-07-01,49.2
1977-08-01,49.2
1977-09-01,49.2
1977-10-01,49.2
1977-11-01,49.3
1977-12-01,49.5
1978-01-01,49.5
1978-02-01,49.5
1978-03-01,49.5
1978-04-01,49.6
1978-05-01,49.9
1978-06-01,50.5
1978-07-01,51.1
1978-08-01,51.6
1978-09-01,52
1978-10-01,52.2
1978-11-01,52.7
1978-12-01,53.5
1979-01-01,54.2
1979-02-01,55.3
1979-03-01,57.4
1979-04-01,60.6
1979-05-01,63.8
1979-06-01,68.2
1979-07-01,72
1979-08-01,75.3
1979-09-01,77.9
1979-10-01,78.8
1979-11-01,79.6
1979-12-01,81.4
1980-01-01,86.6
1980-02-01,92.2
1980-03-01,95.4
1980-04-01,96.3
1980-05-01,96.5
1980-06-01,96.8
1980-07-01,96.9
1980-08-01,96.8
1980-09-01,96.2
1980-10-01,95.6
1980-11-01,95.8
1980-12-01,97
1981-01-01,100.7
1981-02-01,107.5
1981-03-01,110.2
1981-04-01,109.8
1981-05-01,109.1
1981-06-01,108.5
1981-07-01,108.1
1981-08-01,107.7
1981-09-01,107.6
1981-10-01,107.3
1981-11-01,107.3
1981-12-01,107.3
1982-01-01,106.9
1982-02-01,105.4
1982-03-01,101.7
1982-04-01,97.4
1982-05-01,98.2
1982-06-01,103.2
1982-07-01,104.9
1982-08-01,104.6
1982-09-01,103.8
1982-10-01,103.4
1982-11-01,103.4
1982-12-01,101.9
1983-01-01,99.4
1983-02-01,96.2
1983-03-01,93
1983-04-01,96.6
1983-05-01,99.7
1983-06-01,100.8
1983-07-01,101.4
1983-08-01,101.5
1983-09-01,101.1
1983-10-01,100.2
1983-11-01,99.2
1983-12-01,98.6
1984-01-01,98.2
1984-02-01,99.3
1984-03-01,98.4
1984-04-01,99.2
1984-05-01,99.7
1984-06-01,99.2
1984-07-01,97.9
1984-08-01,96.8
1984-09-01,97.1
1984-10-01,97.8
1984-11-01,97.5
1984-12-01,96.8
1985-01-01,94.8
1985-02-01,93.7
1985-03-01,95.4
1985-04-01,98.4
1985-05-01,99.9
1985-06-01,100.3
1985-07-01,100.1
1985-08-01,99.1
1985-09-01,98.5
1985-10-01,98.2
1985-11-01,99.4
1985-12-01,100.1
1986-01-01,99
1986-02-01,92.6
1986-03-01,82.1
1986-04-01,75
1986-05-01,76.5
1986-06-01,78.3
1986-07-01,73.4
1986-08-01,70
1986-09-01,71.3
1986-10-01,69.6
1986-11-01,69.1
1986-12-01,69.6
1987-01-01,73.3
1987-02-01,76.4
1987-03-01,76.9
1987-04-01,78.5
1987-05-01,79.1
1987-06-01,80.6
1987-07-01,81.8
1987-08-01,83.8
1987-09-01,83.5
1987-10-01,82.9
1987-11-01,83.1
1987-12-01,82
1988-01-01,80
1988-02-01,78.8
1988-03-01,78
1988-04-01,79.7
1988-05-01,81.4
1988-06-01,81.4
1988-07-01,81.9
1988-08-01,83.4
1988-09-01,82.5
1988-10-01,81
1988-11-01,80.9
1988-12-01,80.1
1989-01-01,79.9
1989-02-01,80.6
1989-03-01,81.7
1989-04-01,91.2
1989-05-01,95
1989-06-01,94.4
1989-07-01,92.9
1989-08-01,89.8
1989-09-01,88
1989-10-01,88.3
1989-11-01,87
1989-12-01,86.4
1990-01-01,94.2
1990-02-01,91.3
1990-03-01,89.8
1990-04-01,91.2
1990-05-01,92.2
1990-06-01,93.7
1990-07-01,93.2
1990-08-01,102.1
1990-09-01,111.4
1990-10-01,119.2
1990-11-01,119
1990-12-01,117
1991-01-01,108.9
1991-02-01,100.6
1991-03-01,95.3
1991-04-01,96.1
1991-05-01,99.3
1991-06-01,99.5
1991-07-01,97.3
1991-08-01,98.2
1991-09-01,98.8
1991-10-01,97.7
1991-11-01,99.1
1991-12-01,98.2
1992-01-01,94.4
1992-02-01,93
1992-03-01,93.3
1992-04-01,94.6
1992-05-01,98.6
1992-06-01,101.6
1992-07-01,101.6
1992-08-01,100.5
1992-09-01,100.5
1992-10-01,100.6
1992-11-01,101.2
1992-12-01,99.4
1993-01-01,98.1
1993-02-01,97.6
1993-03-01,97
1993-04-01,98
1993-05-01,98.9
1993-06-01,98.9
1993-07-01,97.3
1993-08-01,96.2
1993-09-01,95.4
1993-10-01,98.7
1993-11-01,97.6
1993-12-01,94.3
1994-01-01,92.4
1994-02-01,93.8
1994-03-01,93.4
1994-04-01,94.5
1994-05-01,95.4
1994-06-01,97.2
1994-07-01,99.2
1994-08-01,102.4
1994-09-01,102
1994-10-01,100.4
1994-11-01,101.2
1994-12-01,99.2
1995-01-01,97.9
1995-02-01,97.2
1995-03-01,96.7
1995-04-01,98.4
1995-05-01,102.6
1995-06-01,104.3
1995-07-01,101.9
1995-08-01,99.7
1995-09-01,98.5
1995-10-01,97.2
1995-11-01,95.6
1995-12-01,95.9
1996-01-01,98.7
1996-02-01,98.3
1996-03-01,101.4
1996-04-01,108.1
1996-05-01,112.3
1996-06-01,109.5
1996-07-01,107.2
1996-08-01,105
1996-09-01,105.2
1996-10-01,105.8
1996-11-01,107.9
1996-12-01,109.1
1997-01-01,109.2
1997-02-01,108.6
1997-03-01,106.6
1997-04-01,105.8
1997-05-01,105.3
1997-06-01,105.2
1997-07-01,103.1
1997-08-01,106.2
1997-09-01,107.7
1997-10-01,105.7
1997-11-01,103.9
1997-12-01,101.6
1998-01-01,97.8
1998-02-01,94.3
1998-03-01,91.3
1998-04-01,91.8
1998-05-01,94.6
1998-06-01,94.5
1998-07-01,93.3
1998-08-01,91.3
1998-09-01,89.8
1998-10-01,90.5
1998-11-01,89.6
1998-12-01,86.3
1999-01-01,85.2
1999-02-01,83.9
1999-03-01,86.4
1999-04-01,99.9
1999-05-01,100.3
1999-06-01,98.3
1999-07-01,101.3
1999-08-01,106.3
1999-09-01,109.1
1999-10-01,109.1
1999-11-01,108.7
1999-12-01,111.8
2000-01-01,112.8
2000-02-01,120.6
2000-03-01,131.7
2000-04-01,128.4
2000-05-01,127.9
2000-06-01,137.6
2000-07-01,135
2000-08-01,127.9
2000-09-01,135.2
2000-10-01,133.6
2000-11-01,133.8
2000-12-01,129.3
2001-01-01,128.6
2001-02-01,129.1
2001-03-01,125.4
2001-04-01,133.8
2001-05-01,145.6
2001-06-01,141.1
2001-07-01,125.6
2001-08-01,122
2001-09-01,131
2001-10-01,116.9
2001-11-01,105.8
2001-12-01,97.6
2002-01-01,99.3
2002-02-01,99.5
2002-03-01,108.6
2002-04-01,121.6
2002-05-01,121.6
2002-06-01,120.3
2002-07-01,120.9
2002-08-01,121.5
2002-09-01,122
2002-10-01,124.8
2002-11-01,124.9
2002-12-01,120.7
2003-01-01,127.5
2003-02-01,142.1
2003-03-01,150.1
2003-04-01,141.7
2003-05-01,132.3
2003-06-01,130.9
2003-07-01,131.3
2003-08-01,139.2
2003-09-01,146.9
2003-10-01,137
2003-11-01,132.1
2003-12-01,129
2004-01-01,138.2
2004-02-01,144.6
2004-03-01,151.3
2004-04-01,156.3
2004-05-01,170.1
2004-06-01,172.8
2004-07-01,165.1
2004-08-01,162.5
2004-09-01,162
2004-10-01,174.2
2004-11-01,173.6
2004-12-01,163.4
2005-01-01,158.7
2005-02-01,166.6
2005-03-01,178
2005-04-01,195.2
2005-05-01,189.4
2005-06-01,187
2005-07-01,198.8
2005-08-01,213.6
2005-09-01,249.9
2005-10-01,238.6
2005-11-01,202.7
2005-12-01,190.7
2006-01-01,202.1
2006-02-01,201.1
2006-03-01,208.3
2006-04-01,236.6
2006-05-01,251.4
2006-06-01,249
2006-07-01,256
2006-08-01,255
2006-09-01,222.3
2006-10-01,196.9
2006-11-01,194.6
2006-12-01,202.4
2007-01-01,196.983
2007-02-01,198.617
2007-03-01,222.62
2007-04-01,243.957
2007-05-01,265.562
2007-06-01,260.739
2007-07-01,253.696
2007-08-01,239.885
2007-09-01,241.12
2007-10-01,241.642
2007-11-01,265.42
2007-12-01,261.976
2008-01-01,264.66
2008-02-01,263.508
2008-03-01,283.362
2008-04-01,298.757
2008-05-01,326.414
2008-06-01,351.886
2008-07-01,354.423
2008-08-01,328.24
2008-09-01,318.918
2008-10-01,272.921
2008-11-01,193.395
2008-12-01,155.745
2009-01-01,162.395
2009-02-01,172.428
2009-03-01,172.787
2009-04-01,181.102
2009-05-01,196.528
2009-06-01,226.881
2009-07-01,219.922
2009-08-01,227.204
2009-09-01,222.961
2009-10-01,221.749
2009-11-01,231.226
2009-12-01,228.186
2010-01-01,238.069
2010-02-01,231.735
2010-03-01,241.239
2010-04-01,248.165
2010-05-01,249.68
2010-06-01,238.032
2010-07-01,237.602
2010-08-01,238.702
2010-09-01,235.797
2010-10-01,243.784
2010-11-01,248.928
2010-12-01,259.903
2011-01-01,269.97
2011-02-01,276.485
2011-03-01,307.589
2011-04-01,329.419
2011-05-01,340.183
2011-06-01,321.578
2011-07-01,316.835
2011-08-01,315.33
2011-09-01,313.145
2011-10-01,300.916
2011-11-01,298.53
2011-12-01,287.363
2012-01-01,296.886
2012-02-01,310.685
2012-03-01,334.427
2012-04-01,339.793
2012-05-01,327.659
2012-06-01,307.427
2012-07-01,299.361
2012-08-01,320.214
2012-09-01,333.202
2012-10-01,326.887
2012-11-01,303.627
2012-12-01,291.815
2013-01-01,292.609
2013-02-01,320.258
2013-03-01,324.016
2013-04-01,312.27
2013-05-01,314.009
2013-06-01,315.529
2013-07-01,314.38
2013-08-01,313.275
2013-09-01,309.888
2013-10-01,295.802
2013-11-01,286.975
2013-12-01,289.461
2014-01-01,294.165
2014-02-01,298.403
2014-03-01,311.216
2014-04-01,320.709
2014-05-01,322.394
2014-06-01,322.92
2014-07-01,318.294
2014-08-01,305.858
2014-09-01,299.558
2014-10-01,281.453
2014-11-01,257.629
2014-12-01,230.195
2015-01-01,192.221
2015-02-01,201.485
2015-03-01,221.577
2015-04-01,220.732
2015-05-01,242.315
2015-06-01,247.867
2015-07-01,246.977
2015-08-01,233.619
2015-09-01,211.099
2015-10-01,203.338
2015-11-01,195.291
2015-12-01,184.048
2016-01-01,175.931
2016-02-01,159.404
2016-03-01,174.5
2016-04-01,189.322
2016-05-01,201.355
2016-06-01,209.953
2016-07-01,198.978
2016-08-01,193.119
2016-09-01,197.603
2016-10-01,201.412
2016-11-01,196.855
2016-12-01,200.633
2017-01-01,211.11
2017-02-01,206.984
2017-03-01,209.029
2017-04-01,216.791
2017-05-01,213.613
2017-06-01,209.905
2017-07-01,205.222
2017-08-01,212.978
2017-09-01,234.982
2017-10-01,223.219
2017-11-01,229.195
2017-12-01,222.389
2018-01-01,230.005
2018-02-01,233.414
2018-03-01,232.716
2018-04-01,246.387
2018-05-01,260.02
2018-06-01,260.848
2018-07-01,257.338
2018-08-01,256.52
2018-09-01,257.575
2018-10-01,259.561
2018-11-01,241.633
2018-12-01,218.497
2019-01-01,207.727
2019-02-01,213.27
2019-03-01,231.228
2019-04-01,253.547
2019-05-01,259.31
2019-06-01,246.818
2019-07-01,248.629
2019-08-01,238.431
2019-09-01,236.493
2019-10-01,240.279
2019-11-01,237.972
2019-12-01,234.651
2020-01-01,232.906
2020-02-01,223.913
2020-03-01,207.215
2020-04-01,174.001
2020-05-01,173.138
2020-06-01,189.613
2020-07-01,198.365
2020-08-01,198.496
2020-09-01,199.741
2020-10-01,196.835
2020-11-01,192.126
2020-12-01,198.997
2021-01-01,212.676
2021-02-01,227.412
2021-03-01,252.84
2021-04-01,257.289
2021-05-01,267.532
2021-06-01,273.459
2021-07-01,280.04
2021-08-01,281.73
2021-09-01,283.095
2021-10-01,294.326
2021-11-01,302.635
2021-12-01,296.391
2022-01-01,297.454
2022-02-01,313.522
2022-03-01,375.027
2022-04-01,372.22
2022-05-01,402.04
2022-06-01,439.256
2022-07-01,405.676
2022-08-01,358.038
2022-09-01,338.768
2022-10-01,351.065
2022-11-01,339.663
2022-12-01,297.625
2023-01-01,305.643
2023-02-01,309.28
2023-03-01,311.16
2023-04-01,325.269
2023-05-01,319.876
2023-06-01,321.491
2023-07-01,323.358
2023-08-01,342.996
2023-09-01,346.212
2023-10-01,329.191
2023-11-01,306.419
