"Date","SUUR0000SAM"
2017-04-01,182.9
2017-05-01,182.86
2017-06-01,183.042
2017-07-01,183.624
2017-08-01,183.999
2017-09-01,183.942
2017-10-01,184.159
2017-11-01,184.147
2017-12-01,184.317
2018-01-01,185.361
2018-02-01,186.032
2018-03-01,186.483
2018-04-01,186.525
2018-05-01,186.736
2018-06-01,187.148
2018-07-01,186.798
2018-08-01,186.317
2018-09-01,186.506
2018-10-01,186.73
2018-11-01,187.271
2018-12-01,187.441
2019-01-01,188.415
2019-02-01,188.896
2019-03-01,189.21
2019-04-01,189.513
2019-05-01,190.157
2019-06-01,190.43
2019-07-01,191.158
2019-08-01,192.296
2019-09-01,192.449
2019-10-01,193.749
2019-11-01,194.233
2019-12-01,194.678
2020-01-01,195.414
2020-02-01,196.045
2020-03-01,196.531
2020-04-01,196.899
2020-05-01,197.531
2020-06-01,198.025
2020-07-01,198.661
2020-08-01,198.805
2020-09-01,198.674
2020-10-01,198.093
2020-11-01,197.832
2020-12-01,197.529
2021-01-01,198.949
2021-02-01,199.923
2021-03-01,200.211
2021-04-01,200.139
2021-05-01,199.982
2021-06-01,199.718
2021-07-01,200.284
2021-08-01,200.66
2021-09-01,200.573
2021-10-01,201.478
2021-11-01,201.882
2021-12-01,202.283
2022-01-01,204.148
2022-02-01,204.917
2022-03-01,205.993
2022-04-01,206.67
2022-05-01,207.439
2022-06-01,208.532
2022-07-01,209.562
2022-08-01,211.077
2022-09-01,212.052
2022-10-01,211.173
2022-11-01,209.973
2022-12-01,209.862
2023-01-01,209.999
2023-02-01,209.232
2023-03-01,208.474
2023-04-01,208.191
2023-05-01,208.199
2023-06-01,208.146
2023-07-01,207.771
2023-08-01,208.159
2023-09-01,208.146
2023-10-01,208.589
2023-11-01,209.356
