"Date","CUUR0000SAC"
1959-03-01,33.2
1959-04-01,33.2
1959-05-01,33.2
1959-06-01,33.3
1959-07-01,33.5
1959-08-01,33.3
1959-09-01,33.5
1959-10-01,33.6
1959-11-01,33.5
1959-12-01,33.5
1960-01-01,33.4
1960-02-01,33.4
1960-03-01,33.4
1960-04-01,33.6
1960-05-01,33.6
1960-06-01,33.6
1960-07-01,33.6
1960-08-01,33.6
1960-09-01,33.6
1960-10-01,33.8
1960-11-01,33.8
1960-12-01,33.9
1961-01-01,33.8
1961-02-01,33.8
1961-03-01,33.8
1961-04-01,33.7
1961-05-01,33.7
1961-06-01,33.8
1961-07-01,33.9
1961-08-01,33.9
1961-09-01,33.9
1961-10-01,34
1961-11-01,33.9
1961-12-01,33.9
1962-01-01,33.8
1962-02-01,34
1962-03-01,34
1962-04-01,34
1962-05-01,34
1962-06-01,34.1
1962-07-01,34.1
1962-08-01,34.1
1962-09-01,34.3
1962-10-01,34.3
1962-11-01,34.3
1962-12-01,34.2
1963-01-01,34.2
1963-02-01,34.3
1963-03-01,34.3
1963-04-01,34.3
1963-05-01,34.2
1963-06-01,34.4
1963-07-01,34.6
1963-08-01,34.6
1963-09-01,34.5
1963-10-01,34.6
1963-11-01,34.6
1963-12-01,34.7
1964-01-01,34.7
1964-02-01,34.6
1964-03-01,34.6
1964-04-01,34.7
1964-05-01,34.6
1964-06-01,34.7
1964-07-01,34.8
1964-08-01,34.8
1964-09-01,34.9
1964-10-01,34.9
1964-11-01,34.9
1964-12-01,35
1965-01-01,34.9
1965-02-01,34.9
1965-03-01,34.9
1965-04-01,35
1965-05-01,35.1
1965-06-01,35.3
1965-07-01,35.3
1965-08-01,35.3
1965-09-01,35.3
1965-10-01,35.3
1965-11-01,35.4
1965-12-01,35.5
1966-01-01,35.5
1966-02-01,35.7
1966-03-01,35.8
1966-04-01,36
1966-05-01,36
1966-06-01,36
1966-07-01,36.1
1966-08-01,36.3
1966-09-01,36.4
1966-10-01,36.5
1966-11-01,36.4
1966-12-01,36.4
1967-01-01,36.3
1967-02-01,36.3
1967-03-01,36.4
1967-04-01,36.4
1967-05-01,36.5
1967-06-01,36.7
1967-07-01,36.9
1967-08-01,37
1967-09-01,37
1967-10-01,37.2
1967-11-01,37.2
1967-12-01,37.3
1968-01-01,37.4
1968-02-01,37.5
1968-03-01,37.6
1968-04-01,37.8
1968-05-01,37.9
1968-06-01,38.1
1968-07-01,38.2
1968-08-01,38.3
1968-09-01,38.4
1968-10-01,38.6
1968-11-01,38.7
1968-12-01,38.8
1969-01-01,38.8
1969-02-01,38.9
1969-03-01,39.2
1969-04-01,39.5
1969-05-01,39.6
1969-06-01,39.9
1969-07-01,40
1969-08-01,40.1
1969-09-01,40.2
1969-10-01,40.5
1969-11-01,40.6
1969-12-01,40.9
1970-01-01,40.9
1970-02-01,41.1
1970-03-01,41.2
1970-04-01,41.4
1970-05-01,41.6
1970-06-01,41.7
1970-07-01,41.8
1970-08-01,41.8
1970-09-01,42
1970-10-01,42.2
1970-11-01,42.3
1970-12-01,42.5
1971-01-01,42.4
1971-02-01,42.5
1971-03-01,42.7
1971-04-01,42.9
1971-05-01,43.1
1971-06-01,43.3
1971-07-01,43.4
1971-08-01,43.5
1971-09-01,43.4
1971-10-01,43.5
1971-11-01,43.6
1971-12-01,43.7
1972-01-01,43.6
1972-02-01,43.9
1972-03-01,44
1972-04-01,44.1
1972-05-01,44.2
1972-06-01,44.4
1972-07-01,44.6
1972-08-01,44.6
1972-09-01,44.9
1972-10-01,45
1972-11-01,45.1
1972-12-01,45.2
1973-01-01,45.4
1973-02-01,45.8
1973-03-01,46.4
1973-04-01,46.8
1973-05-01,47.2
1973-06-01,47.6
1973-07-01,47.7
1973-08-01,48.8
1973-09-01,48.8
1973-10-01,49.1
1973-11-01,49.5
1973-12-01,49.9
1974-01-01,50.4
1974-02-01,51.2
1974-03-01,51.8
1974-04-01,52.1
1974-05-01,52.7
1974-06-01,53.2
1974-07-01,53.5
1974-08-01,54.3
1974-09-01,54.9
1974-10-01,55.4
1974-11-01,55.9
1974-12-01,56.3
1975-01-01,56.4
1975-02-01,56.8
1975-03-01,57
1975-04-01,57.2
1975-05-01,57.5
1975-06-01,58.1
1975-07-01,58.9
1975-08-01,59
1975-09-01,59.1
1975-10-01,59.5
1975-11-01,59.6
1975-12-01,59.8
1976-01-01,59.7
1976-02-01,59.7
1976-03-01,59.7
1976-04-01,60
1976-05-01,60.4
1976-06-01,60.7
1976-07-01,61
1976-08-01,61.3
1976-09-01,61.4
1976-10-01,61.5
1976-11-01,61.7
1976-12-01,61.8
1977-01-01,62
1977-02-01,62.8
1977-03-01,63.2
1977-04-01,63.7
1977-05-01,64.1
1977-06-01,64.5
1977-07-01,64.6
1977-08-01,64.8
1977-09-01,64.9
1977-10-01,65.1
1977-11-01,65.4
1977-12-01,65.6
1978-01-01,65.9
1978-02-01,66.3
1978-03-01,66.8
1978-04-01,67.5
1978-05-01,68.2
1978-06-01,68.9
1978-07-01,69.3
1978-08-01,69.6
1978-09-01,70
1978-10-01,70.5
1978-11-01,70.9
1978-12-01,71.4
1979-01-01,72
1979-02-01,72.9
1979-03-01,73.7
1979-04-01,74.7
1979-05-01,75.7
1979-06-01,76.6
1979-07-01,77.4
1979-08-01,78
1979-09-01,78.7
1979-10-01,79.3
1979-11-01,79.9
1979-12-01,80.7
1980-01-01,81.8
1980-02-01,82.8
1980-03-01,83.8
1980-04-01,84.5
1980-05-01,85.1
1980-06-01,85.6
1980-07-01,86.1
1980-08-01,87
1980-09-01,87.9
1980-10-01,88.5
1980-11-01,89.2
1980-12-01,89.6
1981-01-01,90.2
1981-02-01,91.3
1981-03-01,91.8
1981-04-01,92.2
1981-05-01,92.6
1981-06-01,93.1
1981-07-01,93.8
1981-08-01,94.2
1981-09-01,94.7
1981-10-01,94.8
1981-11-01,94.9
1981-12-01,95
1982-01-01,95.2
1982-02-01,95.4
1982-03-01,95.2
1982-04-01,95.2
1982-05-01,96.1
1982-06-01,97.5
1982-07-01,98
1982-08-01,97.9
1982-09-01,98
1982-10-01,98.3
1982-11-01,98.5
1982-12-01,98.4
1983-01-01,98.2
1983-02-01,98.1
1983-03-01,98.1
1983-04-01,99
1983-05-01,99.6
1983-06-01,99.9
1983-07-01,100.2
1983-08-01,100.5
1983-09-01,100.9
1983-10-01,101.1
1983-11-01,101.2
1983-12-01,101.3
1984-01-01,101.8
1984-02-01,102.3
1984-03-01,102.5
1984-04-01,103
1984-05-01,103.1
1984-06-01,103.2
1984-07-01,103.2
1984-08-01,103.5
1984-09-01,103.8
1984-10-01,104.1
1984-11-01,104
1984-12-01,104
1985-01-01,103.9
1985-02-01,104.4
1985-03-01,104.9
1985-04-01,105.4
1985-05-01,105.5
1985-06-01,105.5
1985-07-01,105.3
1985-08-01,105.3
1985-09-01,105.6
1985-10-01,105.8
1985-11-01,106.3
1985-12-01,106.6
1986-01-01,106.7
1986-02-01,105.7
1986-03-01,104.3
1986-04-01,103.4
1986-05-01,103.7
1986-06-01,104
1986-07-01,103.6
1986-08-01,103.6
1986-09-01,104.2
1986-10-01,104.3
1986-11-01,104.4
1986-12-01,104.5
1987-01-01,105.3
1987-02-01,105.8
1987-03-01,106.4
1987-04-01,107.2
1987-05-01,107.5
1987-06-01,107.7
1987-07-01,107.6
1987-08-01,108.2
1987-09-01,108.9
1987-10-01,109.3
1987-11-01,109.5
1987-12-01,109.3
1988-01-01,109.2
1988-02-01,109.1
1988-03-01,109.8
1988-04-01,110.7
1988-05-01,111.1
1988-06-01,111.1
1988-07-01,111.5
1988-08-01,111.9
1988-09-01,113
1988-10-01,113.5
1988-11-01,113.5
1988-12-01,113.5
1989-01-01,113.9
1989-02-01,114.3
1989-03-01,115.2
1989-04-01,116.7
1989-05-01,117.5
1989-06-01,117.2
1989-07-01,117
1989-08-01,116.7
1989-09-01,117.3
1989-10-01,118.1
1989-11-01,118.3
1989-12-01,118.2
1990-01-01,119.9
1990-02-01,120.6
1990-03-01,121.1
1990-04-01,121.4
1990-05-01,121.4
1990-06-01,121.6
1990-07-01,121.6
1990-08-01,122.8
1990-09-01,124.6
1990-10-01,126.1
1990-11-01,126.3
1990-12-01,126
1991-01-01,126
1991-02-01,125.7
1991-03-01,125.7
1991-04-01,126.4
1991-05-01,126.8
1991-06-01,126.7
1991-07-01,126.2
1991-08-01,126.4
1991-09-01,127.1
1991-10-01,127.2
1991-11-01,127.8
1991-12-01,127.5
1992-01-01,127.2
1992-02-01,127.6
1992-03-01,128.4
1992-04-01,128.8
1992-05-01,129.1
1992-06-01,129.2
1992-07-01,129
1992-08-01,129.3
1992-09-01,129.9
1992-10-01,130.3
1992-11-01,130.5
1992-12-01,130.1
1993-01-01,130.4
1993-02-01,130.9
1993-03-01,131.4
1993-04-01,131.9
1993-05-01,132
1993-06-01,131.4
1993-07-01,130.9
1993-08-01,131.1
1993-09-01,131.3
1993-10-01,132.3
1993-11-01,132.5
1993-12-01,132
1994-01-01,132
1994-02-01,132.2
1994-03-01,132.8
1994-04-01,133.1
1994-05-01,133.4
1994-06-01,133.5
1994-07-01,133.7
1994-08-01,134.3
1994-09-01,134.8
1994-10-01,134.9
1994-11-01,135.2
1994-12-01,135.1
1995-01-01,135.1
1995-02-01,135.4
1995-03-01,135.9
1995-04-01,136.6
1995-05-01,136.9
1995-06-01,136.6
1995-07-01,136.2
1995-08-01,136.3
1995-09-01,136.8
1995-10-01,137.2
1995-11-01,137.2
1995-12-01,137
1996-01-01,137.8
1996-02-01,138
1996-03-01,139.2
1996-04-01,140.2
1996-05-01,140.4
1996-06-01,139.9
1996-07-01,139.5
1996-08-01,139.5
1996-09-01,140.3
1996-10-01,141
1996-11-01,141.5
1996-12-01,141.4
1997-01-01,141.5
1997-02-01,141.8
1997-03-01,142
1997-04-01,142.3
1997-05-01,142.1
1997-06-01,141.5
1997-07-01,141
1997-08-01,141.4
1997-09-01,142.1
1997-10-01,142.4
1997-11-01,142.3
1997-12-01,141.7
1998-01-01,141.6
1998-02-01,141.5
1998-03-01,141.5
1998-04-01,142
1998-05-01,142.3
1998-06-01,141.8
1998-07-01,141.6
1998-08-01,141.7
1998-09-01,141.8
1998-10-01,142.6
1998-11-01,142.5
1998-12-01,142.2
1999-01-01,142.5
1999-02-01,142.2
1999-03-01,142.6
1999-04-01,144.6
1999-05-01,144.5
1999-06-01,143.9
1999-07-01,143.9
1999-08-01,144.5
1999-09-01,145.8
1999-10-01,146.4
1999-11-01,146.2
1999-12-01,146.1
2000-01-01,146.2
2000-02-01,147.4
2000-03-01,149.2
2000-04-01,149.3
2000-05-01,149.2
2000-06-01,149.7
2000-07-01,149.3
2000-08-01,148.6
2000-09-01,150.3
2000-10-01,150.4
2000-11-01,150.6
2000-12-01,150
2001-01-01,150
2001-02-01,150.6
2001-03-01,150.7
2001-04-01,151.9
2001-05-01,152.9
2001-06-01,152.1
2001-07-01,150.4
2001-08-01,149.8
2001-09-01,151.5
2001-10-01,150.5
2001-11-01,149.5
2001-12-01,147.9
2002-01-01,147.8
2002-02-01,148.1
2002-03-01,149.4
2002-04-01,151
2002-05-01,150.5
2002-06-01,149.8
2002-07-01,149.3
2002-08-01,149.6
2002-09-01,150.2
2002-10-01,150.7
2002-11-01,150.6
2002-12-01,149.7
2003-01-01,150
2003-02-01,152
2003-03-01,153.1
2003-04-01,152.2
2003-05-01,150.9
2003-06-01,150.4
2003-07-01,150
2003-08-01,150.9
2003-09-01,152
2003-10-01,151.4
2003-11-01,150.9
2003-12-01,150.4
2004-01-01,151.1
2004-02-01,152.3
2004-03-01,153.7
2004-04-01,154.3
2004-05-01,156
2004-06-01,155.8
2004-07-01,154.5
2004-08-01,154.2
2004-09-01,154.9
2004-10-01,157.1
2004-11-01,157.2
2004-12-01,155.8
2005-01-01,155.4
2005-02-01,156.5
2005-03-01,158.2
2005-04-01,160.3
2005-05-01,159.8
2005-06-01,158.9
2005-07-01,159.5
2005-08-01,161.1
2005-09-01,165.6
2005-10-01,165.1
2005-11-01,161.5
2005-12-01,160
2006-01-01,161.3
2006-02-01,161.4
2006-03-01,162.8
2006-04-01,165.5
2006-05-01,166.9
2006-06-01,166.3
2006-07-01,166.4
2006-08-01,166.6
2006-09-01,164.4
2006-10-01,162.5
2006-11-01,161.8
2006-12-01,162.1
2007-01-01,161.978
2007-02-01,162.89
2007-03-01,165.71
2007-04-01,167.777
2007-05-01,169.767
2007-06-01,168.921
2007-07-01,167.938
2007-08-01,166.955
2007-09-01,167.952
2007-10-01,168.664
2007-11-01,171.043
2007-12-01,170.511
2008-01-01,171.179
2008-02-01,171.53
2008-03-01,173.884
2008-04-01,175.838
2008-05-01,178.341
2008-06-01,180.534
2008-07-01,181.087
2008-08-01,179.148
2008-09-01,179.117
2008-10-01,175.257
2008-11-01,167.673
2008-12-01,163.582
2009-01-01,164.36
2009-02-01,165.891
2009-03-01,166.645
2009-04-01,167.816
2009-05-01,169.06
2009-06-01,171.593
2009-07-01,170.483
2009-08-01,171.081
2009-09-01,171.559
2009-10-01,172.252
2009-11-01,173.061
2009-12-01,172.572
2010-01-01,173.646
2010-02-01,173.419
2010-03-01,174.798
2010-04-01,175.333
2010-05-01,175.333
2010-06-01,173.899
2010-07-01,173.503
2010-08-01,173.925
2010-09-01,174.282
2010-10-01,175.225
2010-11-01,175.415
2010-12-01,176.015
2011-01-01,177.48
2011-02-01,178.874
2011-03-01,182.728
2011-04-01,185.311
2011-05-01,186.804
2011-06-01,185.266
2011-07-01,184.931
2011-08-01,185.566
2011-09-01,186.015
2011-10-01,185.236
2011-11-01,184.791
2011-12-01,183.345
2012-01-01,184.636
2012-02-01,186.279
2012-03-01,189.201
2012-04-01,190.089
2012-05-01,188.963
2012-06-01,186.967
2012-07-01,185.872
2012-08-01,187.952
2012-09-01,189.575
2012-10-01,189.338
2012-11-01,186.845
2012-12-01,185.204
2013-01-01,185.613
2013-02-01,188.539
2013-03-01,189.286
2013-04-01,188.513
2013-05-01,188.441
2013-06-01,188.423
2013-07-01,188.055
2013-08-01,188.202
2013-09-01,188.278
2013-10-01,187.168
2013-11-01,185.896
2013-12-01,185.62
2014-01-01,186.152
2014-02-01,187.04
2014-03-01,188.847
2014-04-01,190.176
2014-05-01,190.518
2014-06-01,190.324
2014-07-01,189.706
2014-08-01,188.872
2014-09-01,189.027
2014-10-01,187.76
2014-11-01,184.964
2014-12-01,181.926
2015-01-01,178.576
2015-02-01,180.005
2015-03-01,182.318
2015-04-01,182.533
2015-05-01,184.263
2015-06-01,184.523
2015-07-01,184.071
2015-08-01,183.137
2015-09-01,181.868
2015-10-01,181.306
2015-11-01,179.825
2015-12-01,178.016
2016-01-01,177.661
2016-02-01,177.049
2016-03-01,178.437
2016-04-01,179.941
2016-05-01,180.59
2016-06-01,180.748
2016-07-01,179.389
2016-08-01,179.14
2016-09-01,179.85
2016-10-01,180.306
2016-11-01,179.02
2016-12-01,178.7
2017-01-01,180.298
2017-02-01,180.607
2017-03-01,181.136
2017-04-01,182.041
2017-05-01,181.489
2017-06-01,180.72
2017-07-01,180.043
2017-08-01,180.763
2017-09-01,182.903
2017-10-01,182.116
2017-11-01,181.847
2017-12-01,180.946
2018-01-01,182.434
2018-02-01,183.385
2018-03-01,183.78
2018-04-01,185.271
2018-05-01,186.199
2018-06-01,185.965
2018-07-01,185.531
2018-08-01,185.366
2018-09-01,185.571
2018-10-01,186.071
2018-11-01,184.077
2018-12-01,181.754
2019-01-01,181.815
2019-02-01,183.001
2019-03-01,184.993
2019-04-01,186.884
2019-05-01,187.236
2019-06-01,186.112
2019-07-01,186.319
2019-08-01,185.686
2019-09-01,185.508
2019-10-01,186.012
2019-11-01,185.186
2019-12-01,184.441
2020-01-01,185.055
2020-02-01,185.331
2020-03-01,184.364
2020-04-01,182.141
2020-05-01,182.064
2020-06-01,183.619
2020-07-01,184.59
2020-08-01,185.83
2020-09-01,186.434
2020-10-01,186.502
2020-11-01,185.594
2020-12-01,186.063
2021-01-01,187.79
2021-02-01,189.402
2021-03-01,191.877
2021-04-01,194.456
2021-05-01,197.117
2021-06-01,200.209
2021-07-01,201.615
2021-08-01,202.496
2021-09-01,203.313
2021-10-01,206.134
2021-11-01,207.708
2021-12-01,208.602
2022-01-01,210.918
2022-02-01,213.96
2022-03-01,219.057
2022-04-01,219.647
2022-05-01,223.076
2022-06-01,227.423
2022-07-01,226.11
2022-08-01,223.891
2022-09-01,222.678
2022-10-01,223.747
2022-11-01,222.112
2022-12-01,218.607
2023-01-01,220.468
2023-02-01,221.731
2023-03-01,222.457
2023-04-01,224.216
2023-05-01,224.515
2023-06-01,224.764
2023-07-01,224.698
2023-08-01,226.161
2023-09-01,225.866
2023-10-01,224.696
2023-11-01,222.008
