"Date","CUURD300SAS"
1987-09-01,117.9
1987-10-01,118.7
1987-11-01,119.1
1987-12-01,119.2
1988-01-01,119.7
1988-02-01,119.5
1988-03-01,119.4
1988-04-01,119.6
1988-05-01,119.1
1988-06-01,120.4
1988-07-01,121.3
1988-08-01,122
1988-09-01,122.6
1988-10-01,123
1988-11-01,123.3
1988-12-01,122.9
1989-01-01,123.7
1989-02-01,123.7
1989-03-01,124.1
1989-04-01,125
1989-05-01,125.7
1989-06-01,126.2
1989-07-01,125.9
1989-08-01,126.5
1989-09-01,126.7
1989-10-01,126.6
1989-11-01,127.8
1989-12-01,128
1990-01-01,130.6
1990-02-01,131.2
1990-03-01,131.7
1990-04-01,132.3
1990-05-01,133
1990-06-01,137.5
1990-07-01,137.3
1990-08-01,137.4
1990-09-01,136.5
1990-10-01,135.8
1990-11-01,136.6
1990-12-01,137.9
1991-01-01,138.2
1991-02-01,139.2
1991-03-01,138.9
1991-04-01,138.9
1991-05-01,138.1
1991-06-01,139.7
1991-07-01,140.8
1991-08-01,141.9
1991-09-01,141.8
1991-10-01,141.7
1991-11-01,140.9
1991-12-01,141.3
1992-01-01,142
1992-02-01,143.2
1992-03-01,144
1992-04-01,143.9
1992-05-01,143.6
1992-06-01,143.5
1992-07-01,144
1992-08-01,144.5
1992-09-01,144.5
1992-10-01,147
1992-11-01,146.9
1992-12-01,147.2
1993-01-01,147.3
1993-02-01,147.8
1993-03-01,148.1
1993-04-01,149
1993-05-01,150.7
1993-06-01,151.2
1993-07-01,151.9
1993-08-01,152.3
1993-09-01,152.3
1993-10-01,152.5
1993-11-01,154.3
1993-12-01,153.9
1994-01-01,153.8
1994-02-01,154.4
1994-03-01,155
1994-04-01,154.4
1994-05-01,155.9
1994-06-01,156.6
1994-07-01,156.7
1994-08-01,156.9
1994-09-01,157.6
1994-10-01,157.8
1994-11-01,157.7
1994-12-01,158.2
1995-01-01,159.7
1995-02-01,161.3
1995-03-01,161.9
1995-04-01,162.5
1995-05-01,163.4
1995-06-01,163.7
1995-07-01,164.2
1995-08-01,163.9
1995-09-01,164.6
1995-10-01,165.1
1995-11-01,165.3
1995-12-01,165.7
1996-01-01,166.1
1996-02-01,167.2
1996-03-01,169.3
1996-04-01,169.8
1996-05-01,170.5
1996-06-01,171
1996-07-01,170.5
1996-08-01,170.7
1996-09-01,171.5
1996-10-01,171.9
1996-11-01,171.8
1996-12-01,171.8
1997-01-01,172.7
1997-02-01,173.9
1997-03-01,174.6
1997-04-01,174.2
1997-05-01,174.2
1997-06-01,175.2
1997-07-01,175.8
1997-08-01,176.1
1997-09-01,176.5
1997-10-01,176.4
1997-11-01,176.6
1997-12-01,176.8
1998-01-01,178
1998-02-01,179.2
1998-03-01,180
1998-04-01,181
1998-05-01,181
1998-06-01,182.3
1998-07-01,182.2
1998-08-01,182.7
1998-09-01,182.4
1998-10-01,181.4
1998-11-01,181.9
1998-12-01,182.6
1999-01-01,182.8
1999-02-01,183.7
1999-03-01,184.6
1999-04-01,185.6
1999-05-01,184.2
1999-06-01,185.3
1999-07-01,186.1
1999-08-01,186.9
1999-09-01,186.2
1999-10-01,185.5
1999-11-01,185.1
1999-12-01,184.1
2000-01-01,186
2000-02-01,186.7
2000-03-01,187.9
2000-04-01,186.9
2000-05-01,187.4
2000-06-01,187.8
2000-07-01,189
2000-08-01,189.6
2000-09-01,189.8
2000-10-01,188.8
2000-11-01,188.5
2000-12-01,188.6
2001-01-01,189.8
2001-02-01,191.6
2001-03-01,192.1
2001-04-01,192.6
2001-05-01,193.3
2001-06-01,195.2
2001-07-01,195.3
2001-08-01,195.5
2001-09-01,194.3
2001-10-01,195
2001-11-01,194.2
2001-12-01,193.9
2002-01-01,194.5
2002-02-01,195.2
2002-03-01,195.7
2002-04-01,195.3
2002-05-01,196.1
2002-06-01,198.4
2002-07-01,199.8
2002-08-01,200.2
2002-09-01,199.7
2002-10-01,199.4
2002-11-01,199
2002-12-01,198.3
2003-01-01,199.9
2003-02-01,200.8
2003-03-01,201.1
2003-04-01,202.6
2003-05-01,202.2
2003-06-01,203.2
2003-07-01,204
2003-08-01,204.9
2003-09-01,204.3
2003-10-01,203.9
2003-11-01,204.2
2003-12-01,203.3
2004-01-01,202.7
2004-02-01,203.5
2004-03-01,203.7
2004-04-01,205
2004-05-01,204.7
2004-06-01,206.7
2004-07-01,207.2
2004-08-01,207
2004-09-01,208.1
2004-10-01,208.2
2004-11-01,207.5
2004-12-01,207.4
2005-01-01,208.6
2005-02-01,209.5
2005-03-01,210.4
2005-04-01,212.2
2005-05-01,212.2
2005-06-01,214.8
2005-07-01,215
2005-08-01,215.2
2005-09-01,216.4
2005-10-01,218.1
2005-11-01,218.6
2005-12-01,218.3
2006-01-01,219.7
2006-02-01,219.8
2006-03-01,220.6
2006-04-01,222.1
2006-05-01,222.2
2006-06-01,225.7
2006-07-01,227.2
2006-08-01,227.9
2006-09-01,229.1
2006-10-01,229.3
2006-11-01,229.5
2006-12-01,229.7
2007-01-01,230.795
2007-02-01,230.384
2007-03-01,230.902
2007-04-01,231.308
2007-05-01,230.07
2007-06-01,232.504
2007-07-01,233.188
2007-08-01,232.853
2007-09-01,232.825
2007-10-01,232.26
2007-11-01,232.971
2007-12-01,233.526
2008-01-01,235.319
2008-02-01,236.883
2008-03-01,237.608
2008-04-01,238.755
2008-05-01,240.344
2008-06-01,243.594
2008-07-01,243.656
2008-08-01,247.191
2008-09-01,246.401
2008-10-01,246.947
2008-11-01,247.294
2008-12-01,246.873
2009-01-01,248.886
2009-02-01,248.302
2009-03-01,248.386
2009-04-01,248.603
2009-05-01,249.333
2009-06-01,250.932
2009-07-01,249.26
2009-08-01,249.306
2009-09-01,249.635
2009-10-01,249.465
2009-11-01,249.679
2009-12-01,249.004
2010-01-01,247.972
2010-02-01,248.738
2010-03-01,249.379
2010-04-01,249.537
2010-05-01,248.721
2010-06-01,252.555
2010-07-01,252.866
2010-08-01,253.222
2010-09-01,252.209
2010-10-01,251.086
2010-11-01,251.206
2010-12-01,251.186
2011-01-01,251.1
2011-02-01,252.595
2011-03-01,253.465
2011-04-01,254.049
2011-05-01,254.366
2011-06-01,254.75
2011-07-01,255.178
2011-08-01,255.251
2011-09-01,255.267
2011-10-01,254.459
2011-11-01,255.912
2011-12-01,257.746
2012-01-01,258.73
2012-02-01,259.337
2012-03-01,260.256
2012-04-01,261.083
2012-05-01,261.111
2012-06-01,262.905
2012-07-01,264.16
2012-08-01,263.958
2012-09-01,264.258
2012-10-01,263.003
2012-11-01,263.708
2012-12-01,263.602
2013-01-01,263.673
2013-02-01,264.269
2013-03-01,265.548
2013-04-01,265.979
2013-05-01,266.226
2013-06-01,268.453
2013-07-01,268.081
2013-08-01,268.63
2013-09-01,267.522
2013-10-01,266.298
2013-11-01,265.839
2013-12-01,266.177
2014-01-01,267.94
2014-02-01,269.196
2014-03-01,272.239
2014-04-01,273.126
2014-05-01,273.584
2014-06-01,275.976
2014-07-01,276.526
2014-08-01,277.275
2014-09-01,277.406
2014-10-01,276.425
2014-11-01,276.308
2014-12-01,277.138
2015-01-01,278.286
2015-02-01,278.921
2015-03-01,278.834
2015-04-01,278.952
2015-05-01,278.92
2015-06-01,281.334
2015-07-01,280.096
2015-08-01,280.424
2015-09-01,281.019
2015-10-01,282.189
2015-11-01,283.071
2015-12-01,282.774
2016-01-01,283.423
2016-02-01,283.502
2016-03-01,283.768
2016-04-01,283.984
2016-05-01,284.413
2016-06-01,286.899
2016-07-01,287.028
2016-08-01,286.783
2016-09-01,288.331
2016-10-01,286.8
2016-11-01,286.883
2016-12-01,286.822
2017-01-01,287.849
2017-02-01,288.83
2017-03-01,289.595
2017-04-01,290.01
2017-05-01,289.62
2017-06-01,291.495
2017-07-01,292.205
2017-08-01,293.161
2017-09-01,292.749
2017-10-01,292.018
2017-11-01,292.003
2017-12-01,292.677
