"Date","CWUR0000SASL2RS"
2002-03-01,190.5
2002-04-01,190.7
2002-05-01,191.6
2002-06-01,193.2
2002-07-01,194.1
2002-08-01,194.9
2002-09-01,195.3
2002-10-01,195.2
2002-11-01,195.6
2002-12-01,195.9
2003-01-01,196.9
2003-02-01,197.9
2003-03-01,199.5
2003-04-01,199.7
2003-05-01,200.4
2003-06-01,202.2
2003-07-01,202.8
2003-08-01,203.1
2003-09-01,203.7
2003-10-01,203.2
2003-11-01,202.7
2003-12-01,202.9
2004-01-01,204.1
2004-02-01,204.9
2004-03-01,204.9
2004-04-01,205.2
2004-05-01,205.8
2004-06-01,208.2
2004-07-01,208.9
2004-08-01,209.3
2004-09-01,209.5
2004-10-01,208.6
2004-11-01,209.8
2004-12-01,209.9
2005-01-01,210.8
2005-02-01,211.2
2005-03-01,211.6
2005-04-01,212.7
2005-05-01,213.6
2005-06-01,215.3
2005-07-01,216.3
2005-08-01,217
2005-09-01,219.2
2005-10-01,220.4
2005-11-01,221.7
2005-12-01,221.1
2006-01-01,223.4
2006-02-01,222.9
2006-03-01,222.7
2006-04-01,222.7
2006-05-01,223.3
2006-06-01,225.3
2006-07-01,225.8
2006-08-01,226.3
2006-09-01,227.2
2006-10-01,225.2
2006-11-01,225.5
2006-12-01,225.8
2007-01-01,226.994
2007-02-01,227.801
2007-03-01,228.479
2007-04-01,228.811
2007-05-01,229.694
2007-06-01,231.965
2007-07-01,232.367
2007-08-01,232.45
2007-09-01,232.982
2007-10-01,232.628
2007-11-01,233.029
2007-12-01,233.314
2008-01-01,234.576
2008-02-01,235.258
2008-03-01,236.483
2008-04-01,237.922
2008-05-01,240.181
2008-06-01,243.78
2008-07-01,246.411
2008-08-01,246.834
2008-09-01,245.787
2008-10-01,244.331
2008-11-01,243.599
2008-12-01,243.646
2009-01-01,244.376
2009-02-01,244.791
2009-03-01,244.413
2009-04-01,243.718
2009-05-01,243.784
2009-06-01,245.833
2009-07-01,246.622
2009-08-01,247.308
2009-09-01,247.664
2009-10-01,246.851
2009-11-01,247.237
2009-12-01,247.174
2010-01-01,247.985
2010-02-01,248.586
2010-03-01,249.464
2010-04-01,249.847
2010-05-01,250.398
2010-06-01,252.319
2010-07-01,253.109
2010-08-01,253.551
2010-09-01,253.335
2010-10-01,252.181
2010-11-01,251.894
2010-12-01,251.847
2011-01-01,252.563
2011-02-01,253.664
2011-03-01,254.057
2011-04-01,254.54
2011-05-01,255.643
2011-06-01,257.266
2011-07-01,257.932
2011-08-01,258.552
2011-09-01,258.945
2011-10-01,257.887
2011-11-01,257.664
2011-12-01,257.915
2012-01-01,258.616
2012-02-01,258.697
2012-03-01,259.048
2012-04-01,259.48
2012-05-01,260.246
2012-06-01,262.456
2012-07-01,262.554
2012-08-01,262.987
2012-09-01,263.384
2012-10-01,262.682
2012-11-01,262.986
2012-12-01,263.441
2013-01-01,264.557
2013-02-01,265.555
2013-03-01,265.795
2013-04-01,265.98
2013-05-01,267.182
2013-06-01,268.987
2013-07-01,269.557
2013-08-01,269.621
2013-09-01,270.165
2013-10-01,269.248
2013-11-01,269.038
2013-12-01,269.005
2014-01-01,270.679
2014-02-01,271.632
2014-03-01,273.155
2014-04-01,272.853
2014-05-01,274.533
2014-06-01,276.254
2014-07-01,276.308
2014-08-01,275.812
2014-09-01,275.674
2014-10-01,274.631
2014-11-01,274.247
2014-12-01,274.66
2015-01-01,275.694
2015-02-01,276.102
2015-03-01,275.92
2015-04-01,276.549
2015-05-01,277.056
2015-06-01,279.024
2015-07-01,278.833
2015-08-01,278.808
2015-09-01,278.957
2015-10-01,278.644
2015-11-01,279.111
2015-12-01,278.964
2016-01-01,280.079
2016-02-01,280.792
2016-03-01,281.334
2016-04-01,282.046
2016-05-01,283.385
2016-06-01,285.149
2016-07-01,285.668
2016-08-01,286.18
2016-09-01,286.161
2016-10-01,285.081
2016-11-01,285.418
2016-12-01,285.76
2017-01-01,287.294
2017-02-01,288.602
2017-03-01,287.228
2017-04-01,287.467
2017-05-01,288.64
2017-06-01,290.221
2017-07-01,290.307
2017-08-01,290.571
2017-09-01,290.782
2017-10-01,290.224
2017-11-01,290.464
2017-12-01,290.867
2018-01-01,292.175
2018-02-01,293.881
2018-03-01,293.838
2018-04-01,293.774
2018-05-01,294.866
2018-06-01,296.352
2018-07-01,296.345
2018-08-01,296.336
2018-09-01,296.491
2018-10-01,296.471
2018-11-01,296.262
2018-12-01,297.114
2019-01-01,297.906
2019-02-01,298.274
2019-03-01,298.434
2019-04-01,298.478
2019-05-01,298.931
2019-06-01,300.33
2019-07-01,300.718
2019-08-01,301.33
2019-09-01,301.536
2019-10-01,302.535
2019-11-01,302.974
2019-12-01,303.108
2020-01-01,304.454
2020-02-01,305.38
2020-03-01,304.962
2020-04-01,302.872
2020-05-01,302.106
2020-06-01,304.132
2020-07-01,307.387
2020-08-01,307.665
2020-09-01,307.546
2020-10-01,307.2
2020-11-01,308.251
2020-12-01,308.032
2021-01-01,308.326
2021-02-01,309.885
2021-03-01,310.919
2021-04-01,312.654
2021-05-01,314.257
2021-06-01,316.089
2021-07-01,316.917
2021-08-01,317.111
2021-09-01,317.154
2021-10-01,319.076
2021-11-01,319.741
2021-12-01,320.033
2022-01-01,323.426
2022-02-01,325.21
2022-03-01,327.4
2022-04-01,330.362
2022-05-01,333.686
2022-06-01,338.501
2022-07-01,339.401
2022-08-01,341.628
2022-09-01,344.098
2022-10-01,343.796
2022-11-01,343.893
2022-12-01,344.983
2023-01-01,348.305
2023-02-01,348.506
2023-03-01,348.088
2023-04-01,348.381
2023-05-01,348.596
2023-06-01,350.101
2023-07-01,350.843
2023-08-01,352.49
2023-09-01,353.733
2023-10-01,355.051
2023-11-01,356.903
