"Date","CUSR0000SEEA"
1980-07-01,71.3
1980-08-01,72
1980-09-01,73.3
1980-10-01,73.6
1980-11-01,74.1
1980-12-01,74.7
1981-01-01,76
1981-02-01,76.4
1981-03-01,77.2
1981-04-01,77.8
1981-05-01,78.4
1981-06-01,79
1981-07-01,79.6
1981-08-01,80.1
1981-09-01,83.7
1981-10-01,84.5
1981-11-01,85.1
1981-12-01,85.7
1982-01-01,86.7
1982-02-01,87.4
1982-03-01,88.2
1982-04-01,89
1982-05-01,89.8
1982-06-01,90.5
1982-07-01,91.2
1982-08-01,91.7
1982-09-01,93
1982-10-01,93.9
1982-11-01,94.6
1982-12-01,95.4
1983-01-01,96
1983-02-01,97.1
1983-03-01,97.9
1983-04-01,98.6
1983-05-01,99.4
1983-06-01,100.3
1983-07-01,101.1
1983-08-01,101.7
1983-09-01,101.9
1983-10-01,102.6
1983-11-01,103.3
1983-12-01,104.1
1984-01-01,104.8
1984-02-01,105.6
1984-03-01,106.2
1984-04-01,107
1984-05-01,107.8
1984-06-01,108.6
1984-07-01,109.3
1984-08-01,110.1
1984-09-01,110.4
1984-10-01,111.1
1984-11-01,111.8
1984-12-01,112.6
1985-01-01,113.7
1985-02-01,114.4
1985-03-01,115.2
1985-04-01,116.1
1985-05-01,116.8
1985-06-01,117.5
1985-07-01,118.3
1985-08-01,119
1985-09-01,120.6
1985-10-01,121.5
1985-11-01,122.3
1985-12-01,123.1
1986-01-01,123.9
1986-02-01,124.4
1986-03-01,125.3
1986-04-01,126
1986-05-01,126.8
1986-06-01,127.8
1986-07-01,128.6
1986-08-01,129.4
1986-09-01,130.1
1986-10-01,130.8
1986-11-01,131.7
1986-12-01,132.6
1987-01-01,133.8
1987-02-01,134.3
1987-03-01,135.2
1987-04-01,136.2
1987-05-01,137
1987-06-01,137.8
1987-07-01,138.5
1987-08-01,139.2
1987-09-01,140.1
1987-10-01,140.9
1987-11-01,141.8
1987-12-01,142.6
1988-01-01,143.5
1988-02-01,144.7
1988-03-01,145.4
1988-04-01,146.2
1988-05-01,147.1
1988-06-01,147.8
1988-07-01,148.6
1988-08-01,149.3
1988-09-01,149.9
1988-10-01,150.6
1988-11-01,151.6
1988-12-01,152.5
1989-01-01,152.2
1989-02-01,153.4
1989-03-01,154.3
1989-04-01,155.2
1989-05-01,156
1989-06-01,156.8
1989-07-01,157.8
1989-08-01,158.8
1989-09-01,161.9
1989-10-01,162.3
1989-11-01,163.4
1989-12-01,164.2
1990-01-01,167
1990-02-01,168.1
1990-03-01,169.1
1990-04-01,169.9
1990-05-01,170.8
1990-06-01,171.1
1990-07-01,172.1
1990-08-01,172.3
1990-09-01,172.7
1990-10-01,173.3
1990-11-01,174.2
1990-12-01,174.9
1991-01-01,175.3
1991-02-01,175.7
1991-03-01,176.8
1991-04-01,177.6
1991-05-01,178.5
1991-06-01,180.2
1991-07-01,180.9
1991-08-01,182.2
1991-09-01,183.3
1991-10-01,183.9
1991-11-01,184.3
1991-12-01,185
1992-01-01,186.1
1992-02-01,187.2
1992-03-01,188
1992-04-01,188.8
1992-05-01,189.2
1992-06-01,190
1992-07-01,190.7
1992-08-01,191.1
1992-09-01,191.9
1992-10-01,193.1
1992-11-01,193.9
1992-12-01,194.4
1993-01-01,194.4
1993-02-01,194.4
1993-03-01,195.1
1993-04-01,195.8
1993-05-01,196.8
1993-06-01,197.2
1993-07-01,197.7
1993-08-01,201
1993-09-01,198.1
1993-10-01,199.5
1993-11-01,200.3
1993-12-01,201.2
1994-01-01,201.9
1994-02-01,202.6
1994-03-01,203.2
1994-04-01,203.8
1994-05-01,204.8
1994-06-01,205.5
1994-07-01,206.5
1994-08-01,206.9
1994-09-01,207.5
1994-10-01,207.4
1994-11-01,208
1994-12-01,208.3
1995-01-01,210.3
1995-02-01,211
1995-03-01,211.7
1995-04-01,212.4
1995-05-01,212.9
1995-06-01,213.7
1995-07-01,214.4
1995-08-01,214.1
1995-09-01,216.2
1995-10-01,217.5
1995-11-01,218.9
1995-12-01,219.9
1996-01-01,222.1
1996-02-01,223
1996-03-01,224.1
1996-04-01,225.1
1996-05-01,225.4
1996-06-01,225.9
1996-07-01,226.4
1996-08-01,228.5
1996-09-01,229.4
1996-10-01,230.2
1996-11-01,231
1996-12-01,231.9
1997-01-01,232.7
1997-02-01,233.5
1997-03-01,234.3
1997-04-01,235.3
1997-05-01,236.7
1997-06-01,238.5
1997-07-01,239.6
1997-08-01,241.3
1997-09-01,241.1
1997-10-01,241.6
1997-11-01,242.4
1997-12-01,243.5
1998-01-01,243.7
1998-02-01,245.1
1998-03-01,246.4
1998-04-01,248.5
1998-05-01,249.8
1998-06-01,249.9
1998-07-01,251
1998-08-01,250.2
1998-09-01,253.1
1998-10-01,256.1
1998-11-01,257.1
1998-12-01,258
1999-01-01,257.4
1999-02-01,259.5
1999-03-01,260.5
1999-04-01,261.1
1999-05-01,262.5
1999-06-01,263.3
1999-07-01,264.2
1999-08-01,265.4
1999-09-01,266
1999-10-01,267.7
1999-11-01,256
1999-12-01,257
2000-01-01,273.3
2000-02-01,276.2
2000-03-01,275.5
2000-04-01,276.4
2000-05-01,277.6
2000-06-01,278.4
2000-07-01,279.8
2000-08-01,281.2
2000-09-01,283.9
2000-10-01,284.2
2000-11-01,285.5
2000-12-01,287.1
2001-01-01,288.6
2001-02-01,288.2
2001-03-01,289.3
2001-04-01,290.5
2001-05-01,291.6
2001-06-01,294.7
2001-07-01,296.7
2001-08-01,299.2
2001-09-01,304.1
2001-10-01,305.8
2001-11-01,305.8
2001-12-01,296.7
2002-01-01,302.9
2002-02-01,312.2
2002-03-01,313.2
2002-04-01,314.8
2002-05-01,316.9
2002-06-01,318.3
2002-07-01,319.9
2002-08-01,320.5
2002-09-01,321.8
2002-10-01,321.4
2002-11-01,324.6
2002-12-01,324.4
2003-01-01,329.3
2003-02-01,330.7
2003-03-01,331.5
2003-04-01,331.9
2003-05-01,333.1
2003-06-01,334.7
2003-07-01,336.6
2003-08-01,338.5
2003-09-01,337.1
2003-10-01,339.3
2003-11-01,337.1
2003-12-01,345.2
2004-01-01,345
2004-02-01,346.6
2004-03-01,347.1
2004-04-01,349.1
2004-05-01,350.2
2004-06-01,351.3
2004-07-01,351.5
2004-08-01,353.1
2004-09-01,352.1
2004-10-01,353.3
2004-11-01,355.2
2004-12-01,357.6
2005-01-01,356.5
2005-02-01,357.8
2005-03-01,359.1
2005-04-01,361.2
2005-05-01,363.2
2005-06-01,364.7
2005-07-01,366.6
2005-08-01,364
2005-09-01,372.1
2005-10-01,372.9
2005-11-01,374.2
2005-12-01,375.1
2006-01-01,378.2
2006-02-01,380.4
2006-03-01,381.8
2006-04-01,383.2
2006-05-01,386
2006-06-01,388.6
2006-07-01,389.1
2006-08-01,390.6
2006-09-01,392.6
2006-10-01,396.6
2006-11-01,398.8
2006-12-01,400.2
2007-01-01,404.449
2007-02-01,406.52
2007-03-01,412.808
2007-04-01,414.756
2007-05-01,416.509
2007-06-01,418.287
2007-07-01,421.41
2007-08-01,426.747
2007-09-01,427.251
2007-10-01,429.259
2007-11-01,431.701
2007-12-01,434.983
2008-01-01,436.197
2008-02-01,437.814
2008-03-01,439.181
2008-04-01,443.052
2008-05-01,445.005
2008-06-01,446.944
2008-07-01,447.546
2008-08-01,457.972
2008-09-01,459.318
2008-10-01,461.36
2008-11-01,462.506
2008-12-01,464.981
2009-01-01,466.656
2009-02-01,468.913
2009-03-01,471.696
2009-04-01,473.922
2009-05-01,475.127
2009-06-01,480.982
2009-07-01,484.836
2009-08-01,488.383
2009-09-01,490.263
2009-10-01,491.953
2009-11-01,495.275
2009-12-01,497.024
2010-01-01,498.248
2010-02-01,501.869
2010-03-01,501.877
2010-04-01,503.135
2010-05-01,505.492
2010-06-01,509.137
2010-07-01,508.309
2010-08-01,502.625
2010-09-01,505.224
2010-10-01,507.667
2010-11-01,509.181
2010-12-01,514.319
2011-01-01,518.851
2011-02-01,519.465
2011-03-01,522.423
2011-04-01,524.251
2011-05-01,526.023
2011-06-01,528.501
2011-07-01,530.016
2011-08-01,530.812
2011-09-01,535.312
2011-10-01,537.512
2011-11-01,540.125
2011-12-01,540.929
2012-01-01,543.96
2012-02-01,547.095
2012-03-01,550.226
2012-04-01,552.613
2012-05-01,556.63
2012-06-01,559.608
2012-07-01,563.829
2012-08-01,570.969
2012-09-01,574.306
2012-10-01,574.251
2012-11-01,577.502
2012-12-01,578.388
2013-01-01,582.796
2013-02-01,585.065
2013-03-01,588.621
2013-04-01,590.966
2013-05-01,593.932
2013-06-01,596.211
2013-07-01,600.184
2013-08-01,591.054
2013-09-01,596.22
2013-10-01,600.987
2013-11-01,603.175
2013-12-01,606.273
2014-01-01,598.17
2014-02-01,604.759
2014-03-01,603.791
2014-04-01,608.173
2014-05-01,611.184
2014-06-01,612.073
2014-07-01,614.286
2014-08-01,620.584
2014-09-01,623.786
2014-10-01,627.686
2014-11-01,627.897
2014-12-01,632.331
2015-01-01,639.406
2015-02-01,640.084
2015-03-01,644.473
2015-04-01,644.887
2015-05-01,646.559
2015-06-01,643.069
2015-07-01,645.461
2015-08-01,649.131
2015-09-01,652.64
2015-10-01,655.17
2015-11-01,657.153
2015-12-01,660.278
2016-01-01,663.452
2016-02-01,660.05
2016-03-01,658.775
2016-04-01,666.544
2016-05-01,666.306
2016-06-01,675.052
2016-07-01,678.015
2016-08-01,687.438
2016-09-01,693.598
2016-10-01,695.365
2016-11-01,700.418
2016-12-01,700.386
2017-01-01,690.427
2017-02-01,696.371
2017-03-01,698.235
2017-04-01,688.56
2017-05-01,682.217
2017-06-01,682.327
2017-07-01,691.689
2017-08-01,690.041
2017-09-01,682.696
2017-10-01,686.535
2017-11-01,696.688
2017-12-01,687.646
2018-01-01,686.318
2018-02-01,693.578
2018-03-01,695.459
2018-04-01,691.264
2018-05-01,711.872
2018-06-01,701.303
2018-07-01,704.868
2018-08-01,697.221
2018-09-01,695.069
2018-10-01,691.11
2018-11-01,690.333
2018-12-01,694.834
2019-01-01,686.211
2019-02-01,692.467
2019-03-01,689.515
2019-04-01,688.736
2019-05-01,683.088
2019-06-01,686.251
2019-07-01,683.624
2019-08-01,694.264
2019-09-01,681.853
2019-10-01,676.964
2019-11-01,680.251
2019-12-01,681.151
2020-01-01,664.948
2020-02-01,670.41
2020-03-01,671.048
2020-04-01,677.144
2020-05-01,677.189
2020-06-01,674.802
2020-07-01,677.979
2020-08-01,685.181
2020-09-01,683.136
2020-10-01,683.131
2020-11-01,681.564
2020-12-01,686.054
2021-01-01,684.568
2021-02-01,693.357
2021-03-01,677.099
2021-04-01,686.521
2021-05-01,691.128
2021-06-01,691.804
2021-07-01,695.36
2021-08-01,687.667
2021-09-01,685.005
2021-10-01,685.851
2021-11-01,682.911
2021-12-01,683.632
2022-01-01,702.326
2022-02-01,699.194
2022-03-01,702.848
2022-04-01,701.848
2022-05-01,717.038
2022-06-01,717.247
2022-07-01,717.006
2022-08-01,719.287
2022-09-01,716.259
2022-10-01,717.775
2022-11-01,718.85
2022-12-01,720.642
2023-01-01,717.542
2023-02-01,717.706
2023-03-01,707.82
2023-04-01,704.119
2023-05-01,707.858
2023-06-01,697.925
2023-07-01,695.378
2023-08-01,694.564
2023-09-01,698.45
2023-10-01,694.56
2023-11-01,684.378
