"Date","CUSR0000SASLE"
1978-01-01,58.9
1978-02-01,59.3
1978-03-01,59.6
1978-04-01,60.1
1978-05-01,60.5
1978-06-01,61.1
1978-07-01,61.6
1978-08-01,62.2
1978-09-01,62.8
1978-10-01,63.3
1978-11-01,63.8
1978-12-01,64
1979-01-01,64.5
1979-02-01,65.1
1979-03-01,65.6
1979-04-01,66.2
1979-05-01,66.9
1979-06-01,67.5
1979-07-01,68.3
1979-08-01,69.2
1979-09-01,69.9
1979-10-01,70.8
1979-11-01,71.8
1979-12-01,72.7
1980-01-01,73.8
1980-02-01,74.8
1980-03-01,76.2
1980-04-01,77.3
1980-05-01,78.4
1980-06-01,79.8
1980-07-01,79.1
1980-08-01,79
1980-09-01,79.6
1980-10-01,80.6
1980-11-01,81.7
1980-12-01,82.9
1981-01-01,83.7
1981-02-01,84.3
1981-03-01,85
1981-04-01,85.9
1981-05-01,87.1
1981-06-01,88.1
1981-07-01,89.6
1981-08-01,90.6
1981-09-01,91.9
1981-10-01,92.4
1981-11-01,93.1
1981-12-01,93.6
1982-01-01,94
1982-02-01,94.4
1982-03-01,94.3
1982-04-01,95.3
1982-05-01,96.1
1982-06-01,97
1982-07-01,97.5
1982-08-01,98
1982-09-01,97.9
1982-10-01,98
1982-11-01,97.7
1982-12-01,96.7
1983-01-01,97.3
1983-02-01,97.7
1983-03-01,97.8
1983-04-01,98.4
1983-05-01,98.7
1983-06-01,99
1983-07-01,99.4
1983-08-01,99.7
1983-09-01,100.1
1983-10-01,100.6
1983-11-01,101.1
1983-12-01,101.4
1984-01-01,102.1
1984-02-01,102.6
1984-03-01,103
1984-04-01,103.5
1984-05-01,103.8
1984-06-01,104.3
1984-07-01,104.9
1984-08-01,105.3
1984-09-01,105.8
1984-10-01,106.3
1984-11-01,106.7
1984-12-01,107.1
1985-01-01,107.5
1985-02-01,108
1985-03-01,108.5
1985-04-01,108.8
1985-05-01,109.6
1985-06-01,110.1
1985-07-01,110.7
1985-08-01,111.2
1985-09-01,111.5
1985-10-01,112
1985-11-01,112.8
1985-12-01,113.2
1986-01-01,113.8
1986-02-01,114.3
1986-03-01,115
1986-04-01,115.6
1986-05-01,115.9
1986-06-01,116.4
1986-07-01,116.8
1986-08-01,117.2
1986-09-01,117.7
1986-10-01,118.3
1986-11-01,118.7
1986-12-01,119.1
1987-01-01,119.4
1987-02-01,119.9
1987-03-01,120.2
1987-04-01,120.9
1987-05-01,121.4
1987-06-01,121.6
1987-07-01,122
1987-08-01,122.6
1987-09-01,123.1
1987-10-01,123.8
1987-11-01,124.1
1987-12-01,124.6
1988-01-01,125.1
1988-02-01,125.6
1988-03-01,126.1
1988-04-01,126.7
1988-05-01,127.2
1988-06-01,127.7
1988-07-01,128.1
1988-08-01,128.7
1988-09-01,129.2
1988-10-01,129.7
1988-11-01,130.2
1988-12-01,130.8
1989-01-01,131.3
1989-02-01,131.9
1989-03-01,132.5
1989-04-01,132.9
1989-05-01,133.6
1989-06-01,134.2
1989-07-01,134.8
1989-08-01,135.4
1989-09-01,135.7
1989-10-01,136.4
1989-11-01,137
1989-12-01,137.6
1990-01-01,138.2
1990-02-01,138.7
1990-03-01,139.7
1990-04-01,140.4
1990-05-01,141
1990-06-01,141.9
1990-07-01,142.8
1990-08-01,143.9
1990-09-01,144.4
1990-10-01,145
1990-11-01,145.5
1990-12-01,146.1
1991-01-01,147
1991-02-01,147.6
1991-03-01,148.1
1991-04-01,148.4
1991-05-01,148.9
1991-06-01,149.4
1991-07-01,150
1991-08-01,150.6
1991-09-01,151.2
1991-10-01,151.6
1991-11-01,152.2
1991-12-01,152.8
1992-01-01,153.3
1992-02-01,153.7
1992-03-01,154.3
1992-04-01,154.8
1992-05-01,155.2
1992-06-01,155.6
1992-07-01,156.1
1992-08-01,156.5
1992-09-01,156.7
1992-10-01,157.6
1992-11-01,158.2
1992-12-01,158.6
1993-01-01,159.3
1993-02-01,159.8
1993-03-01,160
1993-04-01,160.7
1993-05-01,161.3
1993-06-01,161.8
1993-07-01,162.1
1993-08-01,162.6
1993-09-01,163.1
1993-10-01,163.5
1993-11-01,164.1
1993-12-01,164.7
1994-01-01,165.1
1994-02-01,165.7
1994-03-01,166.3
1994-04-01,166.6
1994-05-01,166.8
1994-06-01,167.2
1994-07-01,167.6
1994-08-01,168.3
1994-09-01,168.7
1994-10-01,169.2
1994-11-01,169.7
1994-12-01,170
1995-01-01,170.8
1995-02-01,171.3
1995-03-01,172
1995-04-01,172.6
1995-05-01,173.1
1995-06-01,173.6
1995-07-01,174
1995-08-01,174.3
1995-09-01,174.9
1995-10-01,175.5
1995-11-01,175.9
1995-12-01,176.1
1996-01-01,176.7
1996-02-01,177.3
1996-03-01,177.7
1996-04-01,178
1996-05-01,178.7
1996-06-01,179.2
1996-07-01,179.7
1996-08-01,180.2
1996-09-01,180.7
1996-10-01,181.2
1996-11-01,181.7
1996-12-01,182.1
1997-01-01,182.5
1997-02-01,182.8
1997-03-01,183.4
1997-04-01,183.9
1997-05-01,184.3
1997-06-01,184.8
1997-07-01,185.3
1997-08-01,185.6
1997-09-01,186
1997-10-01,186.6
1997-11-01,187
1997-12-01,187.5
1998-01-01,188.1
1998-02-01,188.5
1998-03-01,189
1998-04-01,189.5
1998-05-01,190
1998-06-01,190.3
1998-07-01,190.7
1998-08-01,191.2
1998-09-01,191.8
1998-10-01,192.2
1998-11-01,192.8
1998-12-01,193.2
1999-01-01,193.4
1999-02-01,193.7
1999-03-01,194.2
1999-04-01,194.8
1999-05-01,195.1
1999-06-01,195.3
1999-07-01,195.9
1999-08-01,196.2
1999-09-01,196.7
1999-10-01,197.2
1999-11-01,197.9
1999-12-01,198.3
2000-01-01,199.2
2000-02-01,199.5
2000-03-01,200.2
2000-04-01,200.6
2000-05-01,201.2
2000-06-01,201.9
2000-07-01,202.5
2000-08-01,203.2
2000-09-01,203.6
2000-10-01,204.1
2000-11-01,204.7
2000-12-01,205.1
2001-01-01,206
2001-02-01,206.6
2001-03-01,207.3
2001-04-01,207.8
2001-05-01,208.4
2001-06-01,209.4
2001-07-01,209.9
2001-08-01,210.8
2001-09-01,211.2
2001-10-01,211.7
2001-11-01,212.7
2001-12-01,213.3
2002-01-01,214.2
2002-02-01,215
2002-03-01,215.4
2002-04-01,216
2002-05-01,216.6
2002-06-01,217
2002-07-01,217.7
2002-08-01,218.5
2002-09-01,219
2002-10-01,219.5
2002-11-01,220.2
2002-12-01,220.7
2003-01-01,221.5
2003-02-01,221.8
2003-03-01,222
2003-04-01,222.2
2003-05-01,223.1
2003-06-01,223.3
2003-07-01,224
2003-08-01,224.4
2003-09-01,224.9
2003-10-01,225.7
2003-11-01,226
2003-12-01,226.5
2004-01-01,227.1
2004-02-01,227.4
2004-03-01,228.3
2004-04-01,229
2004-05-01,229.5
2004-06-01,230
2004-07-01,230.5
2004-08-01,230.9
2004-09-01,231.6
2004-10-01,232
2004-11-01,232.5
2004-12-01,232.9
2005-01-01,233.5
2005-02-01,234.2
2005-03-01,235.3
2005-04-01,235.6
2005-05-01,235.9
2005-06-01,236.2
2005-07-01,236.8
2005-08-01,237.1
2005-09-01,237.4
2005-10-01,238.3
2005-11-01,239.2
2005-12-01,239.8
2006-01-01,240.3
2006-02-01,241.1
2006-03-01,242
2006-04-01,242.8
2006-05-01,243.7
2006-06-01,244.5
2006-07-01,245.2
2006-08-01,246
2006-09-01,246.6
2006-10-01,247.4
2006-11-01,248
2006-12-01,248.6
2007-01-01,249.382
2007-02-01,250.242
2007-03-01,250.742
2007-04-01,251.385
2007-05-01,251.991
2007-06-01,252.647
2007-07-01,253.271
2007-08-01,253.874
2007-09-01,254.616
2007-10-01,255.379
2007-11-01,256.164
2007-12-01,256.933
2008-01-01,257.748
2008-02-01,258.158
2008-03-01,259.048
2008-04-01,259.298
2008-05-01,260.029
2008-06-01,260.86
2008-07-01,261.565
2008-08-01,262.226
2008-09-01,262.815
2008-10-01,263.141
2008-11-01,263.492
2008-12-01,263.685
2009-01-01,264.282
2009-02-01,264.654
2009-03-01,265.014
2009-04-01,265.275
2009-05-01,265.477
2009-06-01,265.596
2009-07-01,265.788
2009-08-01,266.401
2009-09-01,266.67
2009-10-01,267.081
2009-11-01,267.076
2009-12-01,267.236
2010-01-01,266.739
2010-02-01,266.943
2010-03-01,267.153
2010-04-01,267.514
2010-05-01,267.853
2010-06-01,268.213
2010-07-01,268.499
2010-08-01,268.689
2010-09-01,268.957
2010-10-01,269.182
2010-11-01,269.669
2010-12-01,269.946
2011-01-01,270.487
2011-02-01,270.989
2011-03-01,271.355
2011-04-01,271.642
2011-05-01,271.984
2011-06-01,272.514
2011-07-01,273.175
2011-08-01,273.952
2011-09-01,274.356
2011-10-01,274.865
2011-11-01,275.296
2011-12-01,276.089
2012-01-01,276.734
2012-02-01,277.01
2012-03-01,277.667
2012-04-01,278.311
2012-05-01,278.721
2012-06-01,279.335
2012-07-01,279.901
2012-08-01,280.521
2012-09-01,281.181
2012-10-01,281.715
2012-11-01,282.143
2012-12-01,282.847
2013-01-01,283.564
2013-02-01,284.195
2013-03-01,284.738
2013-04-01,284.827
2013-05-01,285.137
2013-06-01,285.699
2013-07-01,286.501
2013-08-01,287.271
2013-09-01,287.873
2013-10-01,288.261
2013-11-01,288.894
2013-12-01,289.49
2014-01-01,290.063
2014-02-01,290.59
2014-03-01,291.366
2014-04-01,292.062
2014-05-01,292.806
2014-06-01,293.271
2014-07-01,293.92
2014-08-01,294.35
2014-09-01,294.853
2014-10-01,295.479
2014-11-01,296.127
2014-12-01,296.555
2015-01-01,297.27
2015-02-01,297.702
2015-03-01,298.466
2015-04-01,299.347
2015-05-01,299.91
2015-06-01,300.662
2015-07-01,301.553
2015-08-01,302.054
2015-09-01,302.814
2015-10-01,303.738
2015-11-01,304.599
2015-12-01,305.219
2016-01-01,306.082
2016-02-01,306.819
2016-03-01,307.538
2016-04-01,308.451
2016-05-01,309.421
2016-06-01,310.354
2016-07-01,310.99
2016-08-01,311.824
2016-09-01,312.348
2016-10-01,312.98
2016-11-01,313.848
2016-12-01,314.701
2017-01-01,315.557
2017-02-01,316.398
2017-03-01,316.298
2017-04-01,316.804
2017-05-01,317.379
2017-06-01,318.046
2017-07-01,318.581
2017-08-01,319.594
2017-09-01,320.32
2017-10-01,321.304
2017-11-01,321.847
2017-12-01,322.767
2018-01-01,323.842
2018-02-01,324.616
2018-03-01,325.461
2018-04-01,326.07
2018-05-01,326.999
2018-06-01,327.704
2018-07-01,328.432
2018-08-01,329.054
2018-09-01,329.794
2018-10-01,330.488
2018-11-01,331.189
2018-12-01,332.093
2019-01-01,332.838
2019-02-01,333.576
2019-03-01,334.407
2019-04-01,335.282
2019-05-01,335.928
2019-06-01,336.806
2019-07-01,337.568
2019-08-01,338.524
2019-09-01,339.375
2019-10-01,340.309
2019-11-01,341.242
2019-12-01,341.992
2020-01-01,343.209
2020-02-01,344.137
2020-03-01,344.013
2020-04-01,342.603
2020-05-01,342.586
2020-06-01,343.317
2020-07-01,345.116
2020-08-01,345.771
2020-09-01,345.848
2020-10-01,346.173
2020-11-01,347.066
2020-12-01,347.486
2021-01-01,347.684
2021-02-01,348.522
2021-03-01,349.7
2021-04-01,351.039
2021-05-01,352.465
2021-06-01,353.661
2021-07-01,354.739
2021-08-01,355.158
2021-09-01,355.926
2021-10-01,357.445
2021-11-01,358.988
2021-12-01,360.425
2022-01-01,361.927
2022-02-01,363.848
2022-03-01,365.991
2022-04-01,368.277
2022-05-01,370.663
2022-06-01,373.043
2022-07-01,374.478
2022-08-01,376.751
2022-09-01,379.642
2022-10-01,381.561
2022-11-01,383.44
2022-12-01,385.777
2023-01-01,387.881
2023-02-01,390.293
2023-03-01,392.049
2023-04-01,393.455
2023-05-01,395.011
2023-06-01,396.016
2023-07-01,397.41
2023-08-01,398.948
2023-09-01,401.23
2023-10-01,402.581
2023-11-01,404.476
