"Date","CUUR0000SEGB02"
1986-03-01,111.4
1986-04-01,111.8
1986-05-01,112.1
1986-06-01,112
1986-07-01,111.8
1986-08-01,112.3
1986-09-01,112.6
1986-10-01,113.1
1986-11-01,112.1
1986-12-01,112.3
1987-01-01,113.3
1987-02-01,113.7
1987-03-01,113.5
1987-04-01,113.6
1987-05-01,114.4
1987-06-01,114.3
1987-07-01,115.3
1987-08-01,115.4
1987-09-01,115.4
1987-10-01,115.2
1987-11-01,115.6
1987-12-01,115.5
1988-01-01,117.1
1988-02-01,117.8
1988-03-01,118
1988-04-01,118.3
1988-05-01,117.2
1988-06-01,117.9
1988-07-01,118.5
1988-08-01,117.6
1988-09-01,118
1988-10-01,119.1
1988-11-01,120.6
1988-12-01,121.6
1989-01-01,121.6
1989-02-01,121.6
1989-03-01,122.5
1989-04-01,122.6
1989-05-01,123
1989-06-01,122.3
1989-07-01,122.4
1989-08-01,124.4
1989-09-01,122.8
1989-10-01,124.1
1989-11-01,124.7
1989-12-01,123.9
1990-01-01,125.2
1990-02-01,125.2
1990-03-01,126.8
1990-04-01,129
1990-05-01,128.8
1990-06-01,129.6
1990-07-01,129.4
1990-08-01,128.3
1990-09-01,129.5
1990-10-01,129.7
1990-11-01,130.9
1990-12-01,131.2
1991-01-01,131.6
1991-02-01,134.2
1991-03-01,133.5
1991-04-01,135.1
1991-05-01,134.8
1991-06-01,133.5
1991-07-01,134.9
1991-08-01,135.1
1991-09-01,135.6
1991-10-01,135.9
1991-11-01,135.7
1991-12-01,135.1
1992-01-01,133.8
1992-02-01,136
1992-03-01,136.1
1992-04-01,137.2
1992-05-01,136.2
1992-06-01,136.3
1992-07-01,136.5
1992-08-01,136.9
1992-09-01,137.1
1992-10-01,137.3
1992-11-01,137.2
1992-12-01,137
1993-01-01,138.6
1993-02-01,136.5
1993-03-01,139.4
1993-04-01,138.5
1993-05-01,139.1
1993-06-01,140.5
1993-07-01,141.3
1993-08-01,141.9
1993-09-01,141.6
1993-10-01,141.9
1993-11-01,143.1
1993-12-01,143.4
1994-01-01,143.9
1994-02-01,144.1
1994-03-01,142.7
1994-04-01,144.7
1994-05-01,145.5
1994-06-01,145.9
1994-07-01,145.2
1994-08-01,145.4
1994-09-01,144.4
1994-10-01,143.8
1994-11-01,144.1
1994-12-01,144.8
1995-01-01,143.9
1995-02-01,143.9
1995-03-01,143.5
1995-04-01,143.9
1995-05-01,145.3
1995-06-01,144.9
1995-07-01,144.9
1995-08-01,145.7
1995-09-01,145.7
1995-10-01,147
1995-11-01,147.3
1995-12-01,146.9
1996-01-01,146.9
1996-02-01,146.6
1996-03-01,145.9
1996-04-01,147.9
1996-05-01,148.7
1996-06-01,147.5
1996-07-01,147.5
1996-08-01,147.8
1996-09-01,149.5
1996-10-01,149.6
1996-11-01,150.2
1996-12-01,150.6
1997-01-01,151.2
1997-02-01,152.3
1997-03-01,151.6
1997-04-01,152.2
1997-05-01,150.8
1997-06-01,151.6
1997-07-01,150.6
1997-08-01,150.3
1997-09-01,150.3
1997-10-01,152.2
1997-11-01,153.4
1997-12-01,153.9
1998-01-01,155.6
1998-02-01,156.1
1998-03-01,156.5
1998-04-01,156.8
1998-05-01,161.2
1998-06-01,160.7
1998-07-01,161
1998-08-01,160.3
1998-09-01,160
1998-10-01,161.4
1998-11-01,161
1998-12-01,160.8
1999-01-01,162.1
1999-02-01,162.1
1999-03-01,163.6
1999-04-01,163
1999-05-01,163.5
1999-06-01,165.8
1999-07-01,164.8
1999-08-01,165.7
1999-09-01,168
1999-10-01,168.9
1999-11-01,168.2
1999-12-01,167.8
2000-01-01,166.3
2000-02-01,165.7
2000-03-01,166.5
2000-04-01,167
2000-05-01,166.8
2000-06-01,167.5
2000-07-01,166.6
2000-08-01,167.4
2000-09-01,167.8
2000-10-01,165.7
2000-11-01,166
2000-12-01,168.1
2001-01-01,168.5
2001-02-01,168.4
2001-03-01,168.9
2001-04-01,169.4
2001-05-01,164.5
2001-06-01,166.8
2001-07-01,167.8
2001-08-01,167.4
2001-09-01,168.9
2001-10-01,169.3
2001-11-01,169.3
2001-12-01,168.3
2002-01-01,167.5
2002-02-01,168.6
2002-03-01,167.4
2002-04-01,168
2002-05-01,167.6
2002-06-01,167.7
2002-07-01,166.1
2002-08-01,166.3
2002-09-01,166.7
2002-10-01,167.5
2002-11-01,166.9
2002-12-01,165.9
2003-01-01,166.7
2003-02-01,166.8
2003-03-01,166.5
2003-04-01,167.5
2003-05-01,168.2
2003-06-01,169.5
2003-07-01,169.7
2003-08-01,168.5
2003-09-01,168.4
2003-10-01,169
2003-11-01,167.8
2003-12-01,167.3
2004-01-01,168.2
2004-02-01,169.5
2004-03-01,168.8
2004-04-01,168.7
2004-05-01,170.7
2004-06-01,170.4
2004-07-01,169.5
2004-08-01,169.2
2004-09-01,169.1
2004-10-01,170.1
2004-11-01,170.7
2004-12-01,169.2
2005-01-01,169.6
2005-02-01,170.3
2005-03-01,169.7
2005-04-01,170.4
2005-05-01,171.1
2005-06-01,171.1
2005-07-01,171
2005-08-01,171.9
2005-09-01,172
2005-10-01,172.7
2005-11-01,172.9
2005-12-01,173.1
2006-01-01,174
2006-02-01,173.8
2006-03-01,173.5
2006-04-01,172.1
2006-05-01,171.3
2006-06-01,171.8
2006-07-01,171.7
2006-08-01,171.7
2006-09-01,173.8
2006-10-01,173.7
2006-11-01,172.6
2006-12-01,177.5
2007-01-01,176.619
2007-02-01,176.007
2007-03-01,177.711
2007-04-01,177.988
2007-05-01,177.248
2007-06-01,177.745
2007-07-01,177.638
2007-08-01,176.908
2007-09-01,175.746
2007-10-01,176.87
2007-11-01,177.109
2007-12-01,176.418
2008-01-01,176.333
2008-02-01,176.105
2008-03-01,176.982
2008-04-01,177.018
2008-05-01,176.852
2008-06-01,178.139
2008-07-01,177.521
2008-08-01,177.227
2008-09-01,178.753
2008-10-01,179.086
2008-11-01,180.761
2008-12-01,181.661
2009-01-01,183.583
2009-02-01,184.345
2009-03-01,183.515
2009-04-01,183.538
2009-05-01,183.071
2009-06-01,182.834
2009-07-01,184.692
2009-08-01,183.325
2009-09-01,183.086
2009-10-01,183.583
2009-11-01,184.168
2009-12-01,183.917
2010-01-01,182.172
2010-02-01,181.725
2010-03-01,182.212
2010-04-01,181.399
2010-05-01,180.841
2010-06-01,182.416
2010-07-01,183.974
2010-08-01,182.985
2010-09-01,181.718
2010-10-01,181.503
2010-11-01,182.741
2010-12-01,182.363
2011-01-01,182.305
2011-02-01,183.814
2011-03-01,184.449
2011-04-01,184.963
2011-05-01,182.49
2011-06-01,184.006
2011-07-01,184.341
2011-08-01,182.911
2011-09-01,184.305
2011-10-01,185.525
2011-11-01,186.462
2011-12-01,185.648
2012-01-01,186.245
2012-02-01,184.612
2012-03-01,186.468
2012-04-01,187.609
2012-05-01,186.007
2012-06-01,187.441
2012-07-01,186.479
2012-08-01,188.335
2012-09-01,187.439
2012-10-01,187.321
2012-11-01,186.758
2012-12-01,185.555
2013-01-01,185.196
2013-02-01,185.678
2013-03-01,187.978
2013-04-01,187.354
2013-05-01,186.845
2013-06-01,186.603
2013-07-01,186.364
2013-08-01,187.404
2013-09-01,187.006
2013-10-01,184.145
2013-11-01,184.809
2013-12-01,186.989
2014-01-01,187.071
2014-02-01,187.772
2014-03-01,187.545
2014-04-01,189.072
2014-05-01,190.15
2014-06-01,189.474
2014-07-01,189.92
2014-08-01,190.252
2014-09-01,190.462
2014-10-01,191.21
2014-11-01,189.242
2014-12-01,188.856
2015-01-01,191.029
2015-02-01,189.289
2015-03-01,188.025
2015-04-01,187.608
2015-05-01,186.976
2015-06-01,187.081
2015-07-01,186.557
2015-08-01,186.629
2015-09-01,187.449
2015-10-01,189.321
2015-11-01,188.899
2015-12-01,189.053
2016-01-01,189.48
2016-02-01,188.763
2016-03-01,189.048
2016-04-01,188.399
2016-05-01,189.236
2016-06-01,188.244
2016-07-01,188.395
2016-08-01,189.917
2016-09-01,189.021
2016-10-01,188.516
2016-11-01,188.081
2016-12-01,188.833
2017-01-01,188.098
2017-02-01,186.781
2017-03-01,184.866
2017-04-01,187.727
2017-05-01,186.041
2017-06-01,186.337
2017-07-01,186.624
2017-08-01,186.852
2017-09-01,186.495
2017-10-01,186.657
2017-11-01,189.402
2017-12-01,187.64
2018-01-01,188.142
2018-02-01,187.218
2018-03-01,187.094
2018-04-01,188.364
2018-05-01,188.045
2018-06-01,186.379
2018-07-01,186.493
2018-08-01,185.514
2018-09-01,185.224
2018-10-01,184.692
2018-11-01,184.545
2018-12-01,184.126
2019-01-01,184.632
2019-02-01,183.43
2019-03-01,182.898
2019-04-01,183.312
2019-05-01,182.107
2019-06-01,182.115
2019-07-01,183.13
2019-08-01,184.129
2019-09-01,183.76
2019-10-01,183.061
2019-11-01,182.375
2019-12-01,178.974
2020-01-01,179.656
2020-02-01,181.381
2020-03-01,181.669
2020-04-01,180.95
2020-05-01,179.553
2020-06-01,178.426
2020-07-01,179.374
2020-08-01,179.164
2020-09-01,177.631
2020-10-01,178.135
2020-11-01,179.082
2020-12-01,178.552
2021-01-01,179.952
2021-02-01,180.497
2021-03-01,180.006
2021-04-01,180.289
2021-05-01,178.222
2021-06-01,178.072
2021-07-01,176.207
2021-08-01,178.556
2021-09-01,178.72
2021-10-01,178.309
2021-11-01,176.978
2021-12-01,176.243
2022-01-01,176.817
2022-02-01,178.891
2022-03-01,180.642
2022-04-01,179.464
2022-05-01,180.083
2022-06-01,180.437
2022-07-01,181.816
2022-08-01,186.043
2022-09-01,186.805
2022-10-01,186.811
2022-11-01,186.524
2022-12-01,185.069
2023-01-01,186.935
2023-02-01,187.494
2023-03-01,188.158
2023-04-01,188.647
2023-05-01,189.549
2023-06-01,189.937
2023-07-01,190.996
2023-08-01,190.978
2023-09-01,192.057
2023-10-01,193.472
2023-11-01,191.709
