"Date","CUSR0000SETB01"
2003-04-01,133.6
2003-05-01,119
2003-06-01,119.8
2003-07-01,125.1
2003-08-01,136.7
2003-09-01,146.5
2003-10-01,136.9
2003-11-01,136.2
2003-12-01,139.5
2004-01-01,148.3
2004-02-01,151
2004-03-01,151.2
2004-04-01,147.2
2004-05-01,154.6
2004-06-01,160.3
2004-07-01,158.2
2004-08-01,157.6
2004-09-01,161.3
2004-10-01,172.7
2004-11-01,179.2
2004-12-01,176
2005-01-01,166.9
2005-02-01,173.4
2005-03-01,177.5
2005-04-01,180.8
2005-05-01,171.9
2005-06-01,173
2005-07-01,190.6
2005-08-01,211.3
2005-09-01,251
2005-10-01,239.1
2005-11-01,202
2005-12-01,200.4
2006-01-01,213.2
2006-02-01,210.2
2006-03-01,208.3
2006-04-01,224
2006-05-01,227.5
2006-06-01,228.1
2006-07-01,245.3
2006-08-01,252.7
2006-09-01,221.3
2006-10-01,197
2006-11-01,195
2006-12-01,211.3
2007-01-01,205.361
2007-02-01,208.351
2007-03-01,222.804
2007-04-01,229.338
2007-05-01,240.407
2007-06-01,241.015
2007-07-01,242.158
2007-08-01,236.401
2007-09-01,244.482
2007-10-01,246.233
2007-11-01,268.067
2007-12-01,271.805
2008-01-01,273.485
2008-02-01,277.12
2008-03-01,279.234
2008-04-01,276.563
2008-05-01,289.883
2008-06-01,321.643
2008-07-01,334.055
2008-08-01,319.114
2008-09-01,321.466
2008-10-01,278.393
2008-11-01,191.822
2008-12-01,154.377
2009-01-01,160.815
2009-02-01,174.067
2009-03-01,166.814
2009-04-01,168.312
2009-05-01,177.057
2009-06-01,213.086
2009-07-01,211.649
2009-08-01,223.781
2009-09-01,226.214
2009-10-01,228.651
2009-11-01,238.246
2009-12-01,237.235
2010-01-01,242.036
2010-02-01,235.748
2010-03-01,233.103
2010-04-01,232.594
2010-05-01,227.765
2010-06-01,222.745
2010-07-01,229.026
2010-08-01,232.674
2010-09-01,235.661
2010-10-01,249.885
2010-11-01,256.596
2010-12-01,271.509
2011-01-01,275.816
2011-02-01,280.015
2011-03-01,294.915
2011-04-01,310.115
2011-05-01,314.859
2011-06-01,304.321
2011-07-01,304.901
2011-08-01,306.276
2011-09-01,309.168
2011-10-01,305.963
2011-11-01,308.587
2011-12-01,300.662
2012-01-01,306.17
2012-02-01,316.625
2012-03-01,319.198
2012-04-01,319.414
2012-05-01,303.692
2012-06-01,291.49
2012-07-01,287.505
2012-08-01,310.365
2012-09-01,326.789
2012-10-01,332.699
2012-11-01,315.264
2012-12-01,306.338
2013-01-01,306.734
2013-02-01,329.253
2013-03-01,310.442
2013-04-01,295.206
2013-05-01,293.131
2013-06-01,298.112
2013-07-01,298.754
2013-08-01,303.409
2013-09-01,297.39
2013-10-01,295.64
2013-11-01,297.183
2013-12-01,303.304
2014-01-01,308.4
2014-02-01,305.007
2014-03-01,300.141
2014-04-01,305.367
2014-05-01,301.296
