"Date","USACPIHOUMINMEI"
1998-06-01,73.1387859656986
1998-07-01,73.4478775070222
1998-08-01,73.7183326056803
1998-09-01,73.7956054910112
1998-10-01,73.9887877043385
1998-11-01,73.9887877043385
1998-12-01,73.9887877043385
1999-01-01,74.2978792456621
1999-02-01,74.6069707869857
1999-03-01,74.9160623283093
1999-04-01,75.0706080989711
1999-05-01,75.0319716563056
1999-06-01,75.3024267549638
1999-07-01,75.6115182962874
1999-08-01,75.7660640669492
1999-09-01,75.7660640669492
1999-10-01,75.8433369522801
1999-11-01,75.8433369522801
1999-12-01,75.8433369522801
2000-01-01,76.5001564775928
2000-02-01,76.8478844615818
2000-03-01,77.3115217735672
2000-04-01,77.3501582162327
2000-05-01,77.3887946588982
2000-06-01,77.7365226428872
2000-07-01,78.0842506268763
2000-08-01,78.316069282869
2000-09-01,78.2774328402035
2000-10-01,78.5478879388617
2000-11-01,78.5092514961962
2000-12-01,78.4706150535308
2001-01-01,79.0115252508471
2001-02-01,79.4751625628325
2001-03-01,80.0547092028143
2001-04-01,80.1319820881452
2001-05-01,80.286527858807
2001-06-01,80.7501651707924
2001-07-01,81.0206202694505
2001-08-01,81.4456211387705
2001-09-01,81.2524389254432
2001-10-01,81.4456211387705
2001-11-01,81.6388033520978
2001-12-01,81.7933491227596
2002-01-01,82.2956228774104
2002-02-01,82.9524424027231
2002-03-01,83.3001703867121
2002-04-01,83.4933526000394
2002-05-01,83.4933526000394
2002-06-01,83.7638076986976
2002-07-01,83.9956263546903
2002-08-01,84.3433543386793
2002-09-01,84.1888085680175
2002-10-01,84.3819907813448
2002-11-01,84.3047178960139
2002-12-01,84.2660814533484
2003-01-01,84.8069916506647
2003-02-01,85.1160831919884
2003-03-01,85.347901847981
2003-04-01,85.3092654053156
2003-05-01,85.5797205039738
2003-06-01,85.6569933893046
2003-07-01,86.0047213732937
2003-08-01,86.197903586621
2003-09-01,86.0047213732937
2003-10-01,86.3524493572828
2003-11-01,86.1592671439555
2003-12-01,86.1206307012901
2004-01-01,86.5842680132755
2004-02-01,86.8933595545991
2004-03-01,87.6274519652426
2004-04-01,87.8592706212354
2004-05-01,87.9751799492317
2004-06-01,88.2069986052244
2004-07-01,88.5547265892134
2004-08-01,88.6319994745444
2004-09-01,88.5933630318789
2004-10-01,88.7865452452062
2004-11-01,88.4774537038826
2004-12-01,88.4388172612171
2005-01-01,88.9024545732025
2005-02-01,89.5206376558497
2005-03-01,90.2933665091588
2005-04-01,90.2933665091588
2005-05-01,90.1001842958315
2005-06-01,90.3320029518242
2005-07-01,90.7570038211442
2005-08-01,90.7956402638096
2005-09-01,90.3320029518242
2005-10-01,90.8342767064751
2005-11-01,90.7570038211442
2005-12-01,90.7956402638096
2006-01-01,91.259277575795
2006-02-01,91.8774606584423
2006-03-01,92.5729166264204
2006-04-01,92.882008167744
2006-05-01,93.1138268237367
2006-06-01,93.5001912503912
2006-07-01,94.0411014477075
2006-08-01,94.3115565463656
2006-09-01,94.1956472183693
2006-10-01,94.5433752023584
2006-11-01,94.5433752023584
2006-12-01,94.6592845303547
2007-01-01,95.2295584240968
2007-02-01,95.827650556558
2007-03-01,96.2383559420917
2007-04-01,96.5435838391488
2007-05-01,96.6123567070932
2007-06-01,97.0547439756127
2007-07-01,97.5021539816786
2007-08-01,97.5686086630632
2007-09-01,97.4689266409863
2007-10-01,97.639313353141
