"Date","CUUR0000SAM1"
1964-07-01,NA
1964-08-01,NA
1964-09-01,NA
1964-10-01,NA
1964-11-01,NA
1964-12-01,45
1965-01-01,NA
1965-02-01,NA
1965-03-01,NA
1965-04-01,NA
1965-05-01,NA
1965-06-01,45
1965-07-01,NA
1965-08-01,NA
1965-09-01,44.9
1965-10-01,NA
1965-11-01,NA
1965-12-01,45
1966-01-01,NA
1966-02-01,NA
1966-03-01,45.1
1966-04-01,NA
1966-05-01,NA
1966-06-01,45.2
1966-07-01,NA
1966-08-01,NA
1966-09-01,45.1
1966-10-01,NA
1966-11-01,NA
1966-12-01,45
1967-01-01,45.1
1967-02-01,45.1
1967-03-01,44.9
1967-04-01,44.8
1967-05-01,44.9
1967-06-01,44.8
1967-07-01,44.8
1967-08-01,44.9
1967-09-01,44.9
1967-10-01,44.9
1967-11-01,44.9
1967-12-01,45
1968-01-01,45
1968-02-01,45
1968-03-01,45
1968-04-01,45
1968-05-01,45
1968-06-01,44.9
1968-07-01,44.9
1968-08-01,44.9
1968-09-01,44.9
1968-10-01,45
1968-11-01,45
1968-12-01,45.1
1969-01-01,45.2
1969-02-01,45.2
1969-03-01,45.3
1969-04-01,45.4
1969-05-01,45.5
1969-06-01,45.5
1969-07-01,45.4
1969-08-01,45.5
1969-09-01,45.5
1969-10-01,45.5
1969-11-01,45.6
1969-12-01,45.6
1970-01-01,45.7
1970-02-01,45.8
1970-03-01,46
1970-04-01,46.3
1970-05-01,46.5
1970-06-01,46.6
1970-07-01,46.7
1970-08-01,46.8
1970-09-01,46.8
1970-10-01,46.8
1970-11-01,46.7
1970-12-01,46.7
1971-01-01,46.9
1971-02-01,47.1
1971-03-01,47.1
1971-04-01,47.2
1971-05-01,47.3
1971-06-01,47.4
1971-07-01,47.3
1971-08-01,47.4
1971-09-01,47.4
1971-10-01,47.4
1971-11-01,47.4
1971-12-01,47.4
1972-01-01,47.3
1972-02-01,47.3
1972-03-01,47.3
1972-04-01,47.3
1972-05-01,47.4
1972-06-01,47.5
1972-07-01,47.4
1972-08-01,47.5
1972-09-01,47.4
1972-10-01,47.4
1972-11-01,47.4
1972-12-01,47.4
1973-01-01,47.4
1973-02-01,47.5
1973-03-01,47.4
1973-04-01,47.4
1973-05-01,47.5
1973-06-01,47.5
1973-07-01,47.5
1973-08-01,47.5
1973-09-01,47.6
1973-10-01,47.6
1973-11-01,47.6
1973-12-01,47.7
1974-01-01,47.9
1974-02-01,48
1974-03-01,48.1
1974-04-01,48.3
1974-05-01,48.5
1974-06-01,48.8
1974-07-01,49.1
1974-08-01,49.6
1974-09-01,49.9
1974-10-01,50.2
1974-11-01,50.6
1974-12-01,51
1975-01-01,51.5
1975-02-01,52
1975-03-01,52.4
1975-04-01,52.7
1975-05-01,53
1975-06-01,53.3
1975-07-01,53.6
1975-08-01,53.7
1975-09-01,54
1975-10-01,54.2
1975-11-01,54.5
1975-12-01,54.7
1976-01-01,55
1976-02-01,55.3
1976-03-01,55.6
1976-04-01,55.9
1976-05-01,56.3
1976-06-01,56.5
1976-07-01,56.7
1976-08-01,56.9
1976-09-01,57.2
1976-10-01,57.4
1976-11-01,57.7
1976-12-01,57.8
1977-01-01,58.2
1977-02-01,58.6
1977-03-01,59
1977-04-01,59.4
1977-05-01,59.8
1977-06-01,60.2
1977-07-01,60.4
1977-08-01,60.6
1977-09-01,61
1977-10-01,61.3
1977-11-01,61.6
1977-12-01,61.9
1978-01-01,62.3
1978-02-01,62.9
1978-03-01,63.3
1978-04-01,63.6
1978-05-01,64
1978-06-01,64.3
1978-07-01,64.6
1978-08-01,64.8
1978-09-01,65.1
1978-10-01,65.5
1978-11-01,66
1978-12-01,66.4
1979-01-01,66.8
1979-02-01,67.3
1979-03-01,67.6
1979-04-01,68
1979-05-01,68.4
1979-06-01,68.8
1979-07-01,69.1
1979-08-01,69.5
1979-09-01,69.9
1979-10-01,70.3
1979-11-01,70.8
1979-12-01,71.4
1980-01-01,72
1980-02-01,72.7
1980-03-01,73.4
1980-04-01,74
1980-05-01,74.7
1980-06-01,75.3
1980-07-01,75.9
1980-08-01,76.4
1980-09-01,76.9
1980-10-01,77.4
1980-11-01,78
1980-12-01,78.6
1981-01-01,79.3
1981-02-01,80.4
1981-03-01,81.1
1981-04-01,81.8
1981-05-01,82.9
1981-06-01,83.6
1981-07-01,84.2
1981-08-01,85
1981-09-01,85.6
1981-10-01,86.2
1981-11-01,86.6
1981-12-01,87.4
1982-01-01,87.9
1982-02-01,88.7
1982-03-01,89.7
1982-04-01,90.8
1982-05-01,91.6
1982-06-01,92.2
1982-07-01,92.6
1982-08-01,93.4
1982-09-01,94.2
1982-10-01,94.9
1982-11-01,95.5
1982-12-01,95.9
1983-01-01,96.6
1983-02-01,97.2
1983-03-01,98.1
1983-04-01,99.2
1983-05-01,99.8
1983-06-01,100.1
1983-07-01,100.6
1983-08-01,101.1
1983-09-01,101.5
1983-10-01,102.1
1983-11-01,102.7
1983-12-01,103.1
1984-01-01,103.7
1984-02-01,104.5
1984-03-01,105.4
1984-04-01,106.3
1984-05-01,107.1
1984-06-01,107.4
1984-07-01,108
1984-08-01,108.4
1984-09-01,108.8
1984-10-01,109.5
1984-11-01,110.2
1984-12-01,111
1985-01-01,111.4
1985-02-01,112.1
1985-03-01,113
1985-04-01,113.9
1985-05-01,114.5
1985-06-01,115.3
1985-07-01,115.7
1985-08-01,116.3
1985-09-01,116.7
1985-10-01,117.2
1985-11-01,117.9
1985-12-01,118
1986-01-01,118.7
1986-02-01,120
1986-03-01,120.9
1986-04-01,121.7
1986-05-01,122.2
1986-06-01,122.6
1986-07-01,123.6
1986-08-01,123.8
1986-09-01,124.1
1986-10-01,124.5
1986-11-01,124.8
1986-12-01,126
1987-01-01,126.7
1987-02-01,127.4
1987-03-01,128.5
1987-04-01,129
1987-05-01,129.9
1987-06-01,130.8
1987-07-01,131.6
1987-08-01,132.2
1987-09-01,132.7
1987-10-01,133.5
1987-11-01,134.2
1987-12-01,134.9
1988-01-01,135.4
1988-02-01,136.1
1988-03-01,137
1988-04-01,138.1
1988-05-01,139
1988-06-01,139.4
1988-07-01,140.5
1988-08-01,141.1
1988-09-01,142
1988-10-01,143.2
1988-11-01,143.3
1988-12-01,144.2
1989-01-01,145
1989-02-01,145.8
1989-03-01,147.2
1989-04-01,148.4
1989-05-01,150
1989-06-01,151
1989-07-01,151.4
1989-08-01,152.1
1989-09-01,153.3
1989-10-01,154.1
1989-11-01,155.3
1989-12-01,156
1990-01-01,156.9
1990-02-01,158.6
1990-03-01,159.9
1990-04-01,161.3
1990-05-01,162.2
1990-06-01,163.3
1990-07-01,164.1
1990-08-01,164.8
1990-09-01,166
1990-10-01,166.8
1990-11-01,167.8
1990-12-01,169.1
1991-01-01,170.4
1991-02-01,171.6
1991-03-01,173.2
1991-04-01,174.3
1991-05-01,175.4
1991-06-01,176.5
1991-07-01,177.7
1991-08-01,178.9
1991-09-01,180
1991-10-01,180.3
1991-11-01,181.1
1991-12-01,181.7
1992-01-01,183
1992-02-01,185.1
1992-03-01,186.7
1992-04-01,187.9
1992-05-01,187.6
1992-06-01,188
1992-07-01,188.6
1992-08-01,188.9
1992-09-01,189.5
1992-10-01,189.8
1992-11-01,190.4
1992-12-01,191.1
1993-01-01,191.8
1993-02-01,193.2
1993-03-01,193.9
1993-04-01,193.7
1993-05-01,194.2
1993-06-01,194.7
1993-07-01,195.7
1993-08-01,196.1
1993-09-01,196.2
1993-10-01,196.6
1993-11-01,196.6
1993-12-01,197
1994-01-01,197.8
1994-02-01,198.7
1994-03-01,199.1
1994-04-01,199.7
1994-05-01,200.1
1994-06-01,200.5
1994-07-01,201.3
1994-08-01,201.7
1994-09-01,201.7
1994-10-01,202.2
1994-11-01,202.7
1994-12-01,202.9
1995-01-01,203.1
1995-02-01,203.5
1995-03-01,203.7
1995-04-01,203.6
1995-05-01,203.4
1995-06-01,203.8
1995-07-01,204.4
1995-08-01,204.7
1995-09-01,204.8
1995-10-01,205.7
1995-11-01,206.3
1995-12-01,206.6
1996-01-01,207.7
1996-02-01,208.5
1996-03-01,208.9
1996-04-01,209.6
1996-05-01,209.7
1996-06-01,210.5
1996-07-01,211
1996-08-01,211.1
1996-09-01,211.2
1996-10-01,212.4
1996-11-01,211.9
1996-12-01,212
1997-01-01,212.8
1997-02-01,213.9
1997-03-01,214.7
1997-04-01,215.2
1997-05-01,215.6
1997-06-01,216
1997-07-01,216
1997-08-01,215.5
1997-09-01,215.3
1997-10-01,215.6
1997-11-01,215.8
1997-12-01,216.8
1998-01-01,217.6
1998-02-01,218.4
1998-03-01,218.5
1998-04-01,220.2
1998-05-01,221.5
1998-06-01,222.1
1998-07-01,222.2
1998-08-01,223.1
1998-09-01,224
1998-10-01,224.2
1998-11-01,224.5
1998-12-01,225.6
1999-01-01,225.9
1999-02-01,226.8
1999-03-01,227.7
1999-04-01,229.3
1999-05-01,229.4
1999-06-01,230.5
1999-07-01,231.7
1999-08-01,232.5
1999-09-01,233.1
1999-10-01,233.2
1999-11-01,233.7
1999-12-01,234.6
2000-01-01,235.2
2000-02-01,235.5
2000-03-01,236.3
2000-04-01,237
2000-05-01,237.5
2000-06-01,238.2
2000-07-01,238.6
2000-08-01,239.2
2000-09-01,239.4
2000-10-01,239.6
2000-11-01,240
2000-12-01,241.1
2001-01-01,242.3
2001-02-01,243.8
2001-03-01,244.9
2001-04-01,245.7
2001-05-01,246.6
2001-06-01,248.1
2001-07-01,248.5
2001-08-01,249.1
2001-09-01,249.6
2001-10-01,250.2
2001-11-01,250.6
2001-12-01,251.6
2002-01-01,252.6
2002-02-01,253.7
2002-03-01,254.1
2002-04-01,254.8
2002-05-01,255.4
2002-06-01,256.4
2002-07-01,257.5
2002-08-01,257.7
2002-09-01,257.9
2002-10-01,258.3
2002-11-01,259.1
2002-12-01,259.5
2003-01-01,260.3
2003-02-01,260.4
2003-03-01,261.4
2003-04-01,261.6
2003-05-01,261.8
2003-06-01,262.1
2003-07-01,263.6
2003-08-01,264.1
2003-09-01,264.9
2003-10-01,264.7
2003-11-01,264
2003-12-01,265
2004-01-01,265.5
2004-02-01,266.7
2004-03-01,267.3
2004-04-01,268.5
2004-05-01,269.1
2004-06-01,269.6
2004-07-01,269.9
2004-08-01,270
2004-09-01,270.9
2004-10-01,271.7
2004-11-01,271.2
2004-12-01,270.8
2005-01-01,271.6
2005-02-01,272.8
2005-03-01,273.2
2005-04-01,273.5
2005-05-01,274.6
2005-06-01,275.6
2005-07-01,276.3
2005-08-01,276.8
2005-09-01,277.7
2005-10-01,278.9
2005-11-01,280.3
2005-12-01,280.8
2006-01-01,282
2006-02-01,283.1
2006-03-01,284.3
2006-04-01,285.3
2006-05-01,286.3
2006-06-01,286.3
2006-07-01,287.1
2006-08-01,287.6
2006-09-01,288.1
2006-10-01,288.1
2006-11-01,286.6
2006-12-01,285.9
2007-01-01,288.088
2007-02-01,287.703
2007-03-01,286.94
2007-04-01,288.349
2007-05-01,288.661
2007-06-01,288.508
2007-07-01,290.257
2007-08-01,291.164
2007-09-01,291.34
2007-10-01,292.161
2007-11-01,293.201
2007-12-01,293.61
2008-01-01,295.355
2008-02-01,296.13
2008-03-01,297.308
2008-04-01,296.951
2008-05-01,294.896
2008-06-01,295.194
2008-07-01,294.777
2008-08-01,295.003
2008-09-01,295.461
2008-10-01,295.791
2008-11-01,297.317
2008-12-01,298.361
2009-01-01,299.998
2009-02-01,302.184
2009-03-01,302.908
2009-04-01,303.979
2009-05-01,304.697
2009-06-01,304.683
2009-07-01,304.229
2009-08-01,305.797
2009-09-01,307.671
2009-10-01,308.379
2009-11-01,308.546
2009-12-01,308.221
2010-01-01,310.494
2010-02-01,312.864
2010-03-01,314.023
2010-04-01,314.535
2010-05-01,314.923
2010-06-01,314.888
2010-07-01,314.113
2010-08-01,314.881
2010-09-01,315.804
2010-10-01,316.082
2010-11-01,316.794
2010-12-01,317.199
2011-01-01,318.929
2011-02-01,321.186
2011-03-01,322.691
2011-04-01,324.241
2011-05-01,324.399
2011-06-01,324.102
2011-07-01,324.159
2011-08-01,324.395
2011-09-01,325.13
2011-10-01,325.962
2011-11-01,326.624
2011-12-01,327.254
2012-01-01,329.201
2012-02-01,331.867
2012-03-01,333.188
2012-04-01,333.06
2012-05-01,333.131
2012-06-01,333.348
2012-07-01,335.048
2012-08-01,336.004
2012-09-01,335.721
2012-10-01,335.768
2012-11-01,334.285
2012-12-01,332.684
2013-01-01,334.046
2013-02-01,334.405
2013-03-01,335.198
2013-04-01,335.293
2013-05-01,333.064
2013-06-01,333.837
2013-07-01,334.673
2013-08-01,335.985
2013-09-01,336.527
2013-10-01,337.478
2013-11-01,337.006
2013-12-01,333.801
2014-01-01,336.756
2014-02-01,340.067
2014-03-01,339.567
2014-04-01,340.535
2014-05-01,341.432
2014-06-01,343.224
2014-07-01,344.687
2014-08-01,344.755
2014-09-01,346.347
2014-10-01,346.324
2014-11-01,347.616
2014-12-01,349.75
2015-01-01,349.98
2015-02-01,353.484
2015-03-01,353.995
2015-04-01,354.339
2015-05-01,354.647
2015-06-01,354.524
2015-07-01,355.235
2015-08-01,356.334
2015-09-01,355.746
2015-10-01,355.894
2015-11-01,356.286
2015-12-01,355.03
2016-01-01,357.414
2016-02-01,361.435
2016-03-01,362.386
2016-04-01,363.843
2016-05-01,361.866
2016-06-01,364.501
2016-07-01,366.784
2016-08-01,372.106
2016-09-01,374.142
2016-10-01,373.792
2016-11-01,371.54
2016-12-01,371.561
2017-01-01,374.15
2017-02-01,376.078
2017-03-01,376.44
2017-04-01,373.231
2017-05-01,373.631
2017-06-01,376.182
2017-07-01,380.302
2017-08-01,381.114
2017-09-01,377.869
2017-10-01,377.038
2017-11-01,378.328
2017-12-01,380.087
2018-01-01,380.846
2018-02-01,381.975
2018-03-01,381.804
2018-04-01,380.479
2018-05-01,383.734
2018-06-01,385.121
2018-07-01,381.954
2018-08-01,382.171
2018-09-01,380.535
2018-10-01,379.662
2018-11-01,380.658
2018-12-01,378.19
2019-01-01,379.777
2019-02-01,377.949
2019-03-01,379.568
2019-04-01,381.256
2019-05-01,381.066
2019-06-01,379.462
2019-07-01,380.278
2019-08-01,382.519
2019-09-01,379.53
2019-10-01,383.498
2019-11-01,383.025
2019-12-01,387.533
2020-01-01,386.331
2020-02-01,384.701
2020-03-01,384.498
2020-04-01,383.911
2020-05-01,384.304
2020-06-01,384.259
2020-07-01,384.377
2020-08-01,385.409
2020-09-01,383.031
2020-10-01,380.371
2020-11-01,378.81
2020-12-01,377.921
2021-01-01,377.546
2021-02-01,374.905
2021-03-01,375.111
2021-04-01,377.284
2021-05-01,377.191
2021-06-01,375.697
2021-07-01,376.323
2021-08-01,375.685
2021-09-01,376.842
2021-10-01,379.003
2021-11-01,379.483
2021-12-01,379.611
2022-01-01,382.984
2022-02-01,384.304
2022-03-01,385.084
2022-04-01,385.307
2022-05-01,386.273
2022-06-01,387.787
2022-07-01,390.077
2022-08-01,391.032
2022-09-01,390.677
2022-10-01,390.614
2022-11-01,391.36
2022-12-01,391.809
2023-01-01,395.981
2023-02-01,396.56
2023-03-01,398.917
2023-04-01,400.755
2023-05-01,403.358
2023-06-01,404.109
2023-07-01,406.169
2023-08-01,408.437
2023-09-01,407.25
2023-10-01,408.965
2023-11-01,410.847
