"Date","CUURA320SA0L1E"
1997-09-01,162.9
1997-10-01,NA
1997-11-01,164.5
1997-12-01,164.5
1998-01-01,NA
1998-02-01,166.2
1998-03-01,NA
1998-04-01,166.3
1998-05-01,NA
1998-06-01,165.7
1998-07-01,NA
1998-08-01,166.6
1998-09-01,NA
1998-10-01,166.7
1998-11-01,NA
1998-12-01,167.2
1999-01-01,NA
1999-02-01,167.5
1999-03-01,NA
1999-04-01,167.6
1999-05-01,NA
1999-06-01,166.9
1999-07-01,NA
1999-08-01,167.4
1999-09-01,NA
1999-10-01,169.1
1999-11-01,NA
1999-12-01,170.1
2000-01-01,NA
2000-02-01,171.2
2000-03-01,NA
2000-04-01,171.6
2000-05-01,NA
2000-06-01,172.1
2000-07-01,NA
2000-08-01,172.8
2000-09-01,NA
2000-10-01,174.1
2000-11-01,NA
2000-12-01,173.7
2001-01-01,NA
2001-02-01,176.1
2001-03-01,NA
2001-04-01,176.3
2001-05-01,NA
2001-06-01,176.8
2001-07-01,NA
2001-08-01,177.8
2001-09-01,NA
2001-10-01,179.4
2001-11-01,NA
2001-12-01,179.4
2002-01-01,NA
2002-02-01,181.5
2002-03-01,NA
2002-04-01,180.4
2002-05-01,NA
2002-06-01,179.6
2002-07-01,NA
2002-08-01,180.5
2002-09-01,NA
2002-10-01,182.7
2002-11-01,NA
2002-12-01,184
2003-01-01,NA
2003-02-01,185.9
2003-03-01,NA
2003-04-01,185.3
2003-05-01,NA
2003-06-01,184.6
2003-07-01,NA
2003-08-01,185.4
2003-09-01,NA
2003-10-01,186.2
2003-11-01,NA
2003-12-01,186.5
2004-01-01,NA
2004-02-01,188
2004-03-01,NA
2004-04-01,189.1
2004-05-01,NA
2004-06-01,188.3
2004-07-01,NA
2004-08-01,188.8
2004-09-01,NA
2004-10-01,189.9
2004-11-01,NA
2004-12-01,191.9
2005-01-01,NA
2005-02-01,194.4
2005-03-01,NA
2005-04-01,195.5
2005-05-01,NA
2005-06-01,195.3
2005-07-01,NA
2005-08-01,197.7
2005-09-01,NA
2005-10-01,199.7
2005-11-01,NA
2005-12-01,200.4
2006-01-01,NA
2006-02-01,204
2006-03-01,NA
2006-04-01,204.9
2006-05-01,NA
2006-06-01,204.5
2006-07-01,NA
2006-08-01,205.7
2006-09-01,NA
2006-10-01,207.8
2006-11-01,NA
2006-12-01,208.3
2007-01-01,NA
2007-02-01,212.08
2007-03-01,NA
2007-04-01,213.166
2007-05-01,NA
2007-06-01,214.375
2007-07-01,NA
2007-08-01,215.726
2007-09-01,NA
2007-10-01,217.77
2007-11-01,NA
2007-12-01,218.796
2008-01-01,NA
2008-02-01,220.761
2008-03-01,NA
2008-04-01,221.566
2008-05-01,NA
2008-06-01,222.912
2008-07-01,NA
2008-08-01,223.586
2008-09-01,NA
2008-10-01,225.067
2008-11-01,NA
2008-12-01,224.2
2009-01-01,NA
2009-02-01,226.076
2009-03-01,NA
2009-04-01,225.456
2009-05-01,NA
2009-06-01,224.485
2009-07-01,NA
2009-08-01,224.265
2009-09-01,NA
2009-10-01,225.88
2009-11-01,NA
2009-12-01,225.469
2010-01-01,NA
2010-02-01,226.04
2010-03-01,NA
2010-04-01,225.437
2010-05-01,NA
2010-06-01,226.1
2010-07-01,NA
2010-08-01,226.542
2010-09-01,NA
2010-10-01,226.681
2010-11-01,NA
2010-12-01,227.197
2011-01-01,NA
2011-02-01,229.161
2011-03-01,NA
2011-04-01,230.099
2011-05-01,NA
2011-06-01,229.353
2011-07-01,NA
2011-08-01,231.047
2011-09-01,NA
2011-10-01,231.708
2011-11-01,NA
2011-12-01,232.148
2012-01-01,NA
2012-02-01,233.781
2012-03-01,NA
2012-04-01,234.371
2012-05-01,NA
2012-06-01,234.143
2012-07-01,NA
2012-08-01,235.327
2012-09-01,NA
2012-10-01,236.098
2012-11-01,NA
2012-12-01,235.922
2013-01-01,NA
2013-02-01,238.516
2013-03-01,NA
2013-04-01,238.563
2013-05-01,NA
2013-06-01,238.179
2013-07-01,NA
2013-08-01,237.356
2013-09-01,NA
2013-10-01,239.821
2013-11-01,NA
2013-12-01,240.979
2014-01-01,NA
2014-02-01,243.635
2014-03-01,NA
2014-04-01,243.749
2014-05-01,NA
2014-06-01,243.182
2014-07-01,NA
2014-08-01,243.534
2014-09-01,NA
2014-10-01,245.912
2014-11-01,NA
2014-12-01,246.476
2015-01-01,NA
2015-02-01,249.215
2015-03-01,NA
2015-04-01,250.538
2015-05-01,NA
2015-06-01,250.988
2015-07-01,NA
2015-08-01,251.695
2015-09-01,NA
2015-10-01,253.599
2015-11-01,NA
2015-12-01,254.342
2016-01-01,NA
2016-02-01,256.577
2016-03-01,NA
2016-04-01,257.853
2016-05-01,NA
2016-06-01,258.377
2016-07-01,NA
2016-08-01,259.322
2016-09-01,NA
2016-10-01,260.687
2016-11-01,NA
2016-12-01,263.637
2017-01-01,NA
2017-02-01,266.058
2017-03-01,NA
2017-04-01,264.104
2017-05-01,NA
2017-06-01,263.578
2017-07-01,NA
2017-08-01,265.172
2017-09-01,NA
2017-10-01,266.556
2017-11-01,NA
2017-12-01,266.753
2018-01-01,NA
2018-02-01,274.796
2018-03-01,NA
2018-04-01,273.565
2018-05-01,NA
2018-06-01,274.575
2018-07-01,NA
2018-08-01,273.668
2018-09-01,NA
2018-10-01,276.961
2018-11-01,NA
2018-12-01,276.482
2019-01-01,NA
2019-02-01,280.28
2019-03-01,NA
2019-04-01,280.661
2019-05-01,NA
2019-06-01,280.002
2019-07-01,NA
2019-08-01,281.768
2019-09-01,NA
2019-10-01,283.482
2019-11-01,NA
2019-12-01,282.946
2020-01-01,NA
2020-02-01,284.79
2020-03-01,NA
2020-04-01,282.04
2020-05-01,NA
2020-06-01,282.95
2020-07-01,NA
2020-08-01,285.891
2020-09-01,NA
2020-10-01,286.644
2020-11-01,NA
2020-12-01,286.237
2021-01-01,NA
2021-02-01,286.664
2021-03-01,NA
2021-04-01,289.925
2021-05-01,NA
2021-06-01,294.047
2021-07-01,NA
2021-08-01,296.131
2021-09-01,NA
2021-10-01,299.596
2021-11-01,NA
2021-12-01,303.298
2022-01-01,NA
2022-02-01,310.595
2022-03-01,NA
2022-04-01,311.671
2022-05-01,NA
2022-06-01,317.293
2022-07-01,NA
2022-08-01,323.661
2022-09-01,NA
2022-10-01,328.557
2022-11-01,NA
2022-12-01,334.982
2023-01-01,NA
2023-02-01,340.781
2023-03-01,NA
2023-04-01,344.365
2023-05-01,NA
2023-06-01,347.702
2023-07-01,NA
2023-08-01,351.487
2023-09-01,NA
2023-10-01,354.823
