"Date","CUSR0000SEMC"
1996-10-01,210.5
1996-11-01,211.4
1996-12-01,211.7
1997-01-01,212.4
1997-02-01,212.8
1997-03-01,213.8
1997-04-01,214.3
1997-05-01,214.8
1997-06-01,215.2
1997-07-01,215.7
1997-08-01,216.2
1997-09-01,216.6
1997-10-01,217.1
1997-11-01,217.7
1997-12-01,218.3
1998-01-01,218.7
1998-02-01,219.3
1998-03-01,220
1998-04-01,220.6
1998-05-01,221.3
1998-06-01,222.1
1998-07-01,222.6
1998-08-01,223.2
1998-09-01,223.9
1998-10-01,224.6
1998-11-01,225
1998-12-01,225.5
1999-01-01,226
1999-02-01,226.4
1999-03-01,227
1999-04-01,227.7
1999-05-01,228.2
1999-06-01,228.9
1999-07-01,229.6
1999-08-01,230
1999-09-01,230.7
1999-10-01,231.3
1999-11-01,232.1
1999-12-01,232.7
2000-01-01,233.3
2000-02-01,234.5
2000-03-01,235.7
2000-04-01,236
2000-05-01,236.7
2000-06-01,237.5
2000-07-01,238.1
2000-08-01,238.8
2000-09-01,239.6
2000-10-01,240.1
2000-11-01,240.5
2000-12-01,241.3
2001-01-01,242.9
2001-02-01,243.6
2001-03-01,244.3
2001-04-01,245
2001-05-01,245.4
2001-06-01,246
2001-07-01,246.6
2001-08-01,247.6
2001-09-01,248.2
2001-10-01,248.8
2001-11-01,249.6
2001-12-01,250
2002-01-01,250.8
2002-02-01,250.9
2002-03-01,251.3
2002-04-01,251.8
2002-05-01,252.5
2002-06-01,252.8
2002-07-01,254.8
2002-08-01,254.9
2002-09-01,255.1
2002-10-01,256.4
2002-11-01,257.3
2002-12-01,258.1
2003-01-01,258.2
2003-02-01,258.3
2003-03-01,258.4
2003-04-01,259.1
2003-05-01,260.6
2003-06-01,260.9
2003-07-01,261.6
2003-08-01,261.7
2003-09-01,262.7
2003-10-01,263.5
2003-11-01,263.9
2003-12-01,265.2
2004-01-01,266.1
2004-02-01,267.5
2004-03-01,269
2004-04-01,269.8
2004-05-01,270.3
2004-06-01,271.2
2004-07-01,272
2004-08-01,273.3
2004-09-01,273.8
2004-10-01,274.2
2004-11-01,275.1
2004-12-01,275.6
2005-01-01,276.6
2005-02-01,278.1
2005-03-01,278.9
2005-04-01,280.1
2005-05-01,280.8
2005-06-01,281.5
2005-07-01,282.3
2005-08-01,282.5
2005-09-01,283.5
2005-10-01,284.6
2005-11-01,285.5
2005-12-01,286
2006-01-01,285.2
2006-02-01,285.9
2006-03-01,286.8
2006-04-01,287.5
2006-05-01,288.2
2006-06-01,288.8
2006-07-01,289.5
2006-08-01,290.4
2006-09-01,291.2
2006-10-01,292
2006-11-01,292.9
2006-12-01,293.6
2007-01-01,295.541
2007-02-01,297.753
2007-03-01,298.119
2007-04-01,298.338
2007-05-01,298.973
2007-06-01,299.756
2007-07-01,300.915
2007-08-01,302.305
2007-09-01,302.976
2007-10-01,304.15
2007-11-01,304.802
2007-12-01,305.977
2008-01-01,306.579
2008-02-01,307.135
2008-03-01,307.898
2008-04-01,308.706
2008-05-01,310.523
2008-06-01,311.058
2008-07-01,311.697
2008-08-01,312.411
2008-09-01,312.955
2008-10-01,313.422
2008-11-01,314.262
2008-12-01,314.923
2009-01-01,315.541
2009-02-01,316.14
2009-03-01,316.745
2009-04-01,317.278
2009-05-01,319.019
2009-06-01,319.36
2009-07-01,319.804
2009-08-01,320.22
2009-09-01,321.05
2009-10-01,321.864
2009-11-01,322.386
2009-12-01,322.927
2010-01-01,324.393
2010-02-01,325.259
2010-03-01,325.727
2010-04-01,326.759
2010-05-01,326.895
2010-06-01,327.588
2010-07-01,328.568
2010-08-01,329.24
2010-09-01,330.304
2010-10-01,330.441
2010-11-01,331.344
2010-12-01,331.593
2011-01-01,331.911
2011-02-01,333.682
2011-03-01,334.262
2011-04-01,334.712
2011-05-01,334.977
2011-06-01,335.124
2011-07-01,335.846
2011-08-01,336.297
2011-09-01,336.536
2011-10-01,337.615
2011-11-01,338.084
2011-12-01,338.776
2012-01-01,338.786
2012-02-01,338.694
2012-03-01,339.084
2012-04-01,339.52
2012-05-01,340.889
2012-06-01,341.796
2012-07-01,342.502
2012-08-01,343.579
2012-09-01,344.333
2012-10-01,344.663
2012-11-01,344.792
2012-12-01,345.162
2013-01-01,346.203
2013-02-01,347.02
2013-03-01,347.897
2013-04-01,348.564
2013-05-01,348.592
2013-06-01,349.505
2013-07-01,349.921
2013-08-01,350.067
2013-09-01,350.83
2013-10-01,351.426
2013-11-01,351.464
2013-12-01,352.183
2014-01-01,352.674
2014-02-01,352.93
2014-03-01,353.515
2014-04-01,353.733
2014-05-01,354.829
2014-06-01,354.895
2014-07-01,354.823
2014-08-01,355.768
2014-09-01,355.941
2014-10-01,356.503
2014-11-01,357.918
2014-12-01,358.464
2015-01-01,358.677
2015-02-01,357.996
2015-03-01,359.334
2015-04-01,360.016
2015-05-01,360.425
2015-06-01,361.442
2015-07-01,362.23
2015-08-01,362.017
2015-09-01,362.76
2015-10-01,362.852
2015-11-01,365.157
2015-12-01,365.342
2016-01-01,366.134
2016-02-01,367.048
2016-03-01,367.553
2016-04-01,368.119
2016-05-01,370.641
2016-06-01,370.868
2016-07-01,372.506
2016-08-01,374.204
2016-09-01,374.384
2016-10-01,374.222
2016-11-01,376.18
2016-12-01,376.696
2017-01-01,376.982
2017-02-01,376.874
2017-03-01,376.602
2017-04-01,374.288
2017-05-01,374.142
2017-06-01,373.055
2017-07-01,373.13
2017-08-01,374.715
2017-09-01,375.17
2017-10-01,375.736
2017-11-01,375.321
2017-12-01,375.712
2018-01-01,375.975
2018-02-01,377.129
2018-03-01,378.751
2018-04-01,379.225
2018-05-01,378.625
2018-06-01,378.776
2018-07-01,378.295
2018-08-01,377.845
2018-09-01,378.386
2018-10-01,378.852
2018-11-01,379.06
2018-12-01,379.371
2019-01-01,380.321
2019-02-01,380.777
2019-03-01,380.197
2019-04-01,380.682
2019-05-01,381.201
2019-06-01,382.247
2019-07-01,382.498
2019-08-01,383.146
2019-09-01,383.985
2019-10-01,384.717
2019-11-01,385.341
2019-12-01,385.637
2020-01-01,385.066
2020-02-01,385.289
2020-03-01,386.293
2020-04-01,387.062
2020-05-01,389.452
2020-06-01,390.496
2020-07-01,392.03
2020-08-01,391.927
2020-09-01,392.325
2020-10-01,392.687
2020-11-01,392.906
2020-12-01,392.911
2021-01-01,396.349
2021-02-01,400.251
2021-03-01,400.733
2021-04-01,400.613
2021-05-01,400.781
2021-06-01,400.677
2021-07-01,402.097
2021-08-01,403.854
2021-09-01,403.193
2021-10-01,403.764
2021-11-01,405.103
2021-12-01,405.864
2022-01-01,406.66
2022-02-01,406.404
2022-03-01,407.517
2022-04-01,408.044
2022-05-01,408.576
2022-06-01,410.933
2022-07-01,410.991
2022-08-01,413.582
2022-09-01,416.393
2022-10-01,417.111
2022-11-01,417.518
2022-12-01,417.869
2023-01-01,417.511
2023-02-01,416.184
2023-03-01,416.353
2023-04-01,416.831
2023-05-01,416.693
2023-06-01,417.783
2023-07-01,418.914
2023-08-01,421.289
2023-09-01,421.352
2023-10-01,420.057
2023-11-01,422.263
