"Date","STICKCPIXSHLTRM159SFRBATL"
1999-07-01,1.7380637
1999-08-01,1.7735013
1999-09-01,1.7288354
1999-10-01,1.8217176
1999-11-01,1.9166506
1999-12-01,1.9696859
2000-01-01,2.0206612
2000-02-01,2.0340143
2000-03-01,2.1770809
2000-04-01,2.0600839
2000-05-01,2.2549422
2000-06-01,2.4228436
2000-07-01,2.4117576
2000-08-01,2.6014072
2000-09-01,2.5943559
2000-10-01,2.5105651
2000-11-01,2.4468697
2000-12-01,2.4980984
2001-01-01,2.5076079
2001-02-01,2.6067508
2001-03-01,2.4690047
2001-04-01,2.5878494
2001-05-01,2.4651633
2001-06-01,2.6223397
2001-07-01,2.5899913
2001-08-01,2.5747134
2001-09-01,2.7439425
2001-10-01,2.8341175
2001-11-01,2.9206981
2001-12-01,2.7932568
2002-01-01,2.7508631
2002-02-01,2.7349978
2002-03-01,2.6627057
2002-04-01,2.664497
2002-05-01,2.784966
2002-06-01,2.5325068
2002-07-01,2.5606664
2002-08-01,2.520369
2002-09-01,2.3579966
2002-10-01,2.3478244
2002-11-01,2.2798416
2002-12-01,2.3399213
2003-01-01,2.2681039
2003-02-01,2.2650414
2003-03-01,2.2929179
2003-04-01,2.1830243
2003-05-01,2.0602515
2003-06-01,2.1038984
2003-07-01,2.0931821
2003-08-01,1.977911
2003-09-01,2.0608353
2003-10-01,2.0286212
2003-11-01,1.9003318
2003-12-01,1.9422524
2004-01-01,2.0785931
2004-02-01,2.1593302
2004-03-01,2.2486572
2004-04-01,2.3099385
2004-05-01,2.2479033
2004-06-01,2.3186277
2004-07-01,2.2031498
2004-08-01,2.1857679
2004-09-01,2.2403807
2004-10-01,2.3109776
2004-11-01,2.4305836
2004-12-01,2.3455379
2005-01-01,2.3078221
2005-02-01,2.2059684
2005-03-01,2.1641221
2005-04-01,2.2662963
2005-05-01,2.4393861
2005-06-01,2.2743242
2005-07-01,2.3612622
2005-08-01,2.3490282
2005-09-01,2.4030872
2005-10-01,2.3527325
2005-11-01,2.4493744
2005-12-01,2.5031165
2006-01-01,2.4512031
2006-02-01,2.503952
2006-03-01,2.5288946
2006-04-01,2.515711
2006-05-01,2.5321644
2006-06-01,2.6885472
2006-07-01,2.6821729
2006-08-01,2.7403274
2006-09-01,2.6257119
2006-10-01,2.6097727
2006-11-01,2.3328772
2006-12-01,2.2355458
2007-01-01,2.3033941
2007-02-01,2.333475
2007-03-01,2.3022913
2007-04-01,2.2491957
2007-05-01,2.1863632
2007-06-01,2.1495934
2007-07-01,2.1739061
2007-08-01,2.1652581
2007-09-01,2.2757114
2007-10-01,2.373422
2007-11-01,2.6166671
2007-12-01,2.7136523
2008-01-01,2.8055044
2008-02-01,2.7068559
2008-03-01,2.890972
2008-04-01,2.9090846
2008-05-01,3.0410332
2008-06-01,3.250108
2008-07-01,3.415167
2008-08-01,3.5825646
2008-09-01,3.6072557
2008-10-01,3.4920114
2008-11-01,3.3428384
2008-12-01,3.2781881
2009-01-01,3.1113899
2009-02-01,3.1253507
2009-03-01,2.9180027
2009-04-01,2.8481684
2009-05-01,2.6208261
2009-06-01,2.4153288
2009-07-01,2.2078718
2009-08-01,2.0160997
2009-09-01,1.9717921
2009-10-01,1.917573
2009-11-01,1.9404773
2009-12-01,1.8819213
2010-01-01,1.8105965
2010-02-01,1.6975454
2010-03-01,1.6785991
2010-04-01,1.6759002
2010-05-01,1.6473005
2010-06-01,1.5965995
2010-07-01,1.4828783
2010-08-01,1.4685907
2010-09-01,1.3222349
2010-10-01,1.2654004
2010-11-01,1.2990638
2010-12-01,1.2475815
2011-01-01,1.3385152
2011-02-01,1.5015097
2011-03-01,1.5402878
2011-04-01,1.5501914
2011-05-01,1.5886583
2011-06-01,1.6034506
2011-07-01,1.6941055
2011-08-01,1.9145566
2011-09-01,1.9480531
2011-10-01,2.0162057
2011-11-01,2.0109119
2011-12-01,2.2734823
2012-01-01,2.3757476
2012-02-01,2.2120336
2012-03-01,2.2663196
2012-04-01,2.2526052
2012-05-01,2.234176
2012-06-01,2.3522236
2012-07-01,2.4184502
2012-08-01,2.2656318
2012-09-01,2.2831531
2012-10-01,2.2355631
2012-11-01,2.1957152
2012-12-01,2.0753701
2013-01-01,1.9695041
2013-02-01,2.0300899
2013-03-01,1.9895309
2013-04-01,1.7761625
2013-05-01,1.6613105
2013-06-01,1.5216976
2013-07-01,1.5264407
2013-08-01,1.5427318
2013-09-01,1.5075335
2013-10-01,1.4885409
2013-11-01,1.4857829
2013-12-01,1.3641427
2014-01-01,1.2327037
2014-02-01,1.1998155
2014-03-01,1.1930687
2014-04-01,1.468726
2014-05-01,1.6184119
2014-06-01,1.6432551
2014-07-01,1.5102009
2014-08-01,1.3484116
2014-09-01,1.3329649
2014-10-01,1.4173807
2014-11-01,1.4336909
2014-12-01,1.4548092
2015-01-01,1.4508533
2015-02-01,1.3958821
2015-03-01,1.4056617
2015-04-01,1.4698241
2015-05-01,1.4875664
2015-06-01,1.4674452
2015-07-01,1.4433265
2015-08-01,1.4648908
2015-09-01,1.6072152
2015-10-01,1.7092955
2015-11-01,1.7859224
2015-12-01,1.7867997
2016-01-01,1.8466633
2016-02-01,1.9632486
2016-03-01,1.9659331
2016-04-01,1.9646308
2016-05-01,1.9304376
2016-06-01,1.9431326
2016-07-01,1.9829065
2016-08-01,2.1924512
2016-09-01,1.952253
2016-10-01,1.6813435
2016-11-01,1.6163281
2016-12-01,1.710157
2017-01-01,1.85542
2017-02-01,1.885102
2017-03-01,1.544488
2017-04-01,1.279662
2017-05-01,1.185573
2017-06-01,1.156375
2017-07-01,1.188976
2017-08-01,1.063281
2017-09-01,1.180827
2017-10-01,1.322542
2017-11-01,1.262783
2017-12-01,1.251497
2018-01-01,1.28109
2018-02-01,1.296291
2018-03-01,1.613937
2018-04-01,1.74427
2018-05-01,1.839019
2018-06-01,1.919216
2018-07-01,1.820776
2018-08-01,1.691321
2018-09-01,1.773115
2018-10-01,1.718599
2018-11-01,1.790278
2018-12-01,1.878777
2019-01-01,1.767114
2019-02-01,1.687411
2019-03-01,1.698228
2019-04-01,1.681357
2019-05-01,1.673533
2019-06-01,1.665215
2019-07-01,1.781217
2019-08-01,2.094742
2019-09-01,2.000223
2019-10-01,2.273746
2019-11-01,2.347057
2019-12-01,2.281338
2020-01-01,2.324786
2020-02-01,2.368547
2020-03-01,2.169316
2020-04-01,1.596154
2020-05-01,1.417184
2020-06-01,1.581596
2020-07-01,2.10989
2020-08-01,2.123186
2020-09-01,1.989563
2020-10-01,1.64153
2020-11-01,1.748414
2020-12-01,1.717625
2021-01-01,1.512859
2021-02-01,1.511415
2021-03-01,1.822707
2021-04-01,2.727986
2021-05-01,3.283249
2021-06-01,3.11102
2021-07-01,2.686862
2021-08-01,2.648019
2021-09-01,2.864472
2021-10-01,3.39237
2021-11-01,3.456289
2021-12-01,3.720372
2022-01-01,4.347896
2022-02-01,4.731847
2022-03-01,4.98416
2022-04-01,5.077198
2022-05-01,5.281815
2022-06-01,5.673568
2022-07-01,5.672198
2022-08-01,5.972774
2022-09-01,6.360393
2022-10-01,6.153527
2022-11-01,6.095739
2022-12-01,5.97147
2023-01-01,5.667318344
2023-02-01,5.542857647
2023-03-01,5.315227509
2023-04-01,5.018100262
2023-05-01,4.507135391
2023-06-01,3.999767065
2023-07-01,3.774932146
2023-08-01,3.550481796
2023-09-01,3.336354971
2023-10-01,3.295837879
2023-11-01,3.076545238
