"Date","CUUR0000SAS2RS"
2009-02-01,259.44
2009-03-01,260.197
2009-04-01,260.469
2009-05-01,260.388
2009-06-01,260.869
2009-07-01,260.935
2009-08-01,260.858
2009-09-01,260.064
2009-10-01,260.035
2009-11-01,258.704
2009-12-01,258.303
2010-01-01,258.382
2010-02-01,258.435
2010-03-01,258.489
2010-04-01,258.457
2010-05-01,258.525
2010-06-01,258.91
2010-07-01,259.115
2010-08-01,259.015
2010-09-01,258.934
2010-10-01,259.054
2010-11-01,259.142
2010-12-01,259.418
2011-01-01,259.934
2011-02-01,260.373
2011-03-01,260.834
2011-04-01,260.963
2011-05-01,261.272
2011-06-01,261.977
2011-07-01,262.747
2011-08-01,263.152
2011-09-01,263.251
2011-10-01,263.717
2011-11-01,263.931
2011-12-01,264.341
2012-01-01,265.06
2012-02-01,265.628
2012-03-01,266.323
2012-04-01,266.747
2012-05-01,267.176
2012-06-01,267.708
2012-07-01,268.184
2012-08-01,268.637
2012-09-01,269.073
2012-10-01,269.674
2012-11-01,269.838
2012-12-01,270.122
2013-01-01,270.9
2013-02-01,271.583
2013-03-01,272.227
2013-04-01,272.601
2013-05-01,273.258
2013-06-01,273.9
2013-07-01,274.454
2013-08-01,275.071
2013-09-01,275.4
2013-10-01,275.785
2013-11-01,276.395
2013-12-01,276.978
2014-01-01,277.878
2014-02-01,278.564
2014-03-01,279.598
2014-04-01,280.095
2014-05-01,280.969
2014-06-01,281.552
2014-07-01,282.369
2014-08-01,282.947
2014-09-01,283.454
2014-10-01,284.114
2014-11-01,284.579
2014-12-01,284.934
2015-01-01,285.955
2015-02-01,286.8
2015-03-01,287.825
2015-04-01,288.464
2015-05-01,289.079
2015-06-01,290.034
2015-07-01,291.182
2015-08-01,291.745
2015-09-01,292.501
2015-10-01,293.221
2015-11-01,293.667
2015-12-01,294.137
2016-01-01,295.295
2016-02-01,296.275
2016-03-01,297.083
2016-04-01,297.765
2016-05-01,298.907
2016-06-01,300.113
2016-07-01,300.859
2016-08-01,301.728
2016-09-01,302.616
2016-10-01,303.632
2016-11-01,304.202
2016-12-01,304.892
2017-01-01,305.891
2017-02-01,306.821
2017-03-01,307.446
2017-04-01,308.121
2017-05-01,308.96
2017-06-01,309.949
2017-07-01,310.444
2017-08-01,311.749
2017-09-01,312.473
2017-10-01,313.538
2017-11-01,313.899
2017-12-01,314.74
2018-01-01,315.725
2018-02-01,316.485
2018-03-01,317.743
2018-04-01,318.657
2018-05-01,319.889
2018-06-01,320.523
2018-07-01,321.421
2018-08-01,322.368
2018-09-01,322.8
2018-10-01,323.524
2018-11-01,324.118
2018-12-01,324.863
2019-01-01,325.96
2019-02-01,327.206
2019-03-01,328.536
2019-04-01,329.726
2019-05-01,330.698
2019-06-01,331.856
2019-07-01,332.736
2019-08-01,333.319
2019-09-01,334.257
2019-10-01,334.457
2019-11-01,334.992
2019-12-01,335.522
2020-01-01,336.889
2020-02-01,338.144
2020-03-01,338.549
2020-04-01,338.441
2020-05-01,339.243
2020-06-01,339.822
2020-07-01,340.618
2020-08-01,341.06
2020-09-01,341.185
2020-10-01,341.341
2020-11-01,341.501
2020-12-01,341.779
2021-01-01,342.373
2021-02-01,343.181
2021-03-01,344.364
2021-04-01,345.661
2021-05-01,346.824
2021-06-01,348.684
2021-07-01,350.358
2021-08-01,350.863
2021-09-01,352.081
2021-10-01,353.377
2021-11-01,354.787
2021-12-01,356.091
2022-01-01,357.543
2022-02-01,359.655
2022-03-01,361.783
2022-04-01,363.652
2022-05-01,365.969
2022-06-01,368.451
2022-07-01,370.525
2022-08-01,372.989
2022-09-01,375.583
2022-10-01,378.094
2022-11-01,380.31
2022-12-01,383.129
2023-01-01,385.992
2023-02-01,389.083
2023-03-01,391.681
2023-04-01,393.418
2023-05-01,395.672
2023-06-01,397.578
2023-07-01,399.295
2023-08-01,400.334
2023-09-01,402.631
2023-10-01,403.671
2023-11-01,405.189
