"Date","CUUR0200SAS2RS"
2007-12-01,228.419
2008-01-01,230.008
2008-02-01,230.397
2008-03-01,231.421
2008-04-01,231.361
2008-05-01,231.004
2008-06-01,231.66
2008-07-01,231.661
2008-08-01,231.331
2008-09-01,230.94
2008-10-01,231.198
2008-11-01,230.337
2008-12-01,229.798
2009-01-01,231.095
2009-02-01,231.639
2009-03-01,231.976
2009-04-01,232.312
2009-05-01,232.186
2009-06-01,233.122
2009-07-01,233.614
2009-08-01,234.149
2009-09-01,233.682
2009-10-01,233.838
2009-11-01,232.947
2009-12-01,232.313
2010-01-01,232.462
2010-02-01,232.683
2010-03-01,232.8
2010-04-01,232.875
2010-05-01,232.806
2010-06-01,232.972
2010-07-01,232.967
2010-08-01,233.156
2010-09-01,233.204
2010-10-01,233.425
2010-11-01,233.529
2010-12-01,233.648
2011-01-01,234.363
2011-02-01,234.72
2011-03-01,235.008
2011-04-01,234.917
2011-05-01,235.1
2011-06-01,235.527
2011-07-01,236.154
2011-08-01,236.41
2011-09-01,236.371
2011-10-01,236.83
2011-11-01,236.975
2011-12-01,237.239
2012-01-01,237.717
2012-02-01,238.244
2012-03-01,238.919
2012-04-01,239.353
2012-05-01,239.826
2012-06-01,240.349
2012-07-01,240.57
2012-08-01,240.945
2012-09-01,241.221
2012-10-01,241.688
2012-11-01,241.813
2012-12-01,242.006
2013-01-01,242.935
2013-02-01,243.532
2013-03-01,244.007
2013-04-01,244.273
2013-05-01,244.734
2013-06-01,245.607
2013-07-01,246.163
2013-08-01,246.178
2013-09-01,246.297
2013-10-01,246.337
2013-11-01,246.961
2013-12-01,247.033
2014-01-01,247.823
2014-02-01,248.145
2014-03-01,248.699
2014-04-01,249.147
2014-05-01,249.594
2014-06-01,250.288
2014-07-01,250.774
2014-08-01,251.089
2014-09-01,251.457
2014-10-01,252.061
2014-11-01,252.147
2014-12-01,252.083
2015-01-01,253.195
2015-02-01,253.509
2015-03-01,254.351
2015-04-01,254.489
2015-05-01,255.013
2015-06-01,255.972
2015-07-01,256.423
2015-08-01,256.541
2015-09-01,257.223
2015-10-01,257.566
2015-11-01,257.912
2015-12-01,257.965
2016-01-01,259.585
2016-02-01,260.37
2016-03-01,260.998
2016-04-01,261.666
2016-05-01,262.087
2016-06-01,263.726
2016-07-01,263.511
2016-08-01,263.698
2016-09-01,265.074
2016-10-01,265.035
2016-11-01,265.471
2016-12-01,265.482
2017-01-01,266.708
2017-02-01,267.212
2017-03-01,267.501
2017-04-01,268.285
2017-05-01,269.496
2017-06-01,270.545
2017-07-01,270.044
2017-08-01,270.338
2017-09-01,271.397
2017-10-01,271.784
2017-11-01,272.242
2017-12-01,272.847
2018-01-01,273.794
2018-02-01,274.809
2018-03-01,275.886
2018-04-01,276.687
2018-05-01,277.865
2018-06-01,278.09
2018-07-01,278.807
2018-08-01,279.246
2018-09-01,279.787
2018-10-01,281.368
2018-11-01,281.826
2018-12-01,282.118
2019-01-01,282.959
2019-02-01,284.392
2019-03-01,285.928
2019-04-01,286.427
2019-05-01,287.609
2019-06-01,288.182
2019-07-01,288.759
2019-08-01,288.571
2019-09-01,289.738
2019-10-01,290.012
2019-11-01,289.983
2019-12-01,291.254
2020-01-01,292.204
2020-02-01,293.225
2020-03-01,293.38
2020-04-01,292.158
2020-05-01,293.493
2020-06-01,294.383
2020-07-01,294.723
2020-08-01,295.454
2020-09-01,295.232
2020-10-01,295.727
2020-11-01,295.971
2020-12-01,296.507
2021-01-01,296.65
2021-02-01,297.772
2021-03-01,298.916
2021-04-01,300.159
2021-05-01,301.108
2021-06-01,302.873
2021-07-01,304.901
2021-08-01,305.735
2021-09-01,306.782
2021-10-01,308.278
2021-11-01,309.6
2021-12-01,310.02
2022-01-01,310.499
2022-02-01,312.307
2022-03-01,314.28
2022-04-01,314.989
2022-05-01,316.999
2022-06-01,319.332
2022-07-01,320.578
2022-08-01,321.842
2022-09-01,322.766
2022-10-01,324.971
2022-11-01,326.914
2022-12-01,329.068
2023-01-01,330.846
2023-02-01,333.146
2023-03-01,336.216
2023-04-01,337.691
2023-05-01,340.444
2023-06-01,342.912
2023-07-01,346.752
2023-08-01,345.162
2023-09-01,346.78
2023-10-01,347.617
2023-11-01,349.097
