"Date","CUUR0000SEHB"
2014-10-01,149.158
2014-11-01,141.711
2014-12-01,138.799
2015-01-01,145.132
2015-02-01,148.975
2015-03-01,155.576
2015-04-01,155.926
2015-05-01,156.841
2015-06-01,157.666
2015-07-01,163.525
2015-08-01,158.443
2015-09-01,154.657
2015-10-01,152.228
2015-11-01,145.66
2015-12-01,141.412
2016-01-01,149.009
2016-02-01,155.218
2016-03-01,159.114
2016-04-01,157.979
2016-05-01,162.843
2016-06-01,168.337
2016-07-01,166.094
2016-08-01,164.1
2016-09-01,160.425
2016-10-01,158.887
2016-11-01,148.931
2016-12-01,146.025
2017-01-01,151.949
2017-02-01,157.58
2017-03-01,159.706
2017-04-01,162.509
2017-05-01,166.553
2017-06-01,168.214
2017-07-01,162.167
2017-08-01,164.45
2017-09-01,161.791
2017-10-01,161.041
2017-11-01,149.818
2017-12-01,146.87
2018-01-01,150.024
2018-02-01,155.197
2018-03-01,163.604
2018-04-01,165.05
2018-05-01,173.85
2018-06-01,170.952
2018-07-01,170.378
2018-08-01,168.4
2018-09-01,162.721
2018-10-01,157.125
2018-11-01,147.609
2018-12-01,147.956
2019-01-01,153.869
2019-02-01,161.33
2019-03-01,168.321
2019-04-01,171.822
2019-05-01,176.575
2019-06-01,177.637
2019-07-01,178.155
2019-08-01,171.827
2019-09-01,170.792
2019-10-01,160.34
2019-11-01,152.399
2019-12-01,147.59
2020-01-01,153.531
2020-02-01,162.574
2020-03-01,157.565
2020-04-01,147.847
2020-05-01,149.8
2020-06-01,152.721
2020-07-01,154.349
2020-08-01,152.224
2020-09-01,148.585
2020-10-01,138.3
2020-11-01,135.954
2020-12-01,133.538
2021-01-01,136.034
2021-02-01,138.283
2021-03-01,147.47
2021-04-01,158.737
2021-05-01,163.276
2021-06-01,175.746
2021-07-01,187.487
2021-08-01,178.758
2021-09-01,174.644
2021-10-01,169.076
2021-11-01,166.08
2021-12-01,165.472
2022-01-01,163.968
2022-02-01,172.949
2022-03-01,184.463
2022-04-01,189.951
2022-05-01,194.733
2022-06-01,193.324
2022-07-01,189.446
2022-08-01,185.97
2022-09-01,179.733
2022-10-01,178.981
2022-11-01,171.458
2022-12-01,170.729
2023-01-01,176.578
2023-02-01,184.583
2023-03-01,197.855
2023-04-01,196.239
2023-05-01,201.364
2023-06-01,202.106
2023-07-01,200.893
2023-08-01,191.511
2023-09-01,192.906
2023-10-01,181.157
2023-11-01,172.922
