"Date","CUSR0000SETG"
2011-11-01,265.344
2011-12-01,271.195
2012-01-01,271.393
2012-02-01,270.856
2012-03-01,272.346
2012-04-01,270.689
2012-05-01,265.681
2012-06-01,262.26
2012-07-01,270.203
2012-08-01,275.501
2012-09-01,275.672
2012-10-01,273.725
2012-11-01,270.308
2012-12-01,278.981
2013-01-01,281.901
2013-02-01,279.838
2013-03-01,284.923
2013-04-01,277.988
2013-05-01,271.115
2013-06-01,270.267
2013-07-01,278.175
2013-08-01,280.832
2013-09-01,281.288
2013-10-01,280.584
2013-11-01,281.003
2013-12-01,280.08
2014-01-01,274.389
2014-02-01,274.024
2014-03-01,276.559
2014-04-01,277.083
2014-05-01,279.303
2014-06-01,281.08
2014-07-01,278.143
2014-08-01,276.845
2014-09-01,274.863
2014-10-01,275.105
2014-11-01,277.289
2014-12-01,271.761
2015-01-01,269.496
2015-02-01,268.751
2015-03-01,267.16
2015-04-01,264.185
2015-05-01,268.574
2015-06-01,272.433
2015-07-01,269.963
2015-08-01,268.935
2015-09-01,266.617
2015-10-01,269.07
2015-11-01,270.559
2015-12-01,269.686
2016-01-01,268.541
2016-02-01,266.691
2016-03-01,266.869
2016-04-01,268.958
2016-05-01,268.233
2016-06-01,269.444
2016-07-01,265.061
2016-08-01,264.187
2016-09-01,261.792
2016-10-01,259.449
2016-11-01,260.827
2016-12-01,264.044
2017-01-01,265.453
2017-02-01,266.391
2017-03-01,267.362
2017-04-01,267.966
2017-05-01,264.29
2017-06-01,263.193
2017-07-01,262.071
2017-08-01,260.037
2017-09-01,259.988
2017-10-01,260.256
2017-11-01,259.307
2017-12-01,259.919
2018-01-01,260.358
2018-02-01,260.881
2018-03-01,263.091
2018-04-01,259.415
2018-05-01,257.837
2018-06-01,257.129
2018-07-01,256.964
2018-08-01,258.619
2018-09-01,258.162
2018-10-01,257.509
2018-11-01,256.664
2018-12-01,256.351
2019-01-01,256.065
2019-02-01,257.158
2019-03-01,259.927
2019-04-01,256.901
2019-05-01,261.049
2019-06-01,260.278
2019-07-01,256.681
2019-08-01,261.517
2019-09-01,261.984
2019-10-01,259.77
2019-11-01,260.65
2019-12-01,259.113
2020-01-01,261.317
2020-02-01,262.734
2020-03-01,243.896
2020-04-01,215.559
2020-05-01,210.197
2020-06-01,211.178
2020-07-01,212.986
2020-08-01,215.166
2020-09-01,218.749
2020-10-01,222.396
2020-11-01,229.205
2020-12-01,228.284
2021-01-01,225.816
2021-02-01,221.717
2021-03-01,226.118
2021-04-01,229.697
2021-05-01,244.399
2021-06-01,246.128
2021-07-01,239.994
2021-08-01,232.865
2021-09-01,222.722
2021-10-01,220.025
2021-11-01,228.019
2021-12-01,234.795
2022-01-01,235.451
2022-02-01,241.178
2022-03-01,261.358
2022-04-01,278.311
2022-05-01,309.188
2022-06-01,302.818
2022-07-01,283.367
2022-08-01,282.144
2022-09-01,283.16
2022-10-01,281.899
2022-11-01,282.381
2022-12-01,280.852
2023-01-01,275.808
2023-02-01,284.601
2023-03-01,293.662
2023-04-01,279.084
2023-05-01,281.665
2023-06-01,262.598
2023-07-01,246.042
2023-08-01,255.548
2023-09-01,256.872
2023-10-01,256.938
2023-11-01,259.482
