"Date","CUUR0300SA0"
2000-04-01,166.7
2000-05-01,166.7
2000-06-01,167.5
2000-07-01,168
2000-08-01,168
2000-09-01,168.5
2000-10-01,168.5
2000-11-01,168.6
2000-12-01,168.4
2001-01-01,169.3
2001-02-01,170.2
2001-03-01,170.6
2001-04-01,171.4
2001-05-01,171.7
2001-06-01,172.2
2001-07-01,171.6
2001-08-01,171.5
2001-09-01,172.2
2001-10-01,171.7
2001-11-01,171
2001-12-01,170.3
2002-01-01,170.6
2002-02-01,171
2002-03-01,172.1
2002-04-01,173.1
2002-05-01,173.2
2002-06-01,173.5
2002-07-01,173.6
2002-08-01,173.8
2002-09-01,174.2
2002-10-01,174.9
2002-11-01,174.9
2002-12-01,174.6
2003-01-01,175.1
2003-02-01,176.4
2003-03-01,177.5
2003-04-01,177.4
2003-05-01,176.8
2003-06-01,177.2
2003-07-01,177.3
2003-08-01,177.9
2003-09-01,178.3
2003-10-01,178.1
2003-11-01,177.5
2003-12-01,177.5
2004-01-01,178.2
2004-02-01,179.1
2004-03-01,180.1
2004-04-01,180.9
2004-05-01,182
2004-06-01,182.9
2004-07-01,182.6
2004-08-01,182.6
2004-09-01,182.8
2004-10-01,183.7
2004-11-01,183.7
2004-12-01,183.3
2005-01-01,183.6
2005-02-01,184.7
2005-03-01,185.9
2005-04-01,187.3
2005-05-01,187.3
2005-06-01,187.8
2005-07-01,188.5
2005-08-01,189.4
2005-09-01,192
2005-10-01,192.5
2005-11-01,190.7
2005-12-01,190.1
2006-01-01,191.5
2006-02-01,191.8
2006-03-01,192.8
2006-04-01,194.7
2006-05-01,195.5
2006-06-01,196.3
2006-07-01,197
2006-08-01,197.1
2006-09-01,195.8
2006-10-01,194.7
2006-11-01,194.3
2006-12-01,194.8
2007-01-01,195.021
2007-02-01,195.95
2007-03-01,197.904
2007-04-01,199.618
2007-05-01,200.804
2007-06-01,201.675
2007-07-01,201.571
2007-08-01,201.041
2007-09-01,201.697
2007-10-01,202.155
2007-11-01,203.437
2007-12-01,203.457
2008-01-01,204.51
2008-02-01,205.06
2008-03-01,206.676
2008-04-01,208.085
2008-05-01,210.006
2008-06-01,212.324
2008-07-01,213.304
2008-08-01,212.387
2008-09-01,212.65
2008-10-01,210.108
2008-11-01,205.559
2008-12-01,203.501
2009-01-01,204.288
2009-02-01,205.343
2009-03-01,206.001
2009-04-01,206.657
2009-05-01,207.265
2009-06-01,209.343
2009-07-01,208.819
2009-08-01,209
2009-09-01,208.912
2009-10-01,209.292
2009-11-01,209.738
2009-12-01,209.476
2010-01-01,210.056
2010-02-01,210.02
2010-03-01,211.216
2010-04-01,211.528
2010-05-01,211.423
2010-06-01,211.232
2010-07-01,210.988
2010-08-01,211.308
2010-09-01,211.775
2010-10-01,212.026
2010-11-01,211.996
2010-12-01,212.488
2011-01-01,213.589
2011-02-01,214.735
2011-03-01,217.214
2011-04-01,218.82
2011-05-01,219.82
2011-06-01,219.318
2011-07-01,219.682
2011-08-01,220.471
2011-09-01,220.371
2011-10-01,219.969
2011-11-01,219.961
2011-12-01,219.469
2012-01-01,220.497
2012-02-01,221.802
2012-03-01,223.314
2012-04-01,224.275
2012-05-01,223.356
2012-06-01,223.004
2012-07-01,222.667
2012-08-01,223.919
2012-09-01,225.052
2012-10-01,224.504
2012-11-01,223.404
2012-12-01,223.109
2013-01-01,223.933
2013-02-01,225.874
2013-03-01,226.628
2013-04-01,226.202
2013-05-01,226.289
2013-06-01,227.148
2013-07-01,227.548
2013-08-01,227.837
2013-09-01,227.876
2013-10-01,227.42
2013-11-01,226.811
2013-12-01,227.082
2014-01-01,227.673
2014-02-01,228.664
2014-03-01,230.095
2014-04-01,231.346
2014-05-01,231.762
2014-06-01,232.269
2014-07-01,232.013
2014-08-01,231.611
2014-09-01,231.762
2014-10-01,231.131
2014-11-01,229.845
2014-12-01,228.451
2015-01-01,226.855
2015-02-01,227.944
2015-03-01,229.337
2015-04-01,229.957
2015-05-01,230.886
2015-06-01,232.026
2015-07-01,231.719
2015-08-01,231.26
2015-09-01,230.913
2015-10-01,230.86
2015-11-01,230.422
2015-12-01,229.581
2016-01-01,229.469
2016-02-01,229.646
2016-03-01,230.977
2016-04-01,231.975
2016-05-01,232.906
2016-06-01,233.838
2016-07-01,233.292
2016-08-01,233.561
2016-09-01,234.069
2016-10-01,234.337
2016-11-01,234.029
2016-12-01,234.204
2017-01-01,235.492
2017-02-01,236.052
2017-03-01,236.154
2017-04-01,236.728
2017-05-01,236.774
2017-06-01,237.346
2017-07-01,236.942
2017-08-01,237.892
2017-09-01,239.649
2017-10-01,239.067
2017-11-01,238.861
2017-12-01,238.512
2018-01-01,239.772
2018-02-01,241.123
2018-03-01,241.595
2018-04-01,242.486
2018-05-01,243.279
2018-06-01,243.77
2018-07-01,243.776
2018-08-01,243.605
2018-09-01,243.64
2018-10-01,244.163
2018-11-01,243.484
2018-12-01,242.15
2019-01-01,242.547
2019-02-01,243.856
2019-03-01,245.554
2019-04-01,246.847
2019-05-01,246.667
2019-06-01,246.515
2019-07-01,247.25
2019-08-01,246.953
2019-09-01,246.891
2019-10-01,247.423
2019-11-01,247.385
2019-12-01,247.289
2020-01-01,248.005
2020-02-01,248.412
2020-03-01,248.136
2020-04-01,246.254
2020-05-01,245.696
2020-06-01,247.223
2020-07-01,248.619
2020-08-01,249.639
2020-09-01,250.193
2020-10-01,250.542
2020-11-01,250.255
2020-12-01,250.693
2021-01-01,252.067
2021-02-01,253.386
2021-03-01,255.319
2021-04-01,257.207
2021-05-01,259.343
2021-06-01,261.668
2021-07-01,263.013
2021-08-01,263.728
2021-09-01,264.593
2021-10-01,267.16
2021-11-01,268.36
2021-12-01,269.263
2022-01-01,271.634
2022-02-01,274.688
2022-03-01,278.598
2022-04-01,279.879
2022-05-01,283.307
2022-06-01,287.427
2022-07-01,287.608
2022-08-01,287.168
2022-09-01,287.656
2022-10-01,288.836
2022-11-01,288.991
2022-12-01,288.205
2023-01-01,290.438
2023-02-01,292.285
2023-03-01,293.358
2023-04-01,295.315
2023-05-01,295.889
2023-06-01,296.789
2023-07-01,297.279
2023-08-01,298.975
2023-09-01,299.657
2023-10-01,299.394
2023-11-01,298.93
