"Date","CWUR0000SEFV"
1982-11-01,97.4
1982-12-01,97.7
1983-01-01,98.3
1983-02-01,98.5
1983-03-01,98.9
1983-04-01,99.4
1983-05-01,99.6
1983-06-01,99.8
1983-07-01,100
1983-08-01,100.4
1983-09-01,100.7
1983-10-01,101.3
1983-11-01,101.5
1983-12-01,101.7
1984-01-01,102.2
1984-02-01,102.6
1984-03-01,103
1984-04-01,103.4
1984-05-01,103.9
1984-06-01,104.1
1984-07-01,104.5
1984-08-01,104.8
1984-09-01,104.9
1984-10-01,105.2
1984-11-01,105.5
1984-12-01,105.9
1985-01-01,106.1
1985-02-01,106.6
1985-03-01,107
1985-04-01,107.4
1985-05-01,107.8
1985-06-01,108.3
1985-07-01,108.4
1985-08-01,108.8
1985-09-01,109.2
1985-10-01,109.4
1985-11-01,109.7
1985-12-01,109.9
1986-01-01,110.2
1986-02-01,110.6
1986-03-01,111
1986-04-01,111.5
1986-05-01,112
1986-06-01,112.5
1986-07-01,112.7
1986-08-01,113
1986-09-01,113.4
1986-10-01,113.7
1986-11-01,114.2
1986-12-01,114.6
1987-01-01,115.2
1987-02-01,115.5
1987-03-01,115.8
1987-04-01,116
1987-05-01,116.2
1987-06-01,116.7
1987-07-01,117
1987-08-01,117.4
1987-09-01,117.9
1987-10-01,118.2
1987-11-01,118.5
1987-12-01,118.8
1988-01-01,119.1
1988-02-01,119.6
1988-03-01,120
1988-04-01,120.6
1988-05-01,120.9
1988-06-01,121.4
1988-07-01,122
1988-08-01,122.3
1988-09-01,122.8
1988-10-01,123.2
1988-11-01,123.5
1988-12-01,124
1989-01-01,124.6
1989-02-01,125.1
1989-03-01,125.5
1989-04-01,126.1
1989-05-01,126.5
1989-06-01,127
1989-07-01,127.6
1989-08-01,128
1989-09-01,128.6
1989-10-01,129
1989-11-01,129.4
1989-12-01,129.7
1990-01-01,130.2
1990-02-01,130.9
1990-03-01,131.7
1990-04-01,132.3
1990-05-01,132.8
1990-06-01,133.2
1990-07-01,133.7
1990-08-01,134.1
1990-09-01,134.5
1990-10-01,134.8
1990-11-01,135.2
1990-12-01,135.6
1991-01-01,135.7
1991-02-01,136.1
1991-03-01,136.4
1991-04-01,137
1991-05-01,137.3
1991-06-01,137.7
1991-07-01,138.2
1991-08-01,138.5
1991-09-01,138.7
1991-10-01,138.9
1991-11-01,139.2
1991-12-01,139.4
1992-01-01,139.5
1992-02-01,139.8
1992-03-01,139.9
1992-04-01,140.1
1992-05-01,140.3
1992-06-01,140.5
1992-07-01,140.7
1992-08-01,140.8
1992-09-01,141.1
1992-10-01,141.2
1992-11-01,141.4
1992-12-01,141.6
1993-01-01,141.8
1993-02-01,142.1
1993-03-01,142.2
1993-04-01,142.5
1993-05-01,142.8
1993-06-01,143.1
1993-07-01,143.3
1993-08-01,143.4
1993-09-01,143.6
1993-10-01,143.8
1993-11-01,144
1993-12-01,144.1
1994-01-01,144.3
1994-02-01,144.4
1994-03-01,144.6
1994-04-01,144.9
1994-05-01,145.2
1994-06-01,145.4
1994-07-01,145.5
1994-08-01,145.8
1994-09-01,146.1
1994-10-01,146.3
1994-11-01,146.7
1994-12-01,147
1995-01-01,147.3
1995-02-01,147.5
1995-03-01,147.9
1995-04-01,148.2
1995-05-01,148.5
1995-06-01,148.7
1995-07-01,149
1995-08-01,149.2
1995-09-01,149.5
1995-10-01,149.9
1995-11-01,150.1
1995-12-01,150.3
1996-01-01,150.6
1996-02-01,150.9
1996-03-01,151.1
1996-04-01,151.6
1996-05-01,152
1996-06-01,152.3
1996-07-01,152.7
1996-08-01,153.1
1996-09-01,153.4
1996-10-01,154.2
1996-11-01,154.7
1996-12-01,155
1997-01-01,155.4
1997-02-01,155.7
1997-03-01,156
1997-04-01,156.2
1997-05-01,156.2
1997-06-01,156.6
1997-07-01,157.1
1997-08-01,157.4
1997-09-01,157.8
1997-10-01,158.2
1997-11-01,158.6
1997-12-01,159
1998-01-01,159.3
1998-02-01,159.6
1998-03-01,159.9
1998-04-01,160.2
1998-05-01,160.6
1998-06-01,160.8
1998-07-01,161.1
1998-08-01,161.4
1998-09-01,162
1998-10-01,162.3
1998-11-01,162.6
1998-12-01,163
1999-01-01,163.5
1999-02-01,163.8
1999-03-01,164.1
1999-04-01,164.4
1999-05-01,164.5
1999-06-01,164.4
1999-07-01,164.9
1999-08-01,165.5
1999-09-01,165.8
1999-10-01,166.1
1999-11-01,166.5
1999-12-01,166.8
2000-01-01,167.1
2000-02-01,167.6
2000-03-01,167.9
2000-04-01,168.1
2000-05-01,168.3
2000-06-01,168.6
2000-07-01,169.1
2000-08-01,169.5
2000-09-01,170
2000-10-01,170.3
2000-11-01,170.5
2000-12-01,170.8
2001-01-01,171.4
2001-02-01,171.8
2001-03-01,172.3
2001-04-01,172.7
2001-05-01,173.1
2001-06-01,173.5
2001-07-01,174
2001-08-01,174.7
2001-09-01,175
2001-10-01,175.6
2001-11-01,175.8
2001-12-01,176
2002-01-01,176.4
2002-02-01,176.9
2002-03-01,177
2002-04-01,177.1
2002-05-01,177.5
2002-06-01,178
2002-07-01,178.4
2002-08-01,178.7
2002-09-01,179
2002-10-01,179.4
2002-11-01,179.7
2002-12-01,180
2003-01-01,179.8
2003-02-01,180.5
2003-03-01,181
2003-04-01,181
2003-05-01,181.4
2003-06-01,181.7
2003-07-01,182.1
2003-08-01,182.4
2003-09-01,182.7
2003-10-01,183.3
2003-11-01,183.7
2003-12-01,184.2
2004-01-01,184.8
2004-02-01,185.3
2004-03-01,185.6
2004-04-01,186.1
2004-05-01,186.6
2004-06-01,186.8
2004-07-01,187.6
2004-08-01,188.2
2004-09-01,188.8
2004-10-01,189.3
2004-11-01,189.5
2004-12-01,189.7
2005-01-01,190.6
2005-02-01,191.2
2005-03-01,191.6
2005-04-01,192
2005-05-01,192.4
2005-06-01,193
2005-07-01,193.4
2005-08-01,194
2005-09-01,194.4
2005-10-01,195.1
2005-11-01,195.5
2005-12-01,195.8
2006-01-01,196.4
2006-02-01,197
2006-03-01,197.4
2006-04-01,197.8
2006-05-01,198.4
2006-06-01,198.9
2006-07-01,199.4
2006-08-01,199.9
2006-09-01,200.2
2006-10-01,200.8
2006-11-01,201.4
2006-12-01,202
2007-01-01,202.905
2007-02-01,203.689
2007-03-01,203.838
2007-04-01,204.519
2007-05-01,205.046
2007-06-01,205.691
2007-07-01,206.657
2007-08-01,207.533
2007-09-01,208.578
2007-10-01,209.037
2007-11-01,209.518
2007-12-01,209.931
2008-01-01,210.776
2008-02-01,211.517
2008-03-01,212.193
2008-04-01,212.794
2008-05-01,213.723
2008-06-01,214.851
2008-07-01,216.177
2008-08-01,217.002
2008-09-01,218.147
2008-10-01,219.219
2008-11-01,220.107
2008-12-01,220.847
2009-01-01,221.497
2009-02-01,222.101
2009-03-01,222.336
2009-04-01,222.957
2009-05-01,223.082
2009-06-01,223.186
2009-07-01,223.408
2009-08-01,223.789
2009-09-01,224.102
2009-10-01,224.382
2009-11-01,224.815
2009-12-01,224.94
2010-01-01,225.015
2010-02-01,225.168
2010-03-01,225.072
2010-04-01,225.395
2010-05-01,225.657
2010-06-01,225.846
2010-07-01,225.707
2010-08-01,226.481
2010-09-01,227.188
2010-10-01,227.412
2010-11-01,227.634
2010-12-01,227.871
2011-01-01,228.279
2011-02-01,228.596
2011-03-01,229.293
2011-04-01,230.174
2011-05-01,230.521
2011-06-01,231.112
2011-07-01,231.603
2011-08-01,232.682
2011-09-01,233.257
2011-10-01,233.622
2011-11-01,234.24
2011-12-01,234.666
2012-01-01,235.423
2012-02-01,235.782
2012-03-01,236.262
2012-04-01,236.917
2012-05-01,237.485
2012-06-01,238.105
2012-07-01,238.62
2012-08-01,239.299
2012-09-01,239.771
2012-10-01,239.927
2012-11-01,240.216
2012-12-01,240.46
2013-01-01,240.802
2013-02-01,240.961
2013-03-01,241.44
2013-04-01,242.247
2013-05-01,242.706
2013-06-01,243.082
2013-07-01,243.508
2013-08-01,243.927
2013-09-01,244.075
2013-10-01,244.406
2013-11-01,245.036
2013-12-01,245.364
2014-01-01,245.491
2014-02-01,246.139
2014-03-01,246.896
2014-04-01,247.586
2014-05-01,247.982
2014-06-01,248.464
2014-07-01,249.14
2014-08-01,249.784
2014-09-01,250.59
2014-10-01,251.115
2014-11-01,252.058
2014-12-01,252.709
2015-01-01,253.158
2015-02-01,253.86
2015-03-01,254.268
2015-04-01,254.868
2015-05-01,255.467
2015-06-01,255.848
2015-07-01,255.596
2015-08-01,256.209
2015-09-01,258.009
2015-10-01,258.564
2015-11-01,259.041
2015-12-01,259.283
2016-01-01,260.226
2016-02-01,260.647
2016-03-01,261.158
2016-04-01,261.841
2016-05-01,262.339
2016-06-01,262.742
2016-07-01,263.238
2016-08-01,263.844
2016-09-01,264.265
2016-10-01,264.649
2016-11-01,264.779
2016-12-01,265.188
2017-01-01,266.23
2017-02-01,266.74
2017-03-01,267.172
2017-04-01,267.842
2017-05-01,268.331
2017-06-01,268.45
2017-07-01,269.015
2017-08-01,269.816
2017-09-01,270.556
2017-10-01,270.84
2017-11-01,271.353
2017-12-01,272.032
2018-01-01,273.043
2018-02-01,273.699
2018-03-01,274.008
2018-04-01,274.587
2018-05-01,275.503
2018-06-01,276.049
2018-07-01,276.383
2018-08-01,276.858
2018-09-01,277.519
2018-10-01,277.712
2018-11-01,278.498
2018-12-01,279.657
2019-01-01,280.67
2019-02-01,281.678
2019-03-01,282.203
2019-04-01,283.076
2019-05-01,283.697
2019-06-01,284.511
2019-07-01,285.111
2019-08-01,285.695
2019-09-01,286.418
2019-10-01,286.886
2019-11-01,287.298
2019-12-01,288.119
2020-01-01,289.225
2020-02-01,289.821
2020-03-01,290.319
2020-04-01,291.016
2020-05-01,292.145
2020-06-01,293.538
2020-07-01,295.048
2020-08-01,295.939
2020-09-01,297.752
2020-10-01,298.506
2020-11-01,298.816
2020-12-01,299.95
2021-01-01,301.047
2021-02-01,301.249
2021-03-01,301.588
2021-04-01,302.49
2021-05-01,304.232
2021-06-01,306.366
2021-07-01,308.826
2021-08-01,310.181
2021-09-01,311.715
2021-10-01,314.268
2021-11-01,316.273
2021-12-01,317.949
2022-01-01,320.152
2022-02-01,321.413
2022-03-01,322.121
2022-04-01,323.824
2022-05-01,326.36
2022-06-01,329.208
2022-07-01,331.55
2022-08-01,334.487
2022-09-01,337.558
2022-10-01,340.688
2022-11-01,342.456
2022-12-01,343.82
2023-01-01,345.976
2023-02-01,348.06
2023-03-01,350.282
2023-04-01,351.8
2023-05-01,353.616
2023-06-01,354.925
2023-07-01,355.618
2023-08-01,356.805
2023-09-01,358.222
2023-10-01,359.593
2023-11-01,361.224
