"Date","CUURX200SA0L2"
2017-12-01,145.845
2018-01-01,147.159
2018-02-01,147.447
2018-03-01,147.635
2018-04-01,148.333
2018-05-01,149.072
2018-06-01,149.247
2018-07-01,148.995
2018-08-01,148.902
2018-09-01,149.001
2018-10-01,148.839
2018-11-01,147.609
2018-12-01,146.672
2019-01-01,146.9
2019-02-01,148.077
2019-03-01,148.928
2019-04-01,149.786
2019-05-01,149.8
2019-06-01,149.722
2019-07-01,149.812
2019-08-01,149.978
2019-09-01,149.722
2019-10-01,149.87
2019-11-01,149.633
2019-12-01,149.298
2020-01-01,149.849
2020-02-01,150.341
2020-03-01,149.279
2020-04-01,147.292
2020-05-01,147.494
2020-06-01,149.014
2020-07-01,150.481
2020-08-01,151.081
2020-09-01,151.112
2020-10-01,150.933
2020-11-01,150.73
2020-12-01,150.785
2021-01-01,151.911
2021-02-01,153.353
2021-03-01,154.665
2021-04-01,156.174
2021-05-01,158.146
2021-06-01,160.124
2021-07-01,161.367
2021-08-01,161.637
2021-09-01,161.849
2021-10-01,163.449
2021-11-01,164.349
2021-12-01,164.792
2022-01-01,166.688
2022-02-01,168.509
2022-03-01,170.856
2022-04-01,171.681
2022-05-01,174.793
2022-06-01,178.178
2022-07-01,177.332
2022-08-01,176.156
2022-09-01,176.563
2022-10-01,176.604
2022-11-01,176.17
2022-12-01,174.602
2023-01-01,176.261
2023-02-01,177.013
2023-03-01,177.752
2023-04-01,178.721
2023-05-01,178.64
2023-06-01,178.976
2023-07-01,178.862
2023-08-01,179.971
2023-09-01,179.595
2023-10-01,178.88
2023-11-01,178.312
