"Date","APUS49B7471A"
1987-12-01,0.974
1988-01-01,0.975
1988-02-01,0.969
1988-03-01,0.99
1988-04-01,1.001
1988-05-01,1.016
1988-06-01,1.028
1988-07-01,1.034
1988-08-01,1.032
1988-09-01,1.043
1988-10-01,1.03
1988-11-01,0.992
1988-12-01,0.967
1989-01-01,0.943
1989-02-01,0.95
1989-03-01,0.989
1989-04-01,1.153
1989-05-01,1.202
1989-06-01,1.201
1989-07-01,1.177
1989-08-01,1.155
1989-09-01,1.082
1989-10-01,1.064
1989-11-01,1.044
1989-12-01,1.028
1990-01-01,1.053
1990-02-01,1.07
1990-03-01,1.091
1990-04-01,1.115
1990-05-01,1.161
1990-06-01,1.193
1990-07-01,1.211
1990-08-01,1.295
1990-09-01,1.352
1990-10-01,1.417
1990-11-01,1.449
1990-12-01,1.47
1991-01-01,1.368
1991-02-01,1.245
1991-03-01,1.155
1991-04-01,1.097
1991-05-01,1.171
1991-06-01,1.212
1991-07-01,1.179
1991-08-01,1.181
1991-09-01,1.213
1991-10-01,1.193
1991-11-01,1.187
1991-12-01,1.191
1992-01-01,1.205
1992-02-01,1.214
1992-03-01,1.209
1992-04-01,1.216
1992-05-01,1.292
1992-06-01,1.347
1992-07-01,1.375
1992-08-01,1.379
1992-09-01,1.371
1992-10-01,1.368
1992-11-01,1.397
1992-12-01,1.349
1993-01-01,1.352
1993-02-01,1.345
1993-03-01,1.34
1993-04-01,1.319
1993-05-01,1.307
1993-06-01,1.297
1993-07-01,1.281
1993-08-01,1.27
1993-09-01,1.268
1993-10-01,1.316
1993-11-01,1.278
1993-12-01,1.234
1994-01-01,1.21
1994-02-01,1.208
1994-03-01,1.218
1994-04-01,1.234
1994-05-01,1.243
1994-06-01,1.257
1994-07-01,1.294
1994-08-01,1.319
1994-09-01,1.323
1994-10-01,1.343
1994-11-01,1.341
1994-12-01,1.303
1995-01-01,1.283
1995-02-01,1.279
1995-03-01,1.264
1995-04-01,1.267
1995-05-01,1.297
1995-06-01,1.324
1995-07-01,1.31
1995-08-01,1.29
1995-09-01,1.274
1995-10-01,1.284
1995-11-01,1.279
1995-12-01,1.269
1996-01-01,1.281
1996-02-01,1.288
1996-03-01,1.334
1996-04-01,1.475
1996-05-01,1.616
1996-06-01,1.592
1996-07-01,1.568
1996-08-01,1.527
1996-09-01,1.468
1996-10-01,1.413
1996-11-01,1.331
1996-12-01,1.288
1997-01-01,1.357
1997-02-01,1.421
1997-03-01,1.439
1997-04-01,1.513
1997-05-01,1.486
1997-06-01,1.445
1997-07-01,1.397
1997-08-01,1.427
1997-09-01,1.501
1997-10-01,1.499
1997-11-01,1.466
1997-12-01,1.435
1998-01-01,1.416
1998-02-01,1.362
1998-03-01,1.292
1998-04-01,1.282
1998-05-01,1.363
1998-06-01,1.347
1998-07-01,1.328
1998-08-01,1.302
1998-09-01,1.274
1998-10-01,1.249
1998-11-01,1.226
1998-12-01,1.226
1999-01-01,1.207
1999-02-01,1.194
1999-03-01,1.279
1999-04-01,1.742
1999-05-01,1.633
1999-06-01,1.523
1999-07-01,1.606
1999-08-01,1.724
1999-09-01,1.638
1999-10-01,1.565
1999-11-01,1.497
1999-12-01,1.513
2000-01-01,1.498
2000-02-01,1.557
2000-03-01,1.877
2000-04-01,1.903
2000-05-01,1.809
2000-06-01,1.793
2000-07-01,1.901
2000-08-01,1.859
2000-09-01,2.003
2000-10-01,1.96
2000-11-01,1.939
2000-12-01,1.858
2001-01-01,1.76
2001-02-01,1.758
2001-03-01,1.83
2001-04-01,1.943
2001-05-01,2.035
2001-06-01,2.006
2001-07-01,1.883
2001-08-01,1.709
2001-09-01,1.856
2001-10-01,1.758
2001-11-01,1.638
2001-12-01,1.419
2002-01-01,1.325
2002-02-01,1.313
2002-03-01,1.492
2002-04-01,1.679
2002-05-01,1.638
2002-06-01,1.667
2002-07-01,1.698
2002-08-01,1.68
2002-09-01,1.662
2002-10-01,1.632
2002-11-01,1.703
2002-12-01,1.667
2003-01-01,1.744
2003-02-01,1.95
2003-03-01,2.186
2003-04-01,2.149
2003-05-01,1.952
2003-06-01,1.875
2003-07-01,1.907
2003-08-01,1.968
2003-09-01,2.139
2003-10-01,1.897
2003-11-01,1.75
2003-12-01,1.667
2004-01-01,1.704
2004-02-01,1.886
2004-03-01,2.153
2004-04-01,2.171
2004-05-01,2.281
2004-06-01,2.339
2004-07-01,2.237
2004-08-01,2.13
2004-09-01,2.128
2004-10-01,2.371
2004-11-01,2.376
2004-12-01,2.173
2005-01-01,1.966
2005-02-01,2.068
2005-03-01,2.313
2005-04-01,2.649
2005-05-01,2.593
2005-06-01,2.436
2005-07-01,2.599
2005-08-01,2.741
2005-09-01,3.012
2005-10-01,2.956
2005-11-01,2.597
2005-12-01,2.244
2006-01-01,2.36
2006-02-01,2.514
2006-03-01,2.572
2006-04-01,2.933
2006-05-01,3.327
2006-06-01,3.224
2006-07-01,3.209
2006-08-01,3.148
2006-09-01,2.843
2006-10-01,2.544
2006-11-01,2.478
2006-12-01,2.578
2007-01-01,2.661
2007-02-01,2.771
2007-03-01,3.137
2007-04-01,3.352
2007-05-01,3.471
2007-06-01,3.304
2007-07-01,3.183
2007-08-01,2.987
2007-09-01,2.937
2007-10-01,3.101
2007-11-01,3.413
2007-12-01,3.374
2008-01-01,3.297
2008-02-01,3.261
2008-03-01,3.606
2008-04-01,3.812
2008-05-01,4.011
2008-06-01,4.501
2008-07-01,4.486
2008-08-01,4.132
2008-09-01,3.871
2008-10-01,3.514
2008-11-01,2.442
2008-12-01,1.868
2009-01-01,2.027
2009-02-01,2.223
2009-03-01,2.178
2009-04-01,2.311
2009-05-01,2.52
2009-06-01,2.941
2009-07-01,2.91
2009-08-01,3.015
2009-09-01,3.132
2009-10-01,3.067
2009-11-01,3.002
2009-12-01,2.921
2010-01-01,3.033
2010-02-01,2.947
2010-03-01,3.069
2010-04-01,3.108
2010-05-01,3.117
2010-06-01,3.1
2010-07-01,3.168
2010-08-01,3.178
2010-09-01,3.049
2010-10-01,3.117
2010-11-01,3.19
2010-12-01,3.248
2011-01-01,3.358
2011-02-01,3.486
2011-03-01,3.926
2011-04-01,4.188
2011-05-01,4.198
2011-06-01,3.934
2011-07-01,3.842
2011-08-01,3.799
2011-09-01,3.942
2011-10-01,3.877
2011-11-01,3.811
2011-12-01,3.611
2012-01-01,3.736
2012-02-01,4.04
2012-03-01,4.375
2012-04-01,4.23
2012-05-01,4.331
2012-06-01,4.012
2012-07-01,3.804
2012-08-01,4.136
2012-09-01,4.201
2012-10-01,4.476
2012-11-01,3.832
2012-12-01,3.563
2013-01-01,3.646
2013-02-01,4.077
2013-03-01,4.121
2013-04-01,3.997
2013-05-01,4.073
2013-06-01,4.037
2013-07-01,4.011
2013-08-01,3.876
2013-09-01,3.987
2013-10-01,3.774
2013-11-01,3.625
2013-12-01,3.597
2014-01-01,3.636
2014-02-01,3.716
2014-03-01,3.951
2014-04-01,4.162
2014-05-01,4.193
2014-06-01,4.155
2014-07-01,4.101
2014-08-01,3.953
2014-09-01,3.815
2014-10-01,3.565
2014-11-01,3.217
2014-12-01,2.874
2015-01-01,2.577
2015-02-01,2.782
2015-03-01,3.334
2015-04-01,3.2
2015-05-01,3.692
2015-06-01,3.465
2015-07-01,3.523
2015-08-01,3.389
2015-09-01,3.065
2015-10-01,2.856
2015-11-01,2.769
2015-12-01,2.688
2016-01-01,2.668
2016-02-01,2.44
2016-03-01,2.618
2016-04-01,2.769
2016-05-01,2.856
2016-06-01,2.914
2016-07-01,2.867
2016-08-01,2.705
2016-09-01,2.796
2016-10-01,2.831
2016-11-01,2.75
2016-12-01,2.737
2017-01-01,2.848
2017-02-01,2.906
2017-03-01,3.057
2017-04-01,3.066
2017-05-01,3.143
2017-06-01,3.107
2017-07-01,2.991
2017-08-01,3.023
2017-09-01,3.19
2017-10-01,3.111
2017-11-01,3.23
2017-12-01,3.164
2018-01-01,3.302
2018-02-01,3.428
2018-03-01,3.494
2018-04-01,3.624
2018-05-01,3.796
2018-06-01,3.803
2018-07-01,3.79
2018-08-01,3.764
2018-09-01,3.766
2018-10-01,3.911
2018-11-01,3.829
2018-12-01,3.674
2019-01-01,3.543
2019-02-01,3.478
2019-03-01,3.598
2019-04-01,3.997
2019-05-01,4.054
2019-06-01,3.825
2019-07-01,3.712
2019-08-01,3.599
2019-09-01,3.659
2019-10-01,4.101
2019-11-01,3.914
2019-12-01,3.568
2020-01-01,3.473
2020-02-01,3.43
2020-03-01,3.213
2020-04-01,2.864
2020-05-01,2.835
2020-06-01,3.003
2020-07-01,3.126
2020-08-01,3.23
2020-09-01,3.261
2020-10-01,3.228
2020-11-01,3.222
2020-12-01,3.238
2021-01-01,3.356
2021-02-01,3.458
2021-03-01,3.79
2021-04-01,3.943
2021-05-01,4.117
2021-06-01,4.396
2021-07-01,4.472
2021-08-01,4.572
2021-09-01,4.559
2021-10-01,4.674
2021-11-01,4.864
2021-12-01,4.844
2022-01-01,4.809
2022-02-01,4.853
2022-03-01,5.773
2022-04-01,5.843
2022-05-01,6.149
2022-06-01,6.556
2022-07-01,6.056
2022-08-01,5.525
2022-09-01,5.671
2022-10-01,6.165
2022-11-01,5.41
2022-12-01,4.595
2023-01-01,4.569
2023-02-01,4.801
2023-03-01,4.992
2023-04-01,5
2023-05-01,4.926
2023-06-01,4.932
2023-07-01,4.956
2023-08-01,5.226
2023-09-01,5.616
2023-10-01,5.664
2023-11-01,5.165
