"Date","CUSR0000SAD"
1983-12-01,103
1984-01-01,103
1984-02-01,102.9
1984-03-01,103.5
1984-04-01,104.4
1984-05-01,105.2
1984-06-01,105.5
1984-07-01,105.7
1984-08-01,106
1984-09-01,106.4
1984-10-01,106.3
1984-11-01,106.2
1984-12-01,106.1
1985-01-01,106.1
1985-02-01,106.8
1985-03-01,107.2
1985-04-01,107.5
1985-05-01,107.1
1985-06-01,106.7
1985-07-01,106.4
1985-08-01,106.5
1985-09-01,106.6
1985-10-01,106.8
1985-11-01,106.7
1985-12-01,106.7
1986-01-01,106.7
1986-02-01,106.3
1986-03-01,106.3
1986-04-01,106.2
1986-05-01,106.3
1986-06-01,106.6
1986-07-01,106.5
1986-08-01,106.7
1986-09-01,106.9
1986-10-01,106.8
1986-11-01,106.8
1986-12-01,106.8
1987-01-01,106.9
1987-02-01,106.7
1987-03-01,107.1
1987-04-01,107.7
1987-05-01,107.9
1987-06-01,108.2
1987-07-01,108.6
1987-08-01,108.9
1987-09-01,108.9
1987-10-01,109
1987-11-01,109.3
1987-12-01,109.1
1988-01-01,108.9
1988-02-01,109.1
1988-03-01,109.5
1988-04-01,109.7
1988-05-01,109.9
1988-06-01,110.2
1988-07-01,110.5
1988-08-01,110.8
1988-09-01,111.2
1988-10-01,111.3
1988-11-01,111.5
1988-12-01,111.9
1989-01-01,112
1989-02-01,112.2
1989-03-01,111.9
1989-04-01,111.9
1989-05-01,111.9
1989-06-01,112.1
1989-07-01,112
1989-08-01,111.9
1989-09-01,111.9
1989-10-01,112.3
1989-11-01,112.7
1989-12-01,113.1
1990-01-01,113.3
1990-02-01,113.4
1990-03-01,113.3
1990-04-01,113.2
1990-05-01,113.2
1990-06-01,113
1990-07-01,113.2
1990-08-01,113.4
1990-09-01,113.4
1990-10-01,113.8
1990-11-01,113.8
1990-12-01,114.1
1991-01-01,114.5
1991-02-01,115.1
1991-03-01,115.3
1991-04-01,115.5
1991-05-01,115.9
1991-06-01,116.1
1991-07-01,116.5
1991-08-01,116.4
1991-09-01,116.5
1991-10-01,116.5
1991-11-01,116.7
1991-12-01,116.8
1992-01-01,117.1
1992-02-01,117.3
1992-03-01,117.8
1992-04-01,118.1
1992-05-01,118.3
1992-06-01,118.5
1992-07-01,118.7
1992-08-01,118.9
1992-09-01,119.1
1992-10-01,119.4
1992-11-01,119.8
1992-12-01,119.8
1993-01-01,119.8
1993-02-01,119.8
1993-03-01,120.1
1993-04-01,120.4
1993-05-01,120.7
1993-06-01,121
1993-07-01,121.2
1993-08-01,121.7
1993-09-01,122.1
1993-10-01,122.5
1993-11-01,122.9
1993-12-01,123
1994-01-01,123.2
1994-02-01,123.1
1994-03-01,123.3
1994-04-01,123.5
1994-05-01,124.3
1994-06-01,124.8
1994-07-01,125.3
1994-08-01,125.5
1994-09-01,125.7
1994-10-01,125.9
1994-11-01,126.3
1994-12-01,126.6
1995-01-01,126.9
1995-02-01,127.4
1995-03-01,127.6
1995-04-01,127.9
1995-05-01,128
1995-06-01,128
1995-07-01,128
1995-08-01,128.2
1995-09-01,128.3
1995-10-01,128.4
1995-11-01,128.6
1995-12-01,128.7
1996-01-01,129
1996-02-01,129.1
1996-03-01,129.3
1996-04-01,129.2
1996-05-01,129.2
1996-06-01,129.3
1996-07-01,129.3
1996-08-01,129.5
1996-09-01,129.7
1996-10-01,129.6
1996-11-01,129.5
1996-12-01,129.6
1997-01-01,129.4
1997-02-01,129.5
1997-03-01,129.6
1997-04-01,129.3
1997-05-01,129.3
1997-06-01,129
1997-07-01,128.6
1997-08-01,128.3
1997-09-01,128.1
1997-10-01,128.1
1997-11-01,127.8
1997-12-01,127.7
1998-01-01,127.8
1998-02-01,127.9
1998-03-01,127.7
1998-04-01,127.8
1998-05-01,127.5
1998-06-01,127.5
1998-07-01,127.8
1998-08-01,127.8
1998-09-01,127.3
1998-10-01,127.1
1998-11-01,127.2
1998-12-01,127
1999-01-01,126.7
1999-02-01,126.2
1999-03-01,125.9
1999-04-01,125.9
1999-05-01,125.7
1999-06-01,125.8
1999-07-01,125.9
1999-08-01,126
1999-09-01,126.1
1999-10-01,126.1
1999-11-01,125.8
1999-12-01,125.5
2000-01-01,125.3
2000-02-01,125.1
2000-03-01,125.5
2000-04-01,125.4
2000-05-01,125.8
2000-06-01,125.5
2000-07-01,125.4
2000-08-01,125.3
2000-09-01,125.3
2000-10-01,125.2
2000-11-01,125.3
2000-12-01,125.5
2001-01-01,125.5
2001-02-01,125.7
2001-03-01,125.4
2001-04-01,125.2
2001-05-01,124.8
2001-06-01,124.6
2001-07-01,124.4
2001-08-01,124.2
2001-09-01,123.9
2001-10-01,123.9
2001-11-01,124
2001-12-01,124
2002-01-01,123.2
2002-02-01,122.3
2002-03-01,121.9
2002-04-01,121.7
2002-05-01,121.6
2002-06-01,121.4
2002-07-01,121.3
2002-08-01,121.3
2002-09-01,121.1
2002-10-01,120.9
2002-11-01,120.4
2002-12-01,120
2003-01-01,119.5
2003-02-01,119.3
2003-03-01,119.3
2003-04-01,119
2003-05-01,118.4
2003-06-01,118
2003-07-01,117.6
2003-08-01,117.2
2003-09-01,116.2
2003-10-01,115.5
2003-11-01,115.1
2003-12-01,114.9
2004-01-01,114.8
2004-02-01,114.9
2004-03-01,114.8
2004-04-01,114.7
2004-05-01,114.7
2004-06-01,114.5
2004-07-01,114.3
2004-08-01,114
2004-09-01,114.6
2004-10-01,115
2004-11-01,115.4
2004-12-01,115.5
2005-01-01,115.7
2005-02-01,115.6
2005-03-01,115.4
2005-04-01,115.3
2005-05-01,115.5
2005-06-01,115.4
2005-07-01,115
2005-08-01,114.7
2005-09-01,115.1
2005-10-01,115.1
2005-11-01,115
2005-12-01,115
2006-01-01,115
2006-02-01,114.9
2006-03-01,114.8
2006-04-01,114.9
2006-05-01,114.8
2006-06-01,114.6
2006-07-01,114.7
2006-08-01,114.5
2006-09-01,114.3
2006-10-01,114
2006-11-01,113.6
2006-12-01,113.4
2007-01-01,113.079
2007-02-01,112.972
2007-03-01,112.936
2007-04-01,112.805
2007-05-01,112.534
2007-06-01,112.365
2007-07-01,112.092
2007-08-01,112.117
2007-09-01,112.116
2007-10-01,112.086
2007-11-01,112.246
2007-12-01,112.244
2008-01-01,112.229
2008-02-01,111.975
2008-03-01,111.885
2008-04-01,111.553
2008-05-01,111.275
2008-06-01,111.098
2008-07-01,111.007
2008-08-01,110.72
2008-09-01,110.342
2008-10-01,109.877
2008-11-01,109.41
2008-12-01,109.069
2009-01-01,109.025
2009-02-01,109.221
2009-03-01,109.264
2009-04-01,109.404
2009-05-01,109.65
2009-06-01,109.983
2009-07-01,109.924
2009-08-01,109.129
2009-09-01,109.387
2009-10-01,110.684
2009-11-01,111.159
2009-12-01,111.477
2010-01-01,111.934
2010-02-01,111.811
2010-03-01,111.683
2010-04-01,111.397
2010-05-01,111.206
2010-06-01,110.989
2010-07-01,111.085
2010-08-01,111.239
2010-09-01,111.283
2010-10-01,111.201
2010-11-01,111.005
2010-12-01,111.034
2011-01-01,111.106
2011-02-01,111.401
2011-03-01,111.753
2011-04-01,112.122
2011-05-01,112.552
2011-06-01,112.922
2011-07-01,113.204
2011-08-01,113.306
2011-09-01,113.22
2011-10-01,113.091
2011-11-01,113.027
2011-12-01,112.984
2012-01-01,112.944
2012-02-01,112.996
2012-03-01,112.952
2012-04-01,113.04
2012-05-01,113.091
2012-06-01,113.041
2012-07-01,113.131
2012-08-01,112.806
2012-09-01,112.421
2012-10-01,112.327
2012-11-01,112.399
2012-12-01,112.389
2013-01-01,112.497
2013-02-01,112.379
2013-03-01,112.209
2013-04-01,112.014
2013-05-01,111.879
2013-06-01,111.782
2013-07-01,111.688
2013-08-01,111.621
2013-09-01,111.712
2013-10-01,111.722
2013-11-01,111.677
2013-12-01,111.625
2014-01-01,111.301
2014-02-01,111.053
2014-03-01,110.775
2014-04-01,110.607
2014-05-01,110.398
2014-06-01,110.199
2014-07-01,110.218
2014-08-01,110.202
2014-09-01,110.135
2014-10-01,110.252
2014-11-01,109.796
2014-12-01,109.446
2015-01-01,108.977
2015-02-01,109.185
2015-03-01,109.316
2015-04-01,109.477
2015-05-01,109.465
2015-06-01,109.425
2015-07-01,109.242
2015-08-01,109.057
2015-09-01,109.148
2015-10-01,108.995
2015-11-01,108.765
2015-12-01,108.539
2016-01-01,108.232
2016-02-01,108.26
2016-03-01,108.137
2016-04-01,107.939
2016-05-01,107.693
2016-06-01,107.29
2016-07-01,107.099
2016-08-01,106.915
2016-09-01,106.752
2016-10-01,106.578
2016-11-01,106.337
2016-12-01,106.207
2017-01-01,106.536
2017-02-01,106.45
2017-03-01,106.073
2017-04-01,105.91
2017-05-01,105.692
2017-06-01,105.275
2017-07-01,104.749
2017-08-01,104.561
2017-09-01,104.557
2017-10-01,104.278
2017-11-01,104.423
2017-12-01,104.798
2018-01-01,104.71
2018-02-01,104.694
2018-03-01,104.957
2018-04-01,104.611
2018-05-01,104.197
2018-06-01,104.002
2018-07-01,104.296
2018-08-01,104.203
2018-09-01,103.864
2018-10-01,104.157
2018-11-01,104.55
2018-12-01,104.717
2019-01-01,105.076
2019-02-01,105.125
2019-03-01,105.385
2019-04-01,104.984
2019-05-01,104.513
2019-06-01,104.483
2019-07-01,104.751
2019-08-01,104.81
2019-09-01,104.749
2019-10-01,104.665
2019-11-01,104.512
2019-12-01,104.218
2020-01-01,104.16
2020-02-01,104.532
2020-03-01,104.782
2020-04-01,104.234
2020-05-01,104.023
2020-06-01,103.472
2020-07-01,104.574
2020-08-01,106.387
2020-09-01,107.853
2020-10-01,108.213
2020-11-01,108.209
2020-12-01,108.192
2021-01-01,107.793
2021-02-01,108.038
2021-03-01,108.754
2021-04-01,111.962
2021-05-01,114.792
2021-06-01,118.572
2021-07-01,119.473
2021-08-01,119.947
2021-09-01,120.535
2021-10-01,122.516
2021-11-01,124.323
2021-12-01,126.295
2022-01-01,127.677
2022-02-01,128.31
2022-03-01,127.739
2022-04-01,127.69
2022-05-01,127.884
2022-06-01,128.482
2022-07-01,128.906
2022-08-01,129.294
2022-09-01,129.139
2022-10-01,128.312
2022-11-01,127.228
2022-12-01,126.148
2023-01-01,126.077
2023-02-01,126.021
2023-03-01,126.492
2023-04-01,127.473
2023-05-01,127.821
2023-06-01,127.418
2023-07-01,127.093
2023-08-01,126.743
2023-09-01,126.29
2023-10-01,125.66
2023-11-01,125.192
