"Date","CUURA101SAG"
2010-02-01,370.611
2010-03-01,370.887
2010-04-01,370.855
2010-05-01,370.987
2010-06-01,371.95
2010-07-01,379.761
2010-08-01,380.74
2010-09-01,381.658
2010-10-01,380.24
2010-11-01,381.385
2010-12-01,381.315
2011-01-01,379.799
2011-02-01,380.199
2011-03-01,380.788
2011-04-01,381.455
2011-05-01,381.133
2011-06-01,382.191
2011-07-01,382.953
2011-08-01,383.657
2011-09-01,384.235
2011-10-01,385.998
2011-11-01,387.114
2011-12-01,387.276
2012-01-01,387.179
2012-02-01,388.643
2012-03-01,391.09
2012-04-01,391.012
2012-05-01,390.507
2012-06-01,390.343
2012-07-01,391.136
2012-08-01,391.735
2012-09-01,391.219
2012-10-01,394.396
2012-11-01,392.824
2012-12-01,393.652
2013-01-01,393.129
2013-02-01,393.712
2013-03-01,393.79
2013-04-01,394.581
2013-05-01,394.279
2013-06-01,392.649
2013-07-01,393.961
2013-08-01,395.702
2013-09-01,395.923
2013-10-01,398.32
2013-11-01,396.02
2013-12-01,395.774
2014-01-01,398.742
2014-02-01,397.908
2014-03-01,399.643
2014-04-01,399.788
2014-05-01,398.955
2014-06-01,398.378
2014-07-01,399.93
2014-08-01,397.254
2014-09-01,400.345
2014-10-01,400.706
2014-11-01,398.221
2014-12-01,398.052
2015-01-01,402.181
2015-02-01,399.661
2015-03-01,400.869
2015-04-01,400.334
2015-05-01,403.847
2015-06-01,404.141
2015-07-01,404.439
2015-08-01,404.239
2015-09-01,405.528
2015-10-01,406.409
2015-11-01,408.579
2015-12-01,407.622
2016-01-01,409.048
2016-02-01,411.739
2016-03-01,413.772
2016-04-01,413.099
2016-05-01,414.242
2016-06-01,414.894
2016-07-01,416.559
2016-08-01,414.67
2016-09-01,415.612
2016-10-01,416.035
2016-11-01,415.073
2016-12-01,414.381
2017-01-01,416.991
2017-02-01,417.807
2017-03-01,418.84
2017-04-01,416.715
2017-05-01,417.646
2017-06-01,421.643
2017-07-01,423.644
2017-08-01,420.29
2017-09-01,422.606
2017-10-01,424.127
2017-11-01,422.113
2017-12-01,420.409
2018-01-01,422.261
2018-02-01,427.33
2018-03-01,426.646
2018-04-01,427.507
2018-05-01,427.744
2018-06-01,433.209
2018-07-01,432.066
2018-08-01,431.587
2018-09-01,432.152
2018-10-01,430.881
2018-11-01,430.765
2018-12-01,432.511
2019-01-01,432.522
2019-02-01,435.245
2019-03-01,434.964
2019-04-01,433.891
2019-05-01,435.631
2019-06-01,436.126
2019-07-01,440.573
2019-08-01,439.987
2019-09-01,439.158
2019-10-01,441.435
2019-11-01,438.292
2019-12-01,439.804
2020-01-01,440.288
2020-02-01,441.273
2020-03-01,440.648
2020-04-01,442.267
2020-05-01,440.712
2020-06-01,439.746
2020-07-01,445.023
2020-08-01,444.398
2020-09-01,448.398
2020-10-01,445.601
2020-11-01,433.731
2020-12-01,448.673
2021-01-01,437.829
2021-02-01,435.976
2021-03-01,449.941
2021-04-01,449.59
2021-05-01,449.505
2021-06-01,451.073
2021-07-01,454.453
2021-08-01,455.216
2021-09-01,462.392
2021-10-01,466.697
2021-11-01,459.329
2021-12-01,460.486
2022-01-01,456.46
2022-02-01,468.478
2022-03-01,473.131
2022-04-01,472.35
2022-05-01,468.287
2022-06-01,474.322
2022-07-01,474.676
2022-08-01,470.212
2022-09-01,476.643
2022-10-01,484.434
2022-11-01,478.053
2022-12-01,473.827
2023-01-01,479.859
2023-02-01,483.139
2023-03-01,489.701
2023-04-01,484.982
2023-05-01,487.352
2023-06-01,486.457
2023-07-01,487.686
2023-08-01,483.346
2023-09-01,488.067
2023-10-01,494.191
2023-11-01,488.705
