"Date","FLEXCPIM679SFRBATL"
1995-09-01,-1.07100192
1995-10-01,0.758916117
1995-11-01,-0.644287794
1995-12-01,1.59086465
1996-01-01,3.73597863
1996-02-01,5.027597492
1996-03-01,5.74567677
1996-04-01,5.254494255
1996-05-01,5.759678808
1996-06-01,3.372020847
1996-07-01,1.005253851
1996-08-01,-0.066071756
1996-09-01,1.610352053
1996-10-01,3.059162432
1996-11-01,5.161053806
1996-12-01,5.268924483
1997-01-01,4.339792742
1997-02-01,3.271007343
1997-03-01,-0.461788207
1997-04-01,-2.531747845
1997-05-01,-4.599096715
1997-06-01,-1.879966928
1997-07-01,-1.133524534
1997-08-01,2.120268151
1997-09-01,3.005162166
1997-10-01,3.618152682
1997-11-01,1.407806463
1997-12-01,-1.58138365
1998-01-01,-2.520675005
1998-02-01,-3.706166099
1998-03-01,-4.032216977
1998-04-01,-3.54128097
1998-05-01,-0.33634285
1998-06-01,1.624053628
1998-07-01,2.668473245
1998-08-01,1.561397298
1998-09-01,0.514915202
1998-10-01,0.628556886
1998-11-01,0.127210301
1998-12-01,2.656705038
1999-01-01,2.1847471
1999-02-01,0.60545029
1999-03-01,-1.0490936
1999-04-01,5.2251587
1999-05-01,6.3914611
1999-06-01,6.1735179
1999-07-01,2.1295643
1999-08-01,4.6869411
1999-09-01,9.3909717
1999-10-01,7.2778031
1999-11-01,4.3739765
1999-12-01,1.9865132
2000-01-01,2.1969319
2000-02-01,6.5108622
2000-03-01,10.668031
2000-04-01,8.0735951
2000-05-01,3.9616528
2000-06-01,3.8398022
2000-07-01,7.0602912
2000-08-01,4.8316952
2000-09-01,4.3381857
2000-10-01,2.6430883
2000-11-01,5.9342164
2000-12-01,1.3349006
2001-01-01,6.4172468
2001-02-01,6.1372185
2001-03-01,4.0709614
2001-04-01,-0.33680318
2001-05-01,3.6511679
2001-06-01,4.9979392
2001-07-01,0.11933726
2001-08-01,-6.5596871
2001-09-01,-4.0754986
2001-10-01,-5.535036
2001-11-01,-5.8253286
2001-12-01,-10.473801
2002-01-01,-5.3394819
2002-02-01,-2.6673114
2002-03-01,2.1203754
2002-04-01,6.6370706
2002-05-01,5.5086652
2002-06-01,2.5889837
2002-07-01,-1.1561895
2002-08-01,1.5366156
2002-09-01,2.3178913
2002-10-01,2.9596485
2002-11-01,1.692715
2002-12-01,1.2099436
2003-01-01,4.3474447
2003-02-01,9.4384622
2003-03-01,10.988776
2003-04-01,1.1537577
2003-05-01,-7.1997949
2003-06-01,-7.5463035
2003-07-01,-0.73432554
2003-08-01,7.4628042
2003-09-01,9.4332365
2003-10-01,4.5215128
2003-11-01,-0.34987971
2003-12-01,-1.2672112
2004-01-01,4.6475816
2004-02-01,5.8336192
2004-03-01,5.3275573
2004-04-01,1.558208
2004-05-01,5.8676668
2004-06-01,7.4854919
2004-07-01,7.8350853
2004-08-01,2.09825
2004-09-01,1.3653135
2004-10-01,7.1422997
2004-11-01,12.697293
2004-12-01,9.2089758
2005-01-01,0.74958423
2005-02-01,-0.73291897
2005-03-01,3.559429
2005-04-01,8.9634931
2005-05-01,3.0482577
2005-06-01,-0.41723596
2005-07-01,3.5742458
2005-08-01,13.934733
2005-09-01,34.537249
2005-10-01,27.230675
2005-11-01,11.023654
2005-12-01,-7.5441047
2006-01-01,-2.1456004
2006-02-01,2.7861005
2006-03-01,4.7751596
2006-04-01,2.7338615
2006-05-01,5.4997334
2006-06-01,5.8533392
2006-07-01,6.3743032
2006-08-01,8.5757928
2006-09-01,1.4157307
2006-10-01,-10.264252
2006-11-01,-13.343483
2006-12-01,-2.5620724
2007-01-01,4.7908427
2007-02-01,7.9174615
2007-03-01,7.6456573
2007-04-01,10.238456
2007-05-01,11.999002
2007-06-01,7.9867548
2007-07-01,5.9182173
2007-08-01,0.35065765
2007-09-01,2.0470518
2007-10-01,3.2105742
2007-11-01,12.90351
2007-12-01,11.391207
2008-01-01,11.720835
2008-02-01,5.1077861
2008-03-01,5.6542422
2008-04-01,4.8587817
2008-05-01,9.2631951
2008-06-01,19.558992
2008-07-01,26.042607
2008-08-01,14.703739
2008-09-01,1.3898436
2008-10-01,-14.362815
2008-11-01,-25.496963
2008-12-01,-31.636956
2009-01-01,-22.914369
2009-02-01,-4.7393226
2009-03-01,2.3742181
2009-04-01,1.0725806
2009-05-01,-1.371445
2009-06-01,14.080376
2009-07-01,12.342371
2009-08-01,15.288624
2009-09-01,3.9423834
2009-10-01,9.0328485
2009-11-01,9.6001987
2009-12-01,8.3951285
2010-01-01,7.227442
2010-02-01,1.2750325
2010-03-01,0.82502295
2010-04-01,-1.9320828
2010-05-01,-1.9176312
2010-06-01,-3.5655852
2010-07-01,-1.155487
2010-08-01,1.8040188
2010-09-01,4.9140224
2010-10-01,7.3202444
2010-11-01,8.0498795
2010-12-01,12.090904
2011-01-01,10.379896
2011-02-01,10.897416
2011-03-01,12.019613
2011-04-01,15.036456
2011-05-01,15.700533
2011-06-01,7.3981301
2011-07-01,3.5279335
2011-08-01,1.9395073
2011-09-01,5.0002658
2011-10-01,2.5239949
2011-11-01,1.946197
2011-12-01,-1.5154429
2012-01-01,0.30150963
2012-02-01,1.2495216
2012-03-01,4.0716046
2012-04-01,3.4605374
2012-05-01,-2.5137044
2012-06-01,-6.1609034
2012-07-01,-8.2272147
2012-08-01,1.9880344
2012-09-01,10.236219
2012-10-01,14.559912
2012-11-01,3.9197153
2012-12-01,-2.592643
2013-01-01,-3.8953475
2013-02-01,5.1952559
2013-03-01,1.2966346
2013-04-01,-2.7480512
2013-05-01,-8.520456
2013-06-01,-1.7259521
2013-07-01,2.2252698
2013-08-01,3.6573507
2013-09-01,0.90353876
2013-10-01,-0.41362449
2013-11-01,-0.65787288
2013-12-01,2.3791123
2014-01-01,5.2915559
2014-02-01,4.4985146
2014-03-01,3.1471171
2014-04-01,1.4636468
2014-05-01,2.2453279
2014-06-01,1.575861
2014-07-01,0.84676037
2014-08-01,-1.3696235
2014-09-01,-2.9444108
2014-10-01,-4.831379
2014-11-01,-7.5518861
2014-12-01,-10.65664
2015-01-01,-16.741621
2015-02-01,-11.292397
2015-03-01,-5.2113533
2015-04-01,2.5018648
2015-05-01,3.6838025
2015-06-01,3.8423072
2015-07-01,5.7639694
2015-08-01,0.89444166
2015-09-01,-6.5124432
2015-10-01,-8.1654714
2015-11-01,-7.2623575
2015-12-01,-4.6724393
2016-01-01,-5.9970315
2016-02-01,-8.9494839
2016-03-01,-3.7156717
2016-04-01,1.7923524
2016-05-01,6.9553874
2016-06-01,6.3884637
2016-07-01,0.39813064
2016-08-01,-1.0530194
2016-09-01,-0.84992028
2016-10-01,4.3180706
2016-11-01,3.8666758
2016-12-01,2.992051
2017-01-01,4.062569
2017-02-01,4.760367
2017-03-01,2.560858
2017-04-01,0.1545062
2017-05-01,-2.379539
2017-06-01,-2.74588
2017-07-01,-5.290417
2017-08-01,0.6375914
2017-09-01,8.385419
2017-10-01,9.261401
2017-11-01,7.949019
2017-12-01,1.843784
2018-01-01,5.497424
2018-02-01,4.965726
2018-03-01,2.437442
2018-04-01,1.64121
2018-05-01,1.282828
2018-06-01,2.32347
2018-07-01,-0.0934964
2018-08-01,-0.3604651
2018-09-01,1.383976
2018-10-01,3.819319
2018-11-01,-0.7092567
2018-12-01,-2.694726
2019-01-01,-6.706954
2019-02-01,-2.255052
2019-03-01,1.566016
2019-04-01,8.286467
2019-05-01,5.331543
2019-06-01,-0.8647361
2019-07-01,-3.927943
2019-08-01,-3.614263
2019-09-01,0.3509935
2019-10-01,0.8390668
2019-11-01,2.561091
2019-12-01,4.180735
2020-01-01,2.610717
2020-02-01,1.069434
2020-03-01,-7.746387
2020-04-01,-15.08647
2020-05-01,-15.88563
2020-06-01,-5.18825
2020-07-01,6.099396
2020-08-01,12.74451
2020-09-01,11.41976
2020-10-01,9.014665
2020-11-01,4.724649
2020-12-01,6.931771
2021-01-01,9.826756
2021-02-01,13.81132
2021-03-01,12.38079
2021-04-01,16.02566
2021-05-01,18.47799
2021-06-01,24.15622
2021-07-01,21.28934
2021-08-01,17.99914
2021-09-01,11.00487
2021-10-01,15.809
2021-11-01,20.53633
2021-12-01,25.18712
2022-01-01,18.57307
2022-02-01,15.9262
2022-03-01,19.06667
2022-04-01,15.7893
2022-05-01,18.29097
2022-06-01,18.50164
2022-07-01,13.40563
2022-08-01,3.073358
2022-09-01,-7.714035
2022-10-01,-1.361733
2022-11-01,-0.6223329
2022-12-01,-1.476509
2023-01-01,-1.20427978
2023-02-01,0.070520774
2023-03-01,-1.238332152
2023-04-01,-2.313400269
2023-05-01,-3.359972477
2023-06-01,0.059263781
2023-07-01,-1.629987597
2023-08-01,5.678135395
2023-09-01,6.883372307
2023-10-01,4.185667515
2023-11-01,-3.472809315
