"Date","TRMMEANCPIM094SFRBCLE"
1999-06-01,172.037979560325
1999-07-01,172.339562131689
1999-08-01,172.654081839994
1999-09-01,173.10350042019
1999-10-01,173.325765314405
1999-11-01,173.603259858987
1999-12-01,173.889184422457
2000-01-01,174.381116905739
2000-02-01,174.782542248411
2000-03-01,175.321047251354
2000-04-01,175.540899845048
2000-05-01,175.954123122679
2000-06-01,176.436237404016
2000-07-01,176.903087669076
2000-08-01,177.257778342204
2000-09-01,177.721839190182
2000-10-01,178.0346296296
2000-11-01,178.333905840989
2000-12-01,178.815229063985
2001-01-01,179.401564209929
2001-02-01,179.793377243938
2001-03-01,180.170763527941
2001-04-01,180.515430201203
2001-05-01,180.9983089973
2001-06-01,181.468180603225
2001-07-01,181.756896479919
2001-08-01,182.075334553979
2001-09-01,182.417089952079
2001-10-01,182.688161751916
2001-11-01,183.114190556424
2001-12-01,183.396552635259
2002-01-01,183.656792339477
2002-02-01,183.940909401206
2002-03-01,184.251769528234
2002-04-01,184.683102901827
2002-05-01,184.976010297376
2002-06-01,185.134534739378
2002-07-01,185.536461814314
2002-08-01,185.945384179592
2002-09-01,186.234529245701
2002-10-01,186.560067210046
2002-11-01,186.907628612112
2002-12-01,187.178457761101
2003-01-01,187.509014906841
2003-02-01,187.879720214285
2003-03-01,188.041108898006
2003-04-01,188.023997156776
2003-05-01,188.194722943797
2003-06-01,188.399855198263
2003-07-01,188.82017527357
2003-08-01,189.149666482433
2003-09-01,189.451549358753
2003-10-01,189.67529164399
2003-11-01,189.77316408897
2003-12-01,190.211540077966
2004-01-01,190.528052077088
2004-02-01,190.97236350632
2004-03-01,191.347242264685
2004-04-01,191.690136527526
2004-05-01,192.200607365149
2004-06-01,192.646512768566
2004-07-01,192.87672535497
2004-08-01,193.076352758915
2004-09-01,193.466560072102
2004-10-01,193.920819545646
2004-11-01,194.403682405863
2004-12-01,194.709284990563
2005-01-01,195.084295072906
2005-02-01,195.546059617983
2005-03-01,195.934805185212
2005-04-01,196.480287685035
2005-05-01,196.837881809595
2005-06-01,196.997911011555
2005-07-01,197.501831652183
2005-08-01,197.816847081158
2005-09-01,198.489028733444
2005-10-01,198.896328225424
2005-11-01,199.410873008263
2005-12-01,199.645380193059
2006-01-01,200.250106052472
2006-02-01,200.49421092551
2006-03-01,200.864724224359
2006-04-01,201.358248868322
2006-05-01,201.902520233715
2006-06-01,202.391124339434
2006-07-01,202.920579499674
2006-08-01,203.493018466631
2006-09-01,203.860323366419
2006-10-01,204.131865320073
2006-11-01,204.327219517453
2006-12-01,204.767340369436
2007-01-01,205.288678030621
2007-02-01,205.963667181557
2007-03-01,206.471779533185
2007-04-01,206.876257752518
2007-05-01,207.289182776343
2007-06-01,207.732159754552
2007-07-01,208.142430750257
2007-08-01,208.430083599097
2007-09-01,209.019107035803
2007-10-01,209.644492196772
2007-11-01,210.287681515227
2007-12-01,210.791741106986
2008-01-01,211.459950910182
2008-02-01,211.939330625787
2008-03-01,212.565823270981
2008-04-01,213.010298426449
2008-05-01,213.703007934459
2008-06-01,214.568505139044
2008-07-01,215.697779137685
2008-08-01,215.975166484536
2008-09-01,216.44880001055
2008-10-01,216.470661338878
2008-11-01,216.548590778141
2008-12-01,216.609657479356
2009-01-01,216.96706341226
2009-02-01,217.348708478132
2009-03-01,217.41934680858
2009-04-01,217.575888740656
2009-05-01,217.733631257986
2009-06-01,218.01058844199
2009-07-01,217.991403510057
2009-08-01,218.258224989461
2009-09-01,218.557457007648
2009-10-01,218.913050000855
2009-11-01,219.142251976494
2009-12-01,219.266943923409
2010-01-01,219.412756441024
2010-02-01,219.413195266536
2010-03-01,219.439963675842
2010-04-01,219.525764703543
2010-05-01,219.558254518134
2010-06-01,219.664959830809
2010-07-01,219.890775415637
2010-08-01,220.074164323621
2010-09-01,220.376546222086
2010-10-01,220.553067832834
2010-11-01,220.849270598901
2010-12-01,221.135049545748
2011-01-01,221.683530789351
2011-02-01,222.25498661073
2011-03-01,222.757749640767
2011-04-01,223.222065902843
2011-05-01,223.909746134326
2011-06-01,224.248476796954
2011-07-01,224.714397880644
2011-08-01,225.344946468928
2011-09-01,225.815444171259
2011-10-01,226.115620639798
2011-11-01,226.547885872841
2011-12-01,226.880730029335
2012-01-01,227.456512488735
2012-02-01,227.651558727738
2012-03-01,228.089794813463
2012-04-01,228.44915713724
2012-05-01,228.637079408705
2012-06-01,228.986740962151
2012-07-01,229.176891546909
2012-08-01,229.622136413799
2012-09-01,230.047800741407
2012-10-01,230.507813504055
2012-11-01,230.833585593159
2012-12-01,231.080808364726
2013-01-01,231.468945567764
2013-02-01,231.912007234002
2013-03-01,232.075050648447
2013-04-01,232.205066052546
2013-05-01,232.384665063313
2013-06-01,232.746982973716
2013-07-01,233.122215341683
2013-08-01,233.602274575636
2013-09-01,233.943903887569
2013-10-01,234.168068941012
2013-11-01,234.543135930601
2013-12-01,234.965517641219
2014-01-01,235.481158894029
2014-02-01,235.763018061413
2014-03-01,236.215119569496
2014-04-01,236.698134603934
2014-05-01,237.171208939624
2014-06-01,237.428570541206
2014-07-01,237.878018066057
2014-08-01,238.034941435584
2014-09-01,238.352199176678
2014-10-01,238.678965742572
2014-11-01,238.886540070612
2014-12-01,239.179766131573
2015-01-01,239.345827369008
2015-02-01,239.679105094131
2015-03-01,240.118375938701
2015-04-01,240.535814617604
2015-05-01,240.894600888573
2015-06-01,241.36926396113
2015-07-01,241.765086631778
2015-08-01,242.019753862161
2015-09-01,242.54169483936
2015-10-01,242.867945058025
2015-11-01,243.178899743482
2015-12-01,243.334596624177
2016-01-01,243.663827175713
2016-02-01,244.072791740813
2016-03-01,244.467485487921
2016-04-01,245.071602730911
2016-05-01,245.60077640667
2016-06-01,246.025589459021
2016-07-01,246.410451221196
2016-08-01,246.885187333731
2016-09-01,247.389104974247
2016-10-01,247.760608379321
2016-11-01,248.158047539786
2016-12-01,248.555369648163
2017-01-01,249.200564918053
2017-02-01,249.735609707295
2017-03-01,249.94501201333
2017-04-01,250.150222408178
2017-05-01,250.403807155688
2017-06-01,250.627648607633
2017-07-01,250.956323143666
2017-08-01,251.41648068225
2017-09-01,251.80126107427
2017-10-01,252.217721114401
2017-11-01,252.62673665073
2017-12-01,253.149303156969
2018-01-01,253.940165746823
2018-02-01,254.47871505977
2018-03-01,254.810861874597
2018-04-01,255.254927612775
2018-05-01,255.741956988158
2018-06-01,256.16512952904
2018-07-01,256.482900211623
2018-08-01,256.894286387924
2018-09-01,257.356417250769
2018-10-01,257.859502916228
2018-11-01,258.423985350542
2018-12-01,259.093538976717
2019-01-01,259.646044103178
2019-02-01,260.090529163862
2019-03-01,260.670068922265
2019-04-01,261.088075353581
2019-05-01,261.325537911496
2019-06-01,261.750768302528
2019-07-01,262.30880684185
2019-08-01,262.802779379457
2019-09-01,263.309180766004
2019-10-01,263.997692088486
2019-11-01,264.689328982498
2019-12-01,265.2532169692
2020-01-01,265.874971270525
2020-02-01,266.386794037026
2020-03-01,266.797138209003
2020-04-01,266.821418807715
2020-05-01,267.377271136314
2020-06-01,267.761774855837
2020-07-01,268.575877699805
2020-08-01,269.236306436194
2020-09-01,269.579392429994
2020-10-01,269.951145356659
2020-11-01,270.350050651995
2020-12-01,270.943438327811
2021-01-01,271.164888581984
2021-02-01,271.756272185304
2021-03-01,272.418565495569
2021-04-01,273.318923352244
2021-05-01,274.30839171414
2021-06-01,275.373228666801
2021-07-01,276.449824050446
2021-08-01,277.529713063399
2021-09-01,278.862624306929
2021-10-01,280.986462164473
2021-11-01,282.671415396546
2021-12-01,284.317344650597
2022-01-01,286.014440732954
2022-02-01,287.559259961567
2022-03-01,289.049391345248
2022-04-01,290.267309047352
2022-05-01,292.402664740797
2022-06-01,294.508285964363
2022-07-01,295.765828333538
2022-08-01,297.551901419177
2022-09-01,299.251856897762
2022-10-01,300.487813813804
2022-11-01,301.549168095247
2022-12-01,303.039004026038
2023-01-01,304.755678777841
2023-02-01,306.190932792229
2023-03-01,306.886924157074
2023-04-01,307.900220496801
2023-05-01,308.600866249112
2023-06-01,309.287626451448
2023-07-01,309.941843784946
2023-08-01,310.846844299578
2023-09-01,312.095854051966
2023-10-01,312.84417406696
2023-11-01,313.692852966716
