"Date","CUSR0000SETD"
1980-11-01,84.6
1980-12-01,85.3
1981-01-01,86
1981-02-01,86.6
1981-03-01,87.2
1981-04-01,87.7
1981-05-01,88.2
1981-06-01,88.7
1981-07-01,89.3
1981-08-01,89.9
1981-09-01,90.8
1981-10-01,91.5
1981-11-01,92
1981-12-01,92.5
1982-01-01,92.8
1982-02-01,93.5
1982-03-01,94.3
1982-04-01,94.8
1982-05-01,95.3
1982-06-01,96
1982-07-01,96.6
1982-08-01,97
1982-09-01,97.4
1982-10-01,97.8
1982-11-01,97.9
1982-12-01,98.2
1983-01-01,98.6
1983-02-01,99
1983-03-01,99.2
1983-04-01,99.5
1983-05-01,99.9
1983-06-01,100.1
1983-07-01,100.2
1983-08-01,100.6
1983-09-01,101
1983-10-01,101.3
1983-11-01,101.9
1983-12-01,101.9
1984-01-01,102.1
1984-02-01,102.5
1984-03-01,102.8
1984-04-01,103
1984-05-01,103.4
1984-06-01,103.5
1984-07-01,103.8
1984-08-01,104.1
1984-09-01,104.6
1984-10-01,104.9
1984-11-01,105.1
1984-12-01,105.2
1985-01-01,105.4
1985-02-01,105.8
1985-03-01,105.9
1985-04-01,105.8
1985-05-01,106.2
1985-06-01,106.5
1985-07-01,106.7
1985-08-01,106.9
1985-09-01,107.4
1985-10-01,108.1
1985-11-01,108.1
1985-12-01,108.6
1986-01-01,108.8
1986-02-01,109.1
1986-03-01,109.2
1986-04-01,109.6
1986-05-01,109.8
1986-06-01,110
1986-07-01,110.4
1986-08-01,110.7
1986-09-01,110.9
1986-10-01,111.1
1986-11-01,111.9
1986-12-01,112.6
1987-01-01,112.8
1987-02-01,113.3
1987-03-01,113.3
1987-04-01,114.3
1987-05-01,114.3
1987-06-01,114.4
1987-07-01,114.5
1987-08-01,115.1
1987-09-01,115.7
1987-10-01,116.1
1987-11-01,116.5
1987-12-01,116.9
1988-01-01,117.2
1988-02-01,117.7
1988-03-01,118.5
1988-04-01,118.8
1988-05-01,119.3
1988-06-01,119.7
1988-07-01,120
1988-08-01,120.3
1988-09-01,120.9
1988-10-01,121.1
1988-11-01,121.5
1988-12-01,121.5
1989-01-01,122.5
1989-02-01,123.3
1989-03-01,123.3
1989-04-01,123.8
1989-05-01,124.3
1989-06-01,124.6
1989-07-01,124.9
1989-08-01,125.6
1989-09-01,126
1989-10-01,126.5
1989-11-01,126.7
1989-12-01,127.1
1990-01-01,127.5
1990-02-01,127.6
1990-03-01,128.6
1990-04-01,129.4
1990-05-01,129.4
1990-06-01,129.7
1990-07-01,130.3
1990-08-01,130.5
1990-09-01,131.3
1990-10-01,131.9
1990-11-01,132.5
1990-12-01,132.7
1991-01-01,133.3
1991-02-01,133.5
1991-03-01,133.9
1991-04-01,134.4
1991-05-01,134.7
1991-06-01,135.7
1991-07-01,136.4
1991-08-01,137
1991-09-01,137.6
1991-10-01,138.1
1991-11-01,138.5
1991-12-01,138.6
1992-01-01,139.2
1992-02-01,139.7
1992-03-01,140.2
1992-04-01,140.5
1992-05-01,140.8
1992-06-01,141.3
1992-07-01,141.5
1992-08-01,141.7
1992-09-01,142
1992-10-01,142.3
1992-11-01,142.7
1992-12-01,143.3
1993-01-01,143.6
1993-02-01,144.3
1993-03-01,144.6
1993-04-01,145.2
1993-05-01,145.4
1993-06-01,145.9
1993-07-01,146.3
1993-08-01,146.3
1993-09-01,146.6
1993-10-01,146.9
1993-11-01,147.3
1993-12-01,147.8
1994-01-01,148.2
1994-02-01,148.6
1994-03-01,148.9
1994-04-01,149.3
1994-05-01,149.7
1994-06-01,149.9
1994-07-01,150.2
1994-08-01,150.8
1994-09-01,151.1
1994-10-01,151.5
1994-11-01,151.7
1994-12-01,152
1995-01-01,152
1995-02-01,152.5
1995-03-01,152.7
1995-04-01,153.2
1995-05-01,153.8
1995-06-01,153.6
1995-07-01,154
1995-08-01,154.5
1995-09-01,155.1
1995-10-01,155.4
1995-11-01,155.7
1995-12-01,155.7
1996-01-01,156.2
1996-02-01,156.5
1996-03-01,156.9
1996-04-01,157.2
1996-05-01,157.6
1996-06-01,157.9
1996-07-01,158.3
1996-08-01,158.7
1996-09-01,159.8
1996-10-01,160.2
1996-11-01,160.3
1996-12-01,160.6
1997-01-01,161.1
1997-02-01,161.1
1997-03-01,161.5
1997-04-01,162
1997-05-01,162.4
1997-06-01,162.8
1997-07-01,163.1
1997-08-01,163.4
1997-09-01,163.3
1997-10-01,163.6
1997-11-01,163.8
1997-12-01,164.7
1998-01-01,164.9
1998-02-01,165.3
1998-03-01,165.7
1998-04-01,165.8
1998-05-01,166.1
1998-06-01,166.7
1998-07-01,167
1998-08-01,167.5
1998-09-01,168.2
1998-10-01,168.7
1998-11-01,169.3
1998-12-01,169.7
1999-01-01,169.7
1999-02-01,170.2
1999-03-01,170.5
1999-04-01,171
1999-05-01,171.5
1999-06-01,171.9
1999-07-01,172.3
1999-08-01,172.4
1999-09-01,172.7
1999-10-01,172.9
1999-11-01,173.4
1999-12-01,173.9
2000-01-01,174.5
2000-02-01,174.9
2000-03-01,175.6
2000-04-01,176
2000-05-01,176.5
2000-06-01,177
2000-07-01,177.4
2000-08-01,178.5
2000-09-01,178.7
2000-10-01,179.2
2000-11-01,179.7
2000-12-01,179.9
2001-01-01,180.5
2001-02-01,181.2
2001-03-01,181.6
2001-04-01,182
2001-05-01,182.6
2001-06-01,182.9
2001-07-01,183.6
2001-08-01,184.4
2001-09-01,185.1
2001-10-01,185.8
2001-11-01,186.1
2001-12-01,186.3
2002-01-01,187
2002-02-01,187.7
2002-03-01,188.4
2002-04-01,189.1
2002-05-01,190
2002-06-01,190.2
2002-07-01,190
2002-08-01,191.3
2002-09-01,191.5
2002-10-01,191.7
2002-11-01,192.5
2002-12-01,193.3
2003-01-01,193.7
2003-02-01,194.2
2003-03-01,194.2
2003-04-01,194.7
2003-05-01,195
2003-06-01,195.3
2003-07-01,196.2
2003-08-01,195.9
2003-09-01,196.3
2003-10-01,196.7
2003-11-01,196.9
2003-12-01,198
2004-01-01,198.2
2004-02-01,198.2
2004-03-01,198.5
2004-04-01,198.6
2004-05-01,199
2004-06-01,199.7
2004-07-01,200.3
2004-08-01,200.8
2004-09-01,200.7
2004-10-01,201.7
2004-11-01,202.9
2004-12-01,203.3
2005-01-01,204
2005-02-01,203.9
2005-03-01,204.7
2005-04-01,205
2005-05-01,205.6
2005-06-01,206.1
2005-07-01,206.7
2005-08-01,207.3
2005-09-01,208.7
2005-10-01,209.8
2005-11-01,210.5
2005-12-01,210.7
2006-01-01,211.2
2006-02-01,212.9
2006-03-01,213.4
2006-04-01,213.9
2006-05-01,214.9
2006-06-01,215.5
2006-07-01,216.7
2006-08-01,216.2
2006-09-01,217
2006-10-01,218.5
2006-11-01,218.5
2006-12-01,218.8
2007-01-01,219.262
2007-02-01,220.53
2007-03-01,221.16
2007-04-01,221.508
2007-05-01,221.999
2007-06-01,222.553
2007-07-01,223.487
2007-08-01,224.019
2007-09-01,224.302
2007-10-01,224.939
2007-11-01,225.672
2007-12-01,226.12
2008-01-01,227.732
2008-02-01,228.731
2008-03-01,229.765
2008-04-01,230.528
2008-05-01,231.73
2008-06-01,233.162
2008-07-01,234.788
2008-08-01,236.125
2008-09-01,237.121
2008-10-01,238.227
2008-11-01,239.048
2008-12-01,239.356
2009-01-01,241.076
2009-02-01,241.689
2009-03-01,242.118
2009-04-01,242.649
2009-05-01,242.488
2009-06-01,242.683
2009-07-01,243.031
2009-08-01,243.494
2009-09-01,244.493
2009-10-01,245.393
2009-11-01,245.511
2009-12-01,245.417
2010-01-01,245.567
2010-02-01,245.969
2010-03-01,246.624
2010-04-01,247.355
2010-05-01,247.311
2010-06-01,247.635
2010-07-01,247.536
2010-08-01,248.39
2010-09-01,249.231
2010-10-01,249.824
2010-11-01,249.872
2010-12-01,250.134
2011-01-01,250.726
2011-02-01,250.851
2011-03-01,250.82
2011-04-01,251.458
2011-05-01,252.376
2011-06-01,252.529
2011-07-01,252.769
2011-08-01,253.337
2011-09-01,255.244
2011-10-01,255.774
2011-11-01,255.663
2011-12-01,255.644
2012-01-01,256.405
2012-02-01,256.968
2012-03-01,256.616
2012-04-01,256.544
2012-05-01,257.372
2012-06-01,257.629
2012-07-01,257.423
2012-08-01,257.641
2012-09-01,258.024
2012-10-01,258.578
2012-11-01,258.943
2012-12-01,258.845
2013-01-01,259.752
2013-02-01,260.234
2013-03-01,260.156
2013-04-01,260.341
2013-05-01,261.065
2013-06-01,261.36
2013-07-01,262.229
2013-08-01,262.497
2013-09-01,262.96
2013-10-01,263.085
2013-11-01,262.934
2013-12-01,263.081
2014-01-01,263.718
2014-02-01,264.523
2014-03-01,264.146
2014-04-01,264.508
2014-05-01,265.013
2014-06-01,265.656
2014-07-01,266.282
2014-08-01,266.129
2014-09-01,267.256
2014-10-01,268.094
2014-11-01,268.389
2014-12-01,268.588
2015-01-01,268.869
2015-02-01,269.136
2015-03-01,268.907
2015-04-01,269.948
2015-05-01,270.764
2015-06-01,270.981
2015-07-01,271.175
2015-08-01,270.838
2015-09-01,271.119
2015-10-01,271.804
2015-11-01,272.09
2015-12-01,272.967
2016-01-01,273.097
2016-02-01,273.072
2016-03-01,273.98
2016-04-01,274.864
2016-05-01,275.331
2016-06-01,275.563
2016-07-01,276.058
2016-08-01,275.923
2016-09-01,275.331
2016-10-01,275.645
2016-11-01,277.348
2016-12-01,278.002
2017-01-01,279.523
2017-02-01,279.782
2017-03-01,279.6
2017-04-01,280.17
2017-05-01,280.388
2017-06-01,279.294
2017-07-01,279.605
2017-08-01,280.488
2017-09-01,282.203
2017-10-01,283.257
2017-11-01,282.502
2017-12-01,283.107
2018-01-01,283.305
2018-02-01,284.032
2018-03-01,283.656
2018-04-01,284.367
2018-05-01,284.851
2018-06-01,285.753
2018-07-01,286.067
2018-08-01,286.931
2018-09-01,288.457
2018-10-01,289.057
2018-11-01,290.114
2018-12-01,289.705
2019-01-01,290.758
2019-02-01,291.993
2019-03-01,294.226
2019-04-01,295.266
2019-05-01,294.586
2019-06-01,295.67
2019-07-01,295.377
2019-08-01,297.884
2019-09-01,298.441
2019-10-01,298.925
2019-11-01,299.26
2019-12-01,299.614
2020-01-01,300.112
2020-02-01,302.22
2020-03-01,304.131
2020-04-01,304.376
2020-05-01,305.574
2020-06-01,305.736
2020-07-01,305.573
2020-08-01,307.554
2020-09-01,308.198
2020-10-01,308.569
2020-11-01,309.949
2020-12-01,309.888
2021-01-01,310.662
2021-02-01,311.627
2021-03-01,314.66
2021-04-01,315.177
2021-05-01,314.164
2021-06-01,315.209
2021-07-01,318.031
2021-08-01,320.504
2021-09-01,320.446
2021-10-01,325.095
2021-11-01,325.076
2021-12-01,324.688
2022-01-01,325.448
2022-02-01,331.13
2022-03-01,329.992
2022-04-01,331.735
2022-05-01,333.258
2022-06-01,340.058
2022-07-01,343.678
2022-08-01,349.539
2022-09-01,356.076
2022-10-01,358.597
2022-11-01,363.195
2022-12-01,366.96
2023-01-01,371.78
2023-02-01,372.572
2023-03-01,373.865
2023-04-01,375.89
2023-05-01,378.182
2023-06-01,383.196
2023-07-01,387.159
2023-08-01,391.395
2023-09-01,392.222
2023-10-01,392.861
2023-11-01,393.924
