"Date","CUUR0200SA0"
1978-08-01,65.4
1978-09-01,NA
1978-10-01,66.6
1978-11-01,NA
1978-12-01,67.6
1979-01-01,NA
1979-02-01,69.1
1979-03-01,NA
1979-04-01,70.7
1979-05-01,NA
1979-06-01,72.3
1979-07-01,NA
1979-08-01,73.9
1979-09-01,NA
1979-10-01,75.4
1979-11-01,NA
1979-12-01,76.9
1980-01-01,NA
1980-02-01,78.7
1980-03-01,NA
1980-04-01,80.7
1980-05-01,NA
1980-06-01,82.8
1980-07-01,NA
1980-08-01,82.9
1980-09-01,NA
1980-10-01,85
1980-11-01,NA
1980-12-01,86.3
1981-01-01,NA
1981-02-01,87.5
1981-03-01,NA
1981-04-01,88.3
1981-05-01,NA
1981-06-01,90.3
1981-07-01,NA
1981-08-01,91.8
1981-09-01,NA
1981-10-01,92.1
1981-11-01,NA
1981-12-01,92.4
1982-01-01,NA
1982-02-01,93.5
1982-03-01,NA
1982-04-01,94.7
1982-05-01,NA
1982-06-01,96.9
1982-07-01,NA
1982-08-01,98.6
1982-09-01,NA
1982-10-01,98.6
1982-11-01,NA
1982-12-01,98.2
1983-01-01,NA
1983-02-01,98.2
1983-03-01,NA
1983-04-01,99.1
1983-05-01,NA
1983-06-01,99.9
1983-07-01,NA
1983-08-01,100.6
1983-09-01,NA
1983-10-01,101.2
1983-11-01,NA
1983-12-01,101.5
1984-01-01,NA
1984-02-01,102.1
1984-03-01,NA
1984-04-01,102.8
1984-05-01,NA
1984-06-01,103.6
1984-07-01,NA
1984-08-01,104.3
1984-09-01,NA
1984-10-01,104.9
1984-11-01,NA
1984-12-01,104.7
1985-01-01,NA
1985-02-01,105.2
1985-03-01,NA
1985-04-01,106.2
1985-05-01,NA
1985-06-01,107.1
1985-07-01,NA
1985-08-01,107.1
1985-09-01,NA
1985-10-01,107.5
1985-11-01,NA
1985-12-01,108.2
1986-01-01,NA
1986-02-01,107.8
1986-03-01,NA
1986-04-01,106.9
1986-05-01,NA
1986-06-01,108.2
1986-07-01,NA
1986-08-01,108.3
1986-09-01,NA
1986-10-01,108.5
1986-11-01,NA
1986-12-01,108.8
1987-01-01,109.6
1987-02-01,109.7
1987-03-01,110.3
1987-04-01,110.9
1987-05-01,111.1
1987-06-01,112.1
1987-07-01,112.3
1987-08-01,113.1
1987-09-01,113.6
1987-10-01,113.5
1987-11-01,113.5
1987-12-01,113.3
1988-01-01,113.4
1988-02-01,113.7
1988-03-01,114.3
1988-04-01,114.9
1988-05-01,115.5
1988-06-01,116
1988-07-01,116.6
1988-08-01,117.2
1988-09-01,117.7
1988-10-01,118.1
1988-11-01,118.1
1988-12-01,118.2
1989-01-01,118.7
1989-02-01,119.3
1989-03-01,119.8
1989-04-01,120.8
1989-05-01,121.3
1989-06-01,121.8
1989-07-01,122
1989-08-01,122
1989-09-01,122.5
1989-10-01,123
1989-11-01,123.2
1989-12-01,123.2
1990-01-01,124.5
1990-02-01,124.9
1990-03-01,125.5
1990-04-01,125.8
1990-05-01,126
1990-06-01,126.9
1990-07-01,126.9
1990-08-01,128.4
1990-09-01,129.4
1990-10-01,130
1990-11-01,130.4
1990-12-01,130.2
1991-01-01,130.5
1991-02-01,130.8
1991-03-01,131.3
1991-04-01,131.5
1991-05-01,132.3
1991-06-01,132.6
1991-07-01,132.4
1991-08-01,132.8
1991-09-01,133.4
1991-10-01,133.6
1991-11-01,134
1991-12-01,134.1
1992-01-01,134.1
1992-02-01,134.3
1992-03-01,134.8
1992-04-01,135.1
1992-05-01,135.5
1992-06-01,136
1992-07-01,136.3
1992-08-01,136.7
1992-09-01,137.2
1992-10-01,137.4
1992-11-01,137.6
1992-12-01,137.7
1993-01-01,138.1
1993-02-01,138.6
1993-03-01,139
1993-04-01,139.4
1993-05-01,139.8
1993-06-01,140
1993-07-01,140
1993-08-01,140.4
1993-09-01,140.9
1993-10-01,141.5
1993-11-01,141.4
1993-12-01,141.2
1994-01-01,141.5
1994-02-01,142.1
1994-03-01,142.6
1994-04-01,142.9
1994-05-01,143.3
1994-06-01,144
1994-07-01,144.3
1994-08-01,145.2
1994-09-01,145.6
1994-10-01,145.3
1994-11-01,145.8
1994-12-01,145.7
1995-01-01,146.1
1995-02-01,146.7
1995-03-01,147.3
1995-04-01,148.1
1995-05-01,148.3
1995-06-01,148.7
1995-07-01,148.8
1995-08-01,148.9
1995-09-01,149.4
1995-10-01,149.6
1995-11-01,149.5
1995-12-01,149.5
1996-01-01,150.2
1996-02-01,150.8
1996-03-01,151.7
1996-04-01,152.3
1996-05-01,152.7
1996-06-01,152.9
1996-07-01,153.2
1996-08-01,153.4
1996-09-01,154
1996-10-01,154.4
1996-11-01,155
1996-12-01,155.3
1997-01-01,155.5
1997-02-01,155.9
1997-03-01,155.9
1997-04-01,156.1
1997-05-01,156.3
1997-06-01,156.7
1997-07-01,156.6
1997-08-01,157.2
1997-09-01,157.5
1997-10-01,157.7
1997-11-01,157.7
1997-12-01,157.3
1998-01-01,157.6
1998-02-01,158
1998-03-01,158.4
1998-04-01,159
1998-05-01,159.4
1998-06-01,159.5
1998-07-01,159.8
1998-08-01,159.5
1998-09-01,159.9
1998-10-01,160.1
1998-11-01,160.1
1998-12-01,159.8
1999-01-01,160.4
1999-02-01,160.5
1999-03-01,161
1999-04-01,162.2
1999-05-01,162.2
1999-06-01,162.5
1999-07-01,162.9
1999-08-01,163.2
1999-09-01,164.3
1999-10-01,164.3
1999-11-01,164.6
1999-12-01,164.4
2000-01-01,164.9
2000-02-01,165.9
2000-03-01,167.1
2000-04-01,167
2000-05-01,167.5
2000-06-01,169.7
2000-07-01,168.8
2000-08-01,168.2
2000-09-01,170
2000-10-01,170.1
2000-11-01,170.3
2000-12-01,170.2
2001-01-01,171.9
2001-02-01,172.1
2001-03-01,171.7
2001-04-01,172.8
2001-05-01,174.2
2001-06-01,173.8
2001-07-01,172.5
2001-08-01,173
2001-09-01,174.6
2001-10-01,172.6
2001-11-01,172.5
2001-12-01,171.9
2002-01-01,172.1
2002-02-01,172.5
2002-03-01,173.6
2002-04-01,174.7
2002-05-01,174.8
2002-06-01,175.3
2002-07-01,175.3
2002-08-01,175.8
2002-09-01,176.2
2002-10-01,176.3
2002-11-01,176.1
2002-12-01,175.5
2003-01-01,176.2
2003-02-01,177.8
2003-03-01,178.6
2003-04-01,177.8
2003-05-01,177.7
2003-06-01,178.4
2003-07-01,178.1
2003-08-01,178.8
2003-09-01,179.5
2003-10-01,179.1
2003-11-01,178.9
2003-12-01,178.4
2004-01-01,179.4
2004-02-01,180.2
2004-03-01,181
2004-04-01,181.5
2004-05-01,182.9
2004-06-01,183.3
2004-07-01,183.2
2004-08-01,183.3
2004-09-01,183.6
2004-10-01,184.5
2004-11-01,184.8
2004-12-01,183.8
2005-01-01,184.1
2005-02-01,185.2
2005-03-01,186.3
2005-04-01,187.7
2005-05-01,187.4
2005-06-01,187.8
2005-07-01,188.4
2005-08-01,189.7
2005-09-01,192.5
2005-10-01,192.1
2005-11-01,190.3
2005-12-01,189.7
2006-01-01,190.8
2006-02-01,190.7
2006-03-01,192
2006-04-01,193
2006-05-01,193.6
2006-06-01,194.1
2006-07-01,194.6
2006-08-01,195.1
2006-09-01,193.7
2006-10-01,192.3
2006-11-01,192.8
2006-12-01,192.9
2007-01-01,193.068
2007-02-01,194.458
2007-03-01,196.389
2007-04-01,197.405
2007-05-01,199.194
2007-06-01,199.263
2007-07-01,198.989
2007-08-01,198.551
2007-09-01,199.714
2007-10-01,199.455
2007-11-01,200.762
2007-12-01,200.227
2008-01-01,201.427
2008-02-01,201.896
2008-03-01,203.723
2008-04-01,205.393
2008-05-01,207.168
2008-06-01,208.968
2008-07-01,210.071
2008-08-01,209.351
2008-09-01,209.252
2008-10-01,206.019
2008-11-01,201.737
2008-12-01,199.582
2009-01-01,200.815
2009-02-01,201.453
2009-03-01,202.021
2009-04-01,202.327
2009-05-01,203.195
2009-06-01,205.35
2009-07-01,204.814
2009-08-01,205.632
2009-09-01,205.601
2009-10-01,205.706
2009-11-01,206.247
2009-12-01,205.613
2010-01-01,206.564
2010-02-01,206.563
2010-03-01,207.359
2010-04-01,207.777
2010-05-01,207.987
2010-06-01,207.886
2010-07-01,208.211
2010-08-01,208.639
2010-09-01,208.788
2010-10-01,208.689
2010-11-01,208.816
2010-12-01,209.27
2011-01-01,210.388
2011-02-01,211.09
2011-03-01,212.954
2011-04-01,214.535
2011-05-01,215.899
2011-06-01,215.954
2011-07-01,216.099
2011-08-01,216.586
2011-09-01,216.968
2011-10-01,215.653
2011-11-01,215.614
2011-12-01,215.173
2012-01-01,216.368
2012-02-01,216.855
2012-03-01,218.975
2012-04-01,219.405
2012-05-01,219.145
2012-06-01,219.017
2012-07-01,218.956
2012-08-01,220.462
2012-09-01,221.125
2012-10-01,220.375
2012-11-01,219.483
2012-12-01,219.033
2013-01-01,219.282
2013-02-01,221.599
2013-03-01,222.121
2013-04-01,221.931
2013-05-01,223.049
2013-06-01,223.775
2013-07-01,222.902
2013-08-01,223.046
2013-09-01,223.252
2013-10-01,222.171
2013-11-01,221.718
2013-12-01,221.194
2014-01-01,222.247
2014-02-01,223.493
2014-03-01,225.485
2014-04-01,226.214
2014-05-01,226.565
2014-06-01,227.588
2014-07-01,226.997
2014-08-01,226.587
2014-09-01,226.913
2014-10-01,225.793
2014-11-01,224.396
2014-12-01,222.821
2015-01-01,221.545
2015-02-01,222.301
2015-03-01,223.55
2015-04-01,223.797
2015-05-01,224.732
2015-06-01,225.946
2015-07-01,225.853
2015-08-01,225.83
2015-09-01,225.184
2015-10-01,225.05
2015-11-01,224.009
2015-12-01,222.722
2016-01-01,223.301
2016-02-01,223.196
2016-03-01,224.621
2016-04-01,225.609
2016-05-01,226.476
2016-06-01,227.835
2016-07-01,226.786
2016-08-01,227.097
2016-09-01,227.636
2016-10-01,227.358
2016-11-01,226.673
2016-12-01,226.794
2017-01-01,228.279
2017-02-01,228.633
2017-03-01,228.824
2017-04-01,229.682
2017-05-01,229.705
2017-06-01,229.78
2017-07-01,229.82
2017-08-01,230.443
2017-09-01,231.03
2017-10-01,230.66
2017-11-01,231.084
2017-12-01,230.548
2018-01-01,232.028
2018-02-01,232.512
2018-03-01,232.931
2018-04-01,233.913
2018-05-01,235.065
2018-06-01,235.455
2018-07-01,235.346
2018-08-01,235.276
2018-09-01,235.524
2018-10-01,235.68
2018-11-01,234.292
2018-12-01,233.458
2019-01-01,233.837
2019-02-01,235.444
2019-03-01,236.793
2019-04-01,237.51
2019-05-01,238.219
2019-06-01,238.288
2019-07-01,238.76
2019-08-01,238.786
2019-09-01,238.847
2019-10-01,239.243
2019-11-01,238.85
2019-12-01,238.734
2020-01-01,239.69
2020-02-01,240.421
2020-03-01,239.163
2020-04-01,236.474
2020-05-01,237.291
2020-06-01,239.259
2020-07-01,240.43
2020-08-01,241.362
2020-09-01,241.878
2020-10-01,241.74
2020-11-01,241.316
2020-12-01,241.453
2021-01-01,242.552
2021-02-01,244.477
2021-03-01,246.246
2021-04-01,248.169
2021-05-01,250.582
2021-06-01,253.042
2021-07-01,254.671
2021-08-01,255.142
2021-09-01,255.709
2021-10-01,257.793
2021-11-01,258.911
2021-12-01,259.609
2022-01-01,261.657
2022-02-01,263.988
2022-03-01,267.312
2022-04-01,268.639
2022-05-01,272.673
2022-06-01,277.072
2022-07-01,276.525
2022-08-01,275.875
2022-09-01,276.549
2022-10-01,276.908
2022-11-01,276.436
2022-12-01,275.182
2023-01-01,277.332
2023-02-01,278.672
2023-03-01,280.33
2023-04-01,281.927
2023-05-01,282.656
2023-06-01,283.741
2023-07-01,284.64
2023-08-01,285.122
2023-09-01,285.276
2023-10-01,284.981
2023-11-01,284.539
