"Date","CUURA320SAM"
1994-08-01,NA
1994-09-01,190.7
1994-10-01,NA
1994-11-01,191.6
1994-12-01,NA
1995-01-01,196.6
1995-02-01,NA
1995-03-01,200.1
1995-04-01,NA
1995-05-01,201.7
1995-06-01,NA
1995-07-01,204.3
1995-08-01,NA
1995-09-01,204.9
1995-10-01,NA
1995-11-01,206.2
1995-12-01,NA
1996-01-01,212.8
1996-02-01,NA
1996-03-01,213.6
1996-04-01,NA
1996-05-01,214.9
1996-06-01,NA
1996-07-01,214.6
1996-08-01,NA
1996-09-01,216.3
1996-10-01,NA
1996-11-01,214
1996-12-01,NA
1997-01-01,215.1
1997-02-01,NA
1997-03-01,219.1
1997-04-01,NA
1997-05-01,219.6
1997-06-01,NA
1997-07-01,220.1
1997-08-01,NA
1997-09-01,219.6
1997-10-01,NA
1997-11-01,220.5
1997-12-01,220.7
1998-01-01,NA
1998-02-01,225.1
1998-03-01,NA
1998-04-01,225.4
1998-05-01,NA
1998-06-01,226
1998-07-01,NA
1998-08-01,228.9
1998-09-01,NA
1998-10-01,230.3
1998-11-01,NA
1998-12-01,230.7
1999-01-01,NA
1999-02-01,230.1
1999-03-01,NA
1999-04-01,230.8
1999-05-01,NA
1999-06-01,231
1999-07-01,NA
1999-08-01,232
1999-09-01,NA
1999-10-01,232.3
1999-11-01,NA
1999-12-01,232.3
2000-01-01,NA
2000-02-01,236
2000-03-01,NA
2000-04-01,236.7
2000-05-01,NA
2000-06-01,243.8
2000-07-01,NA
2000-08-01,244
2000-09-01,NA
2000-10-01,244.6
2000-11-01,NA
2000-12-01,245.5
2001-01-01,NA
2001-02-01,249
2001-03-01,NA
2001-04-01,249.2
2001-05-01,NA
2001-06-01,251.3
2001-07-01,NA
2001-08-01,252.4
2001-09-01,NA
2001-10-01,261.6
2001-11-01,NA
2001-12-01,260.1
2002-01-01,NA
2002-02-01,261
2002-03-01,NA
2002-04-01,262.3
2002-05-01,NA
2002-06-01,262.8
2002-07-01,NA
2002-08-01,263.5
2002-09-01,NA
2002-10-01,263.3
2002-11-01,NA
2002-12-01,270.4
2003-01-01,NA
2003-02-01,272.3
2003-03-01,NA
2003-04-01,273.7
2003-05-01,NA
2003-06-01,283.1
2003-07-01,NA
2003-08-01,283.3
2003-09-01,NA
2003-10-01,291.2
2003-11-01,NA
2003-12-01,288.4
2004-01-01,NA
2004-02-01,291
2004-03-01,NA
2004-04-01,294
2004-05-01,NA
2004-06-01,295.7
2004-07-01,NA
2004-08-01,295.5
2004-09-01,NA
2004-10-01,298
2004-11-01,NA
2004-12-01,298.4
2005-01-01,NA
2005-02-01,306
2005-03-01,NA
2005-04-01,309
2005-05-01,NA
2005-06-01,309.2
2005-07-01,NA
2005-08-01,310.6
2005-09-01,NA
2005-10-01,318.6
2005-11-01,NA
2005-12-01,319.8
2006-01-01,NA
2006-02-01,323.1
2006-03-01,NA
2006-04-01,324.9
2006-05-01,NA
2006-06-01,325.7
2006-07-01,NA
2006-08-01,326.6
2006-09-01,NA
2006-10-01,330.5
2006-11-01,NA
2006-12-01,322.5
2007-01-01,NA
2007-02-01,327.081
2007-03-01,NA
2007-04-01,329.654
2007-05-01,NA
2007-06-01,328.512
2007-07-01,NA
2007-08-01,327.568
2007-09-01,NA
2007-10-01,335.097
2007-11-01,NA
2007-12-01,339.333
2008-01-01,NA
2008-02-01,340.402
2008-03-01,NA
2008-04-01,342.803
2008-05-01,NA
2008-06-01,344.43
2008-07-01,NA
2008-08-01,356.383
2008-09-01,NA
2008-10-01,357.363
2008-11-01,NA
2008-12-01,358.319
2009-01-01,NA
2009-02-01,358.626
2009-03-01,NA
2009-04-01,361.56
2009-05-01,NA
2009-06-01,361.728
2009-07-01,NA
2009-08-01,362.802
2009-09-01,NA
2009-10-01,364.651
2009-11-01,NA
2009-12-01,365.493
2010-01-01,NA
2010-02-01,369.874
2010-03-01,NA
2010-04-01,370.111
2010-05-01,NA
2010-06-01,373.396
2010-07-01,NA
2010-08-01,373.768
2010-09-01,NA
2010-10-01,376.093
2010-11-01,NA
2010-12-01,374.555
2011-01-01,NA
2011-02-01,376.111
2011-03-01,NA
2011-04-01,388.277
2011-05-01,NA
2011-06-01,391.568
2011-07-01,NA
2011-08-01,391.509
2011-09-01,NA
2011-10-01,393.665
2011-11-01,NA
2011-12-01,391.377
2012-01-01,NA
2012-02-01,399.146
2012-03-01,NA
2012-04-01,401.908
2012-05-01,NA
2012-06-01,410.481
2012-07-01,NA
2012-08-01,404.925
2012-09-01,NA
2012-10-01,405.46
2012-11-01,NA
2012-12-01,408.589
2013-01-01,NA
2013-02-01,417.224
2013-03-01,NA
2013-04-01,410.391
2013-05-01,NA
2013-06-01,413.715
2013-07-01,NA
2013-08-01,420.764
2013-09-01,NA
2013-10-01,428.457
2013-11-01,NA
2013-12-01,423.323
2014-01-01,NA
2014-02-01,430.768
2014-03-01,NA
2014-04-01,432.064
2014-05-01,NA
2014-06-01,430.505
2014-07-01,NA
2014-08-01,430.966
2014-09-01,NA
2014-10-01,432.928
2014-11-01,NA
2014-12-01,434.049
2015-01-01,NA
2015-02-01,439.75
2015-03-01,NA
2015-04-01,441.767
2015-05-01,NA
2015-06-01,455.954
2015-07-01,NA
2015-08-01,457.358
2015-09-01,NA
2015-10-01,460.337
2015-11-01,NA
2015-12-01,462.139
2016-01-01,NA
2016-02-01,460.469
2016-03-01,NA
2016-04-01,459.882
2016-05-01,NA
2016-06-01,467.806
2016-07-01,NA
2016-08-01,475.023
2016-09-01,NA
2016-10-01,464.399
2016-11-01,NA
2016-12-01,504.656
2017-01-01,NA
2017-02-01,506.738
2017-03-01,NA
2017-04-01,508.244
2017-05-01,NA
2017-06-01,504.024
2017-07-01,NA
2017-08-01,501.74
2017-09-01,NA
2017-10-01,505.431
2017-11-01,NA
2017-12-01,506.044
2018-01-01,NA
2018-02-01,568.048
2018-03-01,NA
2018-04-01,558.838
2018-05-01,NA
2018-06-01,558.458
2018-07-01,NA
2018-08-01,555.906
2018-09-01,NA
2018-10-01,557.714
2018-11-01,NA
2018-12-01,551.537
2019-01-01,NA
2019-02-01,552.978
2019-03-01,NA
2019-04-01,554.785
2019-05-01,NA
2019-06-01,560.799
2019-07-01,NA
2019-08-01,563.843
2019-09-01,NA
2019-10-01,566.276
2019-11-01,NA
2019-12-01,570.315
2020-01-01,NA
2020-02-01,573.166
2020-03-01,NA
2020-04-01,580.389
2020-05-01,NA
2020-06-01,580.613
2020-07-01,NA
2020-08-01,586.074
2020-09-01,NA
2020-10-01,578.907
2020-11-01,NA
2020-12-01,573.943
2021-01-01,NA
2021-02-01,586.668
2021-03-01,NA
2021-04-01,585.347
2021-05-01,NA
2021-06-01,579.432
2021-07-01,NA
2021-08-01,587.054
2021-09-01,NA
2021-10-01,588.759
2021-11-01,NA
2021-12-01,591.075
2022-01-01,NA
2022-02-01,594.555
2022-03-01,NA
2022-04-01,594.318
2022-05-01,NA
2022-06-01,614
2022-07-01,NA
2022-08-01,615.356
2022-09-01,NA
2022-10-01,615.279
2022-11-01,NA
2022-12-01,611.211
2023-01-01,NA
2023-02-01,608.22
2023-03-01,NA
2023-04-01,602.063
2023-05-01,NA
2023-06-01,610.032
2023-07-01,NA
2023-08-01,604.993
2023-09-01,NA
2023-10-01,608.138
