"Date","CUUR0300SA0L2"
2018-04-01,231.707
2018-05-01,232.53
2018-06-01,233.097
2018-07-01,232.795
2018-08-01,232.501
2018-09-01,232.344
2018-10-01,232.764
2018-11-01,231.548
2018-12-01,229.578
2019-01-01,229.833
2019-02-01,231.182
2019-03-01,233.164
2019-04-01,234.716
2019-05-01,234.159
2019-06-01,233.494
2019-07-01,234.326
2019-08-01,233.793
2019-09-01,233.429
2019-10-01,233.991
2019-11-01,233.725
2019-12-01,233.397
2020-01-01,233.998
2020-02-01,234.255
2020-03-01,233.688
2020-04-01,231.148
2020-05-01,230.143
2020-06-01,232.191
2020-07-01,233.855
2020-08-01,234.962
2020-09-01,235.597
2020-10-01,235.802
2020-11-01,235.344
2020-12-01,235.817
2021-01-01,237.389
2021-02-01,238.967
2021-03-01,241.28
2021-04-01,243.553
2021-05-01,246.118
2021-06-01,248.833
2021-07-01,250.169
2021-08-01,250.858
2021-09-01,251.441
2021-10-01,254.474
2021-11-01,255.701
2021-12-01,256.473
2022-01-01,259.073
2022-02-01,262.488
2022-03-01,267.114
2022-04-01,268.224
2022-05-01,272.008
2022-06-01,276.66
2022-07-01,275.898
2022-08-01,274.268
2022-09-01,273.764
2022-10-01,274.428
2022-11-01,273.664
2022-12-01,271.49
2023-01-01,273.484
2023-02-01,274.853
2023-03-01,275.551
2023-04-01,277.409
2023-05-01,277.164
2023-06-01,277.849
2023-07-01,278.048
2023-08-01,279.831
2023-09-01,279.854
2023-10-01,279.075
2023-11-01,277.922
