"Date","CUUR0400SA0"
1982-11-01,NA
1982-12-01,96.6
1983-01-01,NA
1983-02-01,97.1
1983-03-01,NA
1983-04-01,97.7
1983-05-01,NA
1983-06-01,99.1
1983-07-01,NA
1983-08-01,99.9
1983-09-01,NA
1983-10-01,100.5
1983-11-01,NA
1983-12-01,100.7
1984-01-01,NA
1984-02-01,101.6
1984-03-01,NA
1984-04-01,102.6
1984-05-01,NA
1984-06-01,103.6
1984-07-01,NA
1984-08-01,104.2
1984-09-01,NA
1984-10-01,105.3
1984-11-01,NA
1984-12-01,105.3
1985-01-01,NA
1985-02-01,106
1985-03-01,NA
1985-04-01,107
1985-05-01,NA
1985-06-01,108
1985-07-01,NA
1985-08-01,108.8
1985-09-01,NA
1985-10-01,109.4
1985-11-01,NA
1985-12-01,109.6
1986-01-01,NA
1986-02-01,109.8
1986-03-01,NA
1986-04-01,109.4
1986-05-01,NA
1986-06-01,110.6
1986-07-01,NA
1986-08-01,110.7
1986-09-01,NA
1986-10-01,111.6
1986-11-01,NA
1986-12-01,111.1
1987-01-01,111.7
1987-02-01,112.6
1987-03-01,113
1987-04-01,113.7
1987-05-01,114.1
1987-06-01,114.2
1987-07-01,114.3
1987-08-01,114.8
1987-09-01,115.5
1987-10-01,115.9
1987-11-01,116
1987-12-01,116.2
1988-01-01,116.7
1988-02-01,116.9
1988-03-01,117.5
1988-04-01,117.9
1988-05-01,118.5
1988-06-01,118.7
1988-07-01,119.2
1988-08-01,119.6
1988-09-01,120.2
1988-10-01,120.7
1988-11-01,120.7
1988-12-01,120.9
1989-01-01,121.7
1989-02-01,122.3
1989-03-01,123.1
1989-04-01,123.8
1989-05-01,124.5
1989-06-01,124.6
1989-07-01,125.1
1989-08-01,125.3
1989-09-01,125.6
1989-10-01,126.1
1989-11-01,126.3
1989-12-01,126.8
1990-01-01,127.8
1990-02-01,128.8
1990-03-01,129.6
1990-04-01,129.6
1990-05-01,130
1990-06-01,130.8
1990-07-01,131.3
1990-08-01,132.2
1990-09-01,133.5
1990-10-01,134.3
1990-11-01,134.5
1990-12-01,135
1991-01-01,136
1991-02-01,135.9
1991-03-01,135.8
1991-04-01,136.2
1991-05-01,136.3
1991-06-01,136.8
1991-07-01,137.3
1991-08-01,137.9
1991-09-01,138.6
1991-10-01,138.6
1991-11-01,139
1991-12-01,139
1992-01-01,139.8
1992-02-01,140.5
1992-03-01,141.1
1992-04-01,141.3
1992-05-01,141.4
1992-06-01,141.6
1992-07-01,141.9
1992-08-01,142.3
1992-09-01,142.9
1992-10-01,143.7
1992-11-01,143.9
1992-12-01,143.9
1993-01-01,144.7
1993-02-01,145.2
1993-03-01,145.2
1993-04-01,145.7
1993-05-01,146
1993-06-01,146
1993-07-01,146
1993-08-01,146.2
1993-09-01,146.6
1993-10-01,147.1
1993-11-01,147.5
1993-12-01,147.8
1994-01-01,148.1
1994-02-01,148.3
1994-03-01,149
1994-04-01,148.9
1994-05-01,148.8
1994-06-01,148.9
1994-07-01,149.5
1994-08-01,150.1
1994-09-01,150.6
1994-10-01,151
1994-11-01,151.1
1994-12-01,151.2
1995-01-01,152
1995-02-01,152.4
1995-03-01,152.8
1995-04-01,153.2
1995-05-01,153.5
1995-06-01,153.6
1995-07-01,153.5
1995-08-01,153.7
1995-09-01,154.1
1995-10-01,154.6
1995-11-01,154.4
1995-12-01,154.3
1996-01-01,155.3
1996-02-01,155.8
1996-03-01,156.4
1996-04-01,157.1
1996-05-01,157.6
1996-06-01,157.5
1996-07-01,157.9
1996-08-01,158
1996-09-01,158.6
1996-10-01,159.1
1996-11-01,159.2
1996-12-01,158.7
1997-01-01,159.6
1997-02-01,160.1
1997-03-01,160.8
1997-04-01,161.1
1997-05-01,161.1
1997-06-01,161
1997-07-01,161.1
1997-08-01,161.5
1997-09-01,162.1
1997-10-01,162.8
1997-11-01,162.8
1997-12-01,162.8
1998-01-01,163
1998-02-01,163.2
1998-03-01,163.3
1998-04-01,163.6
1998-05-01,164.3
1998-06-01,164.2
1998-07-01,164.3
1998-08-01,164.8
1998-09-01,165.1
1998-10-01,165.5
1998-11-01,165.8
1998-12-01,165.8
1999-01-01,166.4
1999-02-01,166.9
1999-03-01,167.3
1999-04-01,169
1999-05-01,168.7
1999-06-01,168.3
1999-07-01,168.9
1999-08-01,169.5
1999-09-01,170
1999-10-01,170.4
1999-11-01,170.4
1999-12-01,170.5
2000-01-01,171
2000-02-01,172
2000-03-01,173.5
2000-04-01,173.7
2000-05-01,174
2000-06-01,174.3
2000-07-01,175.2
2000-08-01,175.9
2000-09-01,176.6
2000-10-01,177.2
2000-11-01,177.2
2000-12-01,177.1
2001-01-01,178.3
2001-02-01,179.3
2001-03-01,180.1
2001-04-01,180.4
2001-05-01,181.3
2001-06-01,182
2001-07-01,182
2001-08-01,181.9
2001-09-01,182.5
2001-10-01,182.5
2001-11-01,182.3
2001-12-01,181.6
2002-01-01,182.4
2002-02-01,183.2
2002-03-01,184
2002-04-01,185.1
2002-05-01,184.8
2002-06-01,184.5
2002-07-01,184.7
2002-08-01,185.3
2002-09-01,185.7
2002-10-01,185.8
2002-11-01,185.8
2002-12-01,185.5
2003-01-01,186.6
2003-02-01,188.1
2003-03-01,189.3
2003-04-01,188.8
2003-05-01,188.5
2003-06-01,188.1
2003-07-01,188.4
2003-08-01,189.2
2003-09-01,189.6
2003-10-01,189.4
2003-11-01,188.5
2003-12-01,188.3
2004-01-01,189.4
2004-02-01,190.8
2004-03-01,192.2
2004-04-01,192.3
2004-05-01,193.4
2004-06-01,193.3
2004-07-01,192.9
2004-08-01,193
2004-09-01,193.8
2004-10-01,195
2004-11-01,195.1
2004-12-01,194.2
2005-01-01,194.5
2005-02-01,195.7
2005-03-01,197.1
2005-04-01,198.6
2005-05-01,198.8
2005-06-01,198
2005-07-01,198.6
2005-08-01,199.6
2005-09-01,201.7
2005-10-01,202.6
2005-11-01,201.4
2005-12-01,200
2006-01-01,201.7
2006-02-01,202.7
2006-03-01,203.8
2006-04-01,205.3
2006-05-01,206.9
2006-06-01,206.4
2006-07-01,206.7
2006-08-01,207.5
2006-09-01,207.8
2006-10-01,207.1
2006-11-01,206.3
2006-12-01,206.2
2007-01-01,207.79
2007-02-01,208.995
2007-03-01,210.778
2007-04-01,212.036
2007-05-01,213.063
2007-06-01,212.68
2007-07-01,212.542
2007-08-01,212.406
2007-09-01,212.92
2007-10-01,213.917
2007-11-01,214.904
2007-12-01,214.733
2008-01-01,215.739
2008-02-01,216.339
2008-03-01,218.533
2008-04-01,219.437
2008-05-01,221.009
2008-06-01,223.04
2008-07-01,223.867
2008-08-01,222.823
2008-09-01,222.132
2008-10-01,221.034
2008-11-01,217.113
2008-12-01,214.685
2009-01-01,215.923
2009-02-01,217.095
2009-03-01,217.357
2009-04-01,217.91
2009-05-01,218.567
2009-06-01,219.865
2009-07-01,219.484
2009-08-01,219.884
2009-09-01,220.294
2009-10-01,220.447
2009-11-01,219.728
2009-12-01,219.307
2010-01-01,219.989
2010-02-01,220.179
2010-03-01,220.809
2010-04-01,221.202
2010-05-01,221.417
2010-06-01,221.147
2010-07-01,221.331
2010-08-01,221.523
2010-09-01,221.384
2010-10-01,221.708
2010-11-01,221.671
2010-12-01,222.081
2011-01-01,223.149
2011-02-01,224.431
2011-03-01,226.558
2011-04-01,227.837
2011-05-01,228.516
2011-06-01,228.075
2011-07-01,227.805
2011-08-01,228.222
2011-09-01,229.147
2011-10-01,229.195
2011-11-01,228.771
2011-12-01,228.117
2012-01-01,228.98
2012-02-01,229.995
2012-03-01,232.039
2012-04-01,232.561
2012-05-01,233.053
2012-06-01,232.701
2012-07-01,231.893
2012-08-01,233.001
2012-09-01,234.083
2012-10-01,234.966
2012-11-01,233.206
2012-12-01,232.029
2013-01-01,232.759
2013-02-01,234.595
2013-03-01,235.511
2013-04-01,235.488
2013-05-01,235.979
2013-06-01,236.227
2013-07-01,236.341
2013-08-01,236.591
2013-09-01,237.146
2013-10-01,237
2013-11-01,236.153
2013-12-01,236.096
2014-01-01,236.707
2014-02-01,237.614
2014-03-01,239.092
2014-04-01,239.808
2014-05-01,241.35
2014-06-01,241.616
2014-07-01,241.85
2014-08-01,241.66
2014-09-01,241.92
2014-10-01,241.65
2014-11-01,240.22
2014-12-01,239.095
2015-01-01,238.318
2015-02-01,239.748
2015-03-01,241.69
2015-04-01,242.302
2015-05-01,244.227
2015-06-01,244.332
2015-07-01,245.04
2015-08-01,244.737
2015-09-01,244.257
2015-10-01,244.341
2015-11-01,243.749
2015-12-01,243.434
2016-01-01,244.6
2016-02-01,244.821
2016-03-01,245.404
2016-04-01,246.589
2016-05-01,247.855
2016-06-01,248.228
2016-07-01,248.375
2016-08-01,248.498
2016-09-01,249.234
2016-10-01,249.897
2016-11-01,249.448
2016-12-01,249.516
2017-01-01,250.814
2017-02-01,252.252
2017-03-01,252.949
2017-04-01,253.806
2017-05-01,254.38
2017-06-01,254.469
2017-07-01,254.708
2017-08-01,255.282
2017-09-01,256.504
2017-10-01,257.223
2017-11-01,257.126
2017-12-01,257.347
2018-01-01,258.638
2018-02-01,259.986
2018-03-01,260.994
2018-04-01,262.037
2018-05-01,263.24
2018-06-01,263.732
2018-07-01,263.971
2018-08-01,264.395
2018-09-01,265.105
2018-10-01,266.195
2018-11-01,265.658
2018-12-01,265.209
2019-01-01,265.624
2019-02-01,266.215
2019-03-01,267.37
2019-04-01,269.522
2019-05-01,270.88
2019-06-01,270.957
2019-07-01,271.029
2019-08-01,271.264
2019-09-01,272.102
2019-10-01,273.524
2019-11-01,273.128
2019-12-01,272.584
2020-01-01,273.34
2020-02-01,274.412
2020-03-01,273.995
2020-04-01,272.913
2020-05-01,273.062
2020-06-01,274.155
2020-07-01,275.597
2020-08-01,276.443
2020-09-01,276.422
2020-10-01,276.876
2020-11-01,276.875
2020-12-01,276.593
2021-01-01,277.238
2021-02-01,278.702
2021-03-01,280.625
2021-04-01,283.507
2021-05-01,285.793
2021-06-01,288.263
2021-07-01,289.863
2021-08-01,290.393
2021-09-01,291.053
2021-10-01,293.397
2021-11-01,294.986
2021-12-01,296.102
2022-01-01,298.705
2022-02-01,301.158
2022-03-01,305.082
2022-04-01,307.145
2022-05-01,309.645
2022-06-01,313.496
2022-07-01,313.951
2022-08-01,314.013
2022-09-01,315.094
2022-10-01,317.299
2022-11-01,315.919
2022-12-01,314.599
2023-01-01,317.477
2023-02-01,319.13
2023-03-01,320.715
2023-04-01,322.187
2023-05-01,323.525
2023-06-01,324.448
2023-07-01,324.865
2023-08-01,326.234
2023-09-01,327.491
2023-10-01,327.708
2023-11-01,326.299
