"Date","CUURX400SAM"
2017-12-01,201.78
2018-01-01,203.077
2018-02-01,203.478
2018-03-01,204.99
2018-04-01,204.994
2018-05-01,205.933
2018-06-01,207.663
2018-07-01,207.426
2018-08-01,207.746
2018-09-01,208.202
2018-10-01,208.906
2018-11-01,209.732
2018-12-01,210.034
2019-01-01,209.992
2019-02-01,210.236
2019-03-01,210.95
2019-04-01,212.201
2019-05-01,212.031
2019-06-01,212.047
2019-07-01,213.019
2019-08-01,215.108
2019-09-01,215.2
2019-10-01,218.38
2019-11-01,219.749
2019-12-01,226.858
2020-01-01,227.521
2020-02-01,227.013
2020-03-01,228.847
2020-04-01,228.069
2020-05-01,228.773
2020-06-01,230.104
2020-07-01,231.339
2020-08-01,231.618
2020-09-01,230.788
2020-10-01,229.264
2020-11-01,228.8
2020-12-01,228.242
2021-01-01,228.77
2021-02-01,228.658
2021-03-01,229.391
2021-04-01,230.983
2021-05-01,229.737
2021-06-01,228.882
2021-07-01,229.277
2021-08-01,230.159
2021-09-01,230.213
2021-10-01,231.182
2021-11-01,231.956
2021-12-01,231.191
2022-01-01,233.992
2022-02-01,235.725
2022-03-01,236.301
2022-04-01,236.736
2022-05-01,237.647
2022-06-01,236.275
2022-07-01,236.402
2022-08-01,241.875
2022-09-01,245.172
2022-10-01,243.121
2022-11-01,240.979
2022-12-01,241.472
2023-01-01,241.164
2023-02-01,237.843
2023-03-01,240.82
2023-04-01,242.663
2023-05-01,244.969
2023-06-01,243.74
2023-07-01,242.78
2023-08-01,244.884
2023-09-01,249.945
2023-10-01,249.991
2023-11-01,252.324
