"Date","CWSR0000SAF112"
2012-12-01,232.864
2013-01-01,233.558
2013-02-01,233.979
2013-03-01,233.567
2013-04-01,233.865
2013-05-01,233.646
2013-06-01,234.82
2013-07-01,235.223
2013-08-01,236.406
2013-09-01,236.932
2013-10-01,238.712
2013-11-01,238.6
2013-12-01,239.503
2014-01-01,240.586
2014-02-01,242.635
2014-03-01,245.602
2014-04-01,249.319
2014-05-01,252.437
2014-06-01,252.657
2014-07-01,253.105
2014-08-01,256.965
2014-09-01,259.234
2014-10-01,258.933
2014-11-01,260.441
2014-12-01,261.981
2015-01-01,262.395
2015-02-01,262.138
2015-03-01,260.853
2015-04-01,259.199
2015-05-01,258.027
2015-06-01,261.524
2015-07-01,261.601
2015-08-01,262.585
2015-09-01,261.949
2015-10-01,260.928
2015-11-01,259.34
2015-12-01,256.157
2016-01-01,253.391
2016-02-01,252.785
2016-03-01,252.026
2016-04-01,251.125
2016-05-01,249.653
2016-06-01,248.07
2016-07-01,246.546
2016-08-01,245.447
2016-09-01,245.635
2016-10-01,244.514
2016-11-01,244.249
2016-12-01,242.962
2017-01-01,244.184
2017-02-01,244.963
2017-03-01,245.455
2017-04-01,243.745
2017-05-01,244.211
2017-06-01,245.285
2017-07-01,246.728
2017-08-01,246.881
2017-09-01,246.835
2017-10-01,248.229
2017-11-01,247.611
2017-12-01,250.612
2018-01-01,249.698
2018-02-01,249.662
2018-03-01,250.889
2018-04-01,252.129
2018-05-01,249.35
2018-06-01,247.881
2018-07-01,248.97
2018-08-01,249.656
2018-09-01,248.545
2018-10-01,248.112
2018-11-01,248.825
2018-12-01,249.618
2019-01-01,250.306
2019-02-01,251.122
2019-03-01,250.423
2019-04-01,249.408
2019-05-01,249.816
2019-06-01,248.392
2019-07-01,248.755
2019-08-01,248.072
2019-09-01,249.262
2019-10-01,250.221
2019-11-01,251.309
2019-12-01,254.803
2020-01-01,254.862
2020-02-01,255.647
2020-03-01,255.924
2020-04-01,265.817
2020-05-01,275.034
2020-06-01,279.405
2020-07-01,269.138
2020-08-01,265.544
2020-09-01,264.41
2020-10-01,265.18
2020-11-01,265.888
2020-12-01,266.186
2021-01-01,267.681
2021-02-01,269.135
2021-03-01,270.039
2021-04-01,271.498
2021-05-01,275.167
2021-06-01,281.357
2021-07-01,285.179
2021-08-01,286.868
2021-09-01,292.628
2021-10-01,297.127
2021-11-01,300.527
2021-12-01,300.009
2022-01-01,301.084
2022-02-01,304.219
2022-03-01,307.194
2022-04-01,310.617
2022-05-01,314.218
2022-06-01,314.387
2022-07-01,316.029
2022-08-01,317.465
2022-09-01,318.774
2022-10-01,320.505
2022-11-01,320.582
2022-12-01,323.024
2023-01-01,324.873
2023-02-01,324.346
2023-03-01,319.894
2023-04-01,318.996
2023-05-01,315.351
2023-06-01,314.383
2023-07-01,316.007
2023-08-01,318.229
2023-09-01,319.855
2023-10-01,322.304
2023-11-01,321.49
