"Date","CUUR0000SAD"
1979-10-01,77.3
1979-11-01,78.3
1979-12-01,78.8
1980-01-01,79.4
1980-02-01,79.7
1980-03-01,80.1
1980-04-01,80.8
1980-05-01,81.7
1980-06-01,82.3
1980-07-01,82.8
1980-08-01,83.8
1980-09-01,84.9
1980-10-01,86
1980-11-01,87
1980-12-01,87.2
1981-01-01,87.2
1981-02-01,86.9
1981-03-01,86.7
1981-04-01,87.2
1981-05-01,88.3
1981-06-01,89.4
1981-07-01,90.6
1981-08-01,91.1
1981-09-01,91.7
1981-10-01,91.9
1981-11-01,92
1981-12-01,92.2
1982-01-01,92.1
1982-02-01,92.2
1982-03-01,92.1
1982-04-01,93
1982-05-01,94.6
1982-06-01,95.9
1982-07-01,96.5
1982-08-01,96.5
1982-09-01,96.3
1982-10-01,97
1982-11-01,97.3
1982-12-01,97.5
1983-01-01,97.5
1983-02-01,97.5
1983-03-01,97.6
1983-04-01,98.1
1983-05-01,98.4
1983-06-01,99.1
1983-07-01,99.8
1983-08-01,100.3
1983-09-01,101.1
1983-10-01,102
1983-11-01,102.9
1983-12-01,103.3
1984-01-01,103.1
1984-02-01,102.9
1984-03-01,103.4
1984-04-01,104.6
1984-05-01,105.3
1984-06-01,105.6
1984-07-01,105.6
1984-08-01,105.6
1984-09-01,106
1984-10-01,106.2
1984-11-01,106.5
1984-12-01,106.4
1985-01-01,106.6
1985-02-01,107.1
1985-03-01,107.2
1985-04-01,107.5
1985-05-01,107.1
1985-06-01,106.7
1985-07-01,106.2
1985-08-01,105.9
1985-09-01,106
1985-10-01,106.6
1985-11-01,107.1
1985-12-01,107.1
1986-01-01,107.1
1986-02-01,106.7
1986-03-01,106.4
1986-04-01,106.2
1986-05-01,106.3
1986-06-01,106.5
1986-07-01,106.3
1986-08-01,106.1
1986-09-01,106.2
1986-10-01,106.7
1986-11-01,107.2
1986-12-01,107.2
1987-01-01,107.4
1987-02-01,107
1987-03-01,107.2
1987-04-01,107.7
1987-05-01,107.9
1987-06-01,108.2
1987-07-01,108.4
1987-08-01,108.3
1987-09-01,108.3
1987-10-01,108.8
1987-11-01,109.6
1987-12-01,109.5
1988-01-01,109.4
1988-02-01,109.4
1988-03-01,109.5
1988-04-01,109.7
1988-05-01,109.9
1988-06-01,110.2
1988-07-01,110.3
1988-08-01,110.3
1988-09-01,110.6
1988-10-01,111.1
1988-11-01,111.8
1988-12-01,112.2
1989-01-01,112.5
1989-02-01,112.4
1989-03-01,111.9
1989-04-01,111.8
1989-05-01,111.9
1989-06-01,112.1
1989-07-01,111.9
1989-08-01,111.4
1989-09-01,111.3
1989-10-01,112.1
1989-11-01,113
1989-12-01,113.5
1990-01-01,113.8
1990-02-01,113.7
1990-03-01,113.4
1990-04-01,113.1
1990-05-01,113.2
1990-06-01,112.9
1990-07-01,113
1990-08-01,112.9
1990-09-01,112.8
1990-10-01,113.6
1990-11-01,114.1
1990-12-01,114.5
1991-01-01,115
1991-02-01,115.5
1991-03-01,115.5
1991-04-01,115.5
1991-05-01,115.9
1991-06-01,116
1991-07-01,116.3
1991-08-01,115.9
1991-09-01,115.9
1991-10-01,116.3
1991-11-01,117
1991-12-01,117.2
1992-01-01,117.4
1992-02-01,117.6
1992-03-01,117.9
1992-04-01,118.2
1992-05-01,118.4
1992-06-01,118.5
1992-07-01,118.6
1992-08-01,118.5
1992-09-01,118.5
1992-10-01,119.2
1992-11-01,120
1992-12-01,120.1
1993-01-01,120
1993-02-01,120
1993-03-01,120.2
1993-04-01,120.6
1993-05-01,120.8
1993-06-01,121
1993-07-01,121.1
1993-08-01,121.3
1993-09-01,121.5
1993-10-01,122.3
1993-11-01,123.1
1993-12-01,123.3
1994-01-01,123.4
1994-02-01,123.3
1994-03-01,123.4
1994-04-01,123.7
1994-05-01,124.4
1994-06-01,124.9
1994-07-01,125.1
1994-08-01,125.1
1994-09-01,125.1
1994-10-01,125.7
1994-11-01,126.5
1994-12-01,126.9
1995-01-01,127.2
1995-02-01,127.6
1995-03-01,127.7
1995-04-01,128.1
1995-05-01,128.1
1995-06-01,128
1995-07-01,127.8
1995-08-01,127.7
1995-09-01,127.8
1995-10-01,128.2
1995-11-01,128.7
1995-12-01,129
1996-01-01,129.3
1996-02-01,129.4
1996-03-01,129.5
1996-04-01,129.5
1996-05-01,129.3
1996-06-01,129.3
1996-07-01,129.1
1996-08-01,128.9
1996-09-01,129.2
1996-10-01,129.3
1996-11-01,129.6
1996-12-01,129.9
1997-01-01,129.7
1997-02-01,129.8
1997-03-01,129.9
1997-04-01,129.6
1997-05-01,129.4
1997-06-01,129
1997-07-01,128.3
1997-08-01,127.7
1997-09-01,127.6
1997-10-01,127.8
1997-11-01,127.9
1997-12-01,128
1998-01-01,128.2
1998-02-01,128.2
1998-03-01,128
1998-04-01,128.1
1998-05-01,127.6
1998-06-01,127.4
1998-07-01,127.5
1998-08-01,127.2
1998-09-01,126.8
1998-10-01,126.9
1998-11-01,127.4
1998-12-01,127.4
1999-01-01,127.1
1999-02-01,126.4
1999-03-01,126
1999-04-01,126.1
1999-05-01,125.8
1999-06-01,125.7
1999-07-01,125.6
1999-08-01,125.4
1999-09-01,125.7
1999-10-01,125.9
1999-11-01,126
1999-12-01,125.9
2000-01-01,125.7
2000-02-01,125.3
2000-03-01,125.6
2000-04-01,125.6
2000-05-01,125.8
2000-06-01,125.4
2000-07-01,125.2
2000-08-01,124.7
2000-09-01,124.8
2000-10-01,125
2000-11-01,125.5
2000-12-01,125.9
2001-01-01,125.9
2001-02-01,125.9
2001-03-01,125.5
2001-04-01,125.4
2001-05-01,124.9
2001-06-01,124.5
2001-07-01,124.2
2001-08-01,123.6
2001-09-01,123.4
2001-10-01,123.6
2001-11-01,124.2
2001-12-01,124.3
2002-01-01,123.6
2002-02-01,122.7
2002-03-01,122.1
2002-04-01,121.9
2002-05-01,121.7
2002-06-01,121.3
2002-07-01,121.1
2002-08-01,120.7
2002-09-01,120.6
2002-10-01,120.6
2002-11-01,120.5
2002-12-01,120.2
2003-01-01,119.9
2003-02-01,119.7
2003-03-01,119.5
2003-04-01,119.2
2003-05-01,118.5
2003-06-01,118
2003-07-01,117.4
2003-08-01,116.7
2003-09-01,115.7
2003-10-01,115.2
2003-11-01,115.1
2003-12-01,115
2004-01-01,115.1
2004-02-01,115.3
2004-03-01,115.1
2004-04-01,115
2004-05-01,114.8
2004-06-01,114.5
2004-07-01,114.1
2004-08-01,113.7
2004-09-01,114.1
2004-10-01,114.7
2004-11-01,115.3
2004-12-01,115.5
2005-01-01,116
2005-02-01,116
2005-03-01,115.7
2005-04-01,115.6
2005-05-01,115.7
2005-06-01,115.4
2005-07-01,114.9
2005-08-01,114.4
2005-09-01,114.6
2005-10-01,114.9
2005-11-01,114.9
2005-12-01,114.9
2006-01-01,115.3
2006-02-01,115.3
2006-03-01,115.1
2006-04-01,115.1
2006-05-01,114.9
2006-06-01,114.6
2006-07-01,114.6
2006-08-01,114.3
2006-09-01,113.8
2006-10-01,113.8
2006-11-01,113.5
2006-12-01,113.3
2007-01-01,113.263
2007-02-01,113.21
2007-03-01,113.163
2007-04-01,112.989
2007-05-01,112.637
2007-06-01,112.375
2007-07-01,112.177
2007-08-01,112.036
2007-09-01,111.746
2007-10-01,111.889
2007-11-01,112.103
2007-12-01,112.093
2008-01-01,112.3
2008-02-01,112.094
2008-03-01,112.059
2008-04-01,111.671
2008-05-01,111.362
2008-06-01,111.232
2008-07-01,111.275
2008-08-01,110.779
2008-09-01,110.077
2008-10-01,109.677
2008-11-01,109.191
2008-12-01,108.811
2009-01-01,109.025
2009-02-01,109.221
2009-03-01,109.264
2009-04-01,109.404
2009-05-01,109.65
2009-06-01,109.983
2009-07-01,109.924
2009-08-01,109.129
2009-09-01,109.387
2009-10-01,110.684
2009-11-01,111.159
2009-12-01,111.477
2010-01-01,111.731
2010-02-01,111.753
2010-03-01,111.694
2010-04-01,111.45
2010-05-01,111.454
2010-06-01,111.443
2010-07-01,111.555
2010-08-01,111.587
2010-09-01,111.174
2010-10-01,110.966
2010-11-01,110.573
2010-12-01,110.512
2011-01-01,110.696
2011-02-01,111.237
2011-03-01,111.707
2011-04-01,112.242
2011-05-01,112.941
2011-06-01,113.598
2011-07-01,113.778
2011-08-01,113.799
2011-09-01,113.177
2011-10-01,112.822
2011-11-01,112.405
2011-12-01,112.277
2012-01-01,112.399
2012-02-01,112.78
2012-03-01,112.926
2012-04-01,113.306
2012-05-01,113.622
2012-06-01,113.803
2012-07-01,113.751
2012-08-01,113.25
2012-09-01,112.394
2012-10-01,111.97
2012-11-01,111.719
2012-12-01,111.563
2013-01-01,111.805
2013-02-01,112.097
2013-03-01,112.269
2013-04-01,112.46
2013-05-01,112.529
2013-06-01,112.524
2013-07-01,112.304
2013-08-01,112.047
2013-09-01,111.678
2013-10-01,111.314
2013-11-01,110.934
2013-12-01,110.704
2014-01-01,110.697
2014-02-01,110.844
2014-03-01,110.925
2014-04-01,111.212
2014-05-01,111.086
2014-06-01,110.856
2014-07-01,110.723
2014-08-01,110.475
2014-09-01,110.047
2014-10-01,109.811
2014-11-01,109.016
2014-12-01,108.5
2015-01-01,108.474
2015-02-01,109.062
2015-03-01,109.587
2015-04-01,110.212
2015-05-01,110.197
2015-06-01,110.049
2015-07-01,109.652
2015-08-01,109.187
2015-09-01,108.948
2015-10-01,108.5
2015-11-01,107.926
2015-12-01,107.599
2016-01-01,107.862
2016-02-01,108.252
2016-03-01,108.525
2016-04-01,108.676
2016-05-01,108.345
2016-06-01,107.832
2016-07-01,107.432
2016-08-01,106.982
2016-09-01,106.41
2016-10-01,106.123
2016-11-01,105.479
2016-12-01,105.431
2017-01-01,106.147
2017-02-01,106.326
2017-03-01,106.343
2017-04-01,106.397
2017-05-01,106.257
2017-06-01,105.917
2017-07-01,105.298
2017-08-01,104.9
2017-09-01,104.175
2017-10-01,103.838
2017-11-01,103.714
2017-12-01,104.083
2018-01-01,104.433
2018-02-01,104.626
2018-03-01,105.046
2018-04-01,104.891
2018-05-01,104.583
2018-06-01,104.636
2018-07-01,104.864
2018-08-01,104.669
2018-09-01,103.488
2018-10-01,103.726
2018-11-01,103.913
2018-12-01,104.169
2019-01-01,104.808
2019-02-01,105.042
2019-03-01,105.379
2019-04-01,105.178
2019-05-01,104.849
2019-06-01,105.167
2019-07-01,105.369
2019-08-01,105.331
2019-09-01,104.385
2019-10-01,104.263
2019-11-01,103.902
2019-12-01,103.695
2020-01-01,103.896
2020-02-01,104.421
2020-03-01,104.703
2020-04-01,104.336
2020-05-01,104.309
2020-06-01,104.188
2020-07-01,105.252
2020-08-01,106.97
2020-09-01,107.474
2020-10-01,107.819
2020-11-01,107.612
2020-12-01,107.691
2021-01-01,107.517
2021-02-01,107.893
2021-03-01,108.597
2021-04-01,111.983
2021-05-01,115.051
2021-06-01,119.434
2021-07-01,120.31
2021-08-01,120.666
2021-09-01,120.107
2021-10-01,122.097
2021-11-01,123.678
2021-12-01,125.747
2022-01-01,127.345
2022-02-01,128.109
2022-03-01,127.471
2022-04-01,127.622
2022-05-01,128.122
2022-06-01,129.464
2022-07-01,129.856
2022-08-01,130.123
2022-09-01,128.688
2022-10-01,127.903
2022-11-01,126.596
2022-12-01,125.624
2023-01-01,125.749
2023-02-01,125.825
2023-03-01,126.227
2023-04-01,127.406
2023-05-01,128.059
2023-06-01,128.392
2023-07-01,128.029
2023-08-01,127.556
2023-09-01,125.849
2023-10-01,125.259
2023-11-01,124.57
