"Date","CWUR0000SASL5"
1989-09-01,130.4
1989-10-01,130.6
1989-11-01,130.9
1989-12-01,131.4
1990-01-01,132.2
1990-02-01,132.7
1990-03-01,133.4
1990-04-01,133.6
1990-05-01,133.9
1990-06-01,135.1
1990-07-01,136
1990-08-01,136.9
1990-09-01,137.5
1990-10-01,137.6
1990-11-01,137.8
1990-12-01,138.1
1991-01-01,139.3
1991-02-01,139.9
1991-03-01,140.3
1991-04-01,140.2
1991-05-01,140.6
1991-06-01,141.3
1991-07-01,142.1
1991-08-01,142.5
1991-09-01,143.2
1991-10-01,143.3
1991-11-01,143.5
1991-12-01,143.9
1992-01-01,144.6
1992-02-01,144.8
1992-03-01,145.3
1992-04-01,145.3
1992-05-01,145.5
1992-06-01,146.3
1992-07-01,146.9
1992-08-01,147.3
1992-09-01,147.5
1992-10-01,147.9
1992-11-01,148.1
1992-12-01,148.4
1993-01-01,149.2
1993-02-01,149.5
1993-03-01,149.9
1993-04-01,150.1
1993-05-01,150.5
1993-06-01,151.4
1993-07-01,151.9
1993-08-01,152.4
1993-09-01,152.8
1993-10-01,152.9
1993-11-01,152.9
1993-12-01,153.4
1994-01-01,153.9
1994-02-01,154.6
1994-03-01,155
1994-04-01,155
1994-05-01,155.1
1994-06-01,155.9
1994-07-01,156.4
1994-08-01,157.1
1994-09-01,157.3
1994-10-01,157.4
1994-11-01,157.6
1994-12-01,157.6
1995-01-01,158.6
1995-02-01,159.3
1995-03-01,159.7
1995-04-01,160
1995-05-01,160.2
1995-06-01,161.1
1995-07-01,161.5
1995-08-01,162.1
1995-09-01,162.3
1995-10-01,162.6
1995-11-01,162.6
1995-12-01,162.8
1996-01-01,163.5
1996-02-01,164.2
1996-03-01,164.6
1996-04-01,164.8
1996-05-01,165.2
1996-06-01,166
1996-07-01,166.8
1996-08-01,167.3
1996-09-01,167.6
1996-10-01,167.8
1996-11-01,167.9
1996-12-01,168.1
1997-01-01,169
1997-02-01,169.6
1997-03-01,169.9
1997-04-01,170
1997-05-01,170.1
1997-06-01,171.1
1997-07-01,171.8
1997-08-01,172
1997-09-01,172.4
1997-10-01,172.7
1997-11-01,172.8
1997-12-01,172.7
1998-01-01,173.2
1998-02-01,173.6
1998-03-01,174.1
1998-04-01,174.4
1998-05-01,174.7
1998-06-01,175.5
1998-07-01,176
1998-08-01,176.3
1998-09-01,176.6
1998-10-01,176.6
1998-11-01,176.8
1998-12-01,176.9
1999-01-01,177.3
1999-02-01,177.8
1999-03-01,178.2
1999-04-01,178.4
1999-05-01,178.6
1999-06-01,179.4
1999-07-01,180.1
1999-08-01,180.4
1999-09-01,180.7
1999-10-01,180.8
1999-11-01,181.1
1999-12-01,181.2
2000-01-01,182.1
2000-02-01,182.6
2000-03-01,183.3
2000-04-01,183.5
2000-05-01,183.9
2000-06-01,185.3
2000-07-01,186.3
2000-08-01,186.8
2000-09-01,187.2
2000-10-01,187.6
2000-11-01,187.7
2000-12-01,188.3
2001-01-01,190.3
2001-02-01,190.8
2001-03-01,191.4
2001-04-01,191.6
2001-05-01,192.3
2001-06-01,193.6
2001-07-01,194.2
2001-08-01,194.7
2001-09-01,194.6
2001-10-01,194.4
2001-11-01,194.8
2001-12-01,195
2002-01-01,195.7
2002-02-01,196.5
2002-03-01,197
2002-04-01,197.4
2002-05-01,197.9
2002-06-01,198.9
2002-07-01,199.6
2002-08-01,200.3
2002-09-01,200.6
2002-10-01,200.7
2002-11-01,200.9
2002-12-01,201.1
2003-01-01,202.1
2003-02-01,202.9
2003-03-01,204
2003-04-01,204
2003-05-01,204.7
2003-06-01,205.6
2003-07-01,206.2
2003-08-01,206.6
2003-09-01,206.8
2003-10-01,206.9
2003-11-01,206.5
2003-12-01,206.6
2004-01-01,207.6
2004-02-01,208.2
2004-03-01,208.8
2004-04-01,209.2
2004-05-01,209.7
2004-06-01,211.1
2004-07-01,211.8
2004-08-01,212.2
2004-09-01,212.3
2004-10-01,212
2004-11-01,212.3
2004-12-01,212.4
2005-01-01,213.2
2005-02-01,214
2005-03-01,214.7
2005-04-01,215.4
2005-05-01,215.7
2005-06-01,216.8
2005-07-01,217.8
2005-08-01,218.3
2005-09-01,219.1
2005-10-01,220.1
2005-11-01,220.7
2005-12-01,220.6
2006-01-01,222.2
2006-02-01,222.5
2006-03-01,223
2006-04-01,223.4
2006-05-01,224
2006-06-01,225.5
2006-07-01,226.4
2006-08-01,227
2006-09-01,227.4
2006-10-01,226.9
2006-11-01,227.1
2006-12-01,227.6
2007-01-01,228.608
2007-02-01,229.453
2007-03-01,230.221
2007-04-01,230.708
2007-05-01,231.253
2007-06-01,232.848
2007-07-01,233.415
2007-08-01,233.562
2007-09-01,233.839
2007-10-01,233.85
2007-11-01,234.115
2007-12-01,234.468
2008-01-01,235.557
2008-02-01,236.154
2008-03-01,237.201
2008-04-01,238.048
2008-05-01,239.167
2008-06-01,241.422
2008-07-01,243.071
2008-08-01,243.354
2008-09-01,242.868
2008-10-01,242.316
2008-11-01,242.058
2008-12-01,242.079
2009-01-01,242.819
2009-02-01,243.128
2009-03-01,243.223
2009-04-01,242.98
2009-05-01,243.022
2009-06-01,244.196
2009-07-01,244.531
2009-08-01,244.857
2009-09-01,244.707
2009-10-01,244.258
2009-11-01,243.991
2009-12-01,243.838
2010-01-01,244.09
2010-02-01,244.205
2010-03-01,244.586
2010-04-01,244.719
2010-05-01,244.987
2010-06-01,246.079
2010-07-01,246.547
2010-08-01,246.681
2010-09-01,246.476
2010-10-01,245.955
2010-11-01,245.958
2010-12-01,246.115
2011-01-01,246.643
2011-02-01,247.244
2011-03-01,247.622
2011-04-01,247.899
2011-05-01,248.528
2011-06-01,249.607
2011-07-01,250.237
2011-08-01,250.789
2011-09-01,251.058
2011-10-01,250.733
2011-11-01,250.753
2011-12-01,251.15
2012-01-01,251.705
2012-02-01,251.882
2012-03-01,252.344
2012-04-01,252.708
2012-05-01,253.194
2012-06-01,254.38
2012-07-01,254.64
2012-08-01,255.132
2012-09-01,255.528
2012-10-01,255.542
2012-11-01,255.828
2012-12-01,256.233
2013-01-01,257.042
2013-02-01,257.691
2013-03-01,258.064
2013-04-01,258.385
2013-05-01,259.319
2013-06-01,260.434
2013-07-01,260.976
2013-08-01,261.265
2013-09-01,261.714
2013-10-01,261.563
2013-11-01,261.833
2013-12-01,262.188
2014-01-01,263.314
2014-02-01,263.958
2014-03-01,265.185
2014-04-01,265.282
2014-05-01,266.471
2014-06-01,267.673
2014-07-01,268.084
2014-08-01,268.189
2014-09-01,268.435
2014-10-01,268.262
2014-11-01,268.331
2014-12-01,268.756
2015-01-01,269.663
2015-02-01,270.223
2015-03-01,270.561
2015-04-01,271.016
2015-05-01,271.557
2015-06-01,273.118
2015-07-01,273.549
2015-08-01,273.964
2015-09-01,274.4
2015-10-01,274.463
2015-11-01,274.909
2015-12-01,275.155
2016-01-01,276.049
2016-02-01,276.628
2016-03-01,277.308
2016-04-01,277.938
2016-05-01,279.035
2016-06-01,280.539
2016-07-01,281.138
2016-08-01,281.641
2016-09-01,282.099
2016-10-01,282.116
2016-11-01,282.649
2016-12-01,283.247
2017-01-01,284.362
2017-02-01,285.291
2017-03-01,284.922
2017-04-01,285.393
2017-05-01,286.456
2017-06-01,287.803
2017-07-01,288.143
2017-08-01,288.916
2017-09-01,289.402
2017-10-01,289.643
2017-11-01,290.146
2017-12-01,290.875
2018-01-01,291.808
2018-02-01,292.969
2018-03-01,293.423
2018-04-01,293.849
2018-05-01,295.017
2018-06-01,296.083
2018-07-01,296.563
2018-08-01,297.208
2018-09-01,297.458
2018-10-01,297.816
2018-11-01,298.054
2018-12-01,298.783
2019-01-01,299.526
2019-02-01,300.179
2019-03-01,300.86
2019-04-01,301.498
2019-05-01,302.031
2019-06-01,303.307
2019-07-01,303.812
2019-08-01,304.248
2019-09-01,304.775
2019-10-01,305.16
2019-11-01,305.619
2019-12-01,305.933
2020-01-01,307.045
2020-02-01,307.929
2020-03-01,307.825
2020-04-01,306.593
2020-05-01,306.39
2020-06-01,307.575
2020-07-01,309.53
2020-08-01,309.91
2020-09-01,309.996
2020-10-01,310.179
2020-11-01,310.907
2020-12-01,311.067
2021-01-01,311.231
2021-02-01,312.254
2021-03-01,313.297
2021-04-01,314.86
2021-05-01,316.413
2021-06-01,318.313
2021-07-01,319.412
2021-08-01,319.828
2021-09-01,320.651
2021-10-01,322.217
2021-11-01,323.272
2021-12-01,324.007
2022-01-01,326.255
2022-02-01,328.167
2022-03-01,330.064
2022-04-01,332.453
2022-05-01,335.306
2022-06-01,339.009
2022-07-01,340.452
2022-08-01,342.717
2022-09-01,345.255
2022-10-01,346.759
2022-11-01,348.436
2022-12-01,350.56
2023-01-01,353.886
2023-02-01,355.844
2023-03-01,357.35
2023-04-01,358.598
2023-05-01,359.885
2023-06-01,361.784
2023-07-01,363.201
2023-08-01,364.701
2023-09-01,366.621
2023-10-01,367.871
2023-11-01,369.561
