"Date","CUUR0000SEFV05"
2017-12-01,186.869
2018-01-01,188.329
2018-02-01,188.343
2018-03-01,187.884
2018-04-01,192.251
2018-05-01,192.364
2018-06-01,192.373
2018-07-01,192.802
2018-08-01,192.907
2018-09-01,193.123
2018-10-01,193.155
2018-11-01,194.208
2018-12-01,194.397
2019-01-01,194.422
2019-02-01,194.36
2019-03-01,195.182
2019-04-01,195.17
2019-05-01,194.857
2019-06-01,196.262
2019-07-01,196.711
2019-08-01,196.744
2019-09-01,197.715
2019-10-01,198.339
2019-11-01,198.339
2019-12-01,198.31
2020-01-01,198.249
2020-02-01,198.475
2020-03-01,198.759
2020-04-01,199.425
2020-05-01,199.763
2020-06-01,201.685
2020-07-01,200.591
2020-08-01,202.014
2020-09-01,203.052
2020-10-01,201.58
2020-11-01,201.72
2020-12-01,201.855
2021-01-01,201.915
2021-02-01,202.261
2021-03-01,202.67
2021-04-01,202.9
2021-05-01,204.899
2021-06-01,204.966
2021-07-01,206.824
2021-08-01,207.31
2021-09-01,210.067
2021-10-01,210.568
2021-11-01,210.521
2021-12-01,211.71
2022-01-01,211.806
2022-02-01,213.474
2022-03-01,213.814
2022-04-01,213.997
2022-05-01,215.088
2022-06-01,218.945
2022-07-01,220.606
2022-08-01,220.798
2022-09-01,221.474
2022-10-01,222.016
2022-11-01,222.09
2022-12-01,224.396
2023-01-01,224.386
2023-02-01,225.682
2023-03-01,227.327
2023-04-01,230.117
2023-05-01,230.426
2023-06-01,234.295
2023-07-01,233.605
2023-08-01,237.69
2023-09-01,240.429
2023-10-01,238.267
2023-11-01,239.041
