"Date","CUSR0000SEFS"
2015-06-01,226.809
2015-07-01,224.825
2015-08-01,226.507
2015-09-01,226.792
2015-10-01,228.712
2015-11-01,227.25
2015-12-01,228.536
2016-01-01,228.175
2016-02-01,227.833
2016-03-01,227.111
2016-04-01,227.474
2016-05-01,225.847
2016-06-01,225.744
2016-07-01,225.418
2016-08-01,225.59
2016-09-01,225.752
2016-10-01,225.199
2016-11-01,222.311
2016-12-01,225.063
2017-01-01,224.418
2017-02-01,225.406
2017-03-01,227.376
2017-04-01,226.904
2017-05-01,228.414
2017-06-01,228.474
2017-07-01,229.392
2017-08-01,228.44
2017-09-01,228.446
2017-10-01,228.466
2017-11-01,228.652
2017-12-01,228.584
2018-01-01,228.265
2018-02-01,229.077
2018-03-01,227.686
2018-04-01,228.773
2018-05-01,227.457
2018-06-01,227.115
2018-07-01,227.897
2018-08-01,228.09
2018-09-01,227.966
2018-10-01,227.778
2018-11-01,228.314
2018-12-01,228.129
2019-01-01,228.601
2019-02-01,228.289
2019-03-01,229.29
2019-04-01,224.307
2019-05-01,228.073
2019-06-01,227.179
2019-07-01,225.049
2019-08-01,224.504
2019-09-01,224.758
2019-10-01,225.718
2019-11-01,226.182
2019-12-01,225.088
2020-01-01,227.215
2020-02-01,226.592
2020-03-01,228.753
2020-04-01,230.612
2020-05-01,230.238
2020-06-01,230.487
2020-07-01,229.896
2020-08-01,229.564
2020-09-01,229.423
2020-10-01,229.342
2020-11-01,229.669
2020-12-01,231.567
2021-01-01,231.762
2021-02-01,233.341
2021-03-01,232.329
2021-04-01,234.729
2021-05-01,236.25
2021-06-01,236.669
2021-07-01,239.036
2021-08-01,241.985
2021-09-01,245.102
2021-10-01,246.78
2021-11-01,250.715
2021-12-01,251.984
2022-01-01,256.67
2022-02-01,260.81
2022-03-01,266.995
2022-04-01,270.786
2022-05-01,276.243
2022-06-01,282.72
2022-07-01,288.567
2022-08-01,293.719
2022-09-01,297.724
2022-10-01,304.398
2022-11-01,305.405
2022-12-01,310.427
2023-01-01,310.377
2023-02-01,311.479
2023-03-01,309.547
2023-04-01,308.212
2023-05-01,308.902
2023-06-01,307.409
2023-07-01,306.858
2023-08-01,307.498
2023-09-01,305.826
2023-10-01,312.807
2023-11-01,314.498
