"Date","CUUR0300SETA"
2022-02-01,130.72
2022-03-01,130.501
2022-04-01,130.594
2022-05-01,131.942
2022-06-01,133.98
2022-07-01,134.885
2022-08-01,134.874
2022-09-01,132.058
2022-10-01,130.888
2022-11-01,129.407
2022-12-01,127.916
2023-01-01,127.72
2023-02-01,127.396
2023-03-01,128.373
2023-04-01,130.497
2023-05-01,132.061
2023-06-01,132.727
2023-07-01,132.285
2023-08-01,131.609
2023-09-01,129.319
2023-10-01,128.522
2023-11-01,128.848
