"Date","CUURD200SAA"
2006-09-01,125.2
2006-10-01,127.6
2006-11-01,126.5
2006-12-01,126
2007-01-01,122.889
2007-02-01,124.947
2007-03-01,125.993
2007-04-01,125.578
2007-05-01,124.417
2007-06-01,121.395
2007-07-01,117.348
2007-08-01,119.429
2007-09-01,125.629
2007-10-01,126.912
2007-11-01,125.383
2007-12-01,124.786
2008-01-01,120.546
2008-02-01,121.47
2008-03-01,126.612
2008-04-01,127.335
2008-05-01,124.39
2008-06-01,124.317
2008-07-01,121.937
2008-08-01,124.154
2008-09-01,123.999
2008-10-01,124.734
2008-11-01,130.147
2008-12-01,126.739
2009-01-01,120.6
2009-02-01,116.066
2009-03-01,122.452
2009-04-01,124.049
2009-05-01,123.921
2009-06-01,123.356
2009-07-01,123.146
2009-08-01,125.952
2009-09-01,128.431
2009-10-01,131.216
2009-11-01,127.292
2009-12-01,121.986
2010-01-01,119.104
2010-02-01,120.349
2010-03-01,124.399
2010-04-01,125.56
2010-05-01,124.133
2010-06-01,120.228
2010-07-01,116.062
2010-08-01,115.801
2010-09-01,120.267
2010-10-01,124.853
2010-11-01,125.257
2010-12-01,121.444
2011-01-01,115.279
2011-02-01,116.918
2011-03-01,110.228
2011-04-01,112.361
2011-05-01,118.66
2011-06-01,116.879
2011-07-01,115.236
2011-08-01,116.854
2011-09-01,129.624
2011-10-01,131.189
2011-11-01,137.033
2011-12-01,138.575
2012-01-01,138.525
2012-02-01,133.483
2012-03-01,127.143
2012-04-01,129.862
2012-05-01,128.847
2012-06-01,124.454
2012-07-01,119.494
2012-08-01,118.854
2012-09-01,123.045
2012-10-01,131.37
2012-11-01,132.8
2012-12-01,127.727
2013-01-01,123.774
2013-02-01,121.818
2013-03-01,126.674
2013-04-01,127.973
2013-05-01,130.399
2013-06-01,129.242
2013-07-01,126.812
2013-08-01,128.441
2013-09-01,123.407
2013-10-01,132.405
2013-11-01,138.072
2013-12-01,133.138
2014-01-01,122.905
2014-02-01,120.012
2014-03-01,125.988
2014-04-01,126.336
2014-05-01,129.502
2014-06-01,128.286
2014-07-01,127.49
2014-08-01,134.974
2014-09-01,134.275
2014-10-01,133.971
2014-11-01,128.997
2014-12-01,123.314
2015-01-01,118.473
2015-02-01,118.681
2015-03-01,119.88
2015-04-01,119.641
2015-05-01,118.874
2015-06-01,118.471
2015-07-01,117.503
2015-08-01,120.631
2015-09-01,125.162
2015-10-01,129.301
2015-11-01,124.141
2015-12-01,115.725
2016-01-01,115.017
2016-02-01,118.881
2016-03-01,118.021
2016-04-01,120.1
2016-05-01,123.405
2016-06-01,121.133
2016-07-01,118.249
2016-08-01,120.634
2016-09-01,124.848
2016-10-01,126.157
2016-11-01,124.628
2016-12-01,120.327
2017-01-01,120.87
2017-02-01,124.775
2017-03-01,127.449
2017-04-01,126.847
2017-05-01,124.949
2017-06-01,121.963
2017-07-01,119.723
2017-08-01,118.619
2017-09-01,122.281
2017-10-01,122.619
2017-11-01,120.668
2017-12-01,119.399
