"Date","CUURX200SAH1"
2020-04-01,155.538
2020-05-01,156.154
2020-06-01,156.722
2020-07-01,156.756
2020-08-01,157.284
2020-09-01,157.163
2020-10-01,157.247
2020-11-01,157.368
2020-12-01,157.716
2021-01-01,158.273
2021-02-01,158.729
2021-03-01,159.196
2021-04-01,159.565
2021-05-01,160.398
2021-06-01,161.089
2021-07-01,161.854
2021-08-01,162.553
2021-09-01,162.982
2021-10-01,163.736
2021-11-01,164.157
2021-12-01,164.358
2022-01-01,164.881
2022-02-01,165.631
2022-03-01,166.854
2022-04-01,167.144
2022-05-01,168.61
2022-06-01,170.046
2022-07-01,170.614
2022-08-01,171.284
2022-09-01,171.967
2022-10-01,172.999
2022-11-01,174.127
2022-12-01,175.215
2023-01-01,176.274
2023-02-01,177.601
2023-03-01,179.191
2023-04-01,179.84
2023-05-01,181.177
2023-06-01,182.901
2023-07-01,183.52
2023-08-01,183.813
2023-09-01,184.817
2023-10-01,185.47
2023-11-01,186.301
