"Date","CWSR0000SA0"
1975-04-01,53.3
1975-05-01,53.4
1975-06-01,53.8
1975-07-01,54.3
1975-08-01,54.5
1975-09-01,54.9
1975-10-01,55.2
1975-11-01,55.6
1975-12-01,55.9
1976-01-01,56.2
1976-02-01,56.2
1976-03-01,56.3
1976-04-01,56.5
1976-05-01,56.7
1976-06-01,57
1976-07-01,57.3
1976-08-01,57.6
1976-09-01,57.9
1976-10-01,58.2
1976-11-01,58.4
1976-12-01,58.7
1977-01-01,59.1
1977-02-01,59.6
1977-03-01,59.9
1977-04-01,60.3
1977-05-01,60.6
1977-06-01,60.9
1977-07-01,61.2
1977-08-01,61.4
1977-09-01,61.7
1977-10-01,61.9
1977-11-01,62.3
1977-12-01,62.6
1978-01-01,63
1978-02-01,63.3
1978-03-01,63.8
1978-04-01,64.2
1978-05-01,64.8
1978-06-01,65.3
1978-07-01,65.8
1978-08-01,66.2
1978-09-01,66.7
1978-10-01,67.4
1978-11-01,67.8
1978-12-01,68.3
1979-01-01,68.8
1979-02-01,69.6
1979-03-01,70.3
1979-04-01,71.1
1979-05-01,71.9
1979-06-01,72.7
1979-07-01,73.5
1979-08-01,74.2
1979-09-01,75
1979-10-01,75.7
1979-11-01,76.5
1979-12-01,77.3
1980-01-01,78.5
1980-02-01,79.4
1980-03-01,80.6
1980-04-01,81.4
1980-05-01,82.2
1980-06-01,83
1980-07-01,83.1
1980-08-01,83.7
1980-09-01,84.4
1980-10-01,85.3
1980-11-01,86.2
1980-12-01,87
1981-01-01,87.7
1981-02-01,88.6
1981-03-01,89.1
1981-04-01,89.6
1981-05-01,90.2
1981-06-01,90.9
1981-07-01,92
1981-08-01,92.7
1981-09-01,93.5
1981-10-01,93.8
1981-11-01,94.2
1981-12-01,94.5
1982-01-01,94.8
1982-02-01,95.1
1982-03-01,95
1982-04-01,95.3
1982-05-01,96.1
1982-06-01,97.3
1982-07-01,97.8
1982-08-01,98.1
1982-09-01,98.1
1982-10-01,98.5
1982-11-01,98.4
1982-12-01,98.1
1983-01-01,98.2
1983-02-01,98.2
1983-03-01,98.5
1983-04-01,99.1
1983-05-01,99.5
1983-06-01,99.7
1983-07-01,100
1983-08-01,100.5
1983-09-01,100.7
1983-10-01,101
1983-11-01,101.2
1983-12-01,101.3
1984-01-01,101.8
1984-02-01,102
1984-03-01,102
1984-04-01,102.2
1984-05-01,102.5
1984-06-01,102.7
1984-07-01,103.2
1984-08-01,104.1
1984-09-01,104.5
1984-10-01,104.7
1984-11-01,104.8
1984-12-01,104.9
1985-01-01,105.2
1985-02-01,105.7
1985-03-01,106.1
1985-04-01,106.4
1985-05-01,106.6
1985-06-01,106.9
1985-07-01,107
1985-08-01,107.1
1985-09-01,107.3
1985-10-01,107.7
1985-11-01,108.2
1985-12-01,108.7
1986-01-01,109.1
1986-02-01,108.8
1986-03-01,108.1
1986-04-01,107.7
1986-05-01,107.8
1986-06-01,108.3
1986-07-01,108.3
1986-08-01,108.4
1986-09-01,108.8
1986-10-01,108.9
1986-11-01,109.2
1986-12-01,109.5
1987-01-01,110.2
1987-02-01,110.7
1987-03-01,111.1
1987-04-01,111.6
1987-05-01,111.9
1987-06-01,112.4
1987-07-01,112.7
1987-08-01,113.2
1987-09-01,113.6
1987-10-01,113.9
1987-11-01,114.2
1987-12-01,114.4
1988-01-01,114.7
1988-02-01,114.9
1988-03-01,115.2
1988-04-01,115.8
1988-05-01,116.2
1988-06-01,116.6
1988-07-01,117.3
1988-08-01,117.7
1988-09-01,118.2
1988-10-01,118.6
1988-11-01,118.9
1988-12-01,119.3
1989-01-01,119.9
1989-02-01,120.3
1989-03-01,120.9
1989-04-01,121.9
1989-05-01,122.5
1989-06-01,122.8
1989-07-01,123.2
1989-08-01,123.2
1989-09-01,123.4
1989-10-01,123.9
1989-11-01,124.4
1989-12-01,124.9
1990-01-01,126.1
1990-02-01,126.6
1990-03-01,127
1990-04-01,127.3
1990-05-01,127.5
1990-06-01,128.2
1990-07-01,128.8
1990-08-01,129.9
1990-09-01,130.9
1990-10-01,131.7
1990-11-01,132.1
1990-12-01,132.5
1991-01-01,132.9
1991-02-01,132.9
1991-03-01,133
1991-04-01,133.3
1991-05-01,133.8
1991-06-01,134.1
1991-07-01,134.3
1991-08-01,134.6
1991-09-01,135
1991-10-01,135.2
1991-11-01,135.8
1991-12-01,136.2
1992-01-01,136.2
1992-02-01,136.5
1992-03-01,136.9
1992-04-01,137.2
1992-05-01,137.5
1992-06-01,138
1992-07-01,138.4
1992-08-01,138.7
1992-09-01,139
1992-10-01,139.5
1992-11-01,139.8
1992-12-01,140.1
1993-01-01,140.5
1993-02-01,140.8
1993-03-01,141
1993-04-01,141.4
1993-05-01,141.8
1993-06-01,142
1993-07-01,142.1
1993-08-01,142.4
1993-09-01,142.5
1993-10-01,143.2
1993-11-01,143.4
1993-12-01,143.7
1994-01-01,143.8
1994-02-01,144
1994-03-01,144.3
1994-04-01,144.5
1994-05-01,144.8
1994-06-01,145.3
1994-07-01,145.9
1994-08-01,146.5
1994-09-01,146.8
1994-10-01,146.9
1994-11-01,147.3
1994-12-01,147.6
1995-01-01,148
1995-02-01,148.4
1995-03-01,148.6
1995-04-01,149.2
1995-05-01,149.5
1995-06-01,149.8
1995-07-01,149.9
1995-08-01,150.2
1995-09-01,150.4
1995-10-01,150.8
1995-11-01,150.9
1995-12-01,151.3
1996-01-01,152
1996-02-01,152.3
1996-03-01,152.9
1996-04-01,153.4
1996-05-01,153.8
1996-06-01,154
1996-07-01,154.3
1996-08-01,154.5
1996-09-01,154.9
1996-10-01,155.4
1996-11-01,155.9
1996-12-01,156.3
1997-01-01,156.6
1997-02-01,156.9
1997-03-01,156.9
1997-04-01,157
1997-05-01,157
1997-06-01,157.3
1997-07-01,157.4
1997-08-01,157.8
1997-09-01,158.2
1997-10-01,158.4
1997-11-01,158.6
1997-12-01,158.6
1998-01-01,158.8
1998-02-01,158.7
1998-03-01,158.7
1998-04-01,158.8
1998-05-01,159.3
1998-06-01,159.5
1998-07-01,159.8
1998-08-01,160
1998-09-01,160.1
1998-10-01,160.5
1998-11-01,160.7
1998-12-01,161.1
1999-01-01,161.4
1999-02-01,161.3
1999-03-01,161.4
1999-04-01,162.4
1999-05-01,162.6
1999-06-01,162.6
1999-07-01,163.3
1999-08-01,163.8
1999-09-01,164.6
1999-10-01,164.9
1999-11-01,165.1
1999-12-01,165.6
2000-01-01,166
2000-02-01,166.7
2000-03-01,167.8
2000-04-01,167.6
2000-05-01,167.9
2000-06-01,169
2000-07-01,169.5
2000-08-01,169.3
2000-09-01,170.3
2000-10-01,170.5
2000-11-01,170.8
2000-12-01,171.2
2001-01-01,172.2
2001-02-01,172.5
2001-03-01,172.6
2001-04-01,173
2001-05-01,174
2001-06-01,174.2
2001-07-01,173.8
2001-08-01,173.8
2001-09-01,174.7
2001-10-01,173.9
2001-11-01,173.7
2001-12-01,173.4
2002-01-01,173.7
2002-02-01,173.9
2002-03-01,174.5
2002-04-01,175.4
2002-05-01,175.5
2002-06-01,175.7
2002-07-01,176.1
2002-08-01,176.6
2002-09-01,176.8
2002-10-01,177.2
2002-11-01,177.5
2002-12-01,177.7
2003-01-01,178.6
2003-02-01,179.7
2003-03-01,180.1
2003-04-01,179.2
2003-05-01,178.7
2003-06-01,178.9
2003-07-01,179.4
2003-08-01,180.3
2003-09-01,180.9
2003-10-01,180.6
2003-11-01,180.6
2003-12-01,181
2004-01-01,181.9
2004-02-01,182.4
2004-03-01,182.7
2004-04-01,182.8
2004-05-01,183.8
2004-06-01,184.4
2004-07-01,184.6
2004-08-01,184.7
2004-09-01,185.3
2004-10-01,186.4
2004-11-01,187.4
2004-12-01,187.4
2005-01-01,187.2
2005-02-01,188
2005-03-01,188.6
2005-04-01,189.3
2005-05-01,189.1
2005-06-01,189.3
2005-07-01,190.6
2005-08-01,192
2005-09-01,195.1
2005-10-01,195.2
2005-11-01,193.7
2005-12-01,193.7
2006-01-01,195.1
2006-02-01,195
2006-03-01,195.3
2006-04-01,196.4
2006-05-01,197
2006-06-01,197.4
2006-07-01,198.6
2006-08-01,199.5
2006-09-01,198.3
2006-10-01,197.1
2006-11-01,197.2
2006-12-01,198.4
2007-01-01,198.613
2007-02-01,199.396
2007-03-01,200.65
2007-04-01,201.304
2007-05-01,202.275
2007-06-01,202.652
2007-07-01,203.049
2007-08-01,203.046
2007-09-01,204.015
2007-10-01,204.671
2007-11-01,206.479
2007-12-01,207.107
2008-01-01,207.931
2008-02-01,208.448
2008-03-01,209.169
2008-04-01,209.734
2008-05-01,211.094
2008-06-01,213.68
2008-07-01,215.384
2008-08-01,214.906
2008-09-01,215.1
2008-10-01,212.714
2008-11-01,207.952
2008-12-01,205.85
2009-01-01,206.496
2009-02-01,207.285
2009-03-01,207.049
2009-04-01,207.364
2009-05-01,207.808
2009-06-01,209.999
2009-07-01,209.971
2009-08-01,210.828
2009-09-01,211.286
2009-10-01,211.976
2009-11-01,212.886
2009-12-01,213.036
2010-01-01,213.353
2010-02-01,213.125
2010-03-01,213.233
2010-04-01,213.304
2010-05-01,213.148
2010-06-01,213
2010-07-01,213.476
2010-08-01,213.797
2010-09-01,214.187
2010-10-01,215.048
2010-11-01,215.625
2010-12-01,216.619
2011-01-01,217.468
2011-02-01,218.231
2011-03-01,219.548
2011-04-01,220.797
2011-05-01,221.6
2011-06-01,221.466
2011-07-01,222.057
2011-08-01,222.778
2011-09-01,223.379
2011-10-01,223.481
2011-11-01,223.957
2011-12-01,223.886
2012-01-01,224.494
2012-02-01,225.107
2012-03-01,225.661
2012-04-01,226.024
2012-05-01,225.357
2012-06-01,224.997
2012-07-01,224.94
2012-08-01,226.434
2012-09-01,227.697
2012-10-01,228.4
2012-11-01,227.844
2012-12-01,227.671
2013-01-01,228.112
2013-02-01,229.633
2013-03-01,228.765
2013-04-01,228.132
2013-05-01,228.255
2013-06-01,228.842
2013-07-01,229.209
2013-08-01,229.788
2013-09-01,229.77
2013-10-01,229.92
2013-11-01,230.375
2013-12-01,231.006
2014-01-01,231.649
2014-02-01,231.898
2014-03-01,232.303
2014-04-01,232.768
2014-05-01,233.12
2014-06-01,233.416
2014-07-01,233.573
2014-08-01,233.477
2014-09-01,233.433
2014-10-01,233.208
2014-11-01,232.591
2014-12-01,231.494
2015-01-01,229.498
2015-02-01,230.264
2015-03-01,230.948
2015-04-01,231.118
2015-05-01,232.035
2015-06-01,232.72
2015-07-01,233.021
2015-08-01,232.967
2015-09-01,232.092
2015-10-01,232.262
2015-11-01,232.491
2015-12-01,232.088
2016-01-01,231.862
2016-02-01,231.279
2016-03-01,232.202
2016-04-01,233.163
2016-05-01,233.74
2016-06-01,234.419
2016-07-01,234.117
2016-08-01,234.48
2016-09-01,235.193
2016-10-01,235.776
2016-11-01,235.992
2016-12-01,236.654
2017-01-01,237.715
2017-02-01,238.014
2017-03-01,237.848
2017-04-01,238.053
2017-05-01,237.796
2017-06-01,237.927
2017-07-01,237.953
2017-08-01,239.005
2017-09-01,240.452
2017-10-01,240.539
2017-11-01,241.387
2017-12-01,241.903
2018-01-01,243.025
2018-02-01,243.683
2018-03-01,243.539
2018-04-01,244.258
2018-05-01,244.816
2018-06-01,245.079
2018-07-01,245.27
2018-08-01,245.78
2018-09-01,246.246
2018-10-01,246.943
2018-11-01,246.567
2018-12-01,246.439
2019-01-01,246.261
2019-02-01,246.897
2019-03-01,247.796
2019-04-01,248.964
2019-05-01,248.92
2019-06-01,248.62
2019-07-01,249.243
2019-08-01,249.559
2019-09-01,249.968
2019-10-01,250.803
2019-11-01,251.288
2019-12-01,252.253
2020-01-01,252.537
2020-02-01,252.608
2020-03-01,251.379
2020-04-01,249.195
2020-05-01,248.942
2020-06-01,250.157
2020-07-01,251.727
2020-08-01,253.023
2020-09-01,253.726
2020-10-01,253.99
2020-11-01,254.459
2020-12-01,255.777
2021-01-01,256.485
2021-02-01,257.6
2021-03-01,258.967
2021-04-01,260.828
2021-05-01,262.766
2021-06-01,265.148
2021-07-01,266.4
2021-08-01,267.577
2021-09-01,268.772
2021-10-01,271.493
2021-11-01,273.863
2021-12-01,276.245
2022-01-01,278.001
2022-02-01,280.104
2022-03-01,283.169
2022-04-01,284.046
2022-05-01,286.781
2022-06-01,290.676
2022-07-01,290.253
2022-08-01,290.611
2022-09-01,291.562
2022-10-01,292.991
2022-11-01,293.452
2022-12-01,293.51
2023-01-01,295.116
2023-02-01,296.038
2023-03-01,295.999
2023-04-01,297.265
2023-05-01,297.393
2023-06-01,297.981
2023-07-01,298.422
2023-08-01,300.747
2023-09-01,301.917
2023-10-01,301.989
2023-11-01,302.111
