"Date","APUS12B7471A"
1996-10-01,1.297
1996-11-01,1.332
1996-12-01,1.358
1997-01-01,1.375
1997-02-01,1.368
1997-03-01,1.344
1997-04-01,1.308
1997-05-01,1.299
1997-06-01,1.301
1997-07-01,1.284
1997-08-01,1.318
1997-09-01,1.362
1997-10-01,1.337
1997-11-01,1.31
1997-12-01,1.269
1998-01-01,1.156
1998-02-01,1.103
1998-03-01,1.05
1998-04-01,1.062
1998-05-01,1.083
1998-06-01,1.1
1998-07-01,1.093
1998-08-01,1.077
1998-09-01,1.056
1998-10-01,1.059
1998-11-01,1.055
1998-12-01,1.035
1999-01-01,1.01
1999-02-01,0.984
1999-03-01,0.986
1999-04-01,1.107
1999-05-01,1.169
1999-06-01,1.167
1999-07-01,1.187
1999-08-01,1.253
1999-09-01,1.301
1999-10-01,1.328
1999-11-01,1.325
1999-12-01,1.337
2000-01-01,1.354
2000-02-01,1.38
2000-03-01,1.525
2000-04-01,1.551
2000-05-01,1.521
2000-06-01,1.613
2000-07-01,1.669
2000-08-01,1.628
2000-09-01,1.608
2000-10-01,1.587
2000-11-01,1.573
2000-12-01,1.545
2001-01-01,1.498
2001-02-01,1.492
2001-03-01,1.462
2001-04-01,1.533
2001-05-01,1.739
2001-06-01,1.766
2001-07-01,1.657
2001-08-01,1.513
2001-09-01,1.442
2001-10-01,1.357
2001-11-01,1.218
2001-12-01,1.093
2002-01-01,1.108
2002-02-01,1.126
2002-03-01,1.221
2002-04-01,1.429
2002-05-01,1.451
2002-06-01,1.436
2002-07-01,1.431
2002-08-01,1.462
2002-09-01,1.466
2002-10-01,1.465
2002-11-01,1.502
2002-12-01,1.494
2003-01-01,1.527
2003-02-01,1.606
2003-03-01,1.676
2003-04-01,1.652
2003-05-01,1.576
2003-06-01,1.528
2003-07-01,1.529
2003-08-01,1.581
2003-09-01,1.796
2003-10-01,1.719
2003-11-01,1.619
2003-12-01,1.547
2004-01-01,1.58
2004-02-01,1.665
2004-03-01,1.744
2004-04-01,1.769
2004-05-01,1.95
2004-06-01,2.122
2004-07-01,1.995
2004-08-01,1.911
2004-09-01,1.888
2004-10-01,1.986
2004-11-01,2.026
2004-12-01,1.947
2005-01-01,1.885
2005-02-01,1.973
2005-03-01,2.041
2005-04-01,2.235
2005-05-01,2.234
2005-06-01,2.223
2005-07-01,2.382
2005-08-01,2.544
2005-09-01,3.184
2005-10-01,2.817
2005-11-01,2.313
2005-12-01,2.209
2006-01-01,2.421
2006-02-01,2.408
2006-03-01,2.397
2006-04-01,2.763
2006-05-01,3.042
2006-06-01,3.056
2006-07-01,3.158
2006-08-01,3.127
2006-09-01,2.656
2006-10-01,2.307
2006-11-01,2.269
2006-12-01,2.406
2007-01-01,2.415
2007-02-01,2.318
2007-03-01,2.617
2007-04-01,2.803
2007-05-01,3.057
2007-06-01,3.079
2007-07-01,2.976
2007-08-01,2.82
2007-09-01,2.743
2007-10-01,2.751
2007-11-01,3.051
2007-12-01,3.095
2008-01-01,3.118
2008-02-01,3.044
2008-03-01,3.199
2008-04-01,3.318
2008-05-01,3.739
2008-06-01,4.111
2008-07-01,4.144
2008-08-01,3.844
2008-09-01,3.614
2008-10-01,3.261
2008-11-01,2.371
2008-12-01,1.857
2009-01-01,1.77
2009-02-01,1.976
2009-03-01,2.002
2009-04-01,2.089
2009-05-01,2.261
2009-06-01,2.64
2009-07-01,2.667
2009-08-01,2.686
2009-09-01,2.7
2009-10-01,2.543
2009-11-01,2.665
2009-12-01,2.635
2010-01-01,2.741
2010-02-01,2.68
2010-03-01,2.757
2010-04-01,2.814
2010-05-01,2.885
2010-06-01,2.7
2010-07-01,2.691
2010-08-01,2.672
2010-09-01,2.597
2010-10-01,2.788
2010-11-01,2.913
2010-12-01,3.051
2011-01-01,3.15
2011-02-01,3.161
2011-03-01,3.478
2011-04-01,3.771
2011-05-01,3.961
2011-06-01,3.721
2011-07-01,3.695
2011-08-01,3.632
2011-09-01,3.584
2011-10-01,3.431
2011-11-01,3.369
2011-12-01,3.263
2012-01-01,3.415
2012-02-01,3.586
2012-03-01,3.777
2012-04-01,3.911
2012-05-01,3.753
2012-06-01,3.476
2012-07-01,3.523
2012-08-01,3.741
2012-09-01,3.868
2012-10-01,3.8
2012-11-01,3.608
2012-12-01,3.445
2013-01-01,3.45
2013-02-01,3.696
2013-03-01,3.628
2013-04-01,3.474
2013-05-01,3.515
2013-06-01,3.536
2013-07-01,3.629
2013-08-01,3.617
2013-09-01,3.554
2013-10-01,3.328
2013-11-01,3.288
2013-12-01,3.419
2014-01-01,3.444
2014-02-01,3.469
2014-03-01,3.552
2014-04-01,3.611
2014-05-01,3.671
2014-06-01,3.662
2014-07-01,3.64
2014-08-01,3.433
2014-09-01,3.385
2014-10-01,3.158
2014-11-01,2.899
2014-12-01,2.693
2015-01-01,2.297
2015-02-01,2.3
2015-03-01,2.449
2015-04-01,2.485
2015-05-01,2.739
2015-06-01,2.736
2015-07-01,2.754
2015-08-01,2.53
2015-09-01,2.298
2015-10-01,2.187
2015-11-01,2.21
2015-12-01,2.146
2016-01-01,2
2016-02-01,1.845
2016-03-01,1.911
2016-04-01,2.175
2016-05-01,2.341
2016-06-01,2.338
2016-07-01,2.207
2016-08-01,2.146
2016-09-01,2.22
2016-10-01,2.246
2016-11-01,2.308
2016-12-01,2.394
2017-01-01,2.562
2017-02-01,2.463
2017-03-01,2.398
2017-04-01,2.564
2017-05-01,2.528
2017-06-01,2.465
2017-07-01,2.424
2017-08-01,2.533
2017-09-01,2.831
2017-10-01,2.622
2017-11-01,2.664
2017-12-01,2.596
2018-01-01,2.733
2018-02-01,2.763
2018-03-01,2.66
2018-04-01,2.884
2018-05-01,3
2018-06-01,2.995
2018-07-01,2.986
2018-08-01,2.973
2018-09-01,2.977
2018-10-01,2.922
2018-11-01,2.658
2018-12-01,2.509
2019-01-01,2.411
2019-02-01,2.457
2019-03-01,2.64
2019-04-01,2.871
2019-05-01,2.957
2019-06-01,2.824
2019-07-01,2.855
2019-08-01,2.746
2019-09-01,2.668
2019-10-01,2.637
2019-11-01,2.674
2019-12-01,2.62
2020-01-01,2.66
2020-02-01,2.538
2020-03-01,2.43
2020-04-01,2.148
2020-05-01,2.086
2020-06-01,2.244
2020-07-01,2.369
2020-08-01,2.369
2020-09-01,2.422
2020-10-01,2.421
2020-11-01,2.394
2020-12-01,2.547
2021-01-01,2.685
2021-02-01,2.782
2021-03-01,2.989
2021-04-01,2.929
2021-05-01,3.093
2021-06-01,3.193
2021-07-01,3.259
2021-08-01,3.303
2021-09-01,3.316
2021-10-01,3.472
2021-11-01,3.583
2021-12-01,3.556
2022-01-01,3.529
2022-02-01,3.712
2022-03-01,4.308
2022-04-01,4.256
2022-05-01,4.728
2022-06-01,5.072
2022-07-01,4.739
2022-08-01,4.31
2022-09-01,3.844
2022-10-01,3.853
2022-11-01,4.027
2022-12-01,3.605
2023-01-01,3.595
2023-02-01,3.538
2023-03-01,3.47
2023-04-01,3.666
2023-05-01,3.656
2023-06-01,3.677
2023-07-01,3.75
2023-08-01,3.939
2023-09-01,3.915
2023-10-01,3.727
2023-11-01,3.575
