"Date","CUURD000SAA"
2000-07-01,128
2000-08-01,129.2
2000-09-01,132.3
2000-10-01,133.1
2000-11-01,134.2
2000-12-01,134.4
2001-01-01,129.8
2001-02-01,130.4
2001-03-01,135.5
2001-04-01,136.5
2001-05-01,134.8
2001-06-01,132.1
2001-07-01,128.9
2001-08-01,127.4
2001-09-01,128.6
2001-10-01,130.9
2001-11-01,131.2
2001-12-01,127.3
2002-01-01,123.9
2002-02-01,124.6
2002-03-01,129.7
2002-04-01,131.1
2002-05-01,127.8
2002-06-01,126.2
2002-07-01,122.1
2002-08-01,121.7
2002-09-01,124.6
2002-10-01,128.6
2002-11-01,131.5
2002-12-01,127.7
2003-01-01,123
2003-02-01,123.1
2003-03-01,125.3
2003-04-01,124.9
2003-05-01,123.9
2003-06-01,121.8
2003-07-01,115.9
2003-08-01,115.5
2003-09-01,121.3
2003-10-01,125.6
2003-11-01,126.2
2003-12-01,123.5
2004-01-01,118.2
2004-02-01,117.2
2004-03-01,118.9
2004-04-01,119.8
2004-05-01,120.3
2004-06-01,118.4
2004-07-01,113.1
2004-08-01,110
2004-09-01,116.7
2004-10-01,121.6
2004-11-01,120.8
2004-12-01,120.3
2005-01-01,117.6
2005-02-01,115.1
2005-03-01,119
2005-04-01,123.6
2005-05-01,124.5
2005-06-01,120.2
2005-07-01,114.9
2005-08-01,115.3
2005-09-01,121.1
2005-10-01,126
2005-11-01,125.5
2005-12-01,121.2
2006-01-01,115.9
2006-02-01,116.2
2006-03-01,121.1
2006-04-01,121.7
2006-05-01,120.1
2006-06-01,117.3
2006-07-01,113.6
2006-08-01,114.3
2006-09-01,120.5
2006-10-01,121.5
2006-11-01,121
2006-12-01,119.1
2007-01-01,115.66
2007-02-01,116.695
2007-03-01,119.885
2007-04-01,122.401
2007-05-01,120.117
2007-06-01,117.11
2007-07-01,113.442
2007-08-01,112.463
2007-09-01,116.999
2007-10-01,120.861
2007-11-01,121.074
2007-12-01,118.726
2008-01-01,114.411
2008-02-01,113.378
2008-03-01,115.998
2008-04-01,116.133
2008-05-01,113.858
2008-06-01,113.507
2008-07-01,110.222
2008-08-01,108.768
2008-09-01,112.133
2008-10-01,117.167
2008-11-01,116.36
2008-12-01,114.427
2009-01-01,111.176
2009-02-01,110.965
2009-03-01,115.092
2009-04-01,116.201
2009-05-01,116.927
2009-06-01,116.296
2009-07-01,112.914
2009-08-01,114.312
2009-09-01,117.253
2009-10-01,118.873
2009-11-01,118.555
2009-12-01,116.5
2010-01-01,115.63
2010-02-01,117.964
2010-03-01,119.169
2010-04-01,116.523
2010-05-01,117.382
2010-06-01,115.074
2010-07-01,110.804
2010-08-01,111.987
2010-09-01,116.054
2010-10-01,119.762
2010-11-01,120.334
2010-12-01,114.484
2011-01-01,111.387
2011-02-01,112.096
2011-03-01,109.999
2011-04-01,113.538
2011-05-01,116.117
2011-06-01,112.438
2011-07-01,110.534
2011-08-01,113.345
2011-09-01,120.118
2011-10-01,125.457
2011-11-01,128.002
2011-12-01,127.929
2012-01-01,127.609
2012-02-01,124.339
2012-03-01,122.166
2012-04-01,123.433
2012-05-01,123.959
2012-06-01,119.625
2012-07-01,116.281
2012-08-01,115.447
2012-09-01,121.511
2012-10-01,128.324
2012-11-01,127.472
2012-12-01,127.109
2013-01-01,123.25
2013-02-01,122.097
2013-03-01,123.674
2013-04-01,122.939
2013-05-01,123.719
2013-06-01,125.18
2013-07-01,123.873
2013-08-01,121.949
2013-09-01,124.471
2013-10-01,129.654
2013-11-01,130.173
2013-12-01,129.462
2014-01-01,123.452
2014-02-01,123.265
2014-03-01,128.636
2014-04-01,128.523
2014-05-01,129.694
2014-06-01,128.718
2014-07-01,125.55
2014-08-01,127.705
2014-09-01,129.607
2014-10-01,132.232
2014-11-01,128.72
2014-12-01,124.73
2015-01-01,120.376
2015-02-01,122.97
2015-03-01,130.266
2015-04-01,130.391
2015-05-01,127.681
2015-06-01,126.412
2015-07-01,124.558
2015-08-01,125.241
2015-09-01,129.1
2015-10-01,130.834
2015-11-01,127.16
2015-12-01,122.618
2016-01-01,119.828
2016-02-01,123.08
2016-03-01,126.161
2016-04-01,128.465
2016-05-01,127.697
2016-06-01,126.291
2016-07-01,123.225
2016-08-01,122.966
2016-09-01,129.617
2016-10-01,130.476
2016-11-01,129.428
2016-12-01,125.502
2017-01-01,123.177
2017-02-01,126.997
2017-03-01,129.896
2017-04-01,130.4
2017-05-01,129.343
2017-06-01,126.493
2017-07-01,122.828
2017-08-01,121.795
2017-09-01,121.338
2017-10-01,123.216
2017-11-01,120.261
2017-12-01,116.855
