"Date","CUUR0000SASL2RS"
2009-02-01,276.739
2009-03-01,276.407
2009-04-01,275.752
2009-05-01,275.777
2009-06-01,277.777
2009-07-01,278.747
2009-08-01,279.697
2009-09-01,280.194
2009-10-01,279.545
2009-11-01,280.014
2009-12-01,279.896
2010-01-01,280.73
2010-02-01,281.432
2010-03-01,282.297
2010-04-01,282.851
2010-05-01,283.541
2010-06-01,285.371
2010-07-01,286.238
2010-08-01,286.775
2010-09-01,286.64
2010-10-01,285.588
2010-11-01,285.467
2010-12-01,285.481
2011-01-01,286.292
2011-02-01,287.547
2011-03-01,288.077
2011-04-01,288.612
2011-05-01,289.676
2011-06-01,291.219
2011-07-01,291.961
2011-08-01,292.871
2011-09-01,293.301
2011-10-01,292.365
2011-11-01,292.242
2011-12-01,292.487
2012-01-01,293.269
2012-02-01,293.406
2012-03-01,293.886
2012-04-01,294.527
2012-05-01,295.291
2012-06-01,297.552
2012-07-01,297.722
2012-08-01,298.312
2012-09-01,298.823
2012-10-01,298.222
2012-11-01,298.609
2012-12-01,299.113
2013-01-01,300.332
2013-02-01,301.52
2013-03-01,301.825
2013-04-01,301.999
2013-05-01,303.231
2013-06-01,305.015
2013-07-01,305.581
2013-08-01,305.781
2013-09-01,306.44
2013-10-01,305.726
2013-11-01,305.663
2013-12-01,305.482
2014-01-01,307.124
2014-02-01,308.23
2014-03-01,309.803
2014-04-01,309.787
2014-05-01,311.695
2014-06-01,313.404
2014-07-01,313.364
2014-08-01,312.72
2014-09-01,312.58
2014-10-01,311.888
2014-11-01,311.716
2014-12-01,311.948
2015-01-01,313.112
2015-02-01,313.517
2015-03-01,313.483
2015-04-01,314.401
2015-05-01,315.271
2015-06-01,317.29
2015-07-01,316.982
2015-08-01,316.841
2015-09-01,317.052
2015-10-01,316.949
2015-11-01,317.405
2015-12-01,317.175
2016-01-01,318.322
2016-02-01,319.366
2016-03-01,319.935
2016-04-01,320.871
2016-05-01,322.414
2016-06-01,324.153
2016-07-01,324.504
2016-08-01,325.004
2016-09-01,324.989
2016-10-01,324.15
2016-11-01,324.607
2016-12-01,324.846
2017-01-01,326.442
2017-02-01,328.065
2017-03-01,327.067
2017-04-01,327.518
2017-05-01,328.654
2017-06-01,330.146
2017-07-01,330.288
2017-08-01,330.451
2017-09-01,330.718
2017-10-01,330.492
2017-11-01,330.682
2017-12-01,331.01
2018-01-01,332.499
2018-02-01,334.488
2018-03-01,334.676
2018-04-01,334.681
2018-05-01,335.825
2018-06-01,337.42
2018-07-01,337.46
2018-08-01,337.384
2018-09-01,337.734
2018-10-01,337.77
2018-11-01,337.836
2018-12-01,338.672
2019-01-01,339.422
2019-02-01,340.062
2019-03-01,340.396
2019-04-01,340.756
2019-05-01,341.281
2019-06-01,342.741
2019-07-01,343.177
2019-08-01,343.892
2019-09-01,344.128
2019-10-01,345.375
2019-11-01,346.023
2019-12-01,346.068
2020-01-01,347.578
2020-02-01,348.701
2020-03-01,347.979
2020-04-01,345.544
2020-05-01,344.834
2020-06-01,346.852
2020-07-01,349.557
2020-08-01,349.819
2020-09-01,349.887
2020-10-01,350.038
2020-11-01,351.287
2020-12-01,350.968
2021-01-01,351.226
2021-02-01,352.974
2021-03-01,354.212
2021-04-01,356.494
2021-05-01,358.568
2021-06-01,360.462
2021-07-01,361.153
2021-08-01,361.047
2021-09-01,361.09
2021-10-01,363.265
2021-11-01,364.091
2021-12-01,364.361
2022-01-01,367.891
2022-02-01,369.918
2022-03-01,372.608
2022-04-01,376.389
2022-05-01,380.099
2022-06-01,385.22
2022-07-01,385.783
2022-08-01,387.748
2022-09-01,390.555
2022-10-01,390.582
2022-11-01,390.523
2022-12-01,391.44
2023-01-01,394.542
2023-02-01,395.48
2023-03-01,395.158
2023-04-01,395.889
2023-05-01,395.956
2023-06-01,397.625
2023-07-01,398.407
2023-08-01,399.835
2023-09-01,401.324
2023-10-01,402.364
2023-11-01,404.184
